,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2023-07-31 00:00:00+00:00,-0.0193381,0.980662,0.785985,-0.0149276,-0.0132342,6.13773,0.00196413,0.000557319,0.000851754,0.000608989,-0.0166957,25.6979,0.0499561
2023-08-01 00:00:00+00:00,-0.00407838,0.976662,0.905187,-0.0623025,-0.0438192,3.78658,0.00121201,0.000267498,0.000452607,8.94739e-05,-0.00221575,27.6458,0.0490231
2023-08-02 00:00:00+00:00,-0.00317129,0.973565,0.839729,-0.0356024,-0.0262535,3.86698,0.00123769,0.000296419,0.000458491,-0.000503992,-0.000654089,28,0.0447851
2023-08-03 00:00:00+00:00,-0.007887,0.965887,1.04254,-0.0412898,-0.0254861,10.0111,0.00320435,0.000887689,0.00123356,-0.000538136,-0.00202053,28,0.0487168
2023-08-04 00:00:00+00:00,-0.0129201,0.953407,1.03216,-0.0356954,-0.0261633,8.08908,0.00258878,0.000588411,0.000888074,-0.00231625,-0.00659187,27.9792,0.0477421
2023-08-05 00:00:00+00:00,0.0105765,0.963491,1.02038,-0.00456532,-0.0392149,14.1047,0.00451541,0.00100042,0.00145056,7.83968e-05,0.0174408,29.4583,0.0553914
2023-08-06 00:00:00+00:00,-0.00690125,0.956842,1.33139,0.0376399,-0.0207856,14.9018,0.00476987,0.00118955,0.00182282,-0.000319842,0.00123252,30,0.0594379
2023-08-07 00:00:00+00:00,-0.00614146,0.950965,1.31811,0.0249648,-0.0334473,31.9511,0.0102283,0.00204878,0.00435147,-6.50893e-05,0.0106112,29.6562,0.0648888
2023-08-08 00:00:00+00:00,-0.0110403,0.940466,1.32999,0.0292074,-0.0101396,28.5172,0.0091281,0.00237238,0.00422167,0.000185572,0.00450388,29,0.0655547
2023-08-09 00:00:00+00:00,-0.00774291,0.933184,1.39599,0.0441659,-0.0390007,28.0803,0.00898726,0.00203303,0.00359463,4.65475e-05,0.00684615,29.7917,0.0656508
2023-08-10 00:00:00+00:00,0.00656113,0.939307,1.44075,0.0333857,-0.0335343,19.2707,0.00616968,0.00136007,0.00240566,9.02478e-05,0.016427,30,0.0614118
2023-08-11 00:00:00+00:00,-0.00969282,0.930203,1.75743,0.110337,-0.0249801,12.2482,0.00391989,0.00123132,0.00139834,-0.000411606,-0.00274409,30,0.0578622
2023-08-12 00:00:00+00:00,-0.0120351,0.919008,1.45042,0.0789397,-0.0214274,8.53313,0.00273098,0.000979156,0.000982827,0.000114465,-0.00747456,29.9583,0.0546028
2023-08-13 00:00:00+00:00,0.00110908,0.920027,1.3337,0.101952,-0.0289152,8.74769,0.00279973,0.000931014,0.00104384,2.55979e-05,0.00589806,30,0.0552751
2023-08-14 00:00:00+00:00,-0.00591122,0.914588,1.24071,0.0931354,-0.00530666,11.6188,0.00371878,0.00124081,0.001627,-0.00168551,0.00239113,30,0.0564245
2023-08-15 00:00:00+00:00,0.00377667,0.918042,1.37682,0.0581114,-0.011787,18.759,0.00600506,0.00159769,0.00250715,-0.000345853,0.0142668,30,0.0594371
2023-08-16 00:00:00+00:00,-0.00893105,0.909843,1.38375,0.0741703,-0.0158268,16.3183,0.00522349,0.00174089,0.00313208,-0.000260747,0.00144939,30,0.0581213
2023-08-17 00:00:00+00:00,-0.0183841,0.893117,1.28039,0.134299,-0.00809181,11.2337,0.00359456,0.00170072,0.00196143,-0.000430067,-0.0107356,29.9896,0.0554866
2023-08-18 00:00:00+00:00,-0.00623293,0.88755,0.28027,0.0250391,-0.000440128,4.68027,0.00149789,0.00216756,0.000791758,-0.000103439,-0.00168,29.2292,0.0535315
2023-08-19 00:00:00+00:00,-0.00508177,0.88304,0.0995903,-0.0128373,-0.00837881,2.49018,0.000796841,0.000748631,0.00028973,-9.69148e-05,-0.00313531,7.98958,0.0506176
2023-08-20 00:00:00+00:00,0.00264668,0.885377,0.0819466,-0.0184433,-0.00990722,2.94731,0.000943232,0.00115232,0.000411364,-7.94507e-05,0.00523229,8.02083,0.0527824
2023-08-21 00:00:00+00:00,-0.010899,0.875727,0.176235,-0.0242571,-0.0226528,5.67372,0.00181558,0.00200327,0.00066166,-0.00128559,-0.00516405,8.79167,0.0531408
2023-08-22 00:00:00+00:00,-0.00384954,0.872356,0.114791,-0.0156259,-0.012054,4.18389,0.00133888,0.00146061,0.000393866,-0.000205155,-0.00045091,8.65625,0.0499389
2023-08-23 00:00:00+00:00,-0.0110261,0.862737,0.0948043,-0.0182456,-0.0179337,4.15683,0.00133007,0.0013375,0.000343064,-0.000615723,-0.00744919,8.27083,0.0489269
