,gain_share
cs_premium,1.4098637122924345
iret_30m,1.1652621777962657
iret_15m,1.042187089884892
iret_60m,0.9887492633063213
premium_z,0.6213442972306146
trade_size,0.40716129792928024
iret_120m,0.3528564121275749
hour_cos,0.34592861864561175
cs_ret_60m,0.32224874552798405
cs_vol_level,0.31301819503322514
cs_premium_chg_8h,0.3090700375018105
ret_15m,0.30035609238803784
cs_ret_120m,0.29991654322733907
premium,0.29905838131686374
cs_ret_30m,0.2967073311086341
cs_ret_15m,0.2646215531379955
gk_vol_day,0.25802597905753755
amihud_long,0.23775757860708413
iret_480m,0.23099903799606064
vol_level,0.21402079808952706
iret_240m,0.21357847539025623
ret_480m,0.19692842842117192
cs_ret_240m,0.19444568545983437
log_dollar_volume,0.19209319161130176
cs_ret_480m,0.1793578997892965
trend_1440m_5760m,0.15135182300045502
ivol_share,0.1499997168908123
beta,0.14540628192948876
dispersion,0.13987084263310623
to_funding,0.13962077790132088
range_pos_1440m,0.13792151235310562
cs_trend_240m_1440m,0.1358564181220892
hour_sin,0.1346984059411371
ret_60m,0.13244955820025617
cs_amihud_long,0.13111268722806124
dvol_surprise_long,0.12548044596208086
iret_10080m,0.12306962418029421
ret_1440m,0.1227227674300486
cs_beta,0.1213478820892503
mkt_ret_15m,0.1199615125087783
mkt_vol,0.11694001736813707
range_pos_10080m,0.11658158035625889
premium_chg_8h,0.11597811023344458
trend_60m_240m,0.1136534319740288
range_pos_240m,0.11265690595290084
ret_240m,0.11207388364795373
cs_dvol_surprise_day,0.11051563402598914
cs_flow_15m,0.11008868492986419
funding_z,0.10993598841870528
cs_iret_1440m,0.10586297034196487
cs_ret_10080m,0.1037804847762227
kurt_long,0.10344842628885577
ret_4320m,0.10324584705889822
funding_sum_4320m,0.10286452082656726
mkt_funding,0.10133723831305394
cs_funding_sum_1440m,0.10106022685885396
mkt_ret_4320m,0.09815969124196249
flow_ret_div,0.09799972370426419
ret_10080m,0.09670691333689445
premium_ema_day,0.09642661010957561
trend_240m_1440m,0.09601387616312539
dist_high_1440m,0.09594869222760302
dist_high_10080m,0.09548091383638288
iret_4320m,0.09495749918198854
dist_low_1440m,0.09450468830710367
dow_sin,0.09423844297845752
mkt_vol_ratio,0.09085099790466558
iret_1440m,0.0904425654084726
cs_range_pos_10080m,0.09033819591138777
park_ratio_240m,0.09004514427955694
cs_funding_sum_480m,0.09003760389809796
funding_sum_1440m,0.0876320994722894
flow_1440m,0.08754142599800098
park_ratio_1440m,0.08743278223531814
dvol_surprise_day,0.08740770594529988
mkt_premium,0.08710125966653548
clv_day,0.0859704629707009
hl_spread_proxy,0.08515018522060243
cs_iret_10080m,0.08508493414317325
flow_15m,0.08410636084505042
dist_low_10080m,0.08146158403767019
cs_funding_sum_4320m,0.08141662573242824
mkt_ret_60m,0.08025749102356794
ret_120m,0.07896776233815136
skew_long,0.07829415702358951
mkt_ret_10080m,0.07727875445641604
cs_flow_1440m,0.07525717822260752
breadth_day,0.07511120044936065
btc_minus_mkt_day,0.07444315272684221
dist_low_240m,0.07406003069879083
funding_chg_day,0.0737663337921513
ret_30m,0.0733323264989811
rv_ratio_240m,0.07285266445953852
mkt_flow_day,0.07271802816964876
mkt_ret_240m,0.07058093954565081
rv_ratio_1440m,0.06891429067526243
park_ratio_4320m,0.0676801045039932
cs_iret_4320m,0.06735360639461659
mkt_ret_1440m,0.06682766651546553
volvol_long,0.06652253243355054
cs_ret_1440m,0.06436559664231087
funding_last,0.06404559697555774
semivar_asym,0.06390860859432745
flow_persist,0.06152413882445944
dist_high_240m,0.06117551875856948
cs_flow_persist,0.06111945703910406
rv_ratio_4320m,0.060541394271640826
flow_z_long,0.06002067208790162
flow_60m,0.057294371314647576
flow_240m,0.05460422226564073
cs_flow_240m,0.053986342223988217
cs_flow_z_long,0.053213403160110674
btc_minus_mkt_4h,0.05147503787731251
cs_ret_4320m,0.05012202172695989
cs_flow_60m,0.04797950077398335
funding_sum_480m,0.04336654136049359
dow_cos,0.01813134079926088
