,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0.00523197
2023-08-02 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0.00699824
2023-08-03 00:00:00+00:00,-0.000102963,0.999897,0.00158279,-0.00158279,-0.00171885,0.0179768,5.75257e-06,7.19071e-07,8.28378e-07,-1.20722e-05,-8.35923e-05,0.697917,0.00910055
2023-08-04 00:00:00+00:00,-0.000971679,0.998925,0.0190529,-0.0190529,-0.0209962,0.00642894,2.05732e-06,2.57165e-07,1.65458e-07,-0.000347147,-0.000622091,2,0.0105899
2023-08-05 00:00:00+00:00,0.000778339,0.999703,0.0329244,-0.0246841,-0.0319803,0.0153897,4.92532e-06,6.15666e-07,2.10592e-07,-9.54352e-05,0.000880071,3.59375,0.0135739
2023-08-06 00:00:00+00:00,0.000315106,1.00002,0.0502779,-0.0105362,-0.0276855,0.011655,3.72712e-06,4.6589e-07,2.84456e-08,-7.87513e-05,0.000398592,5,0.0130787
2023-08-07 00:00:00+00:00,0.00171473,1.00173,0.0794396,-0.0227584,-0.0368541,0.0545162,1.74442e-05,4.76655e-06,1.53878e-06,-1.73767e-05,0.00175546,7.98958,0.0145037
2023-08-08 00:00:00+00:00,0.000961285,1.0027,0.183489,0.0220969,-0.0296946,0.164724,5.27143e-05,8.72217e-06,1.68373e-06,-2.46377e-05,0.00104981,9.25,0.0184304
2023-08-09 00:00:00+00:00,-0.00202976,1.00066,0.326262,0.0602749,-0.0324088,0.0834054,2.66895e-05,3.90101e-06,2.34276e-06,-3.91469e-05,-0.0019569,13.3021,0.0245468
2023-08-10 00:00:00+00:00,-0.00114147,0.999518,0.350873,0.0629062,-0.0316692,0,0,0,0,-4.10308e-05,-0.00109912,14,0.0209009
2023-08-11 00:00:00+00:00,-0.00262554,0.996894,0.35143,0.0612116,-0.0336162,0,0,0,0,-8.21437e-05,-0.00254447,14,0.00911634
2023-08-12 00:00:00+00:00,-0.00254353,0.994358,0.33817,0.0763875,-0.0248073,0.0228453,7.31004e-06,3.01233e-06,7.64601e-07,-7.11931e-05,-0.0024616,14,0.000246751
2023-08-13 00:00:00+00:00,-0.000609907,0.993752,0.333107,0.0811246,-0.0279018,0.0021221,6.79113e-07,4.73396e-07,5.97767e-08,-4.78604e-05,-0.000558777,14,0
2023-08-14 00:00:00+00:00,-0.000398554,0.993356,0.306216,0.0683747,-0.0333894,0.0287576,9.2017e-06,3.38966e-06,9.92065e-07,-3.31201e-05,-0.000350152,12,0
2023-08-15 00:00:00+00:00,0.00506941,0.998392,0.295708,0.0742115,-0.0253357,0.0197248,6.32437e-06,1.00358e-06,1.13736e-06,-3.22776e-05,0.00510405,12,0
2023-08-16 00:00:00+00:00,0.000725408,0.999116,0.268678,0.0939549,-0.0141057,0,0,0,0,-3.35074e-05,0.000761864,12,0
2023-08-17 00:00:00+00:00,-0.00862081,0.990503,0.252219,0.0862591,-0.00501225,0.0540702,1.72119e-05,4.11569e-06,2.98702e-06,-3.65243e-05,-0.00857979,12,0
2023-08-18 00:00:00+00:00,-0.00322985,0.987303,0.185086,0.0302567,-0.00105752,0,0,0,0,-1.01201e-05,-0.00322355,12,0
2023-08-19 00:00:00+00:00,-0.000890435,0.986424,0.18631,0.0285241,-0.0028195,0,0,0,0,5.87876e-06,-0.00089609,12,0
2023-08-20 00:00:00+00:00,0.00113358,0.987542,0.18742,0.028726,-0.00298892,0,0,0,0,1.09337e-05,0.00112243,12,0
2023-08-21 00:00:00+00:00,0.000790457,0.988323,0.178161,0.0226185,-0.012928,0.0137806,4.41027e-06,1.12586e-05,2.29636e-06,9.58193e-06,0.000799401,12,0
2023-08-22 00:00:00+00:00,-0.000122713,0.988202,0.175946,0.0230981,-0.0126201,0,0,0,0,-5.28185e-06,-0.000116293,12,0
2023-08-23 00:00:00+00:00,0.000632297,0.988827,0.177711,0.0232415,-0.0127591,0,0,0,0,2.695e-05,0.000606126,12,0
2023-08-24 00:00:00+00:00,0.00229928,0.9911,0.177313,0.0247125,-0.0109796,0.00657427,2.10344e-06,1.52529e-06,4.7612e-07,3.71754e-05,0.00226528,12,0
2023-08-25 00:00:00+00:00,3.02175e-05,0.99113,0.166171,0.032602,-0.00185863,0,0,0,0,4.63026e-05,-1.53479e-05,12,0
2023-08-26 00:00:00+00:00,0.000654397,0.991779,0.166706,0.0321817,-0.00254465,0,0,0,0,3.69249e-05,0.000617611,12,0
2023-08-27 00:00:00+00:00,0.000395054,0.992171,0.166558,0.0331495,-0.00216104,0,0,0,0,0.0001018,0.000293493,12,0
2023-08-28 00:00:00+00:00,-0.000689608,0.991486,0.143578,0.055452,0.0198846,0.0230693,7.38234e-06,3.72371e-06,2.82403e-06,1.16236e-05,-0.000687027,10,0
2023-08-29 00:00:00+00:00,0.00436649,0.995816,0.141188,0.0496806,0.0189346,0.0199384,6.38731e-06,7.98413e-07,1.71509e-07,3.49788e-05,0.00433217,10.4062,0
2023-08-30 00:00:00+00:00,-0.000246965,0.99557,0.135597,0.0363126,0.0160057,0.0061847,1.97914e-06,2.47392e-07,2.2954e-07,3.98687e-06,-0.000248121,11.9167,0.00218042
2023-08-31 00:00:00+00:00,-0.00263919,0.992942,0.135147,0.0322506,0.0131075,0,0,0,0,-7.02429e-06,-0.00263497,13,0.000731697
2023-09-01 00:00:00+00:00,2.01246e-05,0.992962,0.131264,0.0306896,0.0129158,0,0,0,0,-1.30084e-05,3.35675e-05,13,1.38664e-07
2023-09-02 00:00:00+00:00,9.91702e-05,0.993061,0.130351,0.0305913,0.0110703,0,0,0,0,-5.71137e-06,0.000105163,13,0
2023-09-03 00:00:00+00:00,-2.7935e-05,0.993033,0.13074,0.0305526,0.00790996,0,0,0,0,-1.89225e-05,-8.62646e-06,13,0
2023-09-04 00:00:00+00:00,-1.20994e-06,0.993032,0.10329,0.0320919,0.00747899,0.0280523,8.97587e-06,2.25091e-06,2.18282e-06,-2.35116e-06,1.485e-05,10,0
2023-09-05 00:00:00+00:00,-0.000838535,0.992199,0.103123,0.0315189,0.00655112,0,0,0,0,-9.94301e-05,-0.000739232,10,0
2023-09-06 00:00:00+00:00,-0.000442561,0.99176,0.103241,0.0313222,0.00652899,0,0,0,0,-8.0637e-06,-0.000434426,10,0
2023-09-07 00:00:00+00:00,0.00118191,0.992932,0.103574,0.031352,0.00798603,0,0,0,0,-1.38442e-06,0.00118288,10,0
2023-09-08 00:00:00+00:00,-0.000424601,0.992511,0.103682,0.0319262,0.0121662,0,0,0,0,8.22389e-06,-0.000432581,10,0
2023-09-09 00:00:00+00:00,0.000118688,0.992628,0.103129,0.0316831,0.0122763,0,0,0,0,-5.27078e-06,0.00012403,10,0
2023-09-10 00:00:00+00:00,0.000564945,0.993189,0.103009,0.0312901,0.000201419,0.00401384,1.28447e-06,1.60559e-07,1.56069e-07,-2.8149e-05,0.000594912,10.4583,0.00209054
2023-09-11 00:00:00+00:00,-0.000986921,0.992209,0.0955727,0.0368558,0.0050118,0.019218,6.14955e-06,7.09077e-06,1.86748e-06,-0.000218156,-0.000753557,11,0.00280304
2023-09-12 00:00:00+00:00,0.00119614,0.993396,0.0966002,0.0374755,0.013676,0.0020217,6.46968e-07,8.0871e-08,8.54448e-08,-0.00010123,0.00129829,11.125,0.000576809
2023-09-13 00:00:00+00:00,-0.000149446,0.993247,0.103762,0.0313488,0.0075377,0.00619131,1.98125e-06,2.47656e-07,2.37673e-07,-4.5704e-05,-0.00010095,12,0.00456709
2023-09-14 00:00:00+00:00,0.000308609,0.993554,0.109103,0.0278081,0.00457926,0.00403408,1.29094e-06,1.61367e-07,2.23542e-07,-0.000226638,0.000537441,12.875,0.004913
