,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2023-07-31 00:00:00+00:00,0.00018609,1.00019,0.00532418,-0.00425549,-0.00376213,0.0362235,1.15917e-05,1.44897e-06,1.56629e-06,1.05386e-05,0.000190158,0.9375,0.00554415
2023-08-01 00:00:00+00:00,-0.00233605,0.99785,0.0633645,-0.0467029,-0.044203,0.0298326,9.54765e-06,1.19346e-06,9.85441e-07,3.15578e-05,-0.00235724,6.77083,0.016091
2023-08-02 00:00:00+00:00,0.00100538,0.998853,0.0680588,-0.050221,-0.048515,0.0114484,3.66337e-06,4.57921e-07,3.96709e-07,-0.000102253,0.00111293,7,0.0131256
2023-08-03 00:00:00+00:00,-0.00259897,0.996257,0.180981,-0.0159378,-0.0306309,0.193826,6.20201e-05,7.75252e-06,1.2819e-05,-0.000204167,-0.0023141,9.4375,0.0165162
2023-08-04 00:00:00+00:00,4.34082e-05,0.9963,0.315711,0.0244241,-0.0119507,0.27196,8.70269e-05,1.08784e-05,5.38759e-06,-0.000354269,0.000503483,13.2292,0.0180469
2023-08-05 00:00:00+00:00,-0.00029909,0.996002,0.631124,0.0944281,-0.0196095,0.336127,0.00010757,2.02138e-05,7.18347e-06,-2.55106e-05,-0.000130984,18.375,0.0257052
2023-08-06 00:00:00+00:00,0.00182442,0.997819,0.670329,0.120891,-0.0159903,0.0988547,3.16362e-05,3.95453e-06,2.82104e-06,-3.76709e-05,0.0019023,19.8125,0.0219479
2023-08-07 00:00:00+00:00,0.00364721,1.00146,0.920851,0.127402,-0.025128,0.800277,0.000256135,6.225e-05,5.92466e-05,6.63208e-05,0.0039639,24.2917,0.0262212
2023-08-08 00:00:00+00:00,0.00417849,1.00564,1.25805,0.186804,-0.0360136,0.543717,0.000173976,6.35164e-05,1.62184e-05,8.85203e-05,0.00436914,25.8125,0.0351974
2023-08-09 00:00:00+00:00,-0.00507567,1.00054,1.49802,0.223941,-0.0477356,0.366615,0.000117294,5.78902e-05,1.10051e-05,8.29146e-05,-0.00494886,26.4167,0.039314
2023-08-10 00:00:00+00:00,-0.00925957,0.991274,1.60956,0.246196,-0.0411755,0.316066,0.000101139,3.92478e-05,7.64817e-06,-3.05591e-05,-0.00909551,27,0.0318821
2023-08-11 00:00:00+00:00,-0.00420639,0.987105,1.50186,0.274305,-0.000436878,0.0526411,1.68386e-05,3.69994e-06,1.1776e-06,7.19631e-05,-0.00425149,27,0.0169559
2023-08-12 00:00:00+00:00,-0.00550424,0.981671,1.47528,0.309784,0.020677,0.045235,1.44583e-05,4.17275e-06,1.53022e-06,-8.14488e-05,-0.00539862,27,0.00677863
2023-08-13 00:00:00+00:00,-0.00577484,0.976002,1.45007,0.33535,0.0392978,0.02376,7.59925e-06,3.07883e-06,9.10371e-07,-4.16002e-05,-0.00572612,27,0.000728456
2023-08-14 00:00:00+00:00,0.000189654,0.976187,1.24501,0.266269,0.00257038,0.215717,6.90078e-05,3.23444e-05,1.78712e-05,-1.66259e-05,0.000333151,25,0
2023-08-15 00:00:00+00:00,0.00556216,0.981617,1.20217,0.284545,0.0229105,0.0340006,1.08826e-05,1.36032e-06,1.07912e-06,5.07561e-05,0.00552407,25,0.000290223
