,gain_share
cs_vol_level,1.1671818535553444
amihud_long,1.0940970618500876
log_dollar_volume,0.7638191106557283
cs_amihud_long,0.6618965803596324
trade_size,0.5306122906619988
cs_funding_sum_1440m,0.4358039441540024
cs_premium,0.43159788750183703
volvol_long,0.4261368501413293
cs_beta,0.4003690156935056
dow_cos,0.3974934321138744
mkt_funding,0.39491750353549926
ivol_share,0.392595686913933
beta,0.38299917252937987
kurt_long,0.38241039398541243
cs_funding_sum_480m,0.33891893941771917
dvol_surprise_long,0.3330902563194885
trend_1440m_5760m,0.3184790125428282
mkt_vol,0.31419015064043
ret_1440m,0.31329566176366863
skew_long,0.31090947968769655
funding_sum_4320m,0.2942227882365816
cs_funding_sum_4320m,0.2908800573107653
mkt_ret_10080m,0.28781999728552554
dist_high_10080m,0.2756387467516502
gk_vol_day,0.27520039490367815
funding_sum_1440m,0.270956684547959
vol_level,0.26201752725204625
dispersion,0.24648333866809724
ret_10080m,0.2422854656439601
range_pos_10080m,0.2265888127793816
cs_range_pos_10080m,0.21620016262416414
funding_z,0.20452426988181174
semivar_asym,0.19439228546194118
funding_last,0.1911483597542889
flow_1440m,0.18761002071224075
premium_ema_day,0.18596030854416978
flow_ret_div,0.18487175819353643
iret_240m,0.1844450975542083
dist_low_10080m,0.1677446869774606
dow_sin,0.16382858551918886
cs_trend_240m_1440m,0.15986318193050136
ret_4320m,0.15854090572112883
cs_iret_1440m,0.15286464966711816
cs_ret_10080m,0.14858239091225098
cs_iret_10080m,0.14518149799604796
ret_480m,0.1437473797554433
iret_1440m,0.14111588367103334
iret_10080m,0.14067413535390474
iret_60m,0.13961645619607538
mkt_flow_day,0.1334367401872118
iret_120m,0.13159656561024885
iret_4320m,0.12533197103840454
park_ratio_1440m,0.12192998151220558
iret_480m,0.11795576888752429
mkt_ret_4320m,0.11705816160896552
park_ratio_4320m,0.10711864570159355
clv_day,0.10484627151070587
funding_chg_day,0.10418528418190248
dist_low_1440m,0.10416165044817771
premium,0.10168947524555397
btc_minus_mkt_day,0.10131780686394531
mkt_vol_ratio,0.10090174417331736
hl_spread_proxy,0.09655798893321271
breadth_day,0.09485082170950582
funding_sum_480m,0.08956677298589069
cs_iret_4320m,0.08802629751559089
trend_240m_1440m,0.08453772176186054
rv_ratio_1440m,0.08443984411796203
cs_flow_1440m,0.083151367143928
premium_z,0.0808063820343802
cs_ret_1440m,0.07958878826679094
flow_persist,0.07390865987254547
range_pos_1440m,0.0696203149877854
hour_cos,0.06681565241599434
flow_z_long,0.06140124036922259
rv_ratio_4320m,0.06090395822401478
cs_ret_4320m,0.06034509998515728
cs_ret_240m,0.0586834352622678
cs_dvol_surprise_day,0.05324968479494129
mkt_ret_1440m,0.052130210150456886
dist_high_1440m,0.051841194836978896
cs_ret_480m,0.04933083763442236
mkt_ret_240m,0.047142450603306484
cs_flow_z_long,0.03800482313279523
trend_60m_240m,0.036690970215901314
iret_30m,0.03305052598845033
mkt_premium,0.03184335856495631
cs_flow_persist,0.03170778765761445
dvol_surprise_day,0.027780755579078307
cs_ret_60m,0.025554931237473655
cs_ret_120m,0.025336572486216808
ret_240m,0.024449470325428043
park_ratio_240m,0.02338832633553648
dist_low_240m,0.010491071221035831
flow_240m,0.010373324804584343
btc_minus_mkt_4h,0.006676780509242927
rv_ratio_240m,0.006230338906500273
range_pos_240m,0.004787738463989831
cs_flow_240m,0.004466607787326376
cs_ret_30m,0.0042795397752900515
hour_sin,0.004018343315596654
premium_chg_8h,0.003619525957127289
cs_premium_chg_8h,0.0030286547578542425
dist_high_240m,0.002521225818978344
ret_120m,0.002099009614195208
flow_30m,0.0014479568666845985
ret_30m,0.0014056350980424584
to_funding,0.0010949031626035204
cs_flow_60m,0.0010637719194872552
cs_flow_30m,0.0007461776566069301
ret_60m,0.0005841151093773715
flow_60m,0.00035969229388219787
mkt_ret_30m,0.0003579310209869699
mkt_ret_60m,0.00029123001162822466
