,gain_share
amihud_long,1.3954174561248764
cs_vol_level,1.3472889043469405
log_dollar_volume,1.106047209286178
cs_amihud_long,0.8176520957263338
trade_size,0.7149433759390564
beta,0.6383922076110584
volvol_long,0.623041637847494
kurt_long,0.5511466663837025
cs_beta,0.5172922758950759
dow_cos,0.47358541898688683
ivol_share,0.46518944737923573
mkt_funding,0.46393382717986253
mkt_vol,0.42359400334359104
skew_long,0.4222468833223446
dvol_surprise_long,0.40921421710215644
cs_funding_sum_4320m,0.4030025433257671
funding_sum_4320m,0.38005149497801016
vol_level,0.37938662015980434
mkt_ret_10080m,0.3729088893595548
cs_funding_sum_1440m,0.3574326839818297
cs_funding_sum_480m,0.29042454847797533
trend_1440m_5760m,0.2764622153698485
ret_10080m,0.2741720413053027
dispersion,0.2690719818148175
dist_high_10080m,0.26156829763403155
gk_vol_day,0.25504563273125663
semivar_asym,0.23774768137378513
funding_sum_1440m,0.23168156841506332
premium_ema_day,0.22874801263251038
cs_range_pos_10080m,0.2188839613041498
funding_z,0.2008144276598601
range_pos_10080m,0.19918013130514595
ret_1440m,0.18905719453782965
iret_10080m,0.17109512452190526
dist_low_10080m,0.16278592480751067
cs_ret_10080m,0.1618975091231026
cs_premium,0.15267552823966518
cs_trend_240m_1440m,0.15210693572474804
cs_iret_10080m,0.14753761406576826
flow_ret_div,0.14689748373485798
funding_last,0.14116486042993284
mkt_ret_4320m,0.1261064359437553
flow_1440m,0.12560179777203712
dow_sin,0.11392859986888815
park_ratio_4320m,0.11039969558760775
ret_4320m,0.10860646901391965
iret_4320m,0.09619528689046422
hl_spread_proxy,0.09452954396183579
iret_1440m,0.09424615225219456
clv_day,0.09316244986444662
cs_ret_1440m,0.08042624115583923
cs_iret_4320m,0.07630078236193454
mkt_flow_day,0.07077540992080673
cs_ret_4320m,0.06855253921250015
cs_flow_1440m,0.062010956591818656
funding_sum_480m,0.06143707418016687
park_ratio_1440m,0.05736656903699777
cs_iret_1440m,0.05472699925941477
mkt_premium,0.049852418694455905
btc_minus_mkt_day,0.04954609452506532
iret_480m,0.04903202216741275
dist_low_1440m,0.04857287232531268
flow_z_long,0.04631808767120087
mkt_vol_ratio,0.04609708066745641
rv_ratio_1440m,0.045063012578197614
trend_240m_1440m,0.038362216323208916
funding_chg_day,0.03687691359877232
flow_persist,0.0357617477444004
cs_ret_480m,0.0333848352745365
breadth_day,0.03288396482108553
rv_ratio_4320m,0.031254837818317505
cs_flow_z_long,0.02886319228653061
dist_high_1440m,0.027778725472395776
mkt_ret_1440m,0.02717645217610482
premium,0.02617785408594308
ret_480m,0.02541559106337683
cs_dvol_surprise_day,0.025290193097932907
range_pos_1440m,0.025129251047314907
iret_240m,0.023916816527102217
dvol_surprise_day,0.022200329218417962
iret_60m,0.019231037218210564
premium_z,0.017578730080176505
cs_flow_persist,0.01678078024970997
iret_120m,0.015599502141007795
trend_60m_240m,0.006781785657146424
park_ratio_240m,0.005332259360282897
cs_ret_240m,0.003995669865190922
dist_low_240m,0.0020414010877823855
hour_cos,0.0015887064465393212
cs_ret_120m,0.0015097861054680917
rv_ratio_240m,0.0014806875996279775
iret_30m,0.0013420328129529857
cs_ret_60m,0.00133687145343089
mkt_ret_240m,0.001321224882204055
flow_240m,0.0011148341229936063
ret_240m,0.0007242754957003586
cs_ret_30m,0.0006798933553329068
cs_flow_240m,0.0006671305773029115
btc_minus_mkt_4h,0.00027107980488622025
premium_chg_8h,0.0002129613287958869
range_pos_240m,8.11644002502938e-05
hour_sin,4.8042946106060945e-05
ret_60m,4.5590469623838416e-05
cs_flow_60m,3.810858510739787e-05
mkt_ret_30m,3.0994908124025e-05
dist_high_240m,1.9166718294371024e-05
flow_30m,1.6243759891831805e-05
mkt_ret_60m,1.5993019862823908e-05
ret_30m,0.0
ret_120m,0.0
flow_60m,0.0
cs_flow_30m,0.0
cs_premium_chg_8h,0.0
to_funding,0.0
