,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00471769
2023-08-02 00:00:00+00:00,6.18165e-06,1.00001,0.000866679,-0.000866679,-0.00105016,0.00216007,6.91223e-07,8.64029e-08,6.693e-08,-5.2013e-06,1.2229e-05,0,1.2229e-05,0.395833,0.00760679
2023-08-03 00:00:00+00:00,2.07333e-05,1.00003,0.0037889,-0.0037889,-0.00469275,0.012096,3.87064e-06,4.8383e-07,4.78454e-07,-1.61469e-05,4.1722e-05,0,4.1722e-05,1.02083,0.00834613
2023-08-04 00:00:00+00:00,-0.000344084,0.999683,0.0144368,-0.0144368,-0.0166586,0.00460228,1.47267e-06,1.84084e-07,1.20664e-07,-0.000182677,-0.000159431,0,-0.000159431,2,0.00789905
2023-08-05 00:00:00+00:00,0.000431183,1.00011,0.0204851,-0.0204851,-0.0244953,0.00212412,6.79724e-07,8.49656e-08,5.2364e-08,-4.95656e-05,0.000481951,0,0.000481951,2,0.0112132
2023-08-06 00:00:00+00:00,0.000242546,1.00036,0.0206014,-0.0206014,-0.0252849,0,0,0,0,-3.80538e-05,0.000280772,0,0.000280772,2,0.0107121
2023-08-07 00:00:00+00:00,0.00103774,1.00139,0.0404105,-0.024892,-0.0288915,0.053628,1.71602e-05,3.47255e-06,7.93305e-07,-7.84342e-06,0.00106713,0.000172702,0.000894426,4.72917,0.0127683
2023-08-08 00:00:00+00:00,0.00146915,1.00287,0.190167,0.0257011,-0.0269873,0.203296,6.50554e-05,1.24316e-05,2.43683e-06,-3.43089e-06,0.00155309,0.00233814,-0.000785051,8.89583,0.0194172
2023-08-09 00:00:00+00:00,-0.00270861,1.00015,0.32411,0.0387036,-0.0410087,0.0765773,2.45079e-05,1.0991e-05,3.18305e-06,-1.99243e-05,-0.00265114,-0.0012814,-0.00136974,12.6667,0.027176
