,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00505888
2023-08-02 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00699165
2023-08-03 00:00:00+00:00,-3.96806e-05,0.99996,0.00305786,-0.00305786,-0.00379816,0.0148845,4.76294e-06,5.95367e-07,6.13033e-07,-1.42914e-05,-1.94122e-05,0,-1.94122e-05,0.854167,0.00773722
2023-08-04 00:00:00+00:00,-3.09249e-05,0.999929,0.0155855,-0.0155855,-0.0186743,0.00635782,2.03453e-06,2.54316e-07,1.62619e-07,-0.000113741,8.5528e-05,0,8.5528e-05,2,0.0087921
2023-08-05 00:00:00+00:00,0.000390205,1.00032,0.0342674,-0.0205743,-0.0291589,0.019965,6.38905e-06,7.98632e-07,2.62103e-07,-5.4552e-05,0.000452935,2.35319e-06,0.000450582,2.89583,0.0132322
2023-08-06 00:00:00+00:00,0.000361331,1.00068,0.0493845,-0.00932278,-0.0256102,0.00947787,3.03173e-06,3.78966e-07,2.03535e-08,-4.64733e-05,0.000411545,1.05378e-05,0.000401007,3,0.0135579
2023-08-07 00:00:00+00:00,0.00205274,1.00274,0.111021,-0.00290461,-0.030782,0.135928,4.35022e-05,7.35359e-06,2.00602e-06,-1.71416e-05,0.002122,0.000684894,0.00143711,7.14583,0.0166891
2023-08-08 00:00:00+00:00,0.00219003,1.00493,0.264429,0.0506826,-0.03461,0.161259,5.16046e-05,9.91327e-06,3.07999e-06,-2.42358e-05,0.00227838,0.00288911,-0.000610735,9.9375,0.0236874
2023-08-09 00:00:00+00:00,-0.00292786,1.00199,0.40994,0.0565411,-0.0568803,0.110583,3.53843e-05,1.43197e-05,3.2345e-06,-2.72635e-05,-0.00284744,-0.00106882,-0.00177862,14.3542,0.0317713
2023-08-10 00:00:00+00:00,-0.00131647,1.00067,0.474586,0.0665738,-0.0588979,0.0196185,6.27648e-06,2.49006e-06,2.42756e-07,-4.12771e-05,-0.00126229,-0.00120467,-5.76219e-05,17,0.0278252
2023-08-11 00:00:00+00:00,-0.0033028,0.997365,0.475796,0.067487,-0.0638171,0.00581535,1.85979e-06,4.98817e-07,1.67354e-07,-7.54714e-05,-0.00322629,-0.000573881,-0.00265241,17,0.0172004
2023-08-12 00:00:00+00:00,-0.00366859,0.993706,0.456051,0.0903907,-0.0429351,0.0294309,9.40931e-06,2.47421e-06,1.23011e-06,-0.000103469,-0.00355347,0.000508653,-0.00406213,17,0.00795718
2023-08-13 00:00:00+00:00,-0.000547264,0.993162,0.441095,0.105244,-0.0299942,0.0136286,4.36068e-06,5.45085e-07,3.53459e-07,-4.95839e-05,-0.000489831,-0.00205889,0.00156906,17,0.00138526
2023-08-14 00:00:00+00:00,-0.000926136,0.992242,0.420598,0.112318,-0.0149564,0.0279553,1.18444e-05,3.0511e-06,1.81281e-06,-3.22046e-05,-0.000876115,0.00139012,-0.00226624,15.6667,0
2023-08-15 00:00:00+00:00,0.00412758,0.996338,0.397514,0.1268,0.00328411,0.0377134,1.47599e-05,2.39771e-06,3.73154e-06,-3.03289e-05,0.00417879,-0.00421742,0.00839621,14.5833,0.00022099
2023-08-16 00:00:00+00:00,-0.000237714,0.996101,0.343226,0.131491,-0.0153326,0.0682735,3.01337e-05,7.07167e-06,5.68316e-06,-5.39926e-05,-0.000136678,-0.00541411,0.00527743,13.375,0.00432009
2023-08-17 00:00:00+00:00,-0.00386356,0.992252,0.208839,0.0620116,-0.0192662,0.271659,0.000121921,2.31326e-05,1.01497e-05,-9.01207e-05,-0.00362031,-0.00830938,0.00468907,11.625,0.00202723
2023-08-18 00:00:00+00:00,0.000135238,0.992387,0.0494511,-0.0167882,-0.00856078,0,0,0,0,-1.57251e-05,0.000151191,0.00031143,-0.000160239,11,0
2023-08-19 00:00:00+00:00,-0.00061413,0.991777,0.0474943,-0.0144992,-0.00795176,0.00538184,2.69066e-06,9.63089e-06,4.40587e-07,-8.45379e-06,-0.000592815,0.000231986,-0.000824801,10.4792,0
2023-08-20 00:00:00+00:00,0.000165739,0.991942,0.0453142,-0.0119475,-0.00667307,0,0,0,0,-1.15017e-05,0.000177294,3.7636e-05,0.000139658,10,0
2023-08-21 00:00:00+00:00,0.000419615,0.992358,0.0445417,-0.0116168,-0.00671553,0,0,0,0,-9.74346e-06,0.000429479,-0.000293208,0.000722687,10,0
2023-08-22 00:00:00+00:00,0.000195604,0.992552,0.0434075,-0.0109372,-0.00665059,0,0,0,0,-8.44174e-06,0.000204295,-0.000134485,0.00033878,10,0
2023-08-23 00:00:00+00:00,0.000198975,0.992749,0.0439076,-0.0110145,-0.0079389,0,0,0,0,-1.87495e-05,0.000217855,0.00039041,-0.000172555,10,0
2023-08-24 00:00:00+00:00,-0.00012527,0.992625,0.0437995,-0.0109481,-0.00819157,0,0,0,0,-3.33396e-05,-9.18037e-05,-0.000700446,0.000608642,10,0
2023-08-25 00:00:00+00:00,-2.92679e-05,0.992596,0.0394848,-0.0137248,-0.012778,0.00309587,1.54792e-06,5.75188e-06,2.16891e-07,-3.14397e-05,9.85749e-06,-0.000193611,0.000203469,9.10417,0
2023-08-26 00:00:00+00:00,-0.000237946,0.99236,0.0396687,-0.0143794,-0.0140113,0,0,0,0,-1.53614e-05,-0.000222537,-8.34171e-05,-0.00013912,9,6.52763e-06
2023-08-27 00:00:00+00:00,-0.000687141,0.991678,0.0399435,-0.0147097,-0.0143819,0,0,0,0,-6.61618e-05,-0.000621135,1.06509e-05,-0.000631785,9,0
2023-08-28 00:00:00+00:00,-0.000133671,0.991545,0.0359151,-0.0108547,-0.011277,0.00418906,1.34084e-06,1.67605e-07,2.28044e-07,-5.06543e-05,-8.1022e-05,7.1573e-05,-0.000152595,8,0
2023-08-29 00:00:00+00:00,0.000176284,0.99172,0.0376184,-0.00862382,-0.0105224,0.0352955,1.12948e-05,1.65315e-06,1.07673e-06,-3.96202e-05,0.000230519,0.000455258,-0.000224739,8.66667,0.00318781
2023-08-30 00:00:00+00:00,-0.000545472,0.991179,0.120594,0.00962778,-0.000529816,0.0911283,2.91616e-05,3.90806e-06,1.75721e-06,-0.00017532,-0.000334346,-0.000753345,0.000419,11.75,0.011858
2023-08-31 00:00:00+00:00,-0.00173781,0.989457,0.147121,0.0114933,-0.00152432,0,0,0,0,-6.02925e-05,-0.0016775,-0.00386153,0.00218404,12,0.00961559
2023-09-01 00:00:00+00:00,-0.00269299,0.986792,0.141889,0.0115475,0.00124913,0.0077081,2.46643e-06,3.08303e-07,2.21738e-07,-5.17841e-05,-0.00264043,-0.000559972,-0.00208045,12,0.00560356
2023-09-02 00:00:00+00:00,-8.46399e-05,0.986709,0.132194,0.0209112,0.00847055,0.00645962,2.06719e-06,3.27879e-07,1.85707e-07,-2.4526e-05,-5.68045e-05,0.000234549,-0.000291353,12,0.00150692
2023-09-03 00:00:00+00:00,-0.00119941,0.985525,0.131851,0.0217442,0.00366197,0,0,0,0,-4.88299e-05,-0.00115031,0.000191815,-0.00134212,12,0.00345667
2023-09-04 00:00:00+00:00,-0.00136792,0.984177,0.121416,0.0278376,0.000202421,0.013653,4.37019e-06,5.46273e-07,8.61016e-07,-0.000281941,-0.00107958,-0.00042822,-0.000651363,10,0.000134943
2023-09-05 00:00:00+00:00,-0.00104201,0.983152,0.118651,0.029758,-1.00283e-05,0.00308867,1.54422e-06,3.08844e-07,2.13318e-07,-4.28985e-05,-0.000997142,-7.28269e-05,-0.000924315,9.625,0
2023-09-06 00:00:00+00:00,-0.00166965,0.98151,0.117911,0.0306565,-0.000792326,0,0,0,0,-2.36205e-05,-0.00164692,-9.08087e-05,-0.00155611,9,0
2023-09-07 00:00:00+00:00,0.0013108,0.982797,0.118943,0.0302329,-0.000559091,0,0,0,0,-2.33446e-05,0.00133397,0.00128909,4.48807e-05,9,0
2023-09-08 00:00:00+00:00,-9.16631e-05,0.982706,0.119143,0.0308234,0.00197691,0,0,0,0,-4.13251e-06,-8.64528e-05,-0.000949787,0.000863334,9,0
2023-09-09 00:00:00+00:00,0.00172859,0.984405,0.117564,0.031559,0.0014279,0,0,0,0,-1.24727e-05,0.00174011,-1.64436e-05,0.00175656,9,0
2023-09-10 00:00:00+00:00,0.000473776,0.984872,0.117382,0.0308928,-0.0104624,0.00622527,1.99212e-06,2.49015e-07,2.55214e-07,-1.11615e-05,0.000488075,-0.000395095,0.00088317,9.5625,0.00322107
2023-09-11 00:00:00+00:00,-0.000534906,0.984345,0.116861,0.0292133,-0.0116742,0.0112252,3.59138e-06,3.88554e-06,7.24358e-07,-2.9819e-05,-0.000495843,-0.0020933,0.00159746,9.95833,0.00473039
2023-09-12 00:00:00+00:00,0.00139124,0.985714,0.118624,0.0293091,0.000940369,0.00213719,6.83848e-07,8.5481e-08,9.68759e-08,-1.43352e-05,0.00140632,0.00183732,-0.000430997,10.25,0.00218005
2023-09-13 00:00:00+00:00,-0.00133678,0.984397,0.128539,0.020548,-0.00764068,0.00936558,2.99718e-06,3.74647e-07,4.40242e-07,-0.000131176,-0.00120214,0.00112257,-0.00232471,11.5625,0.00704428
2023-09-14 00:00:00+00:00,0.001065,0.985445,0.133,0.0181973,-0.0079119,0.00204902,6.55688e-07,8.1961e-08,5.50256e-08,-0.000206785,0.00127294,0.000879845,0.000393097,12,0.00663714
2023-09-15 00:00:00+00:00,-0.00313868,0.982352,0.138058,0.0138577,-0.0136022,0.0129126,5.11164e-06,8.43301e-07,8.98164e-07,-0.000385746,-0.00274981,0.000476124,-0.00322594,12,0.00660398
2023-09-16 00:00:00+00:00,-0.00104667,0.981324,0.135821,0.0169273,-0.0172922,0.00660479,2.11437e-06,2.64297e-07,3.71484e-07,-0.000213789,-0.00082749,-0.000163223,-0.000664266,12,0.00259026
2023-09-17 00:00:00+00:00,0.000808156,0.982117,0.119758,0.0326263,-0.00444479,0.0170452,8.51548e-06,1.20435e-05,5.38154e-06,-0.000114313,0.000949623,-0.000309503,0.00125913,11.1458,0.00218947
2023-09-18 00:00:00+00:00,-8.74131e-05,0.982031,0.120298,0.0338634,-0.010275,0.00409028,1.30912e-06,1.6364e-07,2.54973e-07,-0.000136524,5.15171e-05,0.000805052,-0.000753535,11,0.00739782
2023-09-19 00:00:00+00:00,-0.00217764,0.979892,0.124679,0.0310049,-0.012306,0.00200828,6.42636e-07,8.03295e-08,8.95483e-08,-0.000181497,-0.00199667,0.00132978,-0.00332645,11,0.00630526
2023-09-20 00:00:00+00:00,-0.000302981,0.979596,0.122386,0.0337734,-0.000498938,0.00203842,6.52437e-07,8.15546e-08,9.19115e-08,-7.11135e-05,-0.000230466,-0.000306183,7.57165e-05,11,0.000273258
2023-09-21 00:00:00+00:00,6.25955e-06,0.979602,0.120337,0.0338133,-0.000457486,0,0,0,0,-3.61268e-05,4.29262e-05,-0.00155966,0.00160259,11,0
2023-09-22 00:00:00+00:00,-0.000764363,0.978853,0.120117,0.0333379,-0.00353813,0,0,0,0,-2.41528e-05,-0.000740022,7.08108e-05,-0.000810833,11,0
2023-09-23 00:00:00+00:00,-2.12772e-05,0.978832,0.120138,0.0332916,-0.00514049,0,0,0,0,-1.03605e-05,-1.06294e-05,9.18976e-05,-0.000102527,11,0
2023-09-24 00:00:00+00:00,0.000428113,0.979251,0.119622,0.0335374,-0.00529341,0,0,0,0,-1.22242e-05,0.000440612,-0.00103474,0.00147536,11,0
2023-09-25 00:00:00+00:00,-0.000485152,0.978776,0.115456,0.0295604,-0.00265851,0.00316823,1.01348e-06,4.82338e-07,8.80433e-08,-1.47292e-05,-0.000468649,0.000212953,-0.000681602,10,0
2023-09-26 00:00:00+00:00,-0.00176784,0.977046,0.114497,0.0308013,-0.000324422,0.00544932,2.72395e-06,5.4479e-07,2.89425e-07,-9.54629e-05,-0.00167018,-0.000259353,-0.00141082,9.6875,0
2023-09-27 00:00:00+00:00,0.000115293,0.977158,0.110611,0.0352512,0.00454032,0.00412787,2.06437e-06,4.12874e-07,1.56725e-07,-9.18852e-05,0.000210355,0.000351975,-0.00014162,8.625,0
2023-09-28 00:00:00+00:00,0.00173223,0.978851,0.108744,0.0388204,0.011473,0,0,0,0,1.22631e-05,0.00171908,0.00179547,-7.63942e-05,8,0
2023-09-29 00:00:00+00:00,3.6379e-05,0.978887,0.109773,0.0393923,0.013964,0,0,0,0,8.76654e-06,2.802e-05,-0.000208396,0.000236416,8,0
2023-09-30 00:00:00+00:00,-0.000131175,0.978758,0.109693,0.039511,0.0137302,0,0,0,0,3.33247e-06,-0.000134405,0.000131107,-0.000265512,8,0
2023-10-01 00:00:00+00:00,-0.00020466,0.978558,0.112016,0.0385323,0.00932039,0,0,0,0,-8.87855e-06,-0.000194703,0.00277215,-0.00296685,8,0
2023-10-02 00:00:00+00:00,-0.000175018,0.978387,0.0925298,0.0522944,0.0297586,0.0355843,1.13856e-05,2.19786e-06,2.54935e-06,3.09284e-06,-0.000160526,-0.00116133,0.0010008,6,0
2023-10-03 00:00:00+00:00,0.000775914,0.979146,0.0774967,0.0385266,0.0202242,0,0,0,0,-6.23064e-07,0.000776478,2.66966e-05,0.000749781,6,0
2023-10-04 00:00:00+00:00,0.00121379,0.980334,0.076287,0.0397775,0.0150092,0,0,0,0,1.49598e-06,0.00121187,0.000546152,0.000665719,6,1.13791e-05
2023-10-05 00:00:00+00:00,-0.00100517,0.979349,0.076684,0.0397519,0.0162068,0,0,0,0,8.63732e-06,-0.00101388,-0.000713663,-0.000300218,6,0.000368698
2023-10-06 00:00:00+00:00,0.000739144,0.980073,0.0771638,0.0396308,0.0185314,0,0,0,0,4.51445e-06,0.00073484,0.00101755,-0.000282712,6,0.000367931
2023-10-07 00:00:00+00:00,0.00060932,0.98067,0.0773992,0.040158,0.0194693,0,0,0,0,1.91803e-06,0.00060731,2.15365e-05,0.000585773,6,0.000212197
2023-10-08 00:00:00+00:00,-0.000326291,0.98035,0.0782344,0.0391791,0.0159597,0.00200298,6.40901e-07,8.01126e-08,7.42809e-08,-1.65297e-06,-0.000323765,-0.000109456,-0.000214309,6.64583,0.00433849
2023-10-09 00:00:00+00:00,-0.000194917,0.980159,0.0704982,0.045727,0.0186812,0.00780991,2.49907e-06,2.30935e-06,1.55593e-06,-6.86008e-06,-0.000181536,-0.000818767,0.000637231,5,0.00233236
2023-10-10 00:00:00+00:00,-0.000143268,0.980018,0.0711723,0.0443242,0.0157214,0.00216214,6.91904e-07,8.64881e-08,1.13626e-07,-5.02289e-06,-0.000137229,-0.000376447,0.000239218,5.6875,0.00449304
2023-10-11 00:00:00+00:00,-0.00107487,0.978965,0.0705587,0.0429001,0.0172583,0,0,0,0,-1.0001e-05,-0.00106518,-0.00112141,5.62362e-05,6,0.00445649
2023-10-12 00:00:00+00:00,-0.000589092,0.978388,0.0704142,0.042026,0.01728,0,0,0,0,-4.85655e-06,-0.000584202,-0.000283677,-0.000300525,6,0.000946474
2023-10-13 00:00:00+00:00,0.000260774,0.978643,0.0706205,0.0420658,0.0177941,0,0,0,0,6.05466e-07,0.000260305,0.000235067,2.5238e-05,6,0
2023-10-14 00:00:00+00:00,-4.44955e-05,0.9786,0.0706789,0.0422679,0.0195176,0,0,0,0,1.44531e-06,-4.58832e-05,-1.39086e-05,-3.19746e-05,6,0
2023-10-15 00:00:00+00:00,0.00055685,0.979145,0.0709162,0.0422811,0.0162729,0,0,0,0,-8.56682e-07,0.000557697,0.000569982,-1.22854e-05,6,0
2023-10-16 00:00:00+00:00,0.00375981,0.982826,0.0465023,0.0385671,0.0286938,0.0463416,1.48641e-05,5.13934e-06,2.19852e-06,-1.79891e-06,0.00378248,0.00385754,-7.50625e-05,5,0.000450955
2023-10-17 00:00:00+00:00,-1.56103e-05,0.982811,0.0314749,0.0174044,0.0190723,0.00433744,1.38802e-06,1.73503e-07,2.73774e-07,2.87283e-07,-1.40078e-05,-0.000169321,0.000155314,6.41667,0.00541099
2023-10-18 00:00:00+00:00,-4.70635e-05,0.982765,0.0391181,0.00964933,0.00874518,0.0103008,3.29616e-06,2.36457e-06,7.0868e-07,1.91043e-06,-4.24837e-05,-0.000168255,0.000125771,7,0.00858929
2023-10-19 00:00:00+00:00,0.000353099,0.983112,0.0456145,0.00315858,-0.00191179,0.00271435,8.68312e-07,1.08539e-07,1.08234e-07,8.72228e-06,0.000345896,0.000536206,-0.00019031,7,0.00898404
2023-10-20 00:00:00+00:00,-0.00118688,0.981945,0.046401,0.00841437,0.00361512,0.0160084,6.81039e-06,1.20303e-06,1.83825e-06,-6.69217e-06,-0.00117072,0.000513804,-0.00168453,7.91667,0.00973928
2023-10-21 00:00:00+00:00,-0.000136519,0.981811,0.0459183,0.00946675,0.0040729,0,0,0,0,-1.25382e-06,-0.000134957,0.000288215,-0.000423172,8,0.00820359
2023-10-22 00:00:00+00:00,0.000383799,0.982188,0.0459053,0.00967674,0.0026815,0,0,0,0,4.33098e-07,0.000383346,0.000112237,0.000271109,8,0.00693352
2023-10-23 00:00:00+00:00,0.000931776,0.983103,0.0488509,0.00858022,0.00139991,0.0120359,4.82984e-06,8.07466e-07,2.17609e-06,-5.99002e-05,0.000999359,0.00265661,-0.00165725,8.875,0.00701375
2023-10-24 00:00:00+00:00,0.000848685,0.983937,0.087342,0.0135302,4.00145e-07,0.0658841,2.10852e-05,2.67106e-06,3.00803e-06,-0.000119511,0.000995512,0.000499405,0.000496107,13.4167,0.0106652
2023-10-25 00:00:00+00:00,-0.00661993,0.977424,0.119748,0.0215706,-0.00431818,0.0577836,2.26219e-05,3.69106e-06,5.61786e-06,-0.000700871,-0.00590503,0.00124025,-0.00714528,14.0208,0.00889084
2023-10-26 00:00:00+00:00,-0.00087036,0.976573,0.11578,0.0244589,-0.00517989,0.0086475,2.7679e-06,3.45988e-07,6.882e-07,-0.000329236,-0.000535445,-0.000490912,-4.4533e-05,14,0.00420312
2023-10-27 00:00:00+00:00,0.00039974,0.976963,0.11144,0.0257893,-0.00349071,0,0,0,0,-8.93622e-05,0.000490111,-0.00131401,0.00180412,14,0.00255369
2023-10-28 00:00:00+00:00,0.000593498,0.977543,0.111707,0.0262526,-0.00477168,0,0,0,0,-2.56256e-05,0.00061925,0.00066515,-4.58996e-05,14,0.00410419
2023-10-29 00:00:00+00:00,-0.000247982,0.977301,0.111922,0.026661,-0.00443297,0,0,0,0,-3.78826e-05,-0.00020987,0.000525212,-0.000735081,14,0.00778719
2023-10-30 00:00:00+00:00,-0.00228578,0.975067,0.100738,0.016379,-0.0114054,0.0155645,4.98012e-06,1.56167e-06,1.06322e-06,-0.000145268,-0.00213483,0.000194863,-0.00232969,12,0.00521348
2023-10-31 00:00:00+00:00,-0.000946653,0.974144,0.096303,0.020609,-0.00771503,0.00405477,1.29762e-06,1.62203e-07,7.16591e-08,-6.49135e-05,-0.000879996,-4.55919e-05,-0.000834404,12,7.06083e-05
2023-11-01 00:00:00+00:00,-0.00019461,0.973954,0.0899206,0.0272615,0.000133126,0.0144799,6.84255e-06,7.27713e-06,4.38258e-07,-1.93773e-05,-0.000160118,0.00126666,-0.00142678,11.625,0
2023-11-02 00:00:00+00:00,0.000265425,0.974213,0.0835082,0.0353755,0.0100035,0,0,0,0,-1.93103e-05,0.000284923,-0.00103629,0.00132122,11,0.000209899
2023-11-03 00:00:00+00:00,-0.000436065,0.973788,0.083147,0.0340067,0.0088528,0.00206094,6.59547e-07,8.24434e-08,3.4104e-08,-8.87327e-06,-0.000426271,0.000131151,-0.000557422,11.5625,0.00332651
2023-11-04 00:00:00+00:00,-0.000336255,0.97346,0.085743,0.0328331,0.00650034,0,0,0,0,-8.66777e-06,-0.000327438,0.000720139,-0.00104758,12,0.0013064
2023-11-05 00:00:00+00:00,-0.000157691,0.973307,0.0875183,0.0324966,0.00538369,0,0,0,0,-8.4995e-06,-0.000148945,0.000273857,-0.000422802,12,0
2023-11-06 00:00:00+00:00,-0.0018806,0.971476,0.0787349,0.0364844,0.010045,0.00940059,3.03143e-06,2.62395e-06,6.61555e-07,-3.78747e-05,-0.0018378,-0.000394436,-0.00144337,8,0
2023-11-07 00:00:00+00:00,0.000239595,0.971709,0.0788476,0.0356883,0.00890404,0,0,0,0,-6.53632e-05,0.000305196,0.000191735,0.000113461,8,0
2023-11-08 00:00:00+00:00,-0.00173668,0.970022,0.0803147,0.0353493,0.00858614,0,0,0,0,-0.000105626,-0.00163231,0.000263633,-0.00189594,8,0
2023-11-09 00:00:00+00:00,0.00217999,0.972136,0.0744787,0.0385093,0.0123726,0.0222542,9.28667e-06,1.61208e-06,5.87946e-07,-0.000111626,0.00230167,0.00244982,-0.000148159,7.5,0
2023-11-10 00:00:00+00:00,0.00031573,0.972443,0.0597398,0.0393422,0.0115775,0.00524215,2.16233e-06,3.95385e-06,6.68675e-08,-3.04139e-05,0.000352508,0.000338944,1.3564e-05,6.47917,0
2023-11-11 00:00:00+00:00,0.000177944,0.972616,0.056571,0.0389097,0.0116756,0,0,0,0,-2.03175e-05,0.000198372,-0.000223748,0.000422119,6,0
2023-11-12 00:00:00+00:00,0.000290874,0.972899,0.05624,0.0393314,0.012076,0,0,0,0,-3.14171e-05,0.000322375,2.55595e-05,0.000296815,6,0
2023-11-13 00:00:00+00:00,-0.000289843,0.972617,0.0531116,0.0367155,0.00964651,0.00271012,8.67244e-07,1.08406e-07,2.8856e-07,-1.76325e-05,-0.000270813,-0.000702899,0.000432086,5,0
2023-11-14 00:00:00+00:00,-0.0011802,0.971469,0.0520939,0.0361092,0.0108915,0,0,0,0,-1.41883e-05,-0.00116625,-0.00116627,1.28606e-08,5,0
