,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535897
2023-08-02 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105441
2023-08-03 00:00:00+00:00,-1.39752e-06,0.999999,7.28586e-05,7.28586e-05,5.76596e-05,0.00349721,1.11911e-06,1.39888e-07,1.38527e-07,0,0,0,0,0.0208333,0,0.00273883
2023-08-04 00:00:00+00:00,0.00114485,1.00114,0.0137825,0.00381552,0.00214894,0.0218273,6.985e-06,8.73125e-07,6.42443e-07,0.000371975,0.00078115,0.00094926,-0.00016811,1.85417,0,0.00831698
2023-08-05 00:00:00+00:00,-0.00119362,0.999948,0.0387295,-0.00490468,-0.00928726,0.0158619,5.07596e-06,6.34495e-07,3.63155e-07,0.000167208,-0.00135496,-0.00133808,-1.68872e-05,4.64583,0,0.0119515
2023-08-06 00:00:00+00:00,0.000101603,1.00005,0.0409133,-0.00517593,-0.00790065,0,0,0,0,0.000133009,-3.10497e-05,-0.000249731,0.000218681,5,0,0.00761163
2023-08-07 00:00:00+00:00,0.00114968,1.0012,0.0402855,-0.00465463,-0.00797276,0,0,0,0,6.39378e-05,0.00108589,0.000438182,0.00064771,5,0,0.00880393
2023-08-08 00:00:00+00:00,-0.00106672,1.00013,0.0400156,-0.00480267,-0.00958727,0,0,0,0,4.3436e-05,-0.00111051,-0.000478145,-0.000632364,5,0,0.00824335
2023-08-09 00:00:00+00:00,-0.000561729,0.99957,0.0401795,-0.00559922,-0.0125629,0,0,0,0,4.90979e-05,-0.000610754,-0.000508361,-0.000102393,5,0,0.00165532
2023-08-10 00:00:00+00:00,-9.3766e-05,0.999476,0.0396801,-0.00612826,-0.013138,0,0,0,0,2.31011e-05,-0.000116724,-0.000296417,0.000179694,5,0,0
2023-08-11 00:00:00+00:00,0.00176478,1.00124,0.0407616,-0.00478595,-0.0114424,0,0,0,0,0.000117007,0.0016468,0.00174925,-0.000102451,5,0,0
2023-08-12 00:00:00+00:00,-0.000814991,1.00042,0.0332526,-0.00817827,-0.0130362,0.0106922,3.9643e-06,3.17472e-06,3.90992e-07,2.52783e-05,-0.000832951,-0.000676547,-0.000156404,4.25,1,0
2023-08-13 00:00:00+00:00,0.000403924,1.00083,0.0300434,-0.00953173,-0.0125243,0,0,0,0,1.12509e-05,0.000392641,9.26682e-06,0.000383374,4,0,0
2023-08-14 00:00:00+00:00,-0.000414499,1.00041,0.0299881,-0.00960249,-0.0127484,0,0,0,0,5.55088e-06,-0.000420082,-5.08445e-05,-0.000369238,4,0,0
2023-08-15 00:00:00+00:00,0.00114316,1.00156,0.029671,-0.0094185,-0.0121102,0,0,0,0,5.29461e-06,0.00113744,-0.000263032,0.00140047,4,0,0
2023-08-16 00:00:00+00:00,0.000183602,1.00174,0.0268563,-0.00914059,-0.0116631,0.00183766,9.19239e-07,1.83848e-07,3.98614e-08,1.7392e-06,0.000183295,-0.00114921,0.0013325,3.83333,1,0
2023-08-17 00:00:00+00:00,0.0015694,1.00331,0.0217198,-0.00974441,-0.0121736,0.0170121,6.52331e-06,3.88609e-06,2.6968e-06,6.63641e-07,0.00158255,-0.0010184,0.00260095,2.89583,1,0
2023-08-18 00:00:00+00:00,-8.62296e-05,1.00323,0.00356124,-0.00356124,-0.00510378,0,0,0,0,-6.57296e-07,-8.55659e-05,0,-8.55659e-05,2,0,0
2023-08-19 00:00:00+00:00,-3.34956e-05,1.00319,0.00356592,-0.00356592,-0.00498056,0,0,0,0,-1.08437e-06,-3.24059e-05,0,-3.24059e-05,2,0,0
2023-08-20 00:00:00+00:00,-1.05649e-05,1.00318,0.00358758,-0.00358758,-0.00493542,0,0,0,0,-1.72358e-06,-8.83891e-06,0,-8.83891e-06,2,0,0
2023-08-21 00:00:00+00:00,-9.01628e-06,1.00317,0.00359115,-0.00359115,-0.00480925,0,0,0,0,-5.70766e-07,-8.43569e-06,0,-8.43569e-06,2,0,0
2023-08-22 00:00:00+00:00,1.97793e-05,1.00319,0.00362013,-0.00362013,-0.00466515,0,0,0,0,-1.59401e-06,2.13873e-05,0,2.13873e-05,2,0,0
2023-08-23 00:00:00+00:00,-5.79779e-05,1.00313,0.00361024,-0.00361024,-0.00450842,0,0,0,0,-1.49621e-07,-5.78245e-05,0,-5.78245e-05,2,0,0
2023-08-24 00:00:00+00:00,2.66017e-06,1.00314,0.00365143,-0.00365143,-0.00445449,0,0,0,0,-1.31644e-07,2.79603e-06,0,2.79603e-06,2,0,0
2023-08-25 00:00:00+00:00,2.7509e-05,1.00317,0.00358837,-0.00358837,-0.00392671,0,0,0,0,5.47675e-07,2.69659e-05,0,2.69659e-05,2,0,6.01393e-05
2023-08-26 00:00:00+00:00,3.2596e-05,1.0032,0.00360517,-0.00360517,-0.0036831,0,0,0,0,9.48712e-07,3.1648e-05,0,3.1648e-05,2,0,0.00132274
2023-08-27 00:00:00+00:00,-1.41604e-05,1.00318,0.00358981,-0.00358981,-0.00361385,0,0,0,0,4.01504e-07,-1.45605e-05,0,-1.45605e-05,2,0,0.00304643
2023-08-28 00:00:00+00:00,7.06687e-06,1.00319,0.00356456,-0.00356456,-0.0035336,0,0,0,0,8.75352e-07,6.19425e-06,0,6.19425e-06,2,0,0.00247391
2023-08-29 00:00:00+00:00,-0.000166828,1.00302,0.00363564,-0.00363564,-0.00363228,0,0,0,0,3.35225e-07,-0.000167156,0,-0.000167156,2,0,0.00137988
2023-08-30 00:00:00+00:00,7.60209e-05,1.0031,0.00369304,-0.00369304,-0.00381926,0,0,0,0,9.7279e-07,7.50484e-05,0,7.50484e-05,2,0,0.00182954
