,gain_share
amihud_long,0.6914240447498184
cs_amihud_long,0.6442889490764206
volvol_long,0.629590814924052
log_dollar_volume,0.625877765599219
funding_sum_43200m,0.5918845013270241
beta,0.5649783632441011
cs_vol_level,0.5637095299275399
cs_beta,0.5576713278890508
cs_funding_sum_43200m,0.5510405430867554
skew_long,0.5222218341058563
kurt_long,0.5073430459303266
ret_43200m,0.4966454718002855
iret_43200m,0.471638242427207
funding_sum_10080m,0.4357245491520537
cs_funding_sum_10080m,0.4015519571812596
dist_high_43200m,0.3960919526679807
cs_ret_20160m,0.39209642344577444
trade_size,0.37751059242939317
dist_low_43200m,0.3514678240379857
ivol_share,0.3511574568349991
trend_5760m_20160m,0.3106399038390696
dvol_surprise_long,0.3099905413778367
cs_ret_43200m,0.3094024036989085
vol_level,0.30477723618036556
funding_sum_4320m,0.2994382497252444
semivar_asym,0.2915152190886495
mkt_funding,0.2878624393788542
trend_1440m_5760m,0.2824300484411313
cs_iret_20160m,0.2809680514819566
range_pos_43200m,0.25995410033177935
ret_20160m,0.25551107025846875
iret_20160m,0.2546514827404445
cs_iret_43200m,0.24959227439877224
cs_range_pos_43200m,0.24359328389625257
cs_trend_1440m_5760m,0.22979870954288012
ret_10080m,0.22912994333360523
cs_funding_sum_4320m,0.22485028777445532
funding_z,0.2053324848229015
gk_vol_day,0.195654603778037
flow_ret_div,0.18949872843989535
mkt_vol,0.16185988597234346
cs_funding_sum_1440m,0.15267554466770417
dist_high_10080m,0.15214185570342914
mkt_ret_10080m,0.13166235206215515
cs_iret_10080m,0.12818429432045733
iret_1440m,0.12159963078559474
cs_ret_1440m,0.12106388290797912
cs_funding_sum_480m,0.1187786312733481
funding_sum_1440m,0.11734468004914154
dist_low_10080m,0.11706167946341231
range_pos_10080m,0.11518879095044601
premium_ema_day,0.11511801343596625
dispersion,0.11138245776841016
funding_last,0.10124080102202894
hl_spread_proxy,0.10037398438366349
cs_ret_10080m,0.0988959721650475
park_ratio_4320m,0.09812567804006397
cs_premium,0.09415494592004756
iret_4320m,0.08645187589783435
iret_10080m,0.08606934290335465
cs_ret_480m,0.08384657459623047
flow_1440m,0.07931182933725683
dow_cos,0.07736995027861028
clv_day,0.07550467336197576
cs_ret_4320m,0.06515718127994667
mkt_ret_4320m,0.06348808434040551
ret_4320m,0.06339562399925758
ret_1440m,0.06208378502430056
park_ratio_1440m,0.05034849316126123
cs_flow_1440m,0.04992736299546599
iret_480m,0.046359096046659186
dow_sin,0.04548234034857621
funding_sum_480m,0.044378035574430576
mkt_premium,0.03807751778637814
iret_240m,0.03772823801655465
rv_ratio_1440m,0.03574481618332519
trend_240m_1440m,0.029613771285341893
dist_low_1440m,0.02811361459776857
flow_z_long,0.027147994064047453
cs_ret_240m,0.026688257754363634
funding_chg_day,0.02640640115900553
cs_flow_z_long,0.025441727585866877
rv_ratio_4320m,0.023492800846416126
cs_dvol_surprise_day,0.022680704483122326
mkt_vol_ratio,0.01949742894276722
mkt_flow_day,0.019438845203973362
premium_z,0.01819744032878233
iret_60m,0.018137924565661705
flow_persist,0.0174814860614756
premium,0.014720790910904351
iret_120m,0.014101588221711541
cs_flow_persist,0.013509847884133184
dvol_surprise_day,0.013270376934491205
mkt_ret_1440m,0.012814458532303598
dist_high_1440m,0.00945287593897358
btc_minus_mkt_day,0.009300702621988111
range_pos_1440m,0.008824199129404037
breadth_day,0.005104940277266915
ret_480m,0.0035863217181311842
park_ratio_240m,0.001980328596891835
cs_flow_240m,0.0013351711236960309
cs_ret_60m,0.0010244088030323673
rv_ratio_240m,0.0007295243146665937
iret_30m,0.0006327931211013321
cs_ret_120m,0.00047790559144435626
flow_240m,0.0004049738192841586
cs_ret_30m,8.189884738690027e-05
cs_premium_chg_8h,7.984908150689074e-05
hour_cos,6.35777219388525e-05
ret_240m,3.575175197941195e-05
premium_chg_8h,2.5806143365601058e-05
ret_60m,1.9357646130845365e-05
ret_120m,0.0
ret_30m,0.0
flow_60m,0.0
cs_flow_60m,0.0
mkt_ret_30m,0.0
mkt_ret_60m,0.0
mkt_ret_240m,0.0
btc_minus_mkt_4h,0.0
hour_sin,0.0
to_funding,0.0
