,gain_share
log_dollar_volume,0.8064505451406262
amihud_long,0.7264091936458621
funding_sum_43200m,0.6928360434476799
volvol_long,0.5751896256288695
beta,0.5134391522659469
cs_funding_sum_43200m,0.5083086285029621
ls_top_z,0.5008574023376029
cs_amihud_long,0.49196460969189526
funding_sum_10080m,0.48337288204860057
cs_funding_sum_10080m,0.4780856834775883
skew_long,0.4777764964131768
kurt_long,0.4410277913607056
cs_beta,0.39901541044146155
trade_size,0.3929382691532801
dist_low_43200m,0.3904495929661788
iret_43200m,0.3868812316549141
ret_43200m,0.38613927671378195
cs_vol_level,0.35247081613486886
dist_high_43200m,0.346643572685997
cs_trend_1440m_5760m,0.323920145041636
cs_range_pos_43200m,0.3141188916069484
cs_ret_43200m,0.3140849631022128
cs_funding_sum_4320m,0.3008831836472817
trend_5760m_20160m,0.28727161321423883
cs_ls_top_z,0.2791584351048794
mkt_funding,0.2767779251588319
cs_ret_20160m,0.2739747566174248
funding_sum_4320m,0.27239698128154793
ivol_share,0.26482592787724574
vol_level,0.26460495018028224
semivar_asym,0.2570347230837519
dvol_surprise_long,0.2552078975402002
cs_iret_20160m,0.25232584628110943
range_pos_43200m,0.24865365585178367
cs_iret_43200m,0.23696534713566264
iret_20160m,0.2331695610160618
ret_20160m,0.22589749392260464
gk_vol_day,0.2108930317332414
trend_1440m_5760m,0.20086177574463632
funding_z,0.1989760562932717
cs_ret_1440m,0.18867440984948863
iret_10080m,0.16804741957630848
cs_funding_sum_1440m,0.16529272474245246
ret_10080m,0.1611429859667651
mkt_vol,0.15618902326361603
dist_high_10080m,0.14290225827783082
premium_ema_day,0.1391099112612505
dispersion,0.13294723738000075
funding_sum_1440m,0.12949576922222822
cs_ret_10080m,0.12937400781423206
range_pos_10080m,0.1272396896134274
iret_4320m,0.11202320763121595
iret_1440m,0.11187652929546625
mkt_ret_10080m,0.11006069123355691
cs_iret_10080m,0.10837330377219304
flow_ret_div,0.10425964252246811
cs_funding_sum_480m,0.10292492762486354
park_ratio_4320m,0.09106963514674954
dist_low_10080m,0.09030710653152033
clv_day,0.08704720356736607
cs_ret_480m,0.08100852917494858
mkt_ret_4320m,0.07480497430733249
ls_top_chg_day,0.07402065640693666
cs_ret_4320m,0.07375177934802797
ret_1440m,0.0710827044934123
cs_premium,0.06581271511086015
ret_4320m,0.06561579507666564
funding_last,0.06249048238633097
iret_480m,0.05926778032574273
dow_sin,0.05643559797018946
funding_sum_480m,0.05572309454953239
dow_cos,0.05504479780729185
hl_spread_proxy,0.05139500692248434
cs_flow_1440m,0.05023238305390914
premium_z,0.047595147137011434
flow_1440m,0.046409603382352484
cs_dvol_surprise_day,0.045524551870130735
park_ratio_1440m,0.04500532504923887
trend_240m_1440m,0.042606953210922324
iret_120m,0.04103467832901319
mkt_flow_day,0.03188995090810612
iret_240m,0.030636411413250124
flow_z_long,0.027080005215963158
rv_ratio_1440m,0.024623932957259353
iret_60m,0.022926897469337168
dist_high_1440m,0.022786116792273776
cs_flow_persist,0.022174616232781916
cs_flow_z_long,0.02210103747928148
mkt_vol_ratio,0.02132780429145217
flow_persist,0.020191076589785452
rv_ratio_4320m,0.020019705771380458
cs_ret_240m,0.01922991939069419
premium,0.019197526848487904
dist_low_1440m,0.018223279582831358
mkt_ret_1440m,0.016786183764813542
funding_chg_day,0.016516109269768642
mkt_premium,0.015546676471018844
breadth_day,0.014671662889024335
range_pos_1440m,0.011404993985351684
btc_minus_mkt_day,0.01039182424259608
dvol_surprise_day,0.009593582930465036
ret_480m,0.003853678304108591
park_ratio_240m,0.003137294637740464
cs_ret_30m,0.0021553123904543394
cs_ret_60m,0.0021428824025458704
iret_30m,0.002135469035082779
cs_flow_240m,0.0010634372085628694
rv_ratio_240m,0.0006971854833936602
flow_240m,0.0006182241724609632
cs_ret_120m,0.0004493282262076321
cs_premium_chg_8h,0.0003674898230785291
hour_cos,0.0002659981697661757
flow_60m,9.092027522469768e-05
ret_240m,7.074519609798799e-05
btc_minus_mkt_4h,5.241855339053071e-05
premium_chg_8h,3.797905650100734e-05
ret_60m,2.428118351047814e-05
cs_flow_60m,2.291819749646361e-05
to_funding,1.5497836268255413e-05
ret_30m,0.0
ret_120m,0.0
mkt_ret_240m,0.0
mkt_ret_60m,0.0
mkt_ret_30m,0.0
hour_sin,0.0
