,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313335
2023-08-02 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-03 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-04 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012578
2023-08-05 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334625
2023-08-06 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000286091
2023-08-07 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077022
2023-08-08 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259163
2023-08-09 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000360832
2023-08-10 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-11 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-12 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-13 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-14 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-15 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-16 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-17 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-18 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-19 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-20 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-21 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-22 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-23 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-24 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-25 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-26 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07688e-05
2023-08-27 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171224
2023-08-28 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-29 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-30 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010552
2023-08-31 00:00:00+00:00,7.16949e-05,1.00007,0.00310453,-0.00226724,-0.00159612,0.00642524,2.05608e-06,1.47155e-06,2.9111e-07,2.18146e-05,5.37051e-05,-4.32428e-05,9.69478e-05,1.20833,0,0.00497068
2023-09-01 00:00:00+00:00,-0.000293113,0.999779,0.00859355,-0.00403107,-0.00190326,0.00644119,2.06136e-06,1.98371e-06,2.64718e-07,4.10548e-05,-0.000329818,-1.62251e-05,-0.000313593,2,0,0.00555578
2023-09-02 00:00:00+00:00,-0.00126541,0.998513,0.0215227,-0.00719185,-0.00243454,0.0130623,4.17962e-06,2.64558e-06,4.42134e-07,1.16655e-05,-0.00127028,-0.000350251,-0.000920029,2.45833,0,0.00883105
2023-09-03 00:00:00+00:00,0.00080808,0.99932,0.0299289,-0.0081332,-0.00188767,0.00536423,1.71658e-06,9.27345e-07,5.02512e-07,4.0501e-05,0.000771376,0.00110048,-0.000329107,3.85417,0,0.00735546
2023-09-04 00:00:00+00:00,0.00050887,0.999829,0.0227142,-0.00537106,-0.000985825,0.00667362,2.13598e-06,2.66998e-07,2.05426e-07,5.54647e-05,0.000456845,-0.000211443,0.000668288,4,0,0.00399764
2023-09-05 00:00:00+00:00,0.000105216,0.999934,0.0219767,-0.00262617,0.0018618,0.00216768,6.93629e-07,8.67037e-08,1.43538e-07,1.97032e-05,8.66369e-05,-9.26734e-05,0.00017931,4.60417,0,0.00489816
2023-09-06 00:00:00+00:00,0.000423362,1.00036,0.02686,-0.00156484,0.00414865,0.0202169,6.46929e-06,8.72643e-07,1.21055e-06,0.000133235,0.000298777,0.00121334,-0.000914567,6.125,0,0.00555963
2023-09-07 00:00:00+00:00,-0.000344572,1.00001,0.0561394,-0.000388677,0.00352621,0.0130146,4.16465e-06,5.20581e-07,5.97788e-07,0.000275876,-0.000614727,-0.00011598,-0.000498747,11.6042,0,0.00918611
2023-09-08 00:00:00+00:00,0.000546854,1.00056,0.06264,0.00282368,0.0114823,0.0165107,5.28352e-06,6.6044e-07,8.82205e-07,0.000518483,3.59397e-05,-0.000647812,0.000683751,12.7917,0,0.00934951
2023-09-09 00:00:00+00:00,0.000257648,1.00082,0.0725835,-0.00297303,0.0107954,0.0142227,4.55173e-06,5.68967e-07,7.04688e-07,0.000529184,-0.00026476,-0.00105741,0.000792649,13.625,0,0.00981639
2023-09-10 00:00:00+00:00,0.00479258,1.00561,0.0847991,-0.00390746,-7.9136e-05,0.0558869,1.78862e-05,9.11612e-06,2.18332e-06,0.00101785,0.003794,0.00211237,0.00168164,14.5417,0,0.0107842
2023-09-11 00:00:00+00:00,0.000295087,1.00591,0.193428,0.0143895,0.014449,0.166748,5.3688e-05,2.31018e-05,1.14759e-05,0.000863753,-0.000473609,-0.0046816,0.00420799,18.3542,1,0.0159397
2023-09-12 00:00:00+00:00,0.00739983,1.01335,0.276247,0.0276062,0.00641457,0.0895692,2.86642e-05,8.8125e-06,5.10743e-06,0.00184721,0.00557095,0.00570321,-0.000132253,23.1875,0,0.0160787
2023-09-13 00:00:00+00:00,0.00513327,1.01856,0.373197,0.0385741,0.00432297,0.168256,5.38503e-05,1.19803e-05,8.20331e-06,0.0019111,0.00329526,0.0064939,-0.00319864,27.0833,0,0.0187415
2023-09-14 00:00:00+00:00,0.0143716,1.03319,0.551118,0.0475499,0.00521558,0.174104,5.57361e-05,2.07461e-05,9.43364e-06,0.00196175,0.0124068,0.0104003,0.00200641,32.3542,0,0.0232113
2023-09-15 00:00:00+00:00,0.0141031,1.04777,0.675709,0.0331427,0.000974102,0.223983,7.17021e-05,3.48323e-05,9.07743e-06,0.00161095,0.012524,0.0185432,-0.00601919,34,0,0.0283896
2023-09-16 00:00:00+00:00,0.00129291,1.04912,0.857491,0.0304704,-0.00558563,0.197464,6.31969e-05,3.00658e-05,8.93431e-06,0.00120643,0.00019922,-0.00250712,0.00270634,35.4375,0,0.033443
2023-09-17 00:00:00+00:00,-0.00785101,1.04088,1.00635,0.0325948,0.00409453,0.229343,7.33662e-05,2.60958e-05,1.22778e-05,0.00155338,-0.00929464,-0.0185994,0.00930475,37.4792,0,0.03429
2023-09-18 00:00:00+00:00,0.00632313,1.04747,1.17861,0.0126188,0.0157643,0.485174,0.00015516,0.000106057,6.44315e-05,0.00119212,0.00547574,0.0161291,-0.0106533,39.9167,0,0.0345338
2023-09-19 00:00:00+00:00,0.00650025,1.05427,1.29849,0.0188782,0.0189565,0.240111,7.68637e-05,4.95945e-05,1.25304e-05,0.00071114,0.00593013,0.0230933,-0.0171632,40,0,0.0357224
2023-09-20 00:00:00+00:00,-0.00388756,1.05018,1.49682,0.0688758,0.0341676,0.362884,0.000116099,6.62945e-05,1.79423e-05,8.39802e-05,-0.00374132,-0.00882089,0.00507957,40,0,0.0369266
2023-09-21 00:00:00+00:00,-0.000177845,1.04999,1.64138,0.0805445,0.0340672,0.365577,0.000117001,6.38691e-05,2.76908e-05,0.000118513,-5.00126e-05,-0.0233024,0.0232524,40,0,0.0359617
2023-09-22 00:00:00+00:00,-0.0203176,1.02866,1.77803,0.053245,0.015719,0.536732,0.000171413,4.67728e-05,4.01008e-05,0.000160449,-0.0203337,0.0125014,-0.0328351,40,0,0.0339481
2023-09-23 00:00:00+00:00,-0.00895677,1.01944,1.84609,0.0213066,0.0263182,0.16011,5.12314e-05,3.26576e-05,9.28485e-06,0.00025005,-0.00912761,-0.0154621,0.00633447,40,0,0.028172
2023-09-24 00:00:00+00:00,0.00443648,1.02396,1.785,0.0311216,0.0124445,0.235585,7.5391e-05,2.57947e-05,1.28617e-05,0.000219297,0.00433494,-0.0106283,0.0149633,40,0,0.0254515
2023-09-25 00:00:00+00:00,0.00930789,1.0335,1.78833,0.0752392,0.0298691,0.224005,7.17561e-05,3.05361e-05,2.1396e-05,0.000160435,0.00925814,0.0212185,-0.0119604,40,0,0.0248144
2023-09-26 00:00:00+00:00,0.0012513,1.03479,1.76091,0.0747649,0.0329942,0.340081,0.000126503,3.74998e-05,2.6351e-05,0.000167931,0.00129438,0.00345733,-0.00216295,40,2,0.0247167
2023-09-27 00:00:00+00:00,0.00409441,1.03903,1.58718,0.0754574,0.0394277,0.319065,0.000102161,3.44731e-05,1.87384e-05,-7.23619e-07,0.00427577,0.00389015,0.00038562,40,0,0.0237724
2023-09-28 00:00:00+00:00,-0.00795994,1.03076,1.40367,0.0423284,0.0275037,0.39543,0.000144491,4.6588e-05,3.39505e-05,7.53431e-05,-0.0078242,0.0163603,-0.0241845,40,2,0.0230979
2023-09-29 00:00:00+00:00,-0.0145628,1.01574,1.28531,0.0113057,0.0201256,0.429408,0.000144413,3.09599e-05,2.71693e-05,-5.21867e-06,-0.0144395,0.00298003,-0.0174195,40,1,0.0191333
2023-09-30 00:00:00+00:00,0.00804137,1.02391,1.13295,0.0111138,0.00499357,0.263263,8.83742e-05,1.87137e-05,1.82972e-05,0.000365593,0.00778522,0.0107522,-0.00296697,40,1,0.0162918
2023-10-01 00:00:00+00:00,-0.00321006,1.02063,1.08724,0.00981192,-9.39043e-05,0.301449,0.000118461,2.13626e-05,3.12265e-05,0.000696372,-0.00372149,0.0264736,-0.0301951,39.9167,3,0.0187321
