,gain_share
log_dollar_volume,0.7858784769022779
cs_amihud_long,0.6190453853202954
amihud_long,0.6014061336307631
kurt_long,0.566837944534965
beta,0.5266698307626172
funding_sum_10080m,0.49534131395017966
funding_sum_43200m,0.49511662151296426
cs_funding_sum_43200m,0.49381490537666145
cs_vol_level,0.48578491516586786
cs_beta,0.45517066888506935
skew_long,0.4163076608022233
dvol_surprise_long,0.4023701546581809
ret_43200m,0.3990204950073213
volvol_long,0.39745894511017715
dist_low_43200m,0.385882483888194
cs_ret_20160m,0.36772894329829564
iret_43200m,0.3557418214587647
cs_funding_sum_10080m,0.35566299798085843
cs_range_pos_43200m,0.35324408628976295
trend_1440m_5760m,0.3495990306902882
dist_high_43200m,0.3441798926202657
trade_size,0.3296436058460934
trend_5760m_20160m,0.3246799108994757
cs_funding_sum_4320m,0.3150585244387887
vol_level,0.3050320385699943
cs_trend_1440m_5760m,0.3017390677777527
funding_sum_4320m,0.2706573615752729
ivol_share,0.24106016517110923
cs_iret_43200m,0.23927926838482258
mkt_funding,0.23095478063703903
cs_ret_1440m,0.22835184854035948
cs_ret_43200m,0.22784705535041025
funding_z,0.22523392543247844
gk_vol_day,0.21998811257029466
mkt_vol,0.2151625726040622
ret_10080m,0.21163418675725157
ret_20160m,0.20336663293295967
iret_20160m,0.19850613507047224
range_pos_43200m,0.19119602985117723
iret_1440m,0.18865510506421024
cs_premium,0.17868726914307662
cs_iret_20160m,0.17755657135953817
semivar_asym,0.17098700523187954
premium_ema_day,0.16782940113161735
ret_1440m,0.15175957900307122
cs_iret_10080m,0.150336748790294
funding_sum_1440m,0.14711125068006997
iret_10080m,0.1433520655604839
cs_funding_sum_1440m,0.14035994951715572
cs_ret_480m,0.1351053036181499
funding_last,0.133492949909284
flow_1440m,0.12865361864237446
flow_ret_div,0.12375206951220076
cs_ret_10080m,0.12349348105471557
mkt_ret_10080m,0.12012834072607603
dist_high_10080m,0.11541778306154868
range_pos_10080m,0.11389482126770693
dispersion,0.11148287070094268
dow_cos,0.10409992512286134
cs_funding_sum_480m,0.10006170422441839
dist_low_10080m,0.0967005464205051
hl_spread_proxy,0.09163559308733848
iret_4320m,0.09100497316101377
cs_ret_4320m,0.09014347259535294
iret_480m,0.08821162842131804
clv_day,0.08793967069014469
iret_240m,0.08584788296031295
funding_sum_480m,0.07810635119001291
cs_ret_240m,0.0764833944508568
park_ratio_4320m,0.07292143480363499
dow_sin,0.06967392983744788
mkt_ret_4320m,0.06211816991561856
flow_persist,0.0555614400510403
iret_120m,0.054175351467093305
cs_flow_persist,0.05389387656929572
cs_dvol_surprise_day,0.05253755818996094
park_ratio_1440m,0.0523754708727361
trend_240m_1440m,0.04592369480620815
ret_4320m,0.045525419160967244
premium,0.04522813637061785
premium_z,0.03996573147837712
iret_60m,0.037344539514059416
cs_flow_z_long,0.037164400188518694
mkt_ret_1440m,0.036343748188994954
cs_flow_1440m,0.03487571605733553
mkt_vol_ratio,0.03446549244782963
mkt_flow_day,0.03359947650184045
dist_low_1440m,0.03215184356712822
dist_high_1440m,0.03173532224026625
flow_z_long,0.030652378081871174
breadth_day,0.028928980655465383
iret_30m,0.02784248818383865
rv_ratio_1440m,0.02203812668876105
mkt_premium,0.02085334427059894
rv_ratio_4320m,0.019493193735349076
funding_chg_day,0.015175642654526696
range_pos_1440m,0.013522089442386304
dvol_surprise_day,0.011773119997425483
btc_minus_mkt_day,0.011141149690405574
cs_ret_120m,0.006149118397483922
park_ratio_240m,0.005746031458997984
cs_ret_30m,0.005439899034598208
cs_ret_60m,0.0032079803225780927
ret_480m,0.0030175122400235115
cs_premium_chg_8h,0.0011992690338411577
rv_ratio_240m,0.0007090145756220828
flow_240m,0.0005870291829672215
ret_240m,0.0004414643934040525
hour_cos,0.00021960688863213908
btc_minus_mkt_4h,0.00012096217587622283
cs_flow_240m,7.336028905629649e-05
ret_120m,6.635523679606985e-05
mkt_ret_30m,2.9149817838862704e-05
cs_flow_60m,2.6293830124919092e-05
ret_60m,2.043093822005596e-05
ret_30m,0.0
flow_60m,0.0
premium_chg_8h,0.0
mkt_ret_240m,0.0
mkt_ret_60m,0.0
hour_sin,0.0
to_funding,0.0
