,gain_share
funding_sum_43200m,0.7752461079170841
log_dollar_volume,0.6571717044142502
amihud_long,0.642809014285202
volvol_long,0.5674484155554805
cs_funding_sum_43200m,0.564778936329735
beta,0.5464381183723543
kurt_long,0.5418222748793958
cs_amihud_long,0.5367819844870284
funding_sum_10080m,0.4873493825940203
skew_long,0.476892986585424
cs_funding_sum_10080m,0.459265820011943
trade_size,0.43176674170230145
iret_43200m,0.4280520476325916
ret_43200m,0.4007467385024245
cs_beta,0.39593092476581493
trend_5760m_20160m,0.3528490734195078
cs_vol_level,0.344746568063757
cs_funding_sum_4320m,0.33126420317186744
ivol_share,0.3261590762401089
dist_low_43200m,0.32591251522088427
funding_sum_4320m,0.3229055287480182
dist_high_43200m,0.31721592845501856
cs_ret_43200m,0.31552036957071233
cs_range_pos_43200m,0.31316702345774805
iret_20160m,0.28660108835905407
vol_level,0.28123724124990984
mkt_funding,0.27878076845055766
dvol_surprise_long,0.27280474012639144
cs_trend_1440m_5760m,0.2631681322127469
cs_iret_43200m,0.25441804236184523
range_pos_43200m,0.250309294742526
semivar_asym,0.24954855140730628
cs_ret_20160m,0.24383870402490465
ret_20160m,0.2281340944219735
mkt_vol,0.2128170949491861
cs_iret_20160m,0.21230289115379886
cs_funding_sum_1440m,0.208963245936328
trend_1440m_5760m,0.20613956276255177
funding_z,0.20171286766468077
gk_vol_day,0.1991819210644734
iret_10080m,0.19533171698756074
ret_10080m,0.18991332601585886
dispersion,0.18739686722235996
dist_high_10080m,0.18409495293017022
premium_ema_day,0.1694775455830403
cs_ret_10080m,0.15953609465680205
funding_sum_1440m,0.1465665555291986
dist_low_10080m,0.13827275358067453
mkt_ret_10080m,0.1378617787008482
cs_iret_10080m,0.12936232808083586
range_pos_10080m,0.12721108469577075
iret_4320m,0.1213999151367889
park_ratio_4320m,0.12137913000652763
clv_day,0.12008189054993043
cs_funding_sum_480m,0.10880375752924717
dow_sin,0.09433041704722538
hl_spread_proxy,0.08894033097303754
cs_ret_4320m,0.08700844861552741
mkt_ret_4320m,0.08589977631695987
cs_ret_1440m,0.0845166811853663
dow_cos,0.08359429858010202
ret_4320m,0.0769570845211843
iret_1440m,0.07586409753874179
flow_1440m,0.07404455287556289
cs_flow_1440m,0.07178961946172671
park_ratio_1440m,0.0679873358238416
flow_ret_div,0.06604169153106011
ret_1440m,0.05743570409495144
mkt_flow_day,0.05397285201392073
funding_short_interval,0.04934031631393888
cs_dvol_surprise_day,0.049120349510660355
flow_z_long,0.047490108511610604
mkt_vol_ratio,0.04702836986054654
rv_ratio_4320m,0.045295091686527095
trend_240m_1440m,0.04517724268171172
flow_persist,0.04234868855900913
funding_sum_480m,0.04050773677585366
funding_last,0.04029254311338394
cs_premium,0.039100588316096765
cs_ret_480m,0.03842572469172058
premium_z,0.037395293512015836
cs_flow_z_long,0.03715748426579589
rv_ratio_1440m,0.035341995455218274
cs_flow_persist,0.03346778086214871
funding_chg_day,0.03289708898606319
iret_480m,0.032416994306136995
dist_low_1440m,0.029004764649830032
btc_minus_mkt_day,0.026282251264678532
iret_120m,0.022373499200140638
dist_high_1440m,0.021119511034629414
mkt_premium,0.02049774999325047
mkt_ret_1440m,0.0189272762865792
iret_240m,0.018777932698410917
iret_60m,0.017725592956624542
breadth_day,0.01693353268188713
dvol_surprise_day,0.016337502640930163
cs_ret_240m,0.016034441621666205
premium,0.011142409159807585
range_pos_1440m,0.010142132338056766
ret_480m,0.008083008629475764
park_ratio_240m,0.005959807858616234
iret_30m,0.005418090438388927
cs_ret_60m,0.004876229956664729
cs_ret_30m,0.004314000783032532
cs_flow_240m,0.0026966128451932883
cs_ret_120m,0.0024439247953351845
flow_240m,0.0021570200233847108
hour_cos,0.0018272583861304612
rv_ratio_240m,0.0017765120125482
cs_premium_chg_8h,0.001534260382754879
cs_flow_60m,0.001126772786089295
ret_240m,0.0008380616311157943
flow_60m,0.0004119797348098879
ret_30m,0.00030404828783181086
premium_chg_8h,0.00020735402279186178
hour_sin,0.00017703898404877982
ret_60m,0.0001555797866425083
ret_120m,0.00015056353824178408
mkt_ret_240m,6.0519421845575406e-05
btc_minus_mkt_4h,4.163674394027286e-05
to_funding,3.740279199035832e-05
mkt_ret_60m,2.8009168468231026e-05
mkt_ret_30m,0.0
