,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00505888
2023-08-02 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00699165
2023-08-03 00:00:00+00:00,-2.75049e-05,0.999972,0.00167003,-0.00167003,-0.002081,0.00929738,2.97513e-06,3.71891e-07,3.8882e-07,-8.03291e-06,-1.57347e-05,0,-1.57347e-05,0.729167,0.00773722
2023-08-04 00:00:00+00:00,0.000216742,1.00019,0.00965589,-0.00965589,-0.0120035,0.00437864,1.40119e-06,1.75149e-07,1.13704e-07,-1.97714e-05,0.000238292,0,0.000238292,1,0.0087921
2023-08-05 00:00:00+00:00,2.06119e-05,1.00021,0.017172,-0.017172,-0.0212733,0.00425746,1.36259e-06,1.70324e-07,1.08495e-07,-6.14495e-06,2.8755e-05,0,2.8755e-05,1,0.0132322
2023-08-06 00:00:00+00:00,0.000239063,1.00045,0.0177008,-0.0177008,-0.0221888,0,0,0,0,-3.83267e-06,0.000243035,0,0.000243035,1,0.0135579
2023-08-07 00:00:00+00:00,0.00105298,1.0015,0.0276961,-0.0254134,-0.0261975,0.0184967,5.91943e-06,1.41199e-06,5.1683e-07,1.23553e-05,0.00104858,3.32675e-05,0.00101531,3.64583,0.0166891
2023-08-08 00:00:00+00:00,-0.000478664,1.00102,0.0600644,-0.0331164,-0.0387085,0.0526359,1.68424e-05,2.97405e-06,1.32342e-06,3.54397e-05,-0.000492515,0.00010764,-0.000600154,5.58333,0.0236874
2023-08-09 00:00:00+00:00,-0.00085221,1.00017,0.11468,-0.0415944,-0.0555174,0.0474486,1.51832e-05,3.98763e-06,1.51653e-06,3.49506e-05,-0.000865805,-0.000173525,-0.00069228,7.47917,0.0317713
2023-08-10 00:00:00+00:00,-0.000157623,1.00001,0.136218,-0.0406978,-0.0573254,0,0,0,0,6.66116e-06,-0.000163058,-0.000478166,0.000315108,8,0.0278252
2023-08-11 00:00:00+00:00,-0.000654084,0.999358,0.132486,-0.037979,-0.0550964,0.00647852,2.07288e-06,6.39784e-07,1.59106e-07,-2.34202e-07,-0.000650465,-0.000351318,-0.000299147,8,0.0172004
2023-08-12 00:00:00+00:00,-0.000889118,0.99847,0.121907,-0.0271986,-0.041418,0.01213,3.88013e-06,1.1983e-06,4.42031e-07,-1.4823e-05,-0.00086831,0.000216034,-0.00108434,8,0.00795718
2023-08-13 00:00:00+00:00,0.00026686,0.998736,0.115252,-0.0206072,-0.0301034,0.00438584,1.40343e-06,1.75429e-07,1.2372e-07,-4.45038e-06,0.000273408,-0.000591115,0.000864523,8,0.00138526
2023-08-14 00:00:00+00:00,-0.000162121,0.998574,0.113771,-0.0190129,-0.0291017,0.0029182,9.34207e-07,1.16776e-07,5.8788e-08,1.38664e-05,-0.000174468,0.000943779,-0.00111825,8,0
2023-08-15 00:00:00+00:00,0.00219688,1.00077,0.102765,-0.0110987,-0.0218892,0.0306222,1.1184e-05,1.68442e-06,2.78685e-06,2.8725e-05,0.00218275,-0.00185977,0.00404252,8,0.00022099
2023-08-16 00:00:00+00:00,-0.00082249,0.999945,0.0813148,-0.00709721,-0.0158363,0.00431621,1.38109e-06,1.72637e-07,1.04508e-07,8.84547e-06,-0.000829481,-0.00271102,0.00188154,8.5,0.00432009
2023-08-17 00:00:00+00:00,0.00194054,1.00189,0.0750119,-0.00835691,-0.0112158,0.0654898,2.69307e-05,4.97348e-06,5.85919e-06,-2.34698e-05,0.00200218,-0.00226104,0.00426322,10.0625,0.00202723
2023-08-18 00:00:00+00:00,-9.87706e-05,1.00179,0.0370485,-0.00932581,-0.00405324,4.95464e-05,1.5857e-08,4.23665e-08,3.10826e-10,4.93597e-07,-9.90949e-05,7.3139e-05,-0.000172234,10.5833,0
2023-08-19 00:00:00+00:00,-1.97179e-05,1.00177,0.0372645,-0.0093616,-0.00477962,0,0,0,0,2.28683e-06,-2.18533e-05,0.000218639,-0.000240493,10,0
2023-08-20 00:00:00+00:00,0.000418198,1.00219,0.0376271,-0.00905244,-0.00476231,0,0,0,0,3.92281e-06,0.000414245,0.00029634,0.000117905,10,0
2023-08-21 00:00:00+00:00,0.000591425,1.00278,0.0370146,-0.00864075,-0.00480941,0,0,0,0,1.38023e-08,0.000591394,-0.000161487,0.000752881,10,0
2023-08-22 00:00:00+00:00,-0.000146122,1.00263,0.0361659,-0.00807424,-0.00514935,0,0,0,0,-5.28347e-06,-0.000140636,-0.000161398,2.07621e-05,10,0
2023-08-23 00:00:00+00:00,0.000170109,1.0028,0.0366816,-0.00837794,-0.00704441,0,0,0,0,5.30942e-07,0.000169684,0.000237372,-6.76882e-05,10,0
2023-08-24 00:00:00+00:00,0.000420374,1.00322,0.0363831,-0.00810907,-0.00753665,0,0,0,0,-6.72397e-06,0.00042712,-0.000224269,0.000651388,10,0
2023-08-25 00:00:00+00:00,0.000189465,1.00341,0.0356536,-0.00766674,-0.00814871,0,0,0,0,-3.15721e-06,0.0001927,9.91924e-05,9.3508e-05,10,0
2023-08-26 00:00:00+00:00,5.35854e-05,1.00347,0.0359558,-0.00771427,-0.00856117,0,0,0,0,-9.73207e-07,5.45997e-05,-5.95618e-05,0.000114161,10,6.52763e-06
2023-08-27 00:00:00+00:00,-7.19054e-05,1.0034,0.0359544,-0.00764345,-0.00852645,0,0,0,0,-4.44677e-06,-6.7424e-05,4.62626e-05,-0.000113687,10,0
2023-08-28 00:00:00+00:00,-0.000594631,1.0028,0.0322686,-0.00417696,-0.00513483,0.00391453,1.25276e-06,1.56595e-07,2.07161e-07,-2.45629e-05,-0.00056851,1.3299e-05,-0.000581809,9,0
2023-08-29 00:00:00+00:00,0.000240629,1.00304,0.0298201,-0.00259318,-0.00448852,0.00967034,3.094e-06,1.88094e-06,6.46608e-07,-2.68541e-06,0.000249231,0.000557293,-0.000308062,9.04167,0.00318781
2023-08-30 00:00:00+00:00,-3.76709e-05,1.003,0.0423728,-0.00506915,-0.00443004,0.0257127,8.22808e-06,1.02851e-06,7.47319e-07,-4.03076e-05,1.28038e-05,-0.000377652,0.000390456,12.5625,0.011858
2023-08-31 00:00:00+00:00,9.5485e-05,1.0031,0.0472215,-0.00749543,-0.00575692,0,0,0,0,-5.13007e-06,0.000100748,-0.000792739,0.000893487,13,0.00961559
2023-09-01 00:00:00+00:00,-0.00110956,1.00199,0.0455103,-0.00726852,-0.00499555,0.00207906,6.65255e-07,8.31569e-08,4.92351e-08,-3.79994e-06,-0.0011054,-0.000520293,-0.000585106,13,0.00560356
2023-09-02 00:00:00+00:00,-0.000359242,1.00163,0.0422796,-0.00460631,-0.00370618,0.00209865,6.71576e-07,8.3947e-08,5.7747e-08,1.87347e-06,-0.000360289,-8.02326e-05,-0.000280056,13,0.00150692
2023-09-03 00:00:00+00:00,-0.000304321,1.00132,0.0423691,-0.004767,-0.00431844,0,0,0,0,-5.34804e-06,-0.000298953,7.12569e-05,-0.00037021,13,0.00345667
2023-09-04 00:00:00+00:00,0.000142911,1.00146,0.0422312,-0.00511082,-0.00686283,0.000225804,7.2248e-08,9.03099e-09,2.43239e-09,-5.71138e-05,0.000200298,-4.69441e-05,0.000247242,12,0.000134943
2023-09-05 00:00:00+00:00,-0.000663512,1.0008,0.0412211,-0.00433836,-0.0054028,0.00279698,1.39845e-06,2.7969e-07,1.85478e-07,1.27896e-06,-0.000663069,-0.000126995,-0.000536074,11.625,0
2023-09-06 00:00:00+00:00,-0.000721611,1.00008,0.0399994,-0.00313653,-0.00360722,0,0,0,0,2.84486e-06,-0.000724661,-5.55626e-06,-0.000719105,11,0
2023-09-07 00:00:00+00:00,-6.57537e-05,1.00001,0.040427,-0.00363204,-0.00424831,0,0,0,0,3.84596e-06,-6.95504e-05,8.95105e-05,-0.000159061,11,0
2023-09-08 00:00:00+00:00,0.000211355,1.00022,0.0403466,-0.00340026,-0.00366516,0,0,0,0,6.77213e-06,0.000204629,-8.24965e-05,0.000287126,11,0
2023-09-09 00:00:00+00:00,0.000431765,1.00065,0.0402096,-0.00333269,-0.00364414,0,0,0,0,3.71906e-06,0.000428018,1.03871e-06,0.00042698,11,0
2023-09-10 00:00:00+00:00,0.000186301,1.00084,0.0399908,-0.0036512,-0.0050884,0.00208469,6.6713e-07,8.33913e-08,8.81183e-08,3.66215e-06,0.000183538,-0.000339136,0.000522674,11.375,0.00322107
2023-09-11 00:00:00+00:00,-0.000143071,1.0007,0.0367624,-0.00133832,-0.00316981,0.00764925,2.44764e-06,2.92232e-06,4.5897e-07,-1.48581e-05,-0.000122273,-0.000660827,0.000538554,11,0.00473039
2023-09-12 00:00:00+00:00,0.000508922,1.00121,0.037255,-0.00115956,-0.00261403,0,0,0,0,1.12063e-06,0.00050783,0.000689269,-0.000181439,11,0.00218005
2023-09-13 00:00:00+00:00,-0.000685984,1.00052,0.0416795,-0.00510028,-0.00718494,0.00453557,1.45135e-06,1.81419e-07,1.90689e-07,-1.1414e-06,-0.000683161,0.000199626,-0.000882787,12,0.00704428
2023-09-14 00:00:00+00:00,0.000878948,1.0014,0.042831,-0.00562218,-0.00780236,0,0,0,0,-3.80421e-06,0.000882494,0.000452809,0.000429685,12,0.00663714
2023-09-15 00:00:00+00:00,-0.000435963,1.00096,0.0455243,-0.00712161,-0.008193,0.00233788,7.48319e-07,9.35398e-08,1.25567e-07,-0.000175936,-0.000258987,0.000672206,-0.000931193,12.9167,0.00660398
2023-09-16 00:00:00+00:00,4.30749e-05,1.00101,0.0461634,-0.00735685,-0.012229,0,0,0,0,-0.000235423,0.000279031,-0.000133819,0.000412849,13,0.00259026
2023-09-17 00:00:00+00:00,0.00112232,1.00213,0.0450864,-0.00694446,-0.0130845,0,0,0,0,-0.000174543,0.0012965,-0.000385433,0.00168194,13,0.00218947
2023-09-18 00:00:00+00:00,-0.000221688,1.00191,0.0464483,-0.00649307,-0.0141081,0.00417397,1.33576e-06,1.6697e-07,2.20533e-07,-8.7145e-05,-0.000132699,0.00049469,-0.000627389,13.2708,0.00739782
2023-09-19 00:00:00+00:00,-0.00169359,1.00021,0.0484852,-0.0048077,-0.0144876,0.00439203,1.81942e-06,3.13703e-07,1.80027e-07,-0.000130756,-0.00156171,0.000327986,-0.0018897,13.1875,0.00630526
2023-09-20 00:00:00+00:00,-0.000332116,0.999878,0.045225,-0.00181981,-0.00532491,0.00213487,6.83056e-07,8.5382e-08,9.84519e-08,-1.77923e-05,-0.000313404,-0.000321826,8.42156e-06,13,0.000273258
2023-09-21 00:00:00+00:00,3.79831e-05,0.999916,0.0440046,-0.00153544,-0.00389359,0,0,0,0,-4.82719e-06,4.28705e-05,-0.00048082,0.000523691,13,0
2023-09-22 00:00:00+00:00,-0.000525154,0.999391,0.0441534,-0.0018027,-0.00403045,0,0,0,0,-1.99913e-06,-0.000523222,-1.01769e-05,-0.000513046,13,0
2023-09-23 00:00:00+00:00,-0.000130291,0.999261,0.0442845,-0.00197277,-0.00470286,0,0,0,0,-7.0072e-07,-0.000129535,-2.95173e-05,-0.000100018,13,0
2023-09-24 00:00:00+00:00,0.000437901,0.999698,0.0439744,-0.00188907,-0.00461719,0,0,0,0,1.53479e-06,0.000436338,-0.000352037,0.000788375,13,0
2023-09-25 00:00:00+00:00,0.000122125,0.99982,0.0416752,0.000180797,-0.0028488,0.00200524,6.41626e-07,3.05365e-07,4.48111e-08,-1.68085e-06,0.000124847,0.000351298,-0.00022645,12,0
2023-09-26 00:00:00+00:00,-0.0001829,0.999638,0.0419813,0.000316917,-0.00250216,0,0,0,0,-1.77597e-05,-0.00016512,0.000120372,-0.000285492,12,0
2023-09-27 00:00:00+00:00,0.00046707,1.0001,0.0418497,0.00124864,-0.000430958,0.00118271,5.91351e-07,1.1827e-07,2.31655e-08,-2.1348e-05,0.000489189,0.000500291,-1.11021e-05,11.3125,0
2023-09-28 00:00:00+00:00,0.0007852,1.00089,0.0419496,0.00242624,0.00117291,0,0,0,0,1.65124e-06,0.000783351,0.000818776,-3.54246e-05,11,0
2023-09-29 00:00:00+00:00,0.000196074,1.00109,0.0425017,0.00258564,0.000936776,0,0,0,0,2.69189e-06,0.000193551,0.000111064,8.24868e-05,11,0
2023-09-30 00:00:00+00:00,-0.000331751,1.00075,0.042472,0.00262131,0.00134268,0,0,0,0,-2.25582e-07,-0.000331538,-0.000181749,-0.000149789,11,0
2023-10-01 00:00:00+00:00,-0.000211871,1.00054,0.0431038,0.00235277,0.000219503,0.00204496,6.54402e-07,8.18003e-08,5.63785e-09,2.02954e-06,-0.00021314,0.000839124,-0.00105226,11,0
2023-10-02 00:00:00+00:00,0.000340962,1.00088,0.0382617,0.00828878,0.00598939,0.0078129,2.49998e-06,8.46738e-07,6.79242e-07,9.98425e-06,0.000335049,-0.000287886,0.000622936,10,0
2023-10-03 00:00:00+00:00,-1.33269e-05,1.00087,0.0372185,0.00816757,0.00618715,0,0,0,0,5.82107e-07,-1.38257e-05,-0.000345864,0.000332038,10,0
2023-10-04 00:00:00+00:00,0.000288361,1.00116,0.0364084,0.00848417,0.00496606,0,0,0,0,2.96501e-06,0.000285416,2.2734e-05,0.000262682,10,1.13791e-05
2023-10-05 00:00:00+00:00,-0.000272634,1.00089,0.0365238,0.00838174,0.00529984,0,0,0,0,2.9222e-06,-0.000275535,-0.000225624,-4.99114e-05,10,0.000368698
2023-10-06 00:00:00+00:00,-0.000577324,1.00031,0.0366203,0.00804325,0.0045988,0,0,0,0,3.49516e-06,-0.000580938,-0.000209332,-0.000371606,10,0.000367931
2023-10-07 00:00:00+00:00,0.000280522,1.00059,0.0365167,0.00795693,0.0044286,0,0,0,0,1.85161e-06,0.000278681,-9.62656e-05,0.000374946,10,0.000212197
2023-10-08 00:00:00+00:00,-0.000161091,1.00043,0.0360965,0.0080485,0.00423956,0,0,0,0,1.30113e-06,-0.000162392,-0.000170047,7.65482e-06,10,0.00433849
2023-10-09 00:00:00+00:00,-0.000531084,0.999896,0.0318135,0.0109959,0.00826864,0.00350384,1.12116e-06,7.35256e-07,3.56685e-07,3.14344e-06,-0.000532089,-0.00084285,0.000310762,9,0.00233236
2023-10-10 00:00:00+00:00,-8.26992e-05,0.999813,0.0312844,0.010835,0.00831039,0,0,0,0,2.03858e-06,-8.47177e-05,-0.000201868,0.00011715,9,0.00449304
2023-10-11 00:00:00+00:00,-8.68894e-05,0.999726,0.0307741,0.0107244,0.00825709,0,0,0,0,9.9329e-07,-8.7854e-05,-0.000209804,0.00012195,9,0.00445649
2023-10-12 00:00:00+00:00,-0.000208813,0.999517,0.0289107,0.00876394,0.00658593,0.00175342,8.76603e-07,7.13846e-07,5.35804e-08,5.48342e-07,-0.000207689,-0.00017857,-2.91186e-05,8.04167,0.000946474
2023-10-13 00:00:00+00:00,0.00012336,0.999641,0.0289556,0.00871977,0.00668756,0,0,0,0,4.11713e-06,0.00011926,0.000183295,-6.4035e-05,8,0
2023-10-14 00:00:00+00:00,-6.30477e-05,0.999578,0.0291016,0.00886804,0.00683895,0,0,0,0,3.33282e-06,-6.63743e-05,-5.50975e-05,-1.12768e-05,8,0
2023-10-15 00:00:00+00:00,-4.39187e-05,0.999534,0.0291231,0.00876284,0.00587814,0,0,0,0,6.21081e-07,-4.45322e-05,2.40515e-05,-6.85837e-05,8,0
2023-10-16 00:00:00+00:00,0.000349001,0.999883,0.0241981,0.0149626,0.0148168,0.00809792,3.30899e-06,4.66315e-06,3.80728e-07,2.98391e-06,0.000354894,0.000829539,-0.000474645,6.5625,0.000450955
2023-10-17 00:00:00+00:00,-0.000258452,0.999624,0.0221027,0.0170204,0.0187354,0,0,0,0,-1.37052e-06,-0.000257068,-0.000334291,7.72228e-05,6,0.00541099
2023-10-18 00:00:00+00:00,-8.45138e-05,0.99954,0.026864,0.0121438,0.0122472,0.00965771,3.09056e-06,2.0358e-06,6.15824e-07,2.74071e-06,-8.14767e-05,-0.000135529,5.40527e-05,7.45833,0.00858929
2023-10-19 00:00:00+00:00,0.000191569,0.999731,0.0375382,0.00845463,0.00647328,0.00716723,2.29355e-06,2.86694e-07,3.42695e-07,4.29469e-06,0.000190414,0.000513658,-0.000323244,9,0.00898404
2023-10-20 00:00:00+00:00,-0.00112118,0.99861,0.0430585,0.00740538,0.00540867,0.00207532,6.64042e-07,8.30053e-08,9.03673e-08,-3.31e-06,-0.0011172,0.000175984,-0.00129319,9,0.00973928
2023-10-21 00:00:00+00:00,-0.000173142,0.998437,0.0407752,0.00959873,0.00839302,0.00628077,3.13954e-06,6.27908e-07,6.81417e-07,2.20312e-08,-0.000168518,0.000365289,-0.000533807,8.5625,0.00820359
2023-10-22 00:00:00+00:00,0.000140393,0.998578,0.0374409,0.0131434,0.012277,0,0,0,0,3.44038e-06,0.000137065,8.08252e-05,5.62402e-05,8,0.00693352
2023-10-23 00:00:00+00:00,0.000770784,0.999347,0.0405648,0.0114565,0.00906512,0.00419041,1.34108e-06,1.67635e-07,1.56954e-07,-6.44127e-05,0.000836812,0.00210989,-0.00127308,9,0.00701375
2023-10-24 00:00:00+00:00,0.000122005,0.999469,0.0652241,0.00317793,-0.000642339,0.0659308,2.10988e-05,2.83998e-06,2.49483e-06,-5.96805e-05,0.000208426,-0.000324332,0.000532758,13.8333,0.0106652
2023-10-25 00:00:00+00:00,-0.00217375,0.997297,0.0986033,0.0017908,-0.00357517,0.0473773,1.83923e-05,2.97365e-06,4.83472e-06,-0.000436885,-0.00170947,0.00253937,-0.00424884,16,0.00889084
2023-10-26 00:00:00+00:00,-0.000683867,0.996615,0.0934348,0.00148912,-0.00523439,0.00558492,1.78769e-06,2.23461e-07,4.14753e-07,-0.000146191,-0.000534374,-0.000609165,7.47909e-05,16,0.00420312
2023-10-27 00:00:00+00:00,-0.000863749,0.995754,0.0890773,0.00229111,-0.00411665,0.00420157,1.34432e-06,1.6804e-07,2.13901e-07,-3.07463e-05,-0.000831036,-0.00174891,0.000917878,16,0.00255369
2023-10-28 00:00:00+00:00,0.000528802,0.99628,0.0876506,0.00427321,-0.00247878,0,0,0,0,-9.48434e-07,0.000529802,0.000703271,-0.00017347,16,0.00410419
2023-10-29 00:00:00+00:00,-0.000481097,0.995801,0.0878089,0.00446063,-0.00204403,0,0,0,0,-3.93898e-06,-0.000477131,0.000115808,-0.00059294,16,0.00778719
2023-10-30 00:00:00+00:00,-0.00114661,0.994659,0.0788005,-0.00687629,-0.011126,0.0104194,3.33432e-06,4.1679e-07,7.60284e-07,-1.68073e-05,-0.00112565,0.000246043,-0.00137169,15,0.00521348
2023-10-31 00:00:00+00:00,-0.00158638,0.993081,0.0760721,-0.00452535,-0.0087917,0.00512722,2.18226e-06,3.85646e-07,8.57248e-08,-2.13712e-05,-0.0015633,-0.000384775,-0.00117853,14.4583,7.06083e-05
2023-11-01 00:00:00+00:00,-0.000725749,0.992361,0.0674602,0.000365479,-0.00223156,0.0205592,8.28478e-06,1.44794e-06,3.81535e-07,-2.10925e-06,-0.000713565,0.000378522,-0.00109209,13.75,0
2023-11-02 00:00:00+00:00,-0.000559706,0.991805,0.0575027,0.003839,0.00225837,0.00434501,1.81013e-06,9.18784e-07,1.34506e-08,3.94021e-06,-0.000560964,-0.0008875,0.000326536,13.125,0.000209899
2023-11-03 00:00:00+00:00,0.000517193,0.992318,0.0552927,0.0032857,0.00199956,0,0,0,0,-1.84204e-07,0.000517371,0.000596871,-7.94993e-05,13,0.00332651
2023-11-04 00:00:00+00:00,-0.000617576,0.991705,0.0567439,0.00309982,0.00171578,0,0,0,0,-2.69425e-06,-0.000614951,0.000455235,-0.00107019,13,0.0013064
2023-11-05 00:00:00+00:00,-0.000328772,0.991379,0.0565646,0.00253302,0.00193121,0.00410293,1.31288e-06,1.6411e-07,5.48018e-08,1.95952e-07,-0.000327401,0.000254278,-0.000581679,13,0
2023-11-06 00:00:00+00:00,-0.00120871,0.990181,0.0512812,0.0041216,0.00413116,0.00629188,2.0136e-06,1.89719e-06,5.08771e-07,1.92078e-05,-0.00122393,-8.95635e-05,-0.00113437,12,0
2023-11-07 00:00:00+00:00,0.000378049,0.990555,0.0503898,0.00269033,0.00257495,0,0,0,0,2.30395e-05,0.000355019,-0.000161723,0.000516742,12,0
2023-11-08 00:00:00+00:00,0.000449536,0.991,0.0486845,0.00517227,0.00448337,0.00552422,2.76257e-06,5.52515e-07,1.60639e-07,3.21466e-05,0.00042087,0.000826106,-0.000405236,11.5833,0
2023-11-09 00:00:00+00:00,-0.000456075,0.990549,0.046676,0.00849162,0.00727934,0,0,0,0,3.1639e-05,-0.000487509,0.000163895,-0.000651404,11,0
2023-11-10 00:00:00+00:00,8.85503e-05,0.990636,0.0472623,0.00821306,0.0070805,0.00546511,2.32445e-06,3.17525e-06,2.12017e-07,5.58074e-06,8.88515e-05,0.000655359,-0.000566508,10.9375,0
2023-11-11 00:00:00+00:00,0.000979028,0.991606,0.0455887,0.00941513,0.00711856,0,0,0,0,-1.18885e-05,0.000990698,0.000861709,0.000128989,10,0
2023-11-12 00:00:00+00:00,0.00187928,0.99347,0.0438447,0.00948355,0.00764514,0.00703232,2.25059e-06,2.67783e-06,7.18365e-07,-1.89761e-05,0.00190255,0.00156995,0.000332603,10,0
2023-11-13 00:00:00+00:00,0.000325014,0.993792,0.0316535,0.00061979,-0.00026628,0.00884622,2.83169e-06,3.4212e-06,1.1691e-06,6.83636e-07,0.000331787,-0.000163606,0.000495393,8,0
2023-11-14 00:00:00+00:00,-0.000288657,0.993506,0.0311369,0.000478019,-0.000394528,0,0,0,0,2.64551e-06,-0.000291299,-0.00021305,-7.82488e-05,8,0
