,gain_share
amihud_long,1.1394852302259126
cs_vol_level,1.0384057460831744
log_dollar_volume,0.8371986014144777
cs_amihud_long,0.5525499971332994
trade_size,0.5471727594344337
cs_beta,0.5112597188400362
funding_sum_43200m,0.4977969109602477
ivol_share,0.4458355882997357
beta,0.4411064394886782
volvol_long,0.4398939705657871
ret_43200m,0.4385130893961859
cs_funding_sum_43200m,0.43650957234205834
kurt_long,0.4272979530516945
mkt_vol,0.4001160827000538
iret_43200m,0.37651002738785
funding_sum_10080m,0.3734034243513911
dow_cos,0.36335065198984495
dist_high_43200m,0.3508849789172205
mkt_funding,0.34952886074729206
dist_low_43200m,0.3441122132468408
trend_5760m_20160m,0.3353855339139996
cs_funding_sum_10080m,0.2836184807071565
skew_long,0.27638006947948884
ret_20160m,0.26314949944919064
vol_level,0.2546629930837539
cs_iret_20160m,0.25368995426635305
cs_ret_43200m,0.24926016057986702
dvol_surprise_long,0.24771633097197293
mkt_ret_10080m,0.24756817481342952
cs_funding_sum_4320m,0.23281423768147655
cs_range_pos_43200m,0.22656223943287668
iret_20160m,0.22031301496183614
range_pos_43200m,0.21797968011486143
funding_sum_4320m,0.21706365213571122
cs_iret_43200m,0.20670579798372107
cs_funding_sum_480m,0.20512981056087365
semivar_asym,0.19183355928455104
ret_10080m,0.18692704337887225
cs_ret_20160m,0.18470091764742888
gk_vol_day,0.18452335726128866
cs_trend_1440m_5760m,0.183473136902623
cs_funding_sum_1440m,0.1810400823232547
dist_high_10080m,0.17049778803718432
trend_1440m_5760m,0.16895871192234654
dispersion,0.16823925062477305
ret_1440m,0.16595933816366523
funding_z,0.1642309820316316
flow_ret_div,0.151353330321349
funding_sum_1440m,0.13500283260338586
cs_premium,0.12995728217138558
premium_ema_day,0.12235883458820611
cs_ret_10080m,0.12053145470730307
range_pos_10080m,0.11810297281744271
iret_10080m,0.11738626875094839
cs_ret_1440m,0.11190535055044312
cs_iret_10080m,0.10807221468144168
dist_low_10080m,0.10210312545554336
iret_4320m,0.09489303694844523
iret_1440m,0.0940582941129408
flow_1440m,0.08794889870005644
dow_sin,0.08596757106971709
mkt_ret_4320m,0.08097873435177856
funding_last,0.07360715994675206
ret_4320m,0.07185839218639813
cs_ret_4320m,0.07182206774614264
clv_day,0.06499719176004831
park_ratio_4320m,0.059944607498551294
cs_ret_480m,0.05815925406028254
hl_spread_proxy,0.053909180428918305
iret_480m,0.04605561513817691
mkt_flow_day,0.04073027609118559
funding_sum_480m,0.03869303086362751
cs_flow_1440m,0.03692384878542894
mkt_premium,0.03553634668183275
btc_minus_mkt_day,0.03290460450411992
dist_low_1440m,0.030682715442291085
park_ratio_1440m,0.02820163478233482
trend_240m_1440m,0.027290142139073385
mkt_vol_ratio,0.027045653887837737
flow_z_long,0.02373834784495541
dist_high_1440m,0.022103646861035744
rv_ratio_1440m,0.021620844900091092
iret_240m,0.020821809961200338
funding_chg_day,0.019948954812447156
premium_z,0.01972078450263671
mkt_ret_1440m,0.019398691078620328
ret_480m,0.01920394991486559
cs_dvol_surprise_day,0.01911706018071692
range_pos_1440m,0.018789228990776542
rv_ratio_4320m,0.018387451881389655
premium,0.01589860055057667
cs_flow_z_long,0.01509639594084604
dvol_surprise_day,0.014945285649345816
flow_persist,0.014628521823172288
breadth_day,0.014209951258066558
iret_60m,0.011942803354749527
iret_120m,0.009246861597490105
cs_flow_persist,0.007248104975710569
cs_ret_240m,0.006227017481268813
cs_ret_120m,0.0022608668132720936
park_ratio_240m,0.0017677223266667303
mkt_ret_240m,0.001485657860822406
iret_30m,0.0009088951240313857
cs_ret_60m,0.0008679980630818369
cs_ret_30m,0.0005050904808209947
cs_flow_240m,0.0004943144172121199
rv_ratio_240m,0.00040393147449580143
hour_cos,0.00022883090496833103
ret_240m,0.00014703545452665801
flow_240m,0.00010603121387444329
btc_minus_mkt_4h,8.160654698266721e-05
ret_60m,8.142548633696454e-05
premium_chg_8h,3.945506133312064e-05
ret_120m,1.6149391055855955e-05
mkt_ret_30m,1.313775676488637e-05
ret_30m,0.0
flow_60m,0.0
cs_flow_60m,0.0
mkt_ret_60m,0.0
cs_premium_chg_8h,0.0
hour_sin,0.0
to_funding,0.0
