,return
2023-07-31 00:00:00+00:00,0
2023-08-01 00:00:00+00:00,0
2023-08-02 00:00:00+00:00,0
2023-08-03 00:00:00+00:00,0
2023-08-04 00:00:00+00:00,0
2023-08-05 00:00:00+00:00,0
2023-08-06 00:00:00+00:00,0
2023-08-07 00:00:00+00:00,0
2023-08-08 00:00:00+00:00,0
2023-08-09 00:00:00+00:00,0
2023-08-10 00:00:00+00:00,0
2023-08-11 00:00:00+00:00,0
2023-08-12 00:00:00+00:00,0
2023-08-13 00:00:00+00:00,0
2023-08-14 00:00:00+00:00,0
2023-08-15 00:00:00+00:00,0
2023-08-16 00:00:00+00:00,0
2023-08-17 00:00:00+00:00,0
2023-08-18 00:00:00+00:00,0
2023-08-19 00:00:00+00:00,0
2023-08-20 00:00:00+00:00,0
2023-08-21 00:00:00+00:00,0
2023-08-22 00:00:00+00:00,0
2023-08-23 00:00:00+00:00,0
2023-08-24 00:00:00+00:00,0
2023-08-25 00:00:00+00:00,0
2023-08-26 00:00:00+00:00,0
2023-08-27 00:00:00+00:00,0
2023-08-28 00:00:00+00:00,0
2023-08-29 00:00:00+00:00,0
2023-08-30 00:00:00+00:00,0
2023-08-31 00:00:00+00:00,0
2023-09-01 00:00:00+00:00,0
2023-09-02 00:00:00+00:00,-0.000145579
2023-09-03 00:00:00+00:00,0.000115502
2023-09-04 00:00:00+00:00,0.000462616
2023-09-05 00:00:00+00:00,0.000162098
2023-09-06 00:00:00+00:00,-6.05881e-05
2023-09-07 00:00:00+00:00,0.00182445
2023-09-08 00:00:00+00:00,-1.16109e-05
2023-09-09 00:00:00+00:00,0.000617572
2023-09-10 00:00:00+00:00,0.00488131
2023-09-11 00:00:00+00:00,-7.34524e-05
2023-09-12 00:00:00+00:00,0.00462574
2023-09-13 00:00:00+00:00,0.00283001
2023-09-14 00:00:00+00:00,0.00612029
2023-09-15 00:00:00+00:00,0.00942939
2023-09-16 00:00:00+00:00,0.00227823
2023-09-17 00:00:00+00:00,-0.00993799
2023-09-18 00:00:00+00:00,0.0018183
2023-09-19 00:00:00+00:00,0.00813674
