,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2023-07-31 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126093
2023-08-01 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69622e-06
2023-08-02 00:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-03 00:00:00+00:00,-1.3531e-06,0.999999,1.69998e-05,1.69998e-05,1.51558e-05,0.000272466,8.7189e-08,1.08986e-08,1.7864e-09,-2.72927e-08,-1.22593e-06,-1.22593e-06,0,0.0625,0,0.000242129
2023-08-04 00:00:00+00:00,5.52808e-05,1.00005,0.00616113,0.000557798,-0.000200964,0.0417278,1.3353e-05,1.66912e-06,5.21844e-07,3.48936e-07,7.04758e-05,5.82328e-05,1.22431e-05,4.95833,0,0.00185736
2023-08-05 00:00:00+00:00,-0.00059107,0.999463,0.0862066,0.00891258,-0.00011887,0.0682338,2.18352e-05,3.03728e-06,8.35493e-07,-6.11614e-07,-0.000564734,-0.000375255,-0.000189479,17.4792,0,0.00392451
2023-08-06 00:00:00+00:00,9.35512e-05,0.999556,0.0741307,0.00680242,0.000853503,0.01105,3.53601e-06,4.42001e-07,1.1073e-07,-2.59406e-07,9.79823e-05,-6.7414e-05,0.000165396,19.75,0,0.000956387
2023-08-07 00:00:00+00:00,-0.000177857,0.999379,0.0682802,0.0090631,0.00404455,0.0287107,9.18739e-06,1.83573e-06,3.40364e-07,-8.55981e-06,-0.000157734,4.22947e-05,-0.000200861,21.9375,0,0.0015862
2023-08-08 00:00:00+00:00,-0.000366054,0.999013,0.0636271,0.00885672,0.00310705,0.00806029,2.57923e-06,5.80758e-07,9.83774e-08,2.06198e-06,-0.000364858,0.000231782,-0.00059664,23,0,0.000806396
2023-08-09 00:00:00+00:00,-0.000392668,0.99862,0.0594473,0.00893673,0.00381944,0.00157566,5.04198e-07,1.54976e-07,1.85e-08,-1.04865e-06,-0.000390972,-0.000221709,-0.000169263,23,0,0
2023-08-10 00:00:00+00:00,0.000325088,0.998945,0.0583602,0.00837908,0.00370443,0.000498924,1.59656e-07,6.46213e-08,4.08112e-09,-1.76949e-06,0.00032707,0.000132113,0.000194958,23,0,0
2023-08-11 00:00:00+00:00,-7.07717e-05,0.998874,0.0579973,0.00814542,0.0034086,0.000298095,9.53871e-08,1.19234e-08,1.73563e-09,1.02682e-06,-7.16766e-05,-3.031e-06,-6.86456e-05,23,0,0
2023-08-12 00:00:00+00:00,-0.000186089,0.998689,0.0575666,0.00763533,0.00303388,0.000579597,1.85478e-07,2.31848e-08,4.85333e-09,3.37807e-06,-0.000189243,-9.59577e-06,-0.000179647,23,0,0
2023-08-13 00:00:00+00:00,0.000152157,0.99884,0.0573717,0.00768088,0.00336637,0.000578547,1.85146e-07,2.31432e-08,4.23669e-09,2.19512e-07,0.000152162,-0.000145363,0.000297525,23,0,0
2023-08-14 00:00:00+00:00,-7.63042e-05,0.998764,0.0482955,0.0026005,-0.000848429,0.00934908,2.99188e-06,7.46699e-07,1.81057e-07,8.69053e-07,-7.32304e-05,0.000129447,-0.000183179,20,0,0
2023-08-15 00:00:00+00:00,0.000402973,0.999167,0.0468967,0.0027515,-0.000408331,0.0062134,1.98862e-06,3.14144e-07,1.48469e-07,5.3334e-06,0.00040007,-0.000822934,0.001223,20.3542,0,0
2023-08-16 00:00:00+00:00,2.01307e-05,0.999187,0.045159,0.00515467,-0.000260211,0.00147715,4.72729e-07,5.90911e-08,6.61907e-09,1.94061e-06,1.87591e-05,-0.00112679,0.00114555,22,0,0
2023-08-17 00:00:00+00:00,0.000366648,0.999553,0.0418643,0.00450732,-8.16206e-05,0.0137106,5.72141e-06,1.16032e-06,6.37987e-07,4.20411e-06,0.000370036,-0.00204494,0.00241497,21.6458,5,0
2023-08-18 00:00:00+00:00,4.22017e-05,0.999595,0.0291826,0.00363022,0.000207108,0.00121963,3.90282e-07,4.87852e-08,1.97269e-08,3.85921e-06,3.88285e-05,0.000283715,-0.000244887,19.9375,0,0
2023-08-19 00:00:00+00:00,-9.61448e-07,0.999594,0.029646,0.00383399,0.000474483,0.0014625,4.67998e-07,5.84997e-08,3.13551e-08,-1.88494e-06,1.49552e-06,0.000408262,-0.000406766,20.3333,0,0
2023-08-20 00:00:00+00:00,-0.000246754,0.999348,0.0301418,0.00392809,0.00064273,0,0,0,0,1.97326e-06,-0.000248742,-0.000143037,-0.000105705,22,0,0
2023-08-21 00:00:00+00:00,6.46354e-05,0.999412,0.0240239,0.00125234,-0.00118915,0.00578582,1.85138e-06,2.31423e-07,3.43284e-07,-7.78605e-07,6.78524e-05,-0.000125281,0.000192889,20,0,0
2023-08-22 00:00:00+00:00,-5.67305e-05,0.999356,0.0238374,0.00130111,-0.000860194,0.00072942,2.33417e-07,2.91772e-08,1.27562e-08,-1.79451e-06,-5.46319e-05,-0.000176775,0.000122143,20.9167,0,0
2023-08-23 00:00:00+00:00,-5.75737e-05,0.999298,0.0236152,0.00143263,-0.000483081,0,0,0,0,2.81949e-06,-6.03865e-05,0.000224638,-0.000285025,21,0,0
2023-08-24 00:00:00+00:00,0.000168815,0.999467,0.02361,0.00164628,-0.000171131,0.00105045,3.36192e-07,4.2024e-08,4.45731e-08,4.02192e-06,0.000165227,-0.000188791,0.000354018,21,0,2.42692e-07
2023-08-25 00:00:00+00:00,-0.000198259,0.999269,0.021577,0.00223134,0.000821586,0.000345079,1.1042e-07,1.39053e-08,3.89719e-09,3.76947e-06,-0.000201911,-0.000291894,8.99835e-05,21,0,0.00104106
2023-08-26 00:00:00+00:00,0.000178706,0.999447,0.0206714,0.000924008,-0.000156002,0.00601584,1.92509e-06,2.87595e-07,6.60814e-08,2.92094e-06,0.000178054,8.85302e-05,8.95238e-05,21,0,0.00156873
2023-08-27 00:00:00+00:00,0.000142738,0.99959,0.0204383,0.000166258,-0.000603602,0.00135915,4.3493e-07,1.59522e-07,1.34391e-08,8.99972e-06,0.00013434,0.000192545,-5.82051e-05,21.3125,0,0.00223016
2023-08-28 00:00:00+00:00,-0.000198502,0.999391,0.017347,-0.00104918,-0.00185697,0.0035353,1.13127e-06,1.91468e-07,7.65323e-08,3.47883e-06,-0.000200596,-0.000224025,2.14524e-05,20,0,0.000268661
2023-08-29 00:00:00+00:00,-0.000112574,0.999279,0.0189956,-0.00039909,-0.00142801,0.0138461,4.43063e-06,1.09203e-06,2.00271e-07,3.01084e-06,-0.000109852,0.000322589,-0.000432441,21.5625,0,0.00156855
2023-08-30 00:00:00+00:00,3.2353e-05,0.999311,0.0226053,0.00137623,-0.000316619,0.00335336,1.07308e-06,7.0065e-07,4.15509e-08,3.40253e-06,3.07718e-05,-0.000172455,0.000203227,23.1042,0,0.00231571
2023-08-31 00:00:00+00:00,0.000426746,0.999738,0.0248145,0.000381198,-0.00104174,0.0138319,4.42631e-06,1.32009e-06,2.99472e-07,2.02594e-06,0.000430696,-0.000102668,0.000533364,24.4583,0,0.00314079
2023-09-01 00:00:00+00:00,0.000252587,0.99999,0.0358255,0.000593123,-0.000999818,0.0340482,1.08955e-05,1.86287e-06,4.72607e-07,7.07598e-07,0.000265118,-0.000178682,0.000443799,25.5833,0,0.00384455
2023-09-02 00:00:00+00:00,-0.000622452,0.999368,0.0804033,0.00243944,-0.00182318,0.0577482,1.84793e-05,5.00349e-06,7.19961e-07,4.82763e-06,-0.000603127,-0.000441889,-0.000161238,28.375,0,0.00697054
2023-09-03 00:00:00+00:00,0.000212022,0.99958,0.10364,0.00168159,-0.00300084,0.0139214,4.45479e-06,9.91573e-07,1.63904e-07,6.18107e-06,0.000211662,-9.2071e-05,0.000303733,29,0,0.00746484
2023-09-04 00:00:00+00:00,0.000823245,1.0004,0.119339,0.00671418,-0.000726286,0.0371971,1.19039e-05,2.68703e-06,7.4553e-07,2.1434e-05,0.000817023,0.000674594,0.000141099,28.9792,0,0.00638744
2023-09-05 00:00:00+00:00,-0.000554699,0.999848,0.141959,0.00939101,-0.00220092,0.0361476,1.1567e-05,2.94687e-06,5.5182e-07,3.63862e-05,-0.000575957,0.000523708,-0.00109967,29.7292,0,0.00756996
2023-09-06 00:00:00+00:00,0.000720236,1.00057,0.149863,0.00947698,-0.00161094,0.0201548,6.44982e-06,1.57427e-06,2.40922e-07,3.2214e-05,0.000696204,-0.000125281,0.000821486,30,0,0.00629686
2023-09-07 00:00:00+00:00,0.00224314,1.00281,0.184067,0.0156098,0.00131388,0.0735646,2.35426e-05,3.82871e-06,1.12521e-06,0.000111123,0.00215883,0.00322041,-0.00106158,30,0,0.00859815
2023-09-08 00:00:00+00:00,0.000157429,1.00297,0.215174,0.0162949,0.00495245,0.0346412,1.10854e-05,1.69918e-06,5.393e-07,0.000516588,-0.000345074,-0.00155499,0.00120991,30,0,0.00921811
2023-09-09 00:00:00+00:00,0.000206036,1.00318,0.232672,0.0124684,0.00718088,0.0383597,1.22753e-05,2.06334e-06,3.93159e-07,0.000611661,-0.000389928,-0.00102369,0.000633766,30,0,0.00977496
2023-09-10 00:00:00+00:00,0.00526011,1.00845,0.226079,0.0122329,4.80213e-05,0.100856,3.2289e-05,8.51542e-06,2.19279e-06,0.000737051,0.00455495,-0.00132397,0.00587892,30,0,0.00936556
2023-09-11 00:00:00+00:00,-0.000184246,1.00827,0.254859,0.0220368,0.0141629,0.187055,5.9843e-05,1.63249e-05,9.14397e-06,0.000407949,-0.000505513,-0.00526906,0.00472461,30,0,0.0111336
2023-09-12 00:00:00+00:00,0.00256667,1.01086,0.267355,0.0218859,0.0081951,0.0991208,3.17156e-05,4.83777e-06,2.11326e-06,0.00105937,0.00154445,0.00439482,-0.00285037,30,0,0.0108181
2023-09-13 00:00:00+00:00,0.00148965,1.01236,0.250986,0.020685,0.00481532,0.0741906,2.37435e-05,6.84281e-06,1.38117e-06,0.00118071,0.000344417,0.00278493,-0.00244051,30,0,0.0111915
