,"{'holding_horizon': 16, 'cost_aversion': 0.5}","{'holding_horizon': 16, 'cost_aversion': 1.0}","{'holding_horizon': 16, 'cost_aversion': 2.0}","{'holding_horizon': 48, 'cost_aversion': 0.5}","{'holding_horizon': 48, 'cost_aversion': 1.0}","{'holding_horizon': 48, 'cost_aversion': 2.0}","{'holding_horizon': 96, 'cost_aversion': 0.5}","{'holding_horizon': 96, 'cost_aversion': 1.0}","{'holding_horizon': 96, 'cost_aversion': 2.0}"
2023-07-31 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-08-01 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-08-02 00:00:00+00:00,0,0,0,0,0,0,0,0,0
2023-08-03 00:00:00+00:00,-1.221e-05,0,0,0,0,0,0,0,0
2023-08-04 00:00:00+00:00,0.000435778,9.04135e-05,-2.48352e-05,0,0,0,0,0,0
2023-08-05 00:00:00+00:00,-0.00301842,-0.00177677,-0.000376533,0,0,0,0,0,0
2023-08-06 00:00:00+00:00,0.000625205,0.000412793,-0.000130648,0,0,0,0,0,0
2023-08-07 00:00:00+00:00,-0.00116079,-0.000922424,0.000450921,0,0,0,0,0,0
2023-08-08 00:00:00+00:00,-0.00138471,-0.00165817,-0.000205647,0,0,0,0,0,0
2023-08-09 00:00:00+00:00,-0.00165861,-0.00178529,0.000122552,0,0,0,0,0,0
2023-08-10 00:00:00+00:00,0.000817792,0.00170554,0.00069313,0,0,0,0,0,0
2023-08-11 00:00:00+00:00,-0.000109384,-0.00042797,-0.000397668,0,0,0,0,0,0
2023-08-12 00:00:00+00:00,-0.000595628,-0.000949624,-0.00027879,0,0,0,0,0,0
2023-08-13 00:00:00+00:00,0.00064876,0.000340434,0.000268025,0,0,0,0,0,0
2023-08-14 00:00:00+00:00,0.000147005,-0.000565999,-0.000372875,0,0,0,0,0,0
2023-08-15 00:00:00+00:00,0.0017159,0.0019191,0.000217446,0,0,0,0,0,0
2023-08-16 00:00:00+00:00,0.000208202,0.000763476,-0.000495977,0,0,0,0,0,0
2023-08-17 00:00:00+00:00,0.00119541,0.00188447,-0.00012881,0,0,0,0,0,0
2023-08-18 00:00:00+00:00,0.000365373,0.000371841,-0.000309352,0,0,0,0,0,0
2023-08-19 00:00:00+00:00,-0.00051792,0.000127679,0.000561271,0,0,0,0,0,0
2023-08-20 00:00:00+00:00,-0.000704041,-0.00144233,-0.000350911,0,0,0,0,0,0
2023-08-21 00:00:00+00:00,0.000237042,0.000169177,-0.000112396,0,0,0,0,0,0
