,return
2023-07-31 00:00:00+00:00,0
2023-08-01 00:00:00+00:00,0
2023-08-02 00:00:00+00:00,0
2023-08-03 00:00:00+00:00,-1.3531e-06
2023-08-04 00:00:00+00:00,5.52808e-05
2023-08-05 00:00:00+00:00,-0.00059107
2023-08-06 00:00:00+00:00,9.35512e-05
2023-08-07 00:00:00+00:00,-0.000177857
2023-08-08 00:00:00+00:00,-0.000366054
2023-08-09 00:00:00+00:00,-0.000392668
2023-08-10 00:00:00+00:00,0.000325088
2023-08-11 00:00:00+00:00,-7.07717e-05
2023-08-12 00:00:00+00:00,-0.000186089
2023-08-13 00:00:00+00:00,0.000152157
2023-08-14 00:00:00+00:00,-7.63042e-05
2023-08-15 00:00:00+00:00,0.000402973
2023-08-16 00:00:00+00:00,2.01307e-05
2023-08-17 00:00:00+00:00,0.000366648
2023-08-18 00:00:00+00:00,4.22017e-05
2023-08-19 00:00:00+00:00,-9.61448e-07
2023-08-20 00:00:00+00:00,-0.000246754
2023-08-21 00:00:00+00:00,6.46354e-05
2023-08-22 00:00:00+00:00,-5.67305e-05
2023-08-23 00:00:00+00:00,-5.75737e-05
2023-08-24 00:00:00+00:00,0.000168815
2023-08-25 00:00:00+00:00,-0.000198259
2023-08-26 00:00:00+00:00,0.000178706
2023-08-27 00:00:00+00:00,0.000142738
2023-08-28 00:00:00+00:00,-0.000198502
2023-08-29 00:00:00+00:00,-0.000112574
2023-08-30 00:00:00+00:00,3.2353e-05
2023-08-31 00:00:00+00:00,0.000426746
2023-09-01 00:00:00+00:00,0.000252587
2023-09-02 00:00:00+00:00,-0.000622452
2023-09-03 00:00:00+00:00,0.000212022
2023-09-04 00:00:00+00:00,0.000823245
2023-09-05 00:00:00+00:00,-0.000554699
2023-09-06 00:00:00+00:00,0.000720236
2023-09-07 00:00:00+00:00,0.00224314
2023-09-08 00:00:00+00:00,0.000157429
2023-09-09 00:00:00+00:00,0.000206036
2023-09-10 00:00:00+00:00,0.00526011
2023-09-11 00:00:00+00:00,-0.000184246
2023-09-12 00:00:00+00:00,0.00256667
2023-09-13 00:00:00+00:00,0.00148965
