config,cost,scope,mode,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,sharpe_IS,sharpe_OOS,worstday_IS,worstday_OOS,liq_IS,liq_OOS,entries_IS,rolls_IS,entries_OOS,rolls_OOS,margin_rebalances_OOS,y2022_fullrun,y2023_fullrun,y2024_fullrun,y2025_fullrun,y2026_fullrun
long_A,base,BTC,cross,1,3.0,-0.69,-4.0,-2.7,1.37,-0.5,-0.6,-0.4,0,0,4,8,1,6,0,-0.2,4.1,5.2,-1.0,-0.1
long_A,base,BTC,cross,3,8.86,-2.1,-11.2,-7.9,1.37,-0.5,-1.9,-1.1,0,0,4,8,1,6,0,-0.5,12.3,15.5,-3.1,-0.4
long_A,base,BTC,cross,5,14.54,-3.57,-17.8,-12.8,1.37,-0.5,-3.1,-1.8,0,0,4,8,1,6,0,-1.0,20.7,25.7,-5.2,-0.7
long_A,base,BTC,cross,10,27.86,-7.45,-32.8,-24.1,1.36,-0.51,-6.1,-3.6,0,0,4,8,1,6,0,-2.4,42.3,50.6,-10.7,-1.6
long_A,base,BTC,cross,15,39.78,-11.6,-45.7,-34.2,1.33,-0.51,-8.9,-5.4,0,0,4,8,1,6,0,-4.3,64.4,73.6,-16.3,-2.7
long_A,base,BTC,cross,20,50.1,-16.03,-56.9,-43.1,1.3,-0.51,-11.5,-7.3,0,0,4,8,1,6,0,-6.7,86.7,94.1,-22.0,-4.1
long_A,base,BTC,cross_stress,1,3.0,-0.69,-12.0,-9.0,1.37,-0.5,-0.6,-0.4,0,0,4,8,1,6,0,-0.2,4.1,5.2,-1.0,-0.1
long_A,base,BTC,cross_stress,3,8.86,-2.1,-34.0,-26.7,1.37,-0.5,-1.9,-1.1,0,0,4,8,1,6,0,-0.5,12.3,15.5,-3.1,-0.4
long_A,base,BTC,cross_stress,5,14.54,-3.57,-53.9,-44.0,1.37,-0.5,-3.1,-1.8,0,0,4,8,1,6,0,-1.0,20.7,25.7,-5.2,-0.7
long_A,base,BTC,cross_stress,10,-100.0,-7.45,-100.0,-85.8,-0.64,-0.51,-100.0,-3.6,1,0,1,7,1,6,0,-2.4,-100.0,-100.0,-100.0,-100.0
long_A,base,BTC,cross_stress,15,-100.0,-100.0,-100.0,-100.0,-2.89,-1.12,-100.0,-100.0,1,1,1,0,1,3,0,-100.0,-100.0,-100.0,-100.0,-100.0
long_A,base,BTC,cross_stress,20,-100.0,-100.0,-100.0,-100.0,-3.07,-1.11,-100.0,-100.0,1,1,1,0,1,3,0,-100.0,-100.0,-100.0,-100.0,-100.0
long_A,base,BTC,isolated,1,0.99,-1.07,-11.9,-9.1,0.5,-0.77,-1.3,-0.4,5,0,6,7,1,6,0,-1.6,1.4,3.2,-1.5,-0.3
long_A,base,BTC,isolated,3,-2.1,-16.08,-34.8,-33.2,-0.17,-2.28,-4.0,-4.1,19,9,20,5,10,3,0,-14.9,17.1,-5.8,-14.9,-12.2
long_A,base,BTC,isolated,5,-37.56,-54.11,-81.5,-77.8,-2.05,-3.37,-13.1,-12.7,57,36,57,1,37,1,0,-71.7,-1.6,-12.6,-52.4,-42.5
long_A,base,BTC,isolated,10,-98.82,-99.8,-100.0,-100.0,-5.54,-7.64,-38.0,-29.3,214,146,214,0,147,0,0,-100.0,-87.2,-87.0,-40.4,0.0
long_A,base,BTC,isolated,15,-99.03,-99.98,-100.0,-100.0,-3.73,-5.96,-74.4,-47.0,136,123,136,0,123,0,0,-100.0,0.0,0.0,0.0,0.0
long_A,base,BTC,isolated,20,-99.04,-99.98,-100.0,-100.0,-3.01,-4.27,-65.2,-62.2,106,95,106,0,95,0,0,-100.0,0.0,0.0,0.0,0.0
long_A,base,BTC,isolated_rb,1,2.44,-1.19,-12.3,-9.1,1.12,-0.85,-0.6,-0.4,0,0,4,8,1,6,4,-0.6,3.3,4.7,-1.6,-0.4
long_A,base,BTC,isolated_rb,3,0.93,-6.45,-35.9,-28.8,0.18,-1.53,-2.0,-1.3,0,0,4,8,1,6,37,-7.2,4.1,6.4,-7.7,-3.0
long_A,base,BTC,isolated_rb,5,-26.68,-22.64,-60.9,-46.5,-1.34,-2.98,-20.8,-2.6,3,1,4,8,2,5,109,-23.5,-6.2,-45.1,-26.5,-11.3
long_A,base,BTC,isolated_rb,10,-83.02,-94.65,-99.6,-99.4,-3.03,-5.86,-26.7,-31.7,25,9,25,5,10,2,581,-95.9,-42.9,-79.2,-95.6,-82.8
long_A,base,BTC,isolated_rb,15,-99.04,-99.98,-100.0,-100.0,-4.9,-8.79,-54.2,-34.1,67,38,67,0,38,0,899,-100.0,-86.0,0.0,0.0,0.0
long_A,base,BTC,isolated_rb,20,-99.01,-99.98,-100.0,-100.0,-3.67,-6.07,-71.1,-46.8,63,45,63,0,45,0,543,-100.0,0.0,0.0,0.0,0.0
long_A,base,BTC,pm_approx,1,3.0,-0.69,-4.0,-2.7,1.37,-0.5,-0.6,-0.4,0,0,4,8,1,6,0,-0.2,4.1,5.2,-1.0,-0.1
long_A,base,BTC,pm_approx,3,8.86,-2.1,-11.2,-7.9,1.37,-0.5,-1.9,-1.1,0,0,4,8,1,6,0,-0.5,12.3,15.5,-3.1,-0.4
long_A,base,BTC,pm_approx,5,14.54,-3.57,-17.8,-12.8,1.37,-0.5,-3.1,-1.8,0,0,4,8,1,6,0,-1.0,20.7,25.7,-5.2,-0.7
long_A,base,BTC,pm_approx,10,27.86,-7.45,-32.8,-24.1,1.36,-0.51,-6.1,-3.6,0,0,4,8,1,6,0,-2.4,42.3,50.6,-10.7,-1.6
long_A,base,BTC,pm_approx,15,39.78,-11.6,-45.7,-34.2,1.33,-0.51,-8.9,-5.4,0,0,4,8,1,6,0,-4.3,64.4,73.6,-16.3,-2.7
long_A,base,BTC,pm_approx,20,50.1,-16.03,-56.9,-43.1,1.3,-0.51,-11.5,-7.3,0,0,4,8,1,6,0,-6.7,86.7,94.1,-22.0,-4.1
long_A,base,BTC+ETH,cross,1,3.01,-0.5,-3.8,-3.1,1.41,-0.34,-0.5,-0.5,0,0,8,16,2,12,0,-1.3,4.4,6.1,-0.9,0.1
long_A,base,BTC+ETH,cross,3,8.85,-1.55,-10.9,-9.0,1.4,-0.34,-1.5,-1.4,0,0,8,16,2,12,0,-4.0,13.3,18.5,-2.7,0.1
long_A,base,BTC+ETH,cross,5,14.45,-2.69,-17.6,-14.5,1.39,-0.35,-2.5,-2.3,0,0,8,16,2,12,0,-6.6,22.5,31.1,-4.6,0.2
long_A,base,BTC+ETH,cross,10,27.35,-5.87,-32.5,-26.9,1.36,-0.36,-5.0,-4.6,0,0,8,16,2,12,0,-13.2,46.1,62.9,-9.6,0.0
long_A,base,BTC+ETH,cross,15,38.5,-9.52,-45.3,-37.6,1.32,-0.37,-7.4,-6.8,0,0,8,16,2,12,0,-19.7,70.4,94.1,-15.1,-0.4
long_A,base,BTC+ETH,cross,20,47.7,-13.63,-56.5,-46.9,1.27,-0.38,-9.8,-9.1,0,0,8,16,2,12,0,-26.0,95.0,123.3,-20.9,-1.2
long_A,base,BTC+ETH,cross_stress,1,3.01,-0.5,-9.4,-9.7,1.41,-0.34,-0.5,-0.5,0,0,8,16,2,12,0,-1.3,4.4,6.1,-0.9,0.1
long_A,base,BTC+ETH,cross_stress,3,8.85,-1.55,-27.0,-28.5,1.4,-0.34,-1.5,-1.4,0,0,8,16,2,12,0,-4.0,13.3,18.5,-2.7,0.1
long_A,base,BTC+ETH,cross_stress,5,14.45,-2.69,-43.3,-46.7,1.39,-0.35,-2.5,-2.3,0,0,8,16,2,12,0,-6.6,22.5,31.1,-4.6,0.2
long_A,base,BTC+ETH,cross_stress,10,-100.0,-38.97,-100.0,-93.3,-0.96,-0.85,-100.0,-51.4,2,1,2,9,2,9,0,-51.2,-100.0,-100.0,-100.0,-100.0
long_A,base,BTC+ETH,cross_stress,15,-100.0,-100.0,-100.0,-100.0,-2.07,-1.51,-100.0,-100.0,2,2,2,2,2,3,0,-100.0,-100.0,-100.0,-100.0,-100.0
long_A,base,BTC+ETH,cross_stress,20,-100.0,-100.0,-100.0,-100.0,-4.07,-1.49,-100.0,-100.0,2,2,2,0,2,3,0,-100.0,-100.0,-100.0,-100.0,-100.0
long_A,base,BTC+ETH,isolated,1,1.29,-1.53,-10.9,-9.8,0.69,-1.04,-0.6,-0.6,10,3,13,13,5,11,0,-3.1,3.5,3.6,-1.9,-0.6
long_A,base,BTC+ETH,isolated,3,-5.73,-23.83,-41.7,-45.0,-0.53,-3.3,-5.1,-3.8,59,37,60,8,39,4,0,-29.8,29.8,-8.0,-24.8,-13.7
long_A,base,BTC+ETH,isolated,5,-45.73,-65.83,-85.5,-86.4,-3.01,-4.64,-12.5,-10.8,146,121,146,2,123,1,0,-78.8,-10.8,-15.6,-59.2,-45.3
long_A,base,BTC+ETH,isolated,10,-98.91,-99.86,-100.0,-100.0,-5.88,-8.43,-38.8,-24.8,407,334,407,0,335,0,0,-100.0,-86.3,-80.7,-25.4,0.0
long_A,base,BTC+ETH,isolated,15,-99.03,-99.98,-100.0,-100.0,-3.91,-6.19,-69.1,-46.6,269,244,269,0,244,0,0,-100.0,0.0,0.0,0.0,0.0
long_A,base,BTC+ETH,isolated,20,-99.02,-99.98,-100.0,-100.0,-3.09,-4.38,-65.9,-61.8,199,188,199,0,188,0,0,-100.0,0.0,0.0,0.0,0.0
long_A,base,BTC+ETH,isolated_rb,1,2.41,-1.13,-9.9,-9.8,1.14,-0.76,-0.5,-0.6,0,0,8,16,2,12,16,-2.0,3.7,5.6,-1.6,-0.3
long_A,base,BTC+ETH,isolated_rb,3,-1.14,-9.87,-34.6,-33.5,-0.15,-2.26,-1.7,-1.7,0,0,8,16,2,12,149,-14.5,4.6,8.0,-12.8,-3.2
long_A,base,BTC+ETH,isolated_rb,5,-33.39,-31.23,-73.2,-57.8,-1.92,-4.44,-19.7,-2.8,9,4,11,16,6,9,371,-45.5,-8.0,-41.1,-34.5,-12.2
long_A,base,BTC+ETH,isolated_rb,10,-86.42,-96.47,-99.8,-99.7,-3.41,-6.81,-26.3,-31.6,73,44,73,7,46,3,1720,-97.9,-42.6,-79.1,-95.6,-82.5
long_A,base,BTC+ETH,isolated_rb,15,-99.03,-99.98,-100.0,-100.0,-4.9,-9.07,-51.8,-34.1,129,99,129,0,99,0,1467,-100.0,-74.6,0.0,0.0,0.0
long_A,base,BTC+ETH,isolated_rb,20,-99.0,-99.98,-100.0,-100.0,-3.81,-6.21,-66.2,-46.8,129,117,129,0,117,0,812,-100.0,0.0,0.0,0.0,0.0
long_A,base,BTC+ETH,pm_approx,1,3.01,-0.5,-3.8,-3.1,1.41,-0.34,-0.5,-0.5,0,0,8,16,2,12,0,-1.3,4.4,6.1,-0.9,0.1
long_A,base,BTC+ETH,pm_approx,3,8.85,-1.55,-10.9,-9.0,1.4,-0.34,-1.5,-1.4,0,0,8,16,2,12,0,-4.0,13.3,18.5,-2.7,0.1
long_A,base,BTC+ETH,pm_approx,5,14.45,-2.69,-17.6,-14.5,1.39,-0.35,-2.5,-2.3,0,0,8,16,2,12,0,-6.6,22.5,31.1,-4.6,0.2
long_A,base,BTC+ETH,pm_approx,10,27.35,-5.87,-32.5,-26.9,1.36,-0.36,-5.0,-4.6,0,0,8,16,2,12,0,-13.2,46.1,62.9,-9.6,0.0
long_A,base,BTC+ETH,pm_approx,15,38.5,-9.52,-45.3,-37.6,1.32,-0.37,-7.4,-6.8,0,0,8,16,2,12,0,-19.7,70.4,94.1,-15.1,-0.4
