per,asset,con,side,ts,why,lastprem_bp,markprem_bp,F_last_vs_mark_bp,P_last_vs_mark_bp,qv,basis_gap_bp
IS,BTC,BTCUSDT_220325,in,2022-01-15 16:00:00,signal,152.41193603645843,151.37185305574397,-0.8192871301149207,-1.8436720492898129,269494.6733,1.040082980714459
IS,BTC,BTCUSDT_220325,out,2022-01-21 10:00:00,signal,85.28471313393737,83.04844394952494,2.053392443794877,-0.16442137292904668,329841.1451,2.2362691844124356
IS,BTC,BTCUSDT_220325,in,2022-01-28 04:00:00,signal,82.95130487412372,83.41811903936458,-2.4689900046814817,-2.0061305747587355,156795.679,-0.46681416524086217
IS,BTC,BTCUSDT_220325,out,2022-02-09 11:00:00,signal,26.08379605796518,26.78541503463583,-0.3516310852835769,0.3481379569847398,363881.3466,-0.7016189766706482
IS,BTC,BTCUSDT_220624,in,2022-04-24 01:00:00,signal,33.19193686200927,36.987887456578775,-3.1754474255463183,0.606743959106204,111921.3488,-3.7959505945695042
IS,BTC,BTCUSDT_220624,out,2022-05-04 00:00:00,signal,28.77300646065617,32.974022524316915,-3.178881960058666,1.0087495752619802,83266.6229,-4.201016063660745
IS,BTC,BTCUSDT_221230,in,2022-11-10 08:00:00,signal,-39.25399431865873,-41.22301122425176,1.627374034827156,-0.3497242037686643,657900.8545,1.9690169055930369
IS,BTC,BTCUSDT_221230,out,2022-11-22 16:00:00,signal,-25.121296455927755,-24.909019844461255,-4.323490080260228,-4.110770868137603,356477.6765,-0.2122766114664998
IS,BTC,BTCUSDT_230630,in,2023-04-09 08:00:00,signal,128.062640270179,128.83678774558982,-0.549201469616234,0.2151154452878501,87911.6565,-0.774147475410814
IS,BTC,BTCUSDT_230630,out,2023-04-16 11:00:00,signal,109.33740804667913,108.1748700783125,0.6607180382101063,-0.4893224960189624,123368.5803,1.1625379683666353
IS,BTC,BTCUSDT_230929,in,2023-07-13 00:00:00,signal,180.51623098702896,179.15543212015717,0.7442400674584349,-0.5925292201680588,30262.672,1.3607988668717894
IS,BTC,BTCUSDT_230929,out,2023-08-08 11:00:00,signal,107.06857162341876,104.50358609608301,0.3519390548145651,-2.1859637812216004,875447.3082,2.5649855273357502
IS,BTC,BTCUSDT_230929,in,2023-08-23 00:00:00,expiry,71.02087722658635,70.22134059456064,0.14273579184820306,-0.6511738366010711,456406.0011,0.7995366320257062
IS,BTC,BTCUSDT_240329,in,2023-10-01 19:00:00,signal,243.96369908804562,243.31251576071634,0.47259185752102084,-0.16311334492979945,10040.0566,0.651183327329278
IS,BTC,BTCUSDT_240329,out,2023-10-27 16:00:00,signal,254.73264109627803,251.05732195578545,3.891856074689226,0.3064388332196799,24281.2001,3.675319140492576
IS,BTC,BTCUSDT_240628,in,2024-03-25 08:00:00,signal,582.4684364935683,586.0176134273165,-3.979839271994745,-0.6273469497508621,326064.905,-3.5491769337481855
IS,BTC,BTCUSDT_240628,out,2024-03-31 01:00:00,signal,634.7884348075783,640.2543326002564,-2.105733442263613,3.0328237126808766,113764.5203,-5.465897792678106
IS,BTC,BTCUSDT_240927,in,2024-04-08 00:00:00,signal,905.2320127011603,904.9919919100158,0.8673582906548738,0.6472422864578498,120625.7648,0.24002079114450225
IS,BTC,BTCUSDT_240927,out,2024-04-13 21:00:00,signal,611.1138680826467,606.5281659829935,5.589870335840352,1.2658516656904872,573373.1344,4.58570209965319
IS,BTC,BTCUSDT_240628,in,2024-04-19 08:00:00,signal,251.37441402899086,247.85504949149885,3.480628815535347,0.0463678516227084,464710.3017,3.5193645374920095
IS,BTC,BTCUSDT_240628,out,2024-06-11 03:00:00,signal,39.26500363808705,39.91250300435789,1.0355059675681844,1.6805396577646015,140421.942,-0.6474993662708357
IS,BTC,BTCUSDT_240927,in,2024-06-25 01:00:00,signal,304.9553378368297,301.92653324523144,2.0769784519547585,-0.862804951727858,40174.8947,3.0288045915982593
IS,BTC,BTCUSDT_240927,out,2024-07-03 10:00:00,signal,212.5253979074282,209.91327219575194,2.0652763595996326,-0.49301856357431006,182567.7643,2.612125711676242
IS,BTC,BTCUSDT_241227,in,2024-07-15 03:00:00,signal,563.282737923474,562.8626070786114,0.6232535169603537,0.22550118931041752,112142.8399,0.4201308448625696
IS,BTC,BTCUSDT_241227,out,2024-11-12 19:00:00,signal,204.28200667691243,204.7067645126055,0.09044713144445993,0.506705401479568,173628.7137,-0.4247578356930717
