rank,L,params,oos_cagr,oos_dd,oos_liq,cont_oos_cagr,full_liq
1,10,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30}",9.3,-26.8,0,4.92,0
2,10,"{""signal"": ""raw"", ""h_in"": 0.15, ""h_out"": 0.08, ""tau_min"": 30}",3.98,-4.4,0,3.9,0
3,10,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 30}",12.7,-20.3,0,12.59,0
4,10,"{""signal"": ""net"", ""h_in"": 0.02, ""h_out"": -0.02, ""tau_min"": 30}",7.59,-27.3,0,2.81,0
5,10,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 30}",-0.28,-10.5,0,0.3,0
6,10,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 14}",-1.14,-10.5,0,-0.72,0
7,10,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": 0.0, ""tau_min"": 30}",19.03,-11.5,0,19.71,0
8,10,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": -0.02, ""tau_min"": 30}",30.59,-6.7,0,19.71,0
9,10,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": -0.04, ""tau_min"": 30}",11.11,-9.2,0,11.05,0
10,10,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 14}",11.69,-20.6,0,12.92,0
1,15,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30}",13.03,-36.8,0,3.46,0
2,15,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 30}",17.45,-29.3,0,17.03,0
3,15,"{""signal"": ""net"", ""h_in"": 0.02, ""h_out"": -0.02, ""tau_min"": 30}",10.64,-38.2,0,0.24,0
4,15,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 30}",-0.24,-15.5,0,0.97,0
5,15,"{""signal"": ""raw"", ""h_in"": 0.15, ""h_out"": 0.08, ""tau_min"": 14}",5.94,-6.4,0,11.67,1
6,15,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 14}",-1.56,-15.5,0,-0.7,0
7,15,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": -0.02, ""tau_min"": 30}",46.9,-9.7,0,27.28,0
8,15,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": 0.0, ""tau_min"": 30}",28.35,-16.2,0,29.13,0
9,15,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 14}",15.88,-30.0,0,17.83,0
10,15,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 14}",11.26,-36.8,0,2.84,0
1,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30}",-7.1,-67.8,1,-38.22,1
2,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 30}",21.17,-37.7,0,20.12,0
3,20,"{""signal"": ""net"", ""h_in"": 0.02, ""h_out"": -0.02, ""tau_min"": 30}",-10.4,-62.7,1,-46.88,1
4,20,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 30}",-0.09,-20.2,0,1.94,0
5,20,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": -0.02, ""tau_min"": 30}",63.88,-12.4,0,-12.49,1
6,20,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 14}",-1.88,-20.2,0,-0.47,0
7,20,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": 0.0, ""tau_min"": 30}",37.6,-20.5,0,38.29,0
8,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 14}",19.0,-38.7,0,21.44,0
9,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 14}",-10.54,-67.8,1,-42.36,1
10,20,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": -0.02, ""tau_min"": 30}",23.88,-14.7,0,25.18,0
