scen,L,per,cagr,dd,sharpe,worst_day,liq,liq_detail,trades,y2022,y2023,y2024,y2025,y2026,oos_seg_cagr,oos_seg_dd
orig_0.5%,1,IS,1.5,-5.2,0.67,-1.7,0,,29,0.8,-0.7,4.5,,,,
orig_0.5%,1,OOS,1.04,-3.2,0.61,-0.7,0,,12,,,,0.9,0.9,,
orig_0.5%,1,FULL,1.33,-5.2,0.65,-1.7,0,,39,0.8,-0.7,4.6,0.7,0.9,0.94,-3.2
orig_0.5%,3,IS,4.49,-14.8,0.68,-5.0,0,,29,2.4,-2.0,13.7,,,,
orig_0.5%,3,OOS,3.04,-9.2,0.61,-1.9,0,,12,,,,2.4,2.7,,
orig_0.5%,3,FULL,3.87,-14.8,0.64,-5.0,0,,39,2.4,-2.0,14.2,1.6,2.6,2.53,-9.6
orig_0.5%,5,IS,7.46,-23.6,0.69,-8.4,0,,29,4.0,-3.3,23.4,,,,
orig_0.5%,5,OOS,4.95,-14.7,0.61,-3.2,0,,12,,,,3.8,4.5,,
orig_0.5%,5,FULL,6.25,-23.6,0.64,-8.4,0,,39,4.0,-3.3,24.1,1.9,4.3,3.72,-15.8
orig_0.5%,10,IS,14.84,-42.0,0.73,-17.0,0,,29,8.2,-6.1,49.1,,,,
orig_0.5%,10,OOS,9.3,-26.8,0.61,-6.3,0,,12,,,,6.3,9.1,,
orig_0.5%,10,FULL,11.47,-42.0,0.63,-17.0,0,,39,8.2,-6.1,50.8,-0.2,8.5,4.92,-30.5
orig_0.5%,15,IS,22.18,-56.7,0.76,-25.9,0,,29,12.6,-8.6,77.2,,,,
orig_0.5%,15,OOS,13.03,-36.8,0.61,-9.2,0,,12,,,,7.6,14.0,,
orig_0.5%,15,FULL,15.54,-56.7,0.62,-25.9,0,,39,12.6,-8.6,80.1,-6.1,12.7,3.46,-43.9
orig_0.5%,20,IS,29.52,-68.7,0.79,-34.9,0,,29,17.3,-10.8,107.5,,,,
orig_0.5%,20,OOS,16.14,-45.3,0.61,-12.0,0,,12,,,,7.7,19.2,,
orig_0.5%,20,FULL,18.29,-68.7,0.61,-34.9,0,,39,17.3,-10.8,111.8,-15.5,16.8,-0.77,-56.0
okx_inverse_tiers,1,IS,1.5,-5.2,0.67,-1.7,0,,29,0.8,-0.7,4.5,,,,
okx_inverse_tiers,1,OOS,1.04,-3.2,0.61,-0.7,0,,12,,,,0.9,0.9,,
okx_inverse_tiers,1,FULL,1.33,-5.2,0.65,-1.7,0,,39,0.8,-0.7,4.6,0.7,0.9,0.94,-3.2
okx_inverse_tiers,3,IS,4.49,-14.8,0.68,-5.0,0,,29,2.4,-2.0,13.7,,,,
okx_inverse_tiers,3,OOS,3.04,-9.2,0.61,-1.9,0,,12,,,,2.4,2.7,,
okx_inverse_tiers,3,FULL,3.87,-14.8,0.64,-5.0,0,,39,2.4,-2.0,14.2,1.6,2.6,2.53,-9.6
okx_inverse_tiers,5,IS,7.46,-23.6,0.69,-8.4,0,,29,4.0,-3.3,23.4,,,,
okx_inverse_tiers,5,OOS,4.95,-14.7,0.61,-3.2,0,,12,,,,3.8,4.5,,
okx_inverse_tiers,5,FULL,6.25,-23.6,0.64,-8.4,0,,39,4.0,-3.3,24.1,1.9,4.3,3.72,-15.8
okx_inverse_tiers,10,IS,14.84,-42.0,0.73,-17.0,0,,29,8.2,-6.1,49.1,,,,
okx_inverse_tiers,10,OOS,9.3,-26.8,0.61,-6.3,0,,12,,,,6.3,9.1,,
okx_inverse_tiers,10,FULL,11.47,-42.0,0.63,-17.0,0,,39,8.2,-6.1,50.8,-0.2,8.5,4.92,-30.5
okx_inverse_tiers,15,IS,22.18,-56.7,0.76,-25.9,0,,29,12.6,-8.6,77.2,,,,
okx_inverse_tiers,15,OOS,13.03,-36.8,0.61,-9.2,0,,12,,,,7.6,14.0,,
okx_inverse_tiers,15,FULL,15.54,-56.7,0.62,-25.9,0,,39,12.6,-8.6,80.1,-6.1,12.7,3.46,-43.9
okx_inverse_tiers,20,IS,29.52,-68.7,0.79,-34.9,0,,29,17.3,-10.8,107.5,,,,
okx_inverse_tiers,20,OOS,-7.1,-67.8,0.18,-46.2,1,ETHUSDT_250926@2025-05-12 09:35:00,7,,,,-27.7,22.4,,
okx_inverse_tiers,20,FULL,-0.11,-82.8,0.37,-70.2,1,ETHUSDT_250926@2025-05-12 09:35:00,34,17.3,-10.8,111.8,-63.3,22.4,-38.22,-82.8
okx_UM_tiers,1,IS,1.5,-5.2,0.67,-1.7,0,,29,0.8,-0.7,4.5,,,,
okx_UM_tiers,1,OOS,1.04,-3.2,0.61,-0.7,0,,12,,,,0.9,0.9,,
okx_UM_tiers,1,FULL,1.33,-5.2,0.65,-1.7,0,,39,0.8,-0.7,4.6,0.7,0.9,0.94,-3.2
okx_UM_tiers,3,IS,4.49,-14.8,0.68,-5.0,0,,29,2.4,-2.0,13.7,,,,
okx_UM_tiers,3,OOS,3.04,-9.2,0.61,-1.9,0,,12,,,,2.4,2.7,,
okx_UM_tiers,3,FULL,3.87,-14.8,0.64,-5.0,0,,39,2.4,-2.0,14.2,1.6,2.6,2.53,-9.6
okx_UM_tiers,5,IS,7.46,-23.6,0.69,-8.4,0,,29,4.0,-3.3,23.4,,,,
okx_UM_tiers,5,OOS,4.95,-14.7,0.61,-3.2,0,,12,,,,3.8,4.5,,
okx_UM_tiers,5,FULL,6.25,-23.6,0.64,-8.4,0,,39,4.0,-3.3,24.1,1.9,4.3,3.72,-15.8
okx_UM_tiers,10,IS,14.84,-42.0,0.73,-17.0,0,,29,8.2,-6.1,49.1,,,,
okx_UM_tiers,10,OOS,9.3,-26.8,0.61,-6.3,0,,12,,,,6.3,9.1,,
okx_UM_tiers,10,FULL,11.47,-42.0,0.63,-17.0,0,,39,8.2,-6.1,50.8,-0.2,8.5,4.92,-30.5
okx_UM_tiers,15,IS,22.18,-56.7,0.76,-25.9,0,,29,12.6,-8.6,77.2,,,,
okx_UM_tiers,15,OOS,13.03,-36.8,0.61,-9.2,0,,12,,,,7.6,14.0,,
okx_UM_tiers,15,FULL,15.54,-56.7,0.62,-25.9,0,,39,12.6,-8.6,80.1,-6.1,12.7,3.46,-43.9
okx_UM_tiers,20,IS,29.52,-68.7,0.79,-34.9,0,,29,17.3,-10.8,107.5,,,,
okx_UM_tiers,20,OOS,-7.1,-67.8,0.18,-46.2,1,ETHUSDT_250926@2025-05-12 09:35:00,7,,,,-27.7,22.4,,
okx_UM_tiers,20,FULL,-0.11,-82.8,0.37,-70.2,1,ETHUSDT_250926@2025-05-12 09:35:00,34,17.3,-10.8,111.8,-63.3,22.4,-38.22,-82.8
