tag,L,per,cagr,dd,sharpe,wd,liq,trades,y2022,y2023,y2024,y2025,y2026,seg_cagr,seg_dd,seg_sharpe,seg_wd
okx_tiers+worstfill+slip1x,1,IS,1.25,-5.3,0.56,-1.7,0,29,0.3,-0.7,4.2,,,,,,
okx_tiers+worstfill+slip2x,1,IS,0.85,-5.6,0.39,-1.7,0,29,-0.1,-0.9,3.6,,,,,,
okx_tiers+worstfill+slip1x,1,OOS,0.91,-3.2,0.53,-0.7,0,12,,,,0.7,0.8,,,,
okx_tiers+worstfill+slip2x,1,OOS,0.63,-3.3,0.37,-0.7,0,12,,,,0.4,0.7,,,,
okx_tiers+worstfill+slip1x,1,FULL,1.12,-5.3,0.55,-1.7,0,39,0.3,-0.7,4.3,0.5,0.8,0.81,-3.2,0.49,-0.7
okx_tiers+worstfill+slip2x,1,FULL,0.78,-5.6,0.39,-1.7,0,39,-0.1,-0.9,3.8,0.3,0.7,0.56,-3.3,0.34,-0.7
okx_tiers+worstfill+slip1x,3,IS,3.69,-15.2,0.57,-5.1,0,29,1.0,-2.1,12.8,,,,,,
okx_tiers+worstfill+slip2x,3,IS,2.49,-16.0,0.4,-5.2,0,29,-0.3,-2.7,11.0,,,,,,
okx_tiers+worstfill+slip1x,3,OOS,2.65,-9.2,0.53,-1.9,0,12,,,,1.9,2.5,,,,
okx_tiers+worstfill+slip2x,3,OOS,1.81,-9.4,0.37,-2.0,0,12,,,,1.0,2.0,,,,
okx_tiers+worstfill+slip1x,3,FULL,3.23,-15.2,0.54,-5.1,0,39,1.0,-2.1,13.2,1.2,2.4,2.17,-9.6,0.45,-2.0
okx_tiers+worstfill+slip2x,3,FULL,2.2,-16.0,0.38,-5.2,0,39,-0.3,-2.7,11.5,0.4,2.0,1.4,-9.8,0.3,-2.0
okx_tiers+worstfill+slip1x,5,IS,6.07,-24.1,0.58,-8.5,0,29,1.7,-3.5,21.6,,,,,,
okx_tiers+worstfill+slip2x,5,IS,4.03,-25.4,0.41,-8.7,0,29,-0.6,-4.4,18.5,,,,,,
okx_tiers+worstfill+slip1x,5,OOS,4.29,-14.7,0.53,-3.2,0,12,,,,2.9,4.2,,,,
okx_tiers+worstfill+slip2x,5,OOS,2.87,-15.1,0.37,-3.2,0,12,,,,1.3,3.4,,,,
okx_tiers+worstfill+slip1x,5,FULL,5.16,-24.1,0.54,-8.5,0,39,1.7,-3.5,22.4,1.2,4.0,3.15,-15.7,0.42,-3.3
okx_tiers+worstfill+slip2x,5,FULL,3.43,-25.4,0.38,-8.7,0,39,-0.6,-4.4,19.4,-0.1,3.3,1.87,-16.0,0.26,-3.3
okx_tiers+worstfill+slip1x,10,IS,11.77,-43.0,0.61,-17.1,0,29,3.3,-6.7,44.8,,,,,,
okx_tiers+worstfill+slip2x,10,IS,7.52,-45.1,0.43,-17.6,0,29,-1.2,-8.5,37.4,,,,,,
okx_tiers+worstfill+slip1x,10,OOS,7.94,-26.8,0.53,-6.3,0,12,,,,4.6,8.6,,,,
okx_tiers+worstfill+slip2x,10,OOS,5.06,-27.4,0.37,-6.3,0,12,,,,1.3,7.1,,,,
okx_tiers+worstfill+slip1x,10,FULL,9.18,-43.0,0.53,-17.1,0,39,3.3,-6.7,46.5,-1.3,8.0,3.93,-30.0,0.32,-6.5
okx_tiers+worstfill+slip2x,10,FULL,5.6,-45.1,0.37,-17.6,0,39,-1.2,-8.5,39.5,-4.0,6.5,1.32,-30.6,0.16,-6.5
okx_tiers+worstfill+slip1x,15,IS,17.14,-57.8,0.63,-26.0,0,29,5.0,-9.6,69.3,,,,,,
okx_tiers+worstfill+slip2x,15,IS,10.53,-60.4,0.46,-26.6,0,29,-1.8,-12.2,56.6,,,,,,
okx_tiers+worstfill+slip1x,15,OOS,10.98,-36.8,0.53,-9.3,0,12,,,,5.0,13.2,,,,
okx_tiers+worstfill+slip2x,15,OOS,6.62,-38.2,0.38,-9.3,0,12,,,,0.1,11.2,,,,
okx_tiers+worstfill+slip1x,15,FULL,11.96,-57.8,0.52,-26.0,0,39,5.0,-9.6,72.0,-7.4,12.0,2.21,-43.1,0.21,-9.6
okx_tiers+worstfill+slip2x,15,FULL,6.47,-60.4,0.36,-26.6,0,39,-1.8,-12.2,59.9,-11.4,9.6,-1.72,-44.5,0.05,-9.7
okx_tiers+worstfill+slip1x,20,IS,22.2,-69.4,0.66,-35.1,0,29,6.8,-12.2,94.7,,,,,,
okx_tiers+worstfill+slip2x,20,IS,13.08,-72.1,0.5,-35.9,0,29,-2.5,-15.6,75.6,,,,,,
okx_tiers+worstfill+slip1x,20,OOS,-8.39,-67.6,0.15,-45.6,1,7,,,,-29.0,21.7,,,,
okx_tiers+worstfill+slip2x,20,OOS,-12.32,-67.7,0.08,-45.6,1,7,,,,-33.0,20.0,,,,
okx_tiers+worstfill+slip1x,20,FULL,-2.25,-80.8,0.31,-66.7,1,34,6.8,-12.2,98.7,-60.3,21.7,-35.42,-80.8,-0.16,-66.7
okx_tiers+worstfill+slip2x,20,FULL,-8.19,-80.9,0.19,-66.7,1,34,-2.5,-15.6,80.3,-62.3,20.0,-37.92,-80.9,-0.22,-66.7
