rank,L,params,is_cagr,oos_cagr,oos_dd,fullrun_oos_seg_cagr,liq
1,10,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30}",14.84,9.3,-26.8,4.92,0
2,10,"{""signal"": ""raw"", ""h_in"": 0.15, ""h_out"": 0.08, ""tau_min"": 30}",14.46,3.98,-4.4,3.9,0
3,10,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 30}",14.06,12.7,-20.3,12.59,0
4,10,"{""signal"": ""net"", ""h_in"": 0.02, ""h_out"": -0.02, ""tau_min"": 30}",13.37,7.59,-27.3,2.81,0
5,10,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 30}",11.78,-0.28,-10.5,0.3,0
6,10,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 14}",11.01,-1.14,-10.5,-0.72,0
7,10,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": 0.0, ""tau_min"": 30}",10.83,19.03,-11.5,19.71,0
8,10,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": -0.02, ""tau_min"": 30}",10.66,30.59,-6.7,19.71,0
9,10,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": -0.04, ""tau_min"": 30}",10.28,11.11,-9.2,11.05,0
10,10,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 14}",10.17,11.69,-20.6,12.92,0
1,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30}",29.52,16.14,-45.3,-0.77,0
2,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 30}",28.26,21.17,-37.7,20.12,0
3,20,"{""signal"": ""net"", ""h_in"": 0.02, ""h_out"": -0.02, ""tau_min"": 30}",24.85,13.32,-47.5,-4.75,0
4,20,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 30}",22.96,-0.09,-20.2,1.94,0
5,20,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": -0.02, ""tau_min"": 30}",21.36,63.88,-12.4,33.36,0
6,20,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": 0.02, ""tau_min"": 14}",21.16,-1.88,-20.2,-0.47,0
7,20,"{""signal"": ""net"", ""h_in"": 0.06, ""h_out"": 0.0, ""tau_min"": 30}",20.52,37.6,-20.5,38.29,0
8,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": 0.0, ""tau_min"": 14}",20.48,19.0,-38.7,21.44,0
9,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 14}",20.0,13.45,-45.3,-1.85,0
10,20,"{""signal"": ""net"", ""h_in"": 0.08, ""h_out"": -0.02, ""tau_min"": 30}",18.9,23.88,-14.7,25.18,0
0,1,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30, ""min_age_bars"": 288}",1.29,1.67,-1.7,1.59,0
0,10,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30, ""min_age_bars"": 288}",12.04,16.57,-15.4,13.89,0
0,20,"{""signal"": ""net"", ""h_in"": 0.04, ""h_out"": -0.02, ""tau_min"": 30, ""min_age_bars"": 288}",22.35,32.57,-28.7,23.04,0
