tag,L,start,cagr,dd,sh,wd,liq,n,per
base,1,2022-01-01,1.5,-5.2,0.67,-1.7,0,29,IS
base,1,2025-01-01,1.04,-3.2,0.61,-0.7,0,12,OOS
base,10,2022-01-01,14.84,-42.0,0.73,-17.0,0,29,IS
base,10,2025-01-01,9.3,-26.8,0.61,-6.3,0,12,OOS
base,15,2022-01-01,22.18,-56.7,0.76,-25.9,0,29,IS
base,15,2025-01-01,13.03,-36.8,0.61,-9.2,0,12,OOS
base,20,2022-01-01,29.52,-68.7,0.79,-34.9,0,29,IS
base,20,2025-01-01,16.14,-45.3,0.61,-12.0,0,12,OOS
delay1h,1,2022-01-01,1.07,-5.8,0.5,-1.7,0,29,IS
delay1h,1,2025-01-01,1.07,-3.2,0.63,-0.7,0,12,OOS
delay1h,10,2022-01-01,9.59,-46.8,0.53,-16.9,0,29,IS
delay1h,10,2025-01-01,9.52,-26.5,0.62,-6.3,0,12,OOS
delay1h,15,2022-01-01,13.43,-62.4,0.55,-25.7,0,29,IS
delay1h,15,2025-01-01,13.23,-36.4,0.61,-9.2,0,12,OOS
delay1h,20,2022-01-01,16.57,-74.2,0.57,-34.6,0,29,IS
delay1h,20,2025-01-01,16.25,-45.2,0.61,-12.1,0,12,OOS
delay30m,1,2022-01-01,1.24,-5.4,0.55,-1.7,0,29,IS
delay30m,1,2025-01-01,0.99,-3.2,0.58,-0.7,0,12,OOS
delay30m,10,2022-01-01,11.51,-43.8,0.6,-17.2,0,29,IS
delay30m,10,2025-01-01,8.71,-26.9,0.58,-6.3,0,12,OOS
delay30m,15,2022-01-01,16.58,-58.9,0.62,-26.1,0,29,IS
delay30m,15,2025-01-01,12.09,-36.9,0.57,-9.2,0,12,OOS
delay30m,20,2022-01-01,21.21,-70.7,0.65,-35.2,0,29,IS
delay30m,20,2025-01-01,14.84,-45.5,0.58,-12.1,0,12,OOS
fill_worst_last_mark,1,2022-01-01,1.25,-5.3,0.56,-1.7,0,29,IS
fill_worst_last_mark,1,2025-01-01,0.12,-4.3,0.07,-1.3,0,12,OOS
fill_worst_last_mark,10,2022-01-01,11.77,-43.0,0.61,-17.1,0,29,IS
fill_worst_last_mark,10,2025-01-01,-1.21,-36.4,0.04,-12.1,0,12,OOS
fill_worst_last_mark,15,2022-01-01,17.14,-57.8,0.63,-26.0,0,29,IS
fill_worst_last_mark,15,2025-01-01,-3.75,-49.9,0.03,-17.3,0,12,OOS
fill_worst_last_mark,20,2022-01-01,22.2,-69.4,0.66,-35.1,0,29,IS
fill_worst_last_mark,20,2025-01-01,-8.39,-63.0,0.03,-21.9,1,8,OOS
fill_mark,1,2022-01-01,1.43,-5.2,0.64,-1.7,0,29,IS
fill_mark,1,2025-01-01,0.22,-4.2,0.12,-1.3,0,12,OOS
fill_mark,10,2022-01-01,13.9,-42.5,0.69,-17.0,0,29,IS
fill_mark,10,2025-01-01,-0.45,-36.2,0.08,-12.2,0,12,OOS
fill_mark,15,2022-01-01,20.57,-57.1,0.72,-25.9,0,29,IS
fill_mark,15,2025-01-01,-2.88,-49.8,0.06,-17.4,0,12,OOS
fill_mark,20,2022-01-01,27.08,-68.9,0.75,-34.9,0,29,IS
fill_mark,20,2025-01-01,-7.72,-62.9,0.04,-22.0,1,8,OOS
worst+delay1h,1,2022-01-01,0.91,-6.0,0.42,-1.7,0,29,IS
worst+delay1h,1,2025-01-01,0.22,-4.2,0.12,-1.3,0,12,OOS
worst+delay1h,10,2022-01-01,7.72,-47.8,0.45,-17.0,0,29,IS
worst+delay1h,10,2025-01-01,-0.49,-36.2,0.08,-12.2,0,12,OOS
worst+delay1h,15,2022-01-01,10.45,-63.5,0.47,-25.7,0,29,IS
worst+delay1h,15,2025-01-01,-3.03,-49.7,0.05,-17.4,0,12,OOS
worst+delay1h,20,2022-01-01,12.4,-75.3,0.49,-34.6,0,29,IS
worst+delay1h,20,2025-01-01,-8.25,-63.0,0.03,-22.0,1,8,OOS
