tag,L,start,cagr,dd,sh,wd,liq,n
start,1,2025-01-01,1.04,-3.2,0.61,-0.7,0,12
start,10,2025-01-01,9.3,-26.8,0.61,-6.3,0,12
start,15,2025-01-01,13.03,-36.8,0.61,-9.2,0,12
start,20,2025-01-01,16.14,-45.3,0.61,-12.0,0,12
start,1,2025-01-08,2.7,-3.1,1.86,-0.4,0,11
start,10,2025-01-08,25.48,-26.8,1.72,-4.3,0,11
start,15,2025-01-08,36.82,-37.3,1.65,-6.5,0,11
start,20,2025-01-08,47.08,-46.3,1.57,-8.7,0,11
start,1,2025-01-15,2.63,-3.1,1.83,-0.4,0,11
start,10,2025-01-15,24.75,-27.0,1.68,-4.2,0,11
start,15,2025-01-15,35.67,-37.7,1.61,-6.4,0,11
start,20,2025-01-15,45.47,-46.8,1.53,-8.7,0,11
start,1,2025-01-22,2.38,-3.1,1.89,-0.4,0,11
start,10,2025-01-22,23.13,-25.7,1.82,-3.7,0,11
start,15,2025-01-22,34.02,-35.5,1.78,-5.5,0,11
start,20,2025-01-22,44.31,-43.7,1.72,-7.2,0,11
start,1,2025-01-29,1.43,-3.2,1.0,-0.4,0,11
start,10,2025-01-29,12.67,-28.6,0.94,-4.1,0,11
start,15,2025-01-29,17.46,-40.2,0.89,-6.3,0,11
start,20,2025-01-29,20.98,-50.3,0.84,-8.4,0,11
start,1,2025-02-05,1.76,-3.1,1.44,-0.4,0,11
start,10,2025-02-05,16.58,-26.9,1.37,-3.8,0,11
start,15,2025-02-05,23.89,-37.5,1.32,-5.7,0,11
start,20,2025-02-05,30.36,-46.6,1.27,-7.6,0,11
start,1,2025-02-12,1.43,-3.1,1.15,-0.4,0,11
start,10,2025-02-12,13.47,-26.8,1.11,-3.8,0,11
start,15,2025-02-12,19.35,-37.3,1.08,-5.7,0,11
start,20,2025-02-12,24.49,-46.4,1.04,-7.6,0,11
start,1,2025-02-19,0.94,-3.1,0.81,-0.4,0,11
start,10,2025-02-19,8.42,-27.0,0.77,-3.8,0,11
start,15,2025-02-19,11.7,-37.8,0.74,-5.7,0,11
start,20,2025-02-19,14.25,-47.0,0.71,-7.6,0,11
start,1,2025-02-26,0.95,-3.1,0.82,-0.4,0,11
start,10,2025-02-26,8.53,-27.0,0.77,-3.8,0,11
