scenario,L,cagr_IS,maxdd_IS,worstday_IS,liq_IS,cagr_OOS_flatstart,maxdd_OOS,sharpe_OOS,worstday_OOS,liq_OOS,ETH_maxdd_OOS,cagr_OOS_continuous,maxdd_OOS_continuous,liq_OOS_continuous,trades_IS,trades_OOS,y2022_full,y2023_full,y2024_full,y2025_full,y2026_full
researcher_costs_mmr0.5,1,1.5,-5.19,-1.67,0,1.04,-2.96,0.61,-0.65,0,-4.83,0.94,-3.0,0,29,12,0.78,-0.68,4.61,0.69,0.87
researcher_costs_mmr0.5,3,4.49,-14.82,-5.02,0,3.04,-8.62,0.61,-1.95,0,-13.97,2.53,-8.98,0,29,12,2.36,-2.0,14.15,1.6,2.6
researcher_costs_mmr0.5,5,7.46,-23.56,-8.41,0,4.95,-13.96,0.61,-3.21,0,-22.44,3.72,-14.93,0,29,12,3.98,-3.25,24.11,1.88,4.31
researcher_costs_mmr0.5,10,14.84,-42.03,-17.03,0,9.3,-26.0,0.61,-6.27,0,-40.97,4.92,-29.48,0,29,12,8.19,-6.13,50.83,-0.2,8.54
researcher_costs_mmr0.5,15,22.18,-56.68,-25.86,0,13.03,-36.37,0.61,-9.19,0,-56.17,3.46,-43.27,0,29,12,12.65,-8.62,80.1,-6.11,12.7
researcher_costs_mmr0.5,20,29.52,-68.69,-34.9,0,16.14,-45.25,0.61,-11.97,0,-68.52,-0.77,-55.96,0,29,12,17.35,-10.76,111.76,-15.5,16.84
okx_tiers,1,1.5,-5.19,-1.67,0,1.04,-2.96,0.61,-0.65,0,-4.83,0.94,-3.0,0,29,12,0.78,-0.68,4.61,0.69,0.87
okx_tiers,3,4.49,-14.82,-5.02,0,3.04,-8.62,0.61,-1.95,0,-13.97,2.53,-8.98,0,29,12,2.36,-2.0,14.15,1.6,2.6
okx_tiers,5,7.46,-23.56,-8.41,0,4.95,-13.96,0.61,-3.21,0,-22.44,3.72,-14.93,0,29,12,3.98,-3.25,24.11,1.88,4.31
okx_tiers,10,14.84,-42.03,-17.03,0,9.3,-26.0,0.61,-6.27,0,-40.97,4.92,-29.48,0,29,12,8.19,-6.13,50.83,-0.2,8.54
okx_tiers,15,22.18,-56.68,-25.86,0,13.03,-36.37,0.61,-9.19,0,-56.17,3.46,-43.27,0,29,12,12.65,-8.62,80.1,-6.11,12.7
okx_tiers,20,29.52,-68.69,-34.9,0,-7.1,-67.83,0.18,-46.19,1,-100.0,-38.22,-82.76,1,29,7,17.35,-10.76,111.76,-63.33,22.35
okx_tiers_worstfill_slip2x,1,0.85,-5.59,-1.72,0,0.63,-3.13,0.37,-0.66,0,-5.13,0.56,-3.17,0,29,12,-0.11,-0.91,3.81,0.27,0.66
okx_tiers_worstfill_slip2x,3,2.49,-15.96,-5.19,0,1.81,-9.12,0.37,-1.95,0,-14.82,1.4,-9.45,0,29,12,-0.34,-2.69,11.53,0.37,1.97
okx_tiers_worstfill_slip2x,5,4.03,-25.36,-8.69,0,2.87,-14.76,0.37,-3.23,0,-23.78,1.87,-15.62,0,29,12,-0.57,-4.41,19.38,-0.14,3.27
okx_tiers_worstfill_slip2x,10,7.52,-45.11,-17.56,0,5.06,-27.4,0.37,-6.33,0,-43.27,1.32,-30.52,0,29,12,-1.17,-8.46,39.46,-3.99,6.46
okx_tiers_worstfill_slip2x,15,10.53,-60.37,-26.63,0,6.62,-38.19,0.38,-9.31,0,-59.09,-1.72,-44.46,0,29,12,-1.81,-12.18,59.89,-11.38,9.62
okx_tiers_worstfill_slip2x,20,13.08,-72.07,-35.92,0,-12.32,-67.73,0.08,-45.58,1,-100.0,-37.92,-80.9,1,29,7,-2.47,-15.55,80.26,-62.32,19.99
