window,start,end,BTC_move_%,BTC_max_intrabar_markprem_jump_%,BTC_markprem_close_min_max_%,BTC_max_raw_premidx_jump_%,ETH_move_%,ETH_max_intrabar_markprem_jump_%,ETH_markprem_close_min_max_%,ETH_max_raw_premidx_jump_%,SOL_move_%,SOL_max_intrabar_markprem_jump_%,SOL_markprem_close_min_max_%,SOL_max_raw_premidx_jump_%,DOGE_move_%,DOGE_max_intrabar_markprem_jump_%,DOGE_markprem_close_min_max_%,DOGE_max_raw_premidx_jump_%,XRP_move_%,XRP_max_intrabar_markprem_jump_%,XRP_markprem_close_min_max_%,XRP_max_raw_premidx_jump_%,always_L5_min_margin_ratio,always_L5_window_ret_%,always_L5_worst_intrabar_%,rotate_L5_min_margin_ratio,rotate_L5_window_ret_%,rotate_L5_worst_intrabar_%,always_L10_min_margin_ratio,always_L10_window_ret_%,always_L10_worst_intrabar_%,rotate_L10_min_margin_ratio,rotate_L10_window_ret_%,rotate_L10_worst_intrabar_%,always_L15_min_margin_ratio,always_L15_window_ret_%,always_L15_worst_intrabar_%,rotate_L15_min_margin_ratio,rotate_L15_window_ret_%,rotate_L15_worst_intrabar_%,always_L20_min_margin_ratio,always_L20_window_ret_%,always_L20_worst_intrabar_%,rotate_L20_min_margin_ratio,rotate_L20_window_ret_%,rotate_L20_worst_intrabar_%
LUNA May-2022,2022-05-07,2022-05-15,-13.0,0.076,-0.12/0.03,2.17,-20.2,0.139,-0.16/0.06,2.75,-27.8,0.402,-0.40/0.06,6.66,-26.7,0.391,-0.39/0.03,15.68,-25.7,0.138,-0.24/0.12,7.91,7.91,-0.5,-0.9,5.39,-4.1,-4.1,2.98,-0.9,-1.8,,0.0,0.0,1.66,-1.3,-2.7,,0.0,0.0,1.15,-2.9,-4.3,,0.0,0.0
3AC/Celsius Jun-2022,2022-06-10,2022-06-20,-30.9,0.1,-0.12/0.01,2.19,-36.4,0.121,-0.13/0.06,2.84,-10.8,0.166,-0.20/0.05,2.16,-23.7,0.196,-0.22/0.00,2.36,-19.0,0.13,-0.16/0.01,1.13,7.94,-1.3,-1.8,7.7,-0.9,-1.2,3.06,-2.4,-3.5,,0.0,0.0,1.61,-4.2,-5.7,,0.0,0.0,1.07,-8.4,-9.7,,0.0,0.0
FTX Nov-2022,2022-11-06,2022-11-15,-20.8,0.137,-0.27/0.01,1.86,-23.1,0.248,-0.25/0.02,2.32,-60.7,9.847,-20.02/0.10,15.99,-29.6,0.11,-0.17/0.07,3.66,-21.1,0.299,-0.38/0.00,4.69,8.29,-1.8,-1.9,5.23,-1.5,-2.3,3.06,-3.8,-3.9,,0.0,0.0,1.75,-5.5,-5.7,,0.0,0.0,1.12,-9.3,-9.6,,0.0,0.0
Squeeze 14-Jan-2023,2023-01-13,2023-01-16,12.8,0.825,-0.06/0.12,2.51,12.1,0.605,-0.04/0.16,5.27,43.6,0.576,-0.17/0.20,5.53,4.9,0.124,-0.00/0.17,1.72,3.3,0.107,-0.08/0.15,1.6,6.57,0.2,-3.9,5.61,0.9,-1.3,2.3,0.3,-8.1,2.36,-1.2,-3.9,1.21,0.6,-11.7,3.63,-0.9,-2.9,0.78,-70.4,-71.2,,0.0,0.0
USDC/SVB Mar-2023,2023-03-09,2023-03-15,11.8,0.067,-0.07/0.15,1.04,7.4,0.072,-0.07/0.14,1.04,3.9,0.144,-0.16/0.15,1.55,-2.4,0.087,-0.14/0.18,1.43,-8.8,0.074,-0.10/0.06,0.77,7.56,0.2,-0.7,5.67,-0.2,-1.4,3.15,0.2,-1.5,2.11,-1.4,-3.1,1.69,-0.8,-3.3,1.35,-1.2,-3.7,1.15,-1.7,-4.7,1.03,-0.5,-4.4
Yen unwind Aug-2024,2024-08-02,2024-08-08,-5.0,0.056,-0.08/0.04,0.62,-16.0,0.109,-0.11/0.03,1.87,-2.3,0.126,-0.12/0.04,0.77,-9.0,0.117,-0.13/0.05,0.62,4.7,0.07,-0.14/0.08,0.81,6.96,-0.5,-0.8,,0.0,0.0,3.3,-0.3,-1.1,2.38,-2.0,-3.1,1.68,-0.9,-2.1,1.25,-2.9,-4.2,1.13,-2.3,-3.5,1.05,-3.5,-4.7
Feb-2025 tariff crash,2025-02-02,2025-02-04,-3.4,0.059,-0.07/0.07,0.51,-13.3,0.354,-0.13/0.00,2.88,-4.9,0.057,-0.21/0.03,1.25,-15.6,0.128,-0.13/0.14,1.69,-13.7,0.101,-0.16/0.18,2.38,7.76,-0.1,-0.9,5.46,-0.9,-1.2,3.11,-0.2,-1.9,1.51,-1.8,-2.4,1.86,-0.3,-2.7,,0.0,0.0,1.17,-1.0,-4.1,,0.0,0.0
Mar-2025 pump/crash,2025-03-02,2025-03-04,1.5,0.046,-0.08/0.00,0.2,-2.0,0.071,-0.08/-0.02,0.95,0.1,0.076,-0.09/0.00,0.59,-3.4,0.105,-0.11/0.12,0.47,12.0,0.07,-0.10/0.01,0.4,9.02,-0.1,-0.3,6.16,-1.9,-1.9,3.66,-0.2,-0.6,,0.0,0.0,1.9,-0.3,-1.0,,0.0,0.0,1.04,-1.9,-2.6,,0.0,0.0
Apr-2025 tariffs,2025-04-06,2025-04-09,-1.1,0.043,-0.07/0.00,0.68,-7.8,0.057,-0.07/0.01,0.61,-1.1,0.085,-0.09/0.08,0.36,-5.3,0.082,-0.09/0.04,0.25,-4.4,0.065,-0.12/0.06,0.51,7.68,-0.1,-0.4,,0.0,0.0,3.29,-0.2,-0.7,,0.0,0.0,2.04,-0.4,-1.1,,0.0,0.0,1.13,-1.5,-2.3,,0.0,0.0
10-Oct-2025 cascade,2025-10-10,2025-10-12,-5.6,0.12,-0.09/0.01,1.02,-5.2,0.16,-0.21/-0.00,2.33,-10.9,0.189,-0.89/-0.03,3.31,-16.8,0.262,-0.15/0.02,17.09,-10.1,0.237,-0.27/0.76,8.5,8.2,-0.1,-0.6,4.83,-0.9,-2.7,3.44,-0.1,-1.0,,0.0,0.0,1.84,-0.1,-1.5,,0.0,0.0,1.18,-0.8,-2.8,,0.0,0.0
