variant,leverage,params,cagr_is,cagr_oos,maxdd_is,maxdd_oos,maxdd_full,worst_day_is,worst_day_oos,worst_day_full,sharpe_is,sharpe_oos,liq_is,liq_oos,liq_full,liq_dates_full,trades_full,trades_oos,imr_rejects_full,okx_openable,avg_util_lev_full,funding_full,interest_full,fees_full,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
i_always_BTCETH,1,"{""L"": 1, ""mode"": ""always"", ""band"": 0.2, ""borrow"": ""okx"", ""stress"": ""mark"", ""fees"": ""taker""}",0.07462438197946453,0.03447749418012047,0.00930245624663828,0.006608475562441263,0.00930245624663828,-0.003132176534799358,-0.001724369845031104,-0.003132176534799358,10.63771897176558,9.472503296261289,0,0,0,,154,46,0,True,1.0065420136044312,0.34916727272677417,0.009763299320410824,0.020395741539223872,0.017203808212293614,0.08227227776961366,0.1273193261084251,0.047490171659958946,0.012108827450255655
i_always_BTCETH_borrow5,1,"{""L"": 1, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.05}",0.07543702144031861,0.034345939353167765,0.009313212294025042,0.006767885898594561,0.009313212294025042,-0.00313263379657569,-0.0017243304453125052,-0.00313263379657569,10.583890463654296,9.388584335647286,0,0,0,,154,46,0,True,1.0065214137060512,0.3494041278218677,0.007365361672486456,0.02041510130412419,0.016459455718749627,0.08295135370345208,0.12999769688697493,0.04749100465223455,0.011807678684799816
i_always_BTCETH_borrow8,1,"{""L"": 1, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.08}",0.07447800003470761,0.03360170229343362,0.009321805892157475,0.006967754118621938,0.009321805892157475,-0.00313309035372511,-0.0017243895450188562,-0.00313309035372511,10.47340588315882,9.199978814475735,0,0,0,,154,46,0,True,1.0066209217331608,0.3486919274227213,0.011787791496635601,0.020384245728241462,0.015791936740332302,0.08157820329442567,0.12914898668591057,0.046667782358131404,0.0113891046451009
i_always_BTCETH_borrow12,1,"{""L"": 1, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.12}",0.0719863003487562,0.03260613846108651,0.009333527982775314,0.007235113905740276,0.009333527982775314,-0.003133702180879383,-0.0017244683458251808,-0.003133702180879383,10.270027901454842,8.943831049521709,0,0,0,,164,46,0,True,1.0024455185004255,0.34355776148005024,0.01703892058231433,0.021285074601563692,0.01490005537462058,0.07807489787750344,0.1259423615331947,0.045565880166100525,0.010829402836607382
i_always_BTCETH_rawpremiumstress,1,"{""L"": 1, ""mode"": ""always"", ""band"": 0.2, ""stress"": ""raw premium index""}",0.07462438197946453,0.03447749418012047,0.0515191592605464,0.014869629840722376,0.0515191592605464,-0.003132176534799358,-0.001724369845031104,-0.003132176534799358,10.63771897176558,9.472503296261289,0,0,0,,154,46,0,True,1.0065420136044312,0.34916727272677417,0.009763299320410824,0.020395741539223872,0.017203808212293614,0.08227227776961366,0.1273193261084251,0.047490171659958946,0.012108827450255655
i_always_BTCETH_makerfees,1,"{""L"": 1, ""mode"": ""always"", ""band"": 0.2, ""maker"": true, ""fees"": ""maker""}",0.07564924583413157,0.035488670053916316,0.009301939051854058,0.00640022635601778,0.009301939051854058,-0.003131998168973915,-0.001224427321994126,-0.003131998168973915,10.881118853635224,10.330201963234577,0,0,0,,154,46,0,True,1.0054405799687618,0.34940747383589094,0.009620448028204186,0.015454894409835291,0.01904321194910863,0.08232562547430033,0.12845219883880588,0.04833450591227395,0.012530343091404328
i_always_BTCETH_splitmargin,1,"{""L"": 1, ""mode"": ""always"", ""band"": 0.2, ""margin"": ""separate accounts, daily transfer""}",0.04921178535644377,0.0163804070278315,0.009614117877966954,0.009933369363896771,0.009690491524104394,-0.0031470056492046705,-0.001814841443303572,-0.0031470056492046705,8.176422890996887,4.695993140953119,0,0,0,,148,46,0,True,0.9984308492628198,0.3300339709094237,0.11994133519328756,0.01848436274481219,0.01029447318430221,0.05894036395683089,0.07965321089551103,0.02640010851029695,0.003233270517019049
i_always_BTCETH,3,"{""L"": 3, ""mode"": ""always"", ""band"": 0.2, ""borrow"": ""okx"", ""stress"": ""mark"", ""fees"": ""taker""}",0.1245359458906794,0.028974682848146527,0.03429391398912507,0.033738714278380266,0.03429391398912507,-0.009466313902127488,-0.005539015270554781,-0.009466313902127488,6.780424613649638,2.7701113944782723,0,0,0,,152,46,0,True,2.999712424109562,1.1397439919859906,0.5669885938190452,0.0645508037428456,0.022143499491933838,0.1631881770900767,0.19617044000658512,0.053274664431693486,0.0003728166829506385
i_always_BTCETH_borrow5,3,"{""L"": 3, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.05}",0.12728823241592813,0.0028580167606602203,0.07272321206741728,0.04993131406002471,0.07272321206741728,-0.010726768658116392,-0.005434346016558678,-0.010726768658116392,5.712959311153046,0.2690530345572716,0,0,0,,166,54,0,True,3.000995669376768,1.0956042395054861,0.5712616232897707,0.06686689021366496,-0.04979428519301754,0.14523152802863337,0.31652649250042075,0.042022938476552696,-0.029444193562497056
i_always_BTCETH_borrow8,3,"{""L"": 3, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.08}",0.0605986970845207,-0.05784263006202883,0.11932751443846734,0.10390695318900178,0.11932751443846734,-0.010971066780528393,-0.005591351865761762,-0.010971066780528393,2.874320686785045,-5.426203177794835,0,0,0,,168,54,0,True,3.020178798505234,0.945489201942766,0.7937431743112071,0.05929006048872577,-0.10052530147015348,0.07645157193920316,0.23221731950839963,-0.020266818957145327,-0.07132042354963741
