L,band,maker,cagr_oos,maxdd_oos,liq,liq_dates,trades,fees,funding,interest
1,0.02,False,0.0144,0.0122,0,,2978,0.04,0.065,0.0
1,0.02,True,0.0207,0.0105,0,,2974,0.03,0.065,0.0
1,0.05,False,0.0264,0.0093,0,,640,0.021,0.066,0.001
1,0.05,True,0.0294,0.0093,0,,648,0.016,0.066,0.001
1,0.1,False,0.0312,0.0088,0,,192,0.012,0.066,0.001
1,0.1,True,0.033,0.0092,0,,200,0.01,0.066,0.001
1,0.2,False,0.0345,0.0081,0,,46,0.007,0.066,0.002
1,0.2,True,0.0355,0.0081,0,,46,0.005,0.066,0.002
10,0.02,False,-0.1745,0.3229,0,,2888,0.343,0.561,0.488
10,0.02,True,-0.1221,0.2518,0,,2872,0.266,0.588,0.513
10,0.05,False,-0.0779,0.1901,0,,674,0.199,0.608,0.532
10,0.05,True,-0.0472,0.1597,0,,674,0.153,0.627,0.549
10,0.1,False,-0.0233,0.146,0,,184,0.117,0.638,0.558
10,0.1,True,-0.0097,0.1396,0,,204,0.096,0.647,0.566
10,0.2,False,0.0033,0.1338,0,,52,0.072,0.654,0.577
10,0.2,True,0.0138,0.1307,0,,52,0.054,0.66,0.582
15,0.02,False,-0.2676,0.4646,0,,2940,0.48,0.772,0.692
15,0.02,True,-0.1962,0.3772,0,,2936,0.382,0.83,0.748
15,0.05,False,-0.1332,0.2963,0,,686,0.291,0.873,0.789
15,0.05,True,-0.0903,0.2422,0,,694,0.227,0.911,0.825
15,0.1,False,-0.0578,0.215,0,,194,0.178,0.932,0.847
15,0.1,True,-0.0336,0.2073,0,,200,0.14,0.955,0.867
15,0.2,False,-0.0094,0.1991,0,,52,0.107,0.986,0.896
15,0.2,True,0.0048,0.193,0,,50,0.078,0.99,0.903
20,0.02,False,-0.6659,0.8457,1,2026-08-19 15,3062,0.61,0.924,0.847
20,0.02,True,-0.6112,0.8019,1,2026-08-19 15,3012,0.493,1.019,0.942
20,0.05,False,-0.5872,0.7823,1,2026-08-19 15,686,0.379,1.082,1.008
20,0.05,True,-0.5391,0.7393,1,2026-08-19 15,664,0.292,1.158,1.083
20,0.1,False,-0.7305,0.8941,2,2026-01-13 22;2026-08-19 15,214,0.222,1.083,0.943
20,0.1,True,-0.4946,0.7108,1,2026-08-19 15,206,0.191,1.214,1.143
20,0.2,False,-0.9884,0.9994,8,2025-01-20 06;2025-04-27 00;2025-05-08 14;2025-07-10 21;2026-03-16 12;2026-04-17 16;2026-05-06 08;2026-08-19 15,72,0.074,0.202,0.16
20,0.2,True,-0.9608,0.9959,6,2025-04-23 13;2025-05-08 12;2025-07-11 09;2026-04-17 14;2026-05-06 11;2026-08-19 15,66,0.068,0.378,0.295
