L,band,per,intrabar,cagr,maxdd,worst_day,sharpe,liq,liq_dates,trades,imr_rejects,ret_2022,ret_2023,ret_2024
1,0.02,IS,closes+highs,0.051956940751056946,0.03507587530560652,-0.0034067134204450733,7.261308469948172,0,,5548,0,-0.014503242314863662,0.06735738885456999,0.10673561632272976
1,0.05,IS,closes+highs,0.06513498952590413,0.02459458798872749,-0.0034068884111199127,9.27098352235182,0,,1230,0,0.003965424008538276,0.07507270015718381,0.11963411224772513
1,0.1,IS,closes+highs,0.07112423848083083,0.022476542262595323,-0.003264182309133168,10.126874770583234,0,,358,0,0.011482836005465291,0.07846427497027686,0.12661540308899277
1,0.2,IS,closes+highs,0.07462438197946453,0.02288755615016924,-0.003132176534799358,10.63771897176558,0,,108,0,0.017203808212293614,0.08227227776961366,0.1273193261084251
3,0.02,IS,closes+highs,0.05364436898092695,0.12437100009763835,-0.010281909575719284,2.8893489644753756,0,,5572,0,-0.07131403322734275,0.1171656766916429,0.12748615457491774
3,0.05,IS,closes+highs,0.09381697538869371,0.08953989529333406,-0.010024183171287504,5.105315923374584,0,,1270,0,-0.018426596409224727,0.1427826811266466,0.1667403055528076
3,0.1,IS,closes+highs,0.11080743354130052,0.07792574114483819,-0.009887616118568254,6.036538427925885,0,,392,0,0.0044272124504283195,0.15465779398641644,0.18188659933065665
3,0.2,IS,closes+highs,0.1245359458906794,0.07747109515857875,-0.009466313902127488,6.780424613649638,0,,104,0,0.022143499491933838,0.1631881770900767,0.19617044000658512
5,0.02,IS,closes+highs,0.052871907118793526,0.21036225939279984,-0.017308046791520315,1.735747762493935,0,,5638,0,-0.1264162726837017,0.16536771703154574,0.146500927205917
5,0.05,IS,closes+highs,0.12209716684417815,0.15274380440981994,-0.01672847481151918,4.005662613262298,0,,1294,0,-0.04113085490458612,0.20966557083709159,0.21815058324634706
5,0.1,IS,closes+highs,0.15066402191156758,0.13238112457204898,-0.016578873345031275,4.93798172595576,0,,404,0,-0.005232768948787658,0.23019986164382678,0.24505969646246495
5,0.2,IS,closes+highs,0.1733654391335444,0.13125398035379332,-0.01583597948998272,5.7101815523831645,0,,108,0,0.026154767082074315,0.24950384528906722,0.26007657177347987
8,0.02,IS,closes+highs,0.049358059316630065,0.32734350424646397,-0.027644822754468334,1.0315761629879054,0,,5680,0,-0.20492844354365491,0.24013561077085588,0.17195256282545412
8,0.05,IS,closes+highs,0.16531359939227652,0.24399646543083353,-0.027693131565706963,3.325824138526851,0,,1292,0,-0.07411038617729915,0.32160774658703173,0.293338285897347
8,0.1,IS,closes+highs,0.21460609037787126,0.226308418202382,-0.026673112716614655,4.319883383103406,0,,392,0,-0.01611621376056238,0.35641010596907896,0.34285566533653045
8,0.2,IS,closes+highs,0.2563613413720569,0.21179509963449739,-0.02545077751171687,5.1295105535403875,0,,98,0,0.03503560646093096,0.3851906507234071,0.38339656172411973
10,0.02,IS,closes+highs,0.044578525753382836,0.3974276918415267,-0.03470644485562213,0.7591628499714398,0,,5752,1119,-0.2568162495042463,0.2903809067795895,0.18856273882481123
10,0.05,IS,closes+highs,0.18893901320047912,0.30487224511965416,-0.03473760811342197,3.037586400018411,0,,1342,306,-0.10467022450572472,0.4019672676907231,0.33908848646779166
10,0.1,IS,closes+highs,0.25740043606798135,0.2778256484139999,-0.03348235910716846,4.092197676595484,0,,418,99,-0.025518255909821264,0.4458570100315664,0.411204177613131
10,0.2,IS,closes+highs,0.3150126084930285,0.2743064357611785,-0.03315031235293753,4.9008975794387934,0,,88,21,0.039145611523055734,0.4835681981153648,0.4753234000084845
15,0.02,IS,closes+highs,-0.3256718996559771,0.8203823386340441,-0.7045382174164705,-0.5232555811715224,1,2023-01-14 00,5934,1160,-0.38240600312409967,-0.5906458604401565,0.2125352968198937
15,0.05,IS,closes+highs,-0.20146540781257094,0.787272048391498,-0.7214645192934805,-0.08307813007610497,1,2023-01-14 00,1404,312,-0.18768751277886864,-0.576220450806125,0.4789422047419718
15,0.1,IS,closes+highs,-0.1472186922946852,0.7840391812608255,-0.7437484182933248,0.11526072974976413,1,2023-01-14 00,456,108,-0.06620227724441108,-0.5773273981100491,0.5711178773450014
15,0.2,IS,closes+highs,-0.15274807558944647,0.8198539912186612,-0.7986043675098807,0.22564636491732454,1,2023-01-14 00,104,27,0.04909317980530048,-0.6538279453159781,0.6744891955407974
20,0.02,IS,closes+highs,-0.8430446186430476,0.9973910121502698,-0.9389864659387525,-1.0489936001049283,3,2023-01-14 00;2023-10-16 13;2023-10-23 22,6256,1208,-0.4997540671356564,-0.9935610135097953,0.19888379487512675
20,0.05,IS,closes+highs,-0.8495522419134568,0.9984203545049386,-0.9731527878126088,-0.7172551023516474,3,2023-01-14 00;2023-10-16 13;2023-10-23 22,1468,322,-0.2422115292037983,-0.9971733831959751,0.5877392557183148
20,0.1,IS,closes+highs,-0.8438325319443247,0.9985227279357322,-0.9558552558154428,-0.7194023678978366,4,2022-11-10 13;2023-01-14 00;2023-10-16 13;2023-10-23 22,464,113,-0.6275892487024048,-0.9941811332462531,0.7553314233729733
20,0.2,IS,closes+highs,-1.0,1.0,-1.0,-2.9817072220696215,9,2022-01-26 19;2022-02-01 03;2022-02-07 03;2022-06-19 19;2022-06-26 11;2022-07-18 06;2022-07-30 13;2022-11-10 15;2023-01-14 00,72,24,-0.9993601175157808,-1.0,0.0
1,0.02,IS,closes,0.051956940751056946,0.031163668298767155,-0.0034067134204450733,7.261308469948172,0,,5548,0,-0.014503242314863662,0.06735738885456999,0.10673561632272976
1,0.05,IS,closes,0.06513498952590413,0.020562933367813785,-0.0034068884111199127,9.27098352235182,0,,1230,0,0.003965424008538276,0.07507270015718381,0.11963411224772513
1,0.1,IS,closes,0.07112423848083083,0.018513012981708266,-0.003264182309133168,10.126874770583234,0,,358,0,0.011482836005465291,0.07846427497027686,0.12661540308899277
1,0.2,IS,closes,0.07462438197946453,0.0184538796922622,-0.003132176534799358,10.63771897176558,0,,108,0,0.017203808212293614,0.08227227776961366,0.1273193261084251
3,0.02,IS,closes,0.05364436898092695,0.11326185444118653,-0.010281909575719284,2.8893489644753756,0,,5572,0,-0.07131403322734275,0.1171656766916429,0.12748615457491774
3,0.05,IS,closes,0.09381697538869371,0.07774827852725497,-0.010024183171287504,5.105315923374584,0,,1270,0,-0.018426596409224727,0.1427826811266466,0.1667403055528076
3,0.1,IS,closes,0.11080743354130052,0.06615389404822458,-0.009887616118568254,6.036538427925885,0,,392,0,0.0044272124504283195,0.15465779398641644,0.18188659933065665
3,0.2,IS,closes,0.1245359458906794,0.06433247820705879,-0.009466313902127488,6.780424613649638,0,,104,0,0.022143499491933838,0.1631881770900767,0.19617044000658512
5,0.02,IS,closes,0.052871907118793526,0.19291524086608958,-0.017308046791520315,1.735747762493935,0,,5638,0,-0.1264162726837017,0.16536771703154574,0.146500927205917
5,0.05,IS,closes,0.12209716684417815,0.13360560927512,-0.01672847481151918,4.005662613262298,0,,1294,0,-0.04113085490458612,0.20966557083709159,0.21815058324634706
5,0.1,IS,closes,0.15066402191156758,0.11344712246848376,-0.016578873345031275,4.93798172595576,0,,404,0,-0.005232768948787658,0.23019986164382678,0.24505969646246495
5,0.2,IS,closes,0.1733654391335444,0.10962814662022058,-0.01583597948998272,5.7101815523831645,0,,108,0,0.026154767082074315,0.24950384528906722,0.26007657177347987
8,0.02,IS,closes,0.049358059316630065,0.3018441088638367,-0.027644822754468334,1.0315761629879054,0,,5680,0,-0.20492844354365491,0.24013561077085588,0.17195256282545412
8,0.05,IS,closes,0.16531359939227652,0.21462977866785515,-0.027693131565706963,3.325824138526851,0,,1292,0,-0.07411038617729915,0.32160774658703173,0.293338285897347
8,0.1,IS,closes,0.21460609037787126,0.19407028507401725,-0.026673112716614655,4.319883383103406,0,,392,0,-0.01611621376056238,0.35641010596907896,0.34285566533653045
8,0.2,IS,closes,0.2563613413720569,0.17744047241478822,-0.02545077751171687,5.1295105535403875,0,,98,0,0.03503560646093096,0.3851906507234071,0.38339656172411973
10,0.02,IS,closes,0.044578525753382836,0.36784722834583883,-0.03470644485562213,0.7591628499714398,0,,5752,1119,-0.2568162495042463,0.2903809067795895,0.18856273882481123
10,0.05,IS,closes,0.18893901320047912,0.2693655151338058,-0.03473760811342197,3.037586400018411,0,,1342,306,-0.10467022450572472,0.4019672676907231,0.33908848646779166
10,0.1,IS,closes,0.25740043606798135,0.23890974994901037,-0.03348235910716846,4.092197676595484,0,,418,99,-0.025518255909821264,0.4458570100315664,0.411204177613131
10,0.2,IS,closes,0.3150126084930285,0.23030608014273135,-0.03315031235293753,4.9008975794387934,0,,88,21,0.039145611523055734,0.4835681981153648,0.4753234000084845
15,0.02,IS,closes,0.020045457534495714,0.5217493772740212,-0.05327192516712709,0.26455637978377555,0,,5936,1160,-0.38240600312409967,0.41731708598092965,0.2125352968201648
15,0.05,IS,closes,0.2341833495844432,0.40420272148733216,-0.05256260966080273,2.444980548070212,0,,1388,308,-0.18768751277886864,0.5650465625573253,0.47894220474168536
15,0.1,IS,closes,0.36339534057804546,0.3484625976048007,-0.053362177421722445,3.6526452961270888,0,,438,107,-0.06620227724441108,0.7051589742092532,0.5919883101825254
15,0.2,IS,closes,-0.06365855523247355,0.7568150600432407,-0.7281403101880923,0.30130642853767237,1,2023-01-14 00,104,27,0.04909317980530048,-0.532709690650463,0.6744891955407557
20,0.02,IS,closes,-0.6630798271346119,0.9741802792595528,-0.856134907129216,-0.8627473529231082,2,2023-01-14 00;2023-10-23 22,6254,1208,-0.4997540671356564,-0.9362768849054633,0.19888379487535368
20,0.05,IS,closes,-0.7114772337583233,0.9888535570821322,-0.8871563911029026,-0.6856165895652817,3,2023-01-14 00;2023-10-16 13;2023-10-23 22,1468,322,-0.2422115292037983,-0.9800545610041945,0.5877392557180814
20,0.1,IS,closes,-0.5680284007675891,0.9687135130497615,-0.8989405519341518,-0.25091744042330927,2,2023-01-14 00;2023-10-23 22,448,110,-0.0936249668498057,-0.9493652110723345,0.7553314233729334
20,0.2,IS,closes,-1.0,1.0,-1.0,-2.7813584692488176,8,2022-01-26 19;2022-02-01 03;2022-02-07 03;2022-06-19 19;2022-06-26 12;2022-07-28 15;2022-11-10 21;2023-01-14 00,70,23,-0.9983785703898718,-1.0,0.0
