L,band,per,intrabar,cagr,maxdd,worst_day,sharpe,liq,liq_dates,trades,imr_rejects,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026,band_source
1,0.2,IS,closes+highs,0.07462438197946453,0.02288755615016924,-0.003132176534799358,10.63771897176558,0,,108,0,0.017203808212293614,0.08227227776961366,0.1273193261084251,,,IS-reselected
1,0.2,OOS,closes+highs,0.03447749418012047,0.006838558129235173,-0.001724369845031104,9.472503296261289,0,,46,0,,,,0.04570011199051205,0.011807036404152926,IS-reselected
1,0.2,FULL,closes+highs,0.060580477765541874,0.02288755615016924,-0.003132176534799358,10.066030575951759,0,,154,0,0.017203808212293614,0.08227227776961366,0.1273193261084251,0.047490171659958946,0.012108827450255655,IS-reselected
3,0.2,IS,closes+highs,0.1245359458906794,0.07747109515857875,-0.009466313902127488,6.780424613649638,0,,104,0,0.022143499491933838,0.1631881770900767,0.19617044000658512,,,IS-reselected
3,0.2,OOS,closes+highs,0.028974682848146527,0.03409825530313637,-0.005539015270554781,2.7701113944782723,0,,46,0,,,,0.049100537850225834,-0.0003869873174453531,IS-reselected
3,0.2,FULL,closes+highs,0.09056646340485264,0.07747109515857875,-0.009466313902127488,5.740945120629379,0,,152,0,0.022143499491933838,0.1631881770900767,0.19617044000658512,0.053274664431693486,0.0003728166829506385,IS-reselected
5,0.2,IS,closes+highs,0.1733654391335444,0.13125398035379332,-0.01583597948998272,5.7101815523831645,0,,108,0,0.026154767082074315,0.24950384528906722,0.26007657177347987,,,IS-reselected
5,0.2,OOS,closes+highs,0.018980816457677463,0.06689294712505667,-0.009354229524455526,1.1000958691067233,0,,60,0,,,,0.04913160468664568,-0.016525112067216297,IS-reselected
5,0.2,FULL,closes+highs,0.11948629326732818,0.13125398035379332,-0.01583597948998272,4.610770254352571,0,,150,0,0.026154767082074315,0.24950384528906722,0.26007657177347987,0.06181848277974655,-0.01306278721884202,IS-reselected
8,0.2,IS,closes+highs,0.2563613413720569,0.21179509963449739,-0.02545077751171687,5.1295105535403875,0,,98,0,0.03503560646093096,0.3851906507234071,0.38339656172411973,,,IS-reselected
8,0.2,OOS,closes+highs,0.0051788421496477,0.11497768522159113,-0.015077050905300204,0.19788986712966516,0,,62,0,,,,0.0510625168918617,-0.040365743563548495,IS-reselected
8,0.2,FULL,closes+highs,0.16412117561398976,0.21179509963449739,-0.02545077751171687,3.893510610787452,0,,156,0,0.03503560646093096,0.3851906507234071,0.38339656172411973,0.06698234026092043,-0.039864698564189505,IS-reselected
10,0.2,IS,closes+highs,0.3150126084930285,0.2743064357611785,-0.03315031235293753,4.9008975794387934,0,,88,21,0.039145611523055734,0.4835681981153648,0.4753234000084845,,,IS-reselected
