L,per,intrabar,cagr,maxdd,worst_day,sharpe,liq,liq_dates,trades,m1_hours,y2022,y2023,y2024,y2025,y2026
1,IS,proxy,0.0746,0.0093,-0.0031,10.64,0,,108,0,0.0172,0.0823,0.1273,,
1,OOS,proxy,0.0345,0.0066,-0.0017,9.47,0,,46,0,,,,0.0457,0.0118
1,FULL,proxy,0.0606,0.0093,-0.0031,10.07,0,,154,0,0.0172,0.0823,0.1273,0.0475,0.0121
3,IS,proxy,0.1245,0.0343,-0.0095,6.78,0,,104,0,0.0221,0.1632,0.1962,,
3,OOS,proxy,0.029,0.0337,-0.0055,2.77,0,,46,0,,,,0.0491,-0.0004
3,FULL,proxy,0.0906,0.0343,-0.0095,5.74,0,,152,0,0.0221,0.1632,0.1962,0.0533,0.0004
5,IS,proxy,0.1734,0.0602,-0.0158,5.71,0,,108,0,0.0262,0.2495,0.2601,,
5,OOS,proxy,0.019,0.0616,-0.0094,1.1,0,,60,0,,,,0.0491,-0.0165
5,FULL,proxy,0.1195,0.0602,-0.0158,4.61,0,,150,0,0.0262,0.2495,0.2601,0.0618,-0.0131
8,IS,proxy,0.2564,0.0983,-0.0255,5.13,0,,98,0,0.035,0.3852,0.3834,,
8,OOS,proxy,0.0052,0.1018,-0.0151,0.2,0,,62,0,,,,0.0511,-0.0404
8,FULL,proxy,0.1641,0.1012,-0.0255,3.89,0,,156,0,0.035,0.3852,0.3834,0.067,-0.0399
10,IS,proxy,0.315,0.1284,-0.0332,4.9,0,,88,0,0.0391,0.4836,0.4753,,
10,OOS,proxy,0.0033,0.1221,-0.0189,0.11,0,,52,0,,,,0.0574,-0.0491
10,FULL,proxy,0.198,0.1284,-0.0332,3.71,0,,138,0,0.0391,0.4836,0.4753,0.0742,-0.0491
15,IS,proxy,0.4482,0.1839,-0.0482,4.44,0,,110,0,0.0491,0.7422,0.6621,,
15,OOS,proxy,-0.0094,0.1793,-0.0284,-0.16,0,,52,0,,,,0.0625,-0.0735
15,FULL,proxy,0.2705,0.1839,-0.0482,3.3,0,,154,0,0.0491,0.7422,0.6621,0.0892,-0.0765
20,IS,proxy,-0.151,0.7902,-0.6986,0.02,1,2023-01-14 00,1454,0,-0.2422,-0.4915,0.5877,,
20,OOS,proxy,-0.1868,0.3632,-0.038,-2.94,0,,688,0,,,,-0.1266,-0.1884
20,FULL,proxy,-0.1547,0.7902,-0.6986,-0.16,1,2023-01-14 00,2116,0,-0.2422,-0.4915,0.5877,-0.0807,-0.1884
1,IS,1m,0.0746,0.0132,-0.0031,10.64,0,,108,26011,0.0172,0.0823,0.1273,,
1,OOS,1m,0.0345,0.0081,-0.0017,9.47,0,,46,14567,,,,0.0457,0.0118
1,FULL,1m,0.0606,0.0132,-0.0031,10.07,0,,154,40579,0.0172,0.0823,0.1273,0.0475,0.0121
3,IS,1m,0.1245,0.0484,-0.0095,6.78,0,,104,26011,0.0221,0.1632,0.1962,,
3,OOS,1m,0.029,0.0341,-0.0055,2.77,0,,46,14567,,,,0.0491,-0.0004
3,FULL,1m,0.0906,0.0484,-0.0095,5.74,0,,152,40579,0.0221,0.1632,0.1962,0.0533,0.0004
5,IS,1m,0.1734,0.0835,-0.0158,5.71,0,,108,26011,0.0262,0.2495,0.2601,,
5,OOS,1m,0.019,0.0646,-0.0094,1.1,0,,60,14567,,,,0.0491,-0.0165
5,FULL,1m,0.1195,0.0835,-0.0158,4.61,0,,150,40579,0.0262,0.2495,0.2601,0.0618,-0.0131
8,IS,1m,0.2564,0.1355,-0.0255,5.13,0,,98,26011,0.035,0.3852,0.3834,,
8,OOS,1m,0.0052,0.1111,-0.0151,0.2,0,,62,14567,,,,0.0511,-0.0404
8,FULL,1m,0.1641,0.1355,-0.0255,3.89,0,,156,40579,0.035,0.3852,0.3834,0.067,-0.0399
10,IS,1m,0.315,0.1763,-0.0332,4.9,0,,88,26011,0.0391,0.4836,0.4753,,
10,OOS,1m,0.0033,0.1338,-0.0189,0.11,0,,52,14567,,,,0.0574,-0.0491
10,FULL,1m,0.198,0.1763,-0.0332,3.71,0,,138,40579,0.0391,0.4836,0.4753,0.0742,-0.0491
15,IS,1m,0.4482,0.2512,-0.0482,4.44,0,,110,26011,0.0491,0.7422,0.6621,,
15,OOS,1m,-0.0094,0.1991,-0.0284,-0.16,0,,52,14567,,,,0.0625,-0.0735
15,FULL,1m,0.2705,0.2512,-0.0482,3.3,0,,154,40579,0.0491,0.7422,0.6621,0.0892,-0.0765
20,IS,1m,-0.4554,0.9243,-0.7851,-0.4,2,2023-01-14 00;2023-10-23 22,1462,25963,-0.2422,-0.8658,0.5877,,
20,OOS,1m,-0.5872,0.7823,-0.6629,-1.21,1,2026-08-19 15,686,14543,,,,-0.1266,-0.7374
20,FULL,1m,-0.5012,0.9656,-0.7851,-0.64,3,2023-01-14 00;2023-10-23 22;2026-08-19 15,2122,40507,-0.2422,-0.8658,0.5877,-0.0807,-0.7374
