L,per,src,cagr,maxdd,liq,liq_dates,min_mr_in_windows,at
8,IS,binance1m,0.2564,0.1355,0,,3.23,2023-01-14 00
8,IS,okx_in_windows,0.2564,0.2118,0,,2.8,2023-01-14 00
8,OOS,binance1m,0.0052,0.1111,0,,3.77,2025-05-09 07
8,OOS,okx_in_windows,0.0052,0.115,0,,3.75,2026-08-19 15
10,IS,binance1m,0.315,0.1763,0,,2.14,2023-01-14 00
10,IS,okx_in_windows,0.315,0.2743,0,,1.73,2023-01-14 00
10,OOS,binance1m,0.0033,0.1338,0,,2.84,2025-05-09 07
10,OOS,okx_in_windows,0.0033,0.1371,0,,2.85,2025-05-09 07
15,IS,binance1m,0.4482,0.2512,0,,1.04,2023-01-14 00
15,IS,okx_in_windows,-0.1527,0.8199,1,2023-01-14 00,0.67,2023-01-14 00
15,OOS,binance1m,-0.0094,0.1991,0,,1.48,2026-08-19 15
15,OOS,okx_in_windows,-0.0094,0.2039,0,,1.44,2026-08-19 15
20,IS,binance1m,-0.4554,0.9243,2,2023-01-14 00;2023-10-23 22,0.62,2023-01-14 00
20,IS,okx_in_windows,-0.8496,0.9984,3,2023-01-14 00;2023-10-16 13;2023-10-23 22,0.25,2023-01-14 00
20,OOS,binance1m,-0.5872,0.7823,1,2026-08-19 15,0.87,2026-08-19 15
20,OOS,okx_in_windows,-0.5967,0.7906,1,2026-08-19 15,0.84,2026-08-19 15
