per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,PNUTUSDT,2025-01-07 15:16:00+00:00,1,-118.63856389692701,140.86614260688538,111.00296003533974,73.53101320590041,37.87958037802366,-75.13563585065205,-100.74077949416325
OOS,XRPUSDT,2025-01-19 22:49:00+00:00,1,-3.964856463398,211.155482282177,173.34252390024608,92.70918633127003,122.66720517231757,13.341772059485187,7.937345217510124
OOS,LTCUSDT,2025-01-19 22:49:00+00:00,1,187.310617510014,395.6685075430862,391.93762145763054,364.0409504462191,337.2159092379409,208.7414641206994,198.85254295472467
OOS,NEIROUSDT,2025-01-19 22:49:00+00:00,1,-248.092445378228,-1.5006665384615978,3.0997771235667884,23.08396137001778,-70.17191372080524,-237.15053630063053,-229.0243112967323
OOS,PNUTUSDT,2025-01-19 22:49:00+00:00,1,-238.82546749707302,99.20694003202847,89.83171933244063,36.25956966777379,-41.90202735296343,-216.70293522952787,-218.90421460630125
OOS,WIFUSDT,2025-01-31 18:36:00+00:00,1,179.723890662867,22.85344213256012,-2.527021495408526,-19.376177052185877,-36.168744345129525,117.02585292834763,204.18299697760233
OOS,WIFUSDT,2025-02-02 19:01:00+00:00,1,523.173836153703,590.3860396036667,533.8245468552475,522.5845313633896,511.36843079811064,613.180746455663,522.5845313633896
OOS,WLDUSDT,2025-02-02 22:41:00+00:00,1,432.449618263216,430.4392835986751,430.4392835986751,438.3847507344921,550.9038026255633,583.4982630808476,446.34231142759364
OOS,WIFUSDT,2025-02-02 22:41:00+00:00,1,597.601723780601,681.6864660350509,681.6864660350509,693.8058165062113,705.9526484977154,779.4160228024939,597.6127227553131
OOS,XRPUSDT,2025-02-03 00:32:00+00:00,1,-65.244284047688,37.410546355098916,-15.91811266156148,-125.15200052090054,-46.261956673766505,39.16865500755321,-53.60341572276269
OOS,SUIUSDT,2025-02-03 01:55:00+00:00,1,680.9356265356389,-100.02331006055286,-133.38634952656736,-152.86468044408684,7.004099809016079,359.1110220215456,729.5810370388513
OOS,WLDUSDT,2025-02-03 01:55:00+00:00,1,32.588506034241,-765.6393101866981,-781.6637442816126,-773.6584702298626,-560.5393392245222,-433.05671576393695,74.84756419558875
OOS,ADAUSDT,2025-02-03 01:55:00+00:00,1,5.617099546656,-766.907584886643,-769.7382188466056,-789.504269661036,-659.4937664168249,-440.0431213082684,51.3313530692566
OOS,ONDOUSDT,2025-02-03 01:55:00+00:00,1,708.81588274385,151.22418833268813,119.35691094070664,92.47421433057788,205.7629121927373,452.43998912480873,747.0186376037669
OOS,LTCUSDT,2025-02-03 01:55:00+00:00,1,-30.887511423543,-467.9653560446671,-478.2937702805799,-514.2679642086343,-405.5221743254376,-246.86510232438823,-1.65510318889433
OOS,SUIUSDT,2025-02-12 13:31:00+00:00,1,-371.714843193121,-409.9148086342968,-390.89297860252213,-382.845540289533,-405.7602078228133,-377.7717302611954,-365.5128862952011
OOS,FARTCOINUSDT,2025-02-12 13:31:00+00:00,1,-632.094693710869,-855.9107221848393,-854.2339916531492,-865.9582451335034,-875.9837742340503,-707.7046257386343,-613.2806718617134
OOS,AIXBTUSDT,2025-02-12 13:31:00+00:00,1,-476.920801646523,-500.9184038662354,-493.09919926982224,-493.09919926982224,-524.2992018919426,-473.4948766345751,-473.4948766345751
OOS,AI16ZUSDT,2025-02-12 13:31:00+00:00,1,-415.35193552473896,-506.3638837942411,-475.6171586126992,-461.20061129984265,-540.971703292852,-394.7382485553477,-401.00830828936034
OOS,WIFUSDT,2025-02-12 13:31:00+00:00,1,-573.376843432039,-614.7719338165389,-582.7249898090988,-582.7249898090988,-614.7719338165389,-566.6194863787396,-566.6194863787396
OOS,FARTCOINUSDT,2025-02-17 17:22:00+00:00,1,-254.20735187141102,-346.14386579269944,-346.14386579269944,-353.66384983069406,-262.64509455836895,-8.646067229374015,-237.05709323279402
OOS,LTCUSDT,2025-02-24 22:03:00+00:00,1,-32.399959501216,49.03143939601201,26.974583205938437,177.08189708823124,94.32911944976058,107.72964390132395,-17.723052786336176
OOS,1000PEPEUSDT,2025-02-24 22:03:00+00:00,1,-435.081019715435,-237.18078356742936,-267.65946740274927,-288.2767048472972,-337.6437454488694,-318.43827736790996,-420.7811442733682
OOS,WIFUSDT,2025-02-24 22:03:00+00:00,1,-458.720595943206,-279.3108804144099,-301.82862157653125,-303.55644365662107,-380.6775338022287,-337.98430884564834,-448.2089576326557
OOS,ADAUSDT,2025-03-02 16:23:00+00:00,1,798.138188623051,703.784851783753,655.0934937440854,678.2772885506038,627.6243810312242,615.5826945072905,811.5774348227188
OOS,ADAUSDT,2025-03-07 00:17:00+00:00,1,-212.727187494177,-144.32166358977176,-113.09687554865747,-160.4349266095553,-258.27421766789564,-215.28341102341057,-200.4889634718501
OOS,FARTCOINUSDT,2025-04-02 20:28:00+00:00,1,-842.858801874947,-1002.789694958479,-957.2532792764508,-937.849110709592,-966.0459696710986,-664.7044078033214,-814.2107106778161
OOS,TRUMPUSDT,2025-04-02 22:11:00+00:00,1,-346.024213706403,-255.16596770541963,-277.10960554295,-293.76246366555,-224.6997885258539,-304.14161346949294,-326.8979270481598
OOS,FARTCOINUSDT,2025-04-07 14:29:00+00:00,1,-69.861923350455,-56.84324095277468,-60.820109918460744,-74.71418191977106,-30.9159661044017,-104.35702517716359,-64.79380500628181
OOS,TRUMPUSDT,2025-05-03 17:08:00+00:00,1,412.89079923869394,642.3628171216975,480.63343214310913,432.2167152829801,406.7646989264049,852.9478304420654,450.20202804594487
OOS,OMUSDT,2025-05-11 00:30:00+00:00,1,89.814519487008,422.4068632492861,340.3714961703697,261.9724917268773,203.36489485272116,159.26813440717228,113.25968895325225
OOS,TRUMPUSDT,2025-05-11 07:06:00+00:00,1,18.410623241841,191.89683216554462,121.37185404675353,54.043355679910356,61.48011243986128,42.16734288028943,31.05898733055122
