per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,UXLINKUSDT,2025-01-14 01:13:00+00:00,1,565.569741094229,635.2178159077569,635.2178159077569,650.5456091046478,637.7693889117251,563.4276015148463,578.5493700784592
OOS,UXLINKUSDT,2025-01-18 02:26:00+00:00,1,-311.62117808867197,-310.20313331063335,-312.53391933593076,-307.8712274329839,-305.53820089572383,-327.26961065956374,-312.53391933593076
OOS,UXLINKUSDT,2025-01-18 08:05:00+00:00,1,-994.937985035625,-1009.7720405239232,-1013.6561605374942,-1019.0883052183144,-1022.1894463950135,-1002.7721741995447,-992.6420305750497
OOS,UXLINKUSDT,2025-01-19 12:44:00+00:00,1,-274.806353297812,-277.9581686648365,-280.944510290871,-308.7289986975812,-292.8715912048936,-255.00189757368634,-267.9904565394682
OOS,ADAUSDT,2025-01-19 22:49:00+00:00,1,97.61444838395,221.36573990320215,217.19234039626286,237.04633656563732,310.86184268812946,98.64470455800755,110.88645218448777
OOS,UXLINKUSDT,2025-01-19 22:49:00+00:00,1,42.004789690195,212.69868579304136,234.8174244173096,227.82223399810402,196.46163992510185,63.88310683443147,58.24584273980253
OOS,UXLINKUSDT,2025-01-20 00:06:00+00:00,1,-388.44706516876903,-276.63547743263643,-272.43956115987083,-226.0448970191799,-228.16332173601145,-303.8211525304548,-371.12640770683566
OOS,XRPUSDT,2025-02-03 01:55:00+00:00,1,547.340254474978,82.08524506647984,42.90507835913325,15.515369401236534,115.70216623394512,316.08988590896655,591.6329579307554
OOS,SUIUSDT,2025-02-03 01:55:00+00:00,1,665.705661358225,-114.60709531035559,-147.94412175198443,-167.40726549515693,-7.6631342712090955,344.1692516250755,714.3504126983507
OOS,ETHUSDT,2025-02-03 01:56:00+00:00,1,-399.261529997737,240.25324460673755,193.2725547814353,103.6283566459208,-74.20728364789113,-305.15781841057503,-369.2606007286268
OOS,AIXBTUSDT,2025-02-03 01:56:00+00:00,1,-357.121178088673,362.65659212619414,342.07615117507294,276.76323053774917,240.38503552996679,-60.65784251108665,-319.41097716399037
OOS,ADAUSDT,2025-02-03 01:56:00+00:00,1,-2241.990795453901,-1545.6125526208282,-1600.8735815700131,-1666.5271286910738,-1765.1550939855003,-2080.3573434383743,-2200.093291570156
OOS,FARTCOINUSDT,2025-02-03 02:08:00+00:00,1,398.914436574421,1467.1377637416308,1427.1727051376674,1331.9185068973586,1213.3598771661627,940.3729345051164,442.0563257530646
OOS,DOGEUSDT,2025-02-03 02:08:00+00:00,1,819.6064249581959,1401.6345982802961,1421.0512962530834,1414.762205721624,1342.6492024887295,1125.1463547636301,848.8012314404273
OOS,WLDUSDT,2025-02-03 02:08:00+00:00,1,753.074886148001,1659.4033094598203,1720.139553271983,1744.6111981746315,1469.1993898755318,1128.7615994547361,797.5304121146031
OOS,PNUTUSDT,2025-02-03 02:08:00+00:00,1,482.957339231457,1181.4045361283984,1172.981918144833,1164.5719467348113,1023.5101060420867,736.2220455240217,507.98200215602185
OOS,DOGEUSDT,2025-02-25 07:27:00+00:00,1,38.180362324571,173.20587970244736,158.8789939277648,119.68693349207825,99.95133554806766,40.2045303419054,48.69655671075023
OOS,XRPUSDT,2025-03-07 16:11:00+00:00,1,-109.32925602831101,-39.058879722498475,-43.559117473904315,-40.69579932579018,-40.69579932579018,-55.40395808916368,-104.52363111181431
OOS,FARTCOINUSDT,2025-03-20 14:48:00+00:00,1,-18.738893984697,-23.861637708457472,-26.349810066508013,6.093372368342322,-46.21068000923297,-93.06531578564733,-6.409674990562628
OOS,PNUTUSDT,2025-04-07 06:47:00+00:00,1,43.756222800314,140.8527778881652,108.25982591418318,116.38844535713179,59.76057694731642,59.76057694731642,51.72249036283107
OOS,FARTCOINUSDT,2025-04-07 14:25:00+00:00,1,-422.75331843147,-391.9484022186181,-418.01323957992514,-414.2983190313942,-322.377932604988,-475.2299298280104,-410.58052815599706
OOS,ETHUSDT,2025-04-08 22:21:00+00:00,1,7.330777437416001,55.14913713217229,43.00192253727475,30.05410262528885,32.75169816605261,7.217307603667567,13.071826994958236
OOS,FARTCOINUSDT,2025-04-09 17:28:00+00:00,1,620.464951753682,160.2787930677103,175.5060600409226,241.0838190379045,406.5994472335161,681.8947284506501,646.881020187738
OOS,ETHUSDT,2025-04-22 00:36:00+00:00,1,34.801527673367,11.886250775618661,-2.5813579547587846,67.82209945408646,60.30618645596474,14.66829959956028,41.27255267960505
OOS,WIFUSDT,2025-04-22 22:19:00+00:00,1,-82.133855205413,-199.53321430585282,-172.53986493434485,-157.0483462324315,-174.47288282852494,-104.40260870984511,-72.93901849745791
OOS,PNUTUSDT,2025-04-28 10:51:00+00:00,1,-362.10199661258497,-387.378069179664,-382.48991083914706,-367.79561482110745,-338.2721439842533,-343.20526215755365,-357.9744907649467
OOS,LAYERUSDT,2025-05-06 08:05:00+00:00,1,-380.299202647211,-532.4133220345988,-518.2229512318862,-479.4274304076866,-523.1056763935808,-471.36118616116806,-370.2862476057237
OOS,LAYERUSDT,2025-05-06 16:28:00+00:00,1,535.592234869463,579.3264807187313,592.483533660013,612.943342962926,564.2371971733538,596.4371886664564,536.7963175049838
OOS,LAYERUSDT,2025-05-10 04:35:00+00:00,1,-308.412997537131,-347.83700274097964,-350.0639394346397,-350.0639394346397,-325.5111015241355,-281.30150376446977,-300.83328387415037
