variant,family,leverage,cagr_is,cagr_oos,maxdd,maxdd_is,worst_day,liquidations,sharpe_oos,per_year
"grid S1 (best IS CAGR at this L) {""g"": 0.005, ""N"": 5, ""centre"": ""fixed"", ""brk"": ""hold""}; trades IS/OOS 13284/10353; liq IS/OOS 3/0",grid,1,0.1819,0.2072,0.4917,0.7024,-0.1483,0,0.623,"{""2022"": -0.637, ""2023"": 1.672, ""2024"": 0.7021, ""2025"": 0.6613, ""2026"": -0.1764}"
"grid S1 (best IS CAGR at this L) {""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}; trades IS/OOS 41712/16102; liq IS/OOS 6/4",grid,3,0.3893,-0.3494,0.7663,0.4022,-0.5649,4,-0.442,"{""2022"": 0.5303, ""2023"": 0.2359, ""2024"": 0.4181, ""2025"": -0.5562, ""2026"": 0.1016}"
"grid S1 (best IS CAGR at this L) {""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}; trades IS/OOS 39915/15400; liq IS/OOS 11/8",grid,5,0.6575,-0.5954,0.8859,0.6481,-0.7086,8,-0.625,"{""2022"": 0.6629, ""2023"": 0.3565, ""2024"": 1.0194, ""2025"": -0.7851, ""2026"": 0.0321}"
"grid S1 (best IS CAGR at this L) {""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}; trades IS/OOS 31659/13748; liq IS/OOS 49/18",grid,10,-0.6697,-0.861,0.9883,0.9877,-0.7028,18,-0.885,"{""2022"": -0.88, ""2023"": 0.1175, ""2024"": -0.7316, ""2025"": -0.9548, ""2026"": -0.1711}"
"grid S1 (best IS CAGR at this L) {""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""stop""}; trades IS/OOS 26024/12643; liq IS/OOS 75/27",grid,15,-0.9469,-0.9567,0.9987,1.0,-0.8383,27,-0.825,"{""2022"": -0.9911, ""2023"": 1.4572, ""2024"": -0.9931, ""2025"": -0.986, ""2026"": -0.6152}"
"grid S1 (best IS CAGR at this L) {""g"": 0.01, ""N"": 5, ""centre"": ""ema168"", ""brk"": ""stop""}; trades IS/OOS 104502/48750; liq IS/OOS 72/35",grid,20,-1.0,-1.0,1.0,1.0,-0.9917,35,-2.683,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0, ""2025"": -1.0, ""2026"": -1.0}"
"orb S1 (best IS CAGR at this L) {""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}; trades IS/OOS 2664/1492; liq IS/OOS 0/0",orb,1,0.0452,-0.1236,0.2827,0.2081,-0.0194,0,-0.575,"{""2022"": 0.1664, ""2023"": 0.1152, ""2024"": -0.1222, ""2025"": -0.0036, ""2026"": -0.1942}"
"orb S1 (best IS CAGR at this L) {""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}; trades IS/OOS 2664/1492; liq IS/OOS 0/0",orb,3,0.0649,-0.396,0.6661,0.5737,-0.0579,0,-0.599,"{""2022"": 0.4734, ""2023"": 0.2758, ""2024"": -0.3576, ""2025"": -0.1412, ""2026"": -0.497}"
"orb S1 (best IS CAGR at this L) {""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 0, ""filt"": ""narrow""}; trades IS/OOS 2664/1492; liq IS/OOS 0/0",orb,5,-0.0014,-0.6309,0.8739,0.8114,-0.096,0,-0.619,"{""2022"": 0.7013, ""2023"": 0.3324, ""2024"": -0.5608, ""2025"": -0.3633, ""2026"": -0.7012}"
"orb S1 (best IS CAGR at this L) {""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 1, ""filt"": ""narrow""}; trades IS/OOS 2664/1492; liq IS/OOS 0/0",orb,10,-0.2468,-0.8606,0.9724,0.9488,-0.1904,0,-1.638,"{""2022"": 0.3829, ""2023"": -0.381, ""2024"": -0.5008, ""2025"": -0.67, ""2026"": -0.8859}"
