rule,family,L,period,cfg_id,cfg,cagr,maxdd,worst_day,worst_intraday,sharpe,liq,trades,per_year,coin_cagr
S1_bestIS_CAGR_at_L,grid,1,IS,1,"{""g"": 0.005, ""N"": 5, ""centre"": ""fixed"", ""brk"": ""hold""}",0.1818811644111606,0.7024177611476052,-0.1996918185694298,-0.2613011105914494,0.5813422613778686,3,13284,"{""2022"": -0.637, ""2023"": 1.672, ""2024"": 0.7021}","{""BTC"": -1.0, ""ETH"": 0.1708, ""SOL"": 0.4001, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -0.3224, ""LINK"": 0.2777}"
S1_bestIS_CAGR_at_L,grid,1,OOS,1,"{""g"": 0.005, ""N"": 5, ""centre"": ""fixed"", ""brk"": ""hold""}",0.2072400733944781,0.4917096833994105,-0.1482507682251067,-0.3039811206627922,0.6226289487183218,0,10353,"{""2025"": 0.6613, ""2026"": -0.1764}","{""BTC"": 0.2204, ""ETH"": 0.2581, ""SOL"": 0.3919, ""XRP"": 0.8664, ""DOGE"": -0.516, ""AVAX"": -0.467, ""LINK"": 0.0399}"
S1_bestIS_CAGR_at_L,grid,3,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",0.3892816512844947,0.402183253668444,-0.2133234603534713,-0.3696715618157272,1.155275633450626,6,41712,"{""2022"": 0.5303, ""2023"": 0.2359, ""2024"": 0.4181}","{""BTC"": 0.1683, ""ETH"": 0.2363, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": 0.3541, ""LINK"": 0.6261}"
S1_bestIS_CAGR_at_L,grid,3,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.349375418763734,0.7663117793569515,-0.5648846566443727,-0.7247140175233828,-0.4421650800334512,4,16102,"{""2025"": -0.5562, ""2026"": 0.1016}","{""BTC"": 0.0707, ""ETH"": -0.085, ""SOL"": 0.2311, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,grid,5,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",0.6575216817075544,0.6481322461904504,-0.3416102231895939,-0.5656020283793195,1.220414904741456,11,39915,"{""2022"": 0.6629, ""2023"": 0.3565, ""2024"": 1.0194}","{""BTC"": 0.2757, ""ETH"": 0.3737, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,grid,5,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.5953596107221386,0.8858547996832282,-0.7085998559738271,-0.8083241038724049,-0.6245790407958854,8,15400,"{""2025"": -0.7851, ""2026"": 0.0321}","{""BTC"": 0.1137, ""ETH"": -0.1854, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,grid,10,IS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.6697074215794269,0.9877457082363676,-0.6346883823204632,-0.7843530601121995,-0.1604707382893053,49,31659,"{""2022"": -0.88, ""2023"": 0.1175, ""2024"": -0.7316}","{""BTC"": 0.4926, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,grid,10,OOS,33,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""hold""}",-0.8610372989729075,0.9882552402502944,-0.7027689298196839,-0.9006000450220996,-0.8848608846435312,18,13748,"{""2025"": -0.9548, ""2026"": -0.1711}","{""BTC"": 0.1998, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,grid,15,IS,32,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""stop""}",-0.9468579403180742,0.9999702731344996,-0.8077308782066904,-0.949011986000884,-0.4129100093611431,75,26024,"{""2022"": -0.9911, ""2023"": 1.4572, ""2024"": -0.9931}","{""BTC"": 0.5631, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,grid,15,OOS,32,"{""g"": 0.02, ""N"": 10, ""centre"": ""ema24"", ""brk"": ""stop""}",-0.956687226047802,0.9987357845725964,-0.8383161214758843,-0.9552467051350272,-0.8254724980560001,27,12643,"{""2025"": -0.986, ""2026"": -0.6152}","{""BTC"": 0.2405, ""ETH"": -1.0, ""SOL"": -1.0, ""XRP"": -1.0, ""DOGE"": -1.0, ""AVAX"": -1.0, ""LINK"": -1.0}"
