family,L,n,IS_pos,OOS_pos,both_pos,OOS_med,OOS_p90,OOS_max,IS_max,liq_any_IS,liq_any_OOS,frac_liq_OOS,frac_liq_either,ruined_OOS,dd50_OOS,spearman_IS_OOS
grid,1,36.0,9.0,8.0,7.0,-0.36926377074174455,0.23502846047601783,0.2911363201821129,0.1818811644111606,15.0,0.0,0.0,0.4166666666666667,0.0,23.0,0.9287001287001289
grid,3,36.0,3.0,0.0,0.0,-0.8697206143083298,-0.5200767148417633,-0.349375418763734,0.3892816512844947,18.0,36.0,1.0,1.0,5.0,36.0,0.8582100942094053
grid,5,36.0,1.0,0.0,0.0,-0.9965381377554954,-0.8553177639867099,-0.5824199463519912,0.6575216817075544,33.0,36.0,1.0,1.0,21.0,36.0,0.9025407832849338
grid,10,36.0,0.0,0.0,0.0,-0.9999999990207674,-0.9981394093281368,-0.8610372989729075,-0.6697074215794269,36.0,36.0,1.0,1.0,34.0,36.0,0.778480879904675
grid,15,36.0,0.0,0.0,0.0,-1.0,-0.9999999715995311,-0.956687226047802,-0.9468579403180742,36.0,36.0,1.0,1.0,34.0,36.0,0.8510298119518567
grid,20,36.0,0.0,0.0,0.0,-1.0,-0.9999999999998337,-0.9934764000636606,-0.9999999999999998,36.0,36.0,1.0,1.0,36.0,36.0,0.23476675946292772
orb,1,108.0,2.0,1.0,0.0,-0.2357368451272676,-0.11822429708895205,0.0558287553117475,0.0452055499807171,0.0,0.0,0.0,0.0,0.0,20.0,0.8007278477997846
orb,3,108.0,1.0,1.0,0.0,-0.5804028942595889,-0.36705994064031977,0.0549003050736713,0.0648983134262413,0.0,0.0,0.0,0.0,0.0,104.0,0.8013851972524698
orb,5,108.0,0.0,0.0,0.0,-0.7854661210349148,-0.5436049317833326,-0.0610762513371064,-0.0014367485351642,0.0,0.0,0.0,0.0,2.0,108.0,0.8222774776834624
orb,10,108.0,0.0,0.0,0.0,-0.9693728388531526,-0.814887565643734,-0.5266909347023392,-0.2467647998641988,22.0,0.0,0.0,0.2037037037037037,26.0,108.0,0.8541922699515085
orb,15,108.0,0.0,0.0,0.0,-0.9961202033395171,-0.9312707259534544,-0.8499584100004446,-0.4945805015336176,45.0,3.0,0.027777777777777776,0.42592592592592593,75.0,108.0,0.8735316813855782
orb,20,108.0,0.0,0.0,0.0,-0.9996116549627481,-0.9778005270264954,-0.9391469023405968,-0.7268937624326757,57.0,5.0,0.046296296296296294,0.5277777777777778,84.0,108.0,0.8817437861423113
wick,1,256.0,0.0,1.0,0.0,-0.14934201794509874,-0.04083131019002775,0.0058279079007954,-0.0178532027786872,0.0,0.0,0.0,0.0,0.0,38.0,0.8599929903868161
wick,3,256.0,0.0,1.0,0.0,-0.3893397713702635,-0.12240278953894745,0.0110420571285705,-0.0657093331923521,0.0,24.0,0.09375,0.09375,0.0,170.0,0.8566062027924007
wick,5,256.0,0.0,1.0,0.0,-0.562711791419628,-0.2073194532200715,0.0070835476000528,-0.1295402818100215,32.0,24.0,0.09375,0.21875,0.0,220.0,0.8731274319066146
wick,10,256.0,0.0,0.0,0.0,-0.8289249567415387,-0.4458095629654056,-0.2017451303174616,-0.3403219248431665,206.0,104.0,0.40625,0.8828125,38.0,256.0,0.8644576848249025
wick,15,256.0,0.0,0.0,0.0,-0.947940392309311,-0.6836201552496841,-0.3429834050199227,-0.6671109380393496,256.0,208.0,0.8125,1.0,70.0,256.0,0.8692742904554815
wick,20,256.0,0.0,0.0,0.0,-0.9896304531301097,-0.863421492762809,-0.741458777158115,-0.8485079544634742,256.0,252.0,0.984375,1.0,126.0,256.0,0.8673545147631035
