w,z,V,period,n,bp_1m,t_1m,bp_1m_long,bp_1m_short,bp_5m,t_5m,bp_5m_long,bp_5m_short,bp_15m,t_15m,bp_15m_long,bp_15m_short,bp_60m,t_60m,bp_60m_long,bp_60m_short,bp_240m,t_240m,bp_240m_long,bp_240m_short
1,6,3,IS,7236,1.35,2.04,2.37,0.21,0.83,0.77,3.33,-1.98,1.07,0.71,3.31,-1.46,-0.21,-0.1,7.15,-8.5,4.04,1.3,17.71,-11.33
1,6,3,OOS,3937,2.24,3.21,5.17,-0.51,0.44,0.39,4.49,-3.37,0.96,0.62,8.98,-6.59,-2.74,-1.21,4.14,-9.23,-3.42,-0.92,-2.77,-4.04
1,6,10,IS,6028,1.88,2.51,3.16,0.28,0.99,0.8,2.71,-1.15,0.44,0.26,2.23,-1.78,1.91,0.87,9.75,-7.83,5.65,1.74,17.5,-9.07
1,6,10,OOS,3187,3.68,4.21,5.53,1.78,3.47,2.62,7.23,-0.4,3.69,2.08,11.11,-3.95,2.03,0.76,8.47,-4.61,-0.37,-0.09,-0.29,-0.45
1,10,3,IS,2359,2.31,1.17,1.43,3.6,1.83,0.6,1.85,1.81,0.89,0.24,6.23,-6.94,1.18,0.27,17.73,-23.1,16.03,2.54,40.18,-19.42
1,10,3,OOS,1112,10.73,4.45,15.83,5.19,8.43,2.58,16.68,-0.53,5.57,1.27,21.49,-11.71,-3.15,-0.52,14.96,-22.83,-3.53,-0.42,5.05,-12.84
1,10,10,IS,2305,2.17,1.1,1.21,3.6,2.35,0.76,1.85,3.09,2.23,0.59,6.24,-3.72,4.12,0.96,18.04,-16.58,21.18,3.4,41.32,-8.75
1,10,10,OOS,1077,10.15,4.05,15.16,4.57,8.54,2.58,17.27,-1.2,7.26,1.6,21.48,-8.61,-2.53,-0.41,14.33,-21.36,-5.58,-0.65,3.66,-15.89
5,6,3,IS,4399,3.3,3.36,3.7,2.79,5.32,3.23,6.45,3.89,3.62,1.6,6.2,0.34,1.71,0.57,9.23,-7.85,3.74,0.85,20.13,-17.11
5,6,3,OOS,2316,1.48,1.38,5.12,-1.96,2.67,1.58,9.03,-3.35,-1.08,-0.48,6.56,-8.32,-9.44,-2.61,-2.7,-15.82,-19.21,-3.57,-13.89,-24.24
5,6,10,IS,2873,4.36,3.21,5.34,3.0,7.84,3.17,11.95,2.12,7.47,2.33,15.65,-3.91,5.35,1.32,17.67,-11.77,14.54,2.62,35.41,-14.49
5,6,10,OOS,1502,2.22,1.48,5.77,-1.8,1.27,0.54,6.65,-4.81,-0.24,-0.08,10.92,-12.86,-10.16,-2.02,-0.13,-21.5,-16.34,-2.41,-10.99,-22.4
5,10,3,IS,1308,8.45,2.59,9.57,6.42,18.22,3.7,22.56,10.39,22.14,3.85,35.85,-2.64,27.18,3.93,48.39,-11.13,49.78,5.02,75.63,3.06
5,10,3,OOS,549,11.44,2.5,11.79,11.0,15.87,3.03,22.85,7.34,13.8,2.02,34.1,-11.02,13.74,1.25,38.58,-16.64,3.89,0.27,26.24,-23.43
5,10,10,IS,1213,10.38,3.05,14.03,3.91,21.36,3.88,29.48,6.96,26.22,4.0,44.02,-5.38,27.32,3.54,52.7,-17.75,50.67,4.84,82.38,-5.63
5,10,10,OOS,507,12.86,3.16,16.93,7.55,19.44,3.42,31.23,4.06,19.88,2.68,44.72,-12.54,17.62,1.5,49.08,-23.41,7.78,0.52,30.82,-22.27
