variant,family,L,n,OOS_pos,both_pos,OOS_median,liq_any_OOS,S1_cfg,S1_IS,S1_OOS,S1_maxdd_OOS
"original (repro, opt0 + range slip)",grid,1,36,8,7,-0.3693,0,1,0.1819,0.2072,0.4917
"original (repro, opt0 + range slip)",grid,3,36,0,0,-0.8697,36,33,0.3893,-0.3494,0.7663
"original (repro, opt0 + range slip)",grid,5,36,0,0,-0.9965,36,33,0.6575,-0.5954,0.8859
"original (repro, opt0 + range slip)",grid,10,36,0,0,-1.0,36,33,-0.6697,-0.861,0.9883
"original (repro, opt0 + range slip)",grid,15,36,0,0,-1.0,36,32,-0.9469,-0.9567,0.9987
"original (repro, opt0 + range slip)",grid,20,36,0,0,-1.0,36,16,-1.0,-1.0,1.0
"original (repro, opt0 + range slip)",orb,1,108,1,0,-0.2357,0,97,0.0452,-0.1236,0.2827
"original (repro, opt0 + range slip)",orb,3,108,1,0,-0.5804,0,97,0.0649,-0.396,0.6661
"original (repro, opt0 + range slip)",orb,5,108,0,0,-0.7855,0,97,-0.0014,-0.6309,0.8739
"original (repro, opt0 + range slip)",orb,10,108,0,0,-0.9694,0,99,-0.2468,-0.8606,0.9724
"original (repro, opt0 + range slip)",orb,15,108,0,0,-0.9961,3,99,-0.4946,-0.9652,0.9976
"original (repro, opt0 + range slip)",orb,20,108,0,0,-0.9996,5,99,-0.7269,-0.9937,0.9999
"original (repro, opt0 + range slip)",wick,1,256,1,0,-0.1493,0,253,-0.0179,-0.0027,0.1274
"original (repro, opt0 + range slip)",wick,3,256,1,0,-0.3893,24,253,-0.0657,-0.0125,0.3423
"original (repro, opt0 + range slip)",wick,5,256,1,0,-0.5627,24,253,-0.1295,-0.0284,0.5113
"original (repro, opt0 + range slip)",wick,10,256,0,0,-0.8289,104,227,-0.3403,-0.2941,0.6287
"original (repro, opt0 + range slip)",wick,15,256,0,0,-0.9479,208,227,-0.6671,-0.4748,0.7849
"original (repro, opt0 + range slip)",wick,20,256,0,0,-0.9896,252,249,-0.8485,-0.7723,0.9384
stop-before-liq only (opt2),grid,1,36,8,7,-0.3693,0,1,0.1819,0.2072,0.4917
stop-before-liq only (opt2),grid,3,36,0,0,-0.8697,18,33,0.3893,-0.3494,0.7663
stop-before-liq only (opt2),grid,5,36,0,0,-0.9965,21,33,0.6575,-0.5954,0.8859
stop-before-liq only (opt2),grid,10,36,0,0,-1.0,25,33,-0.6697,-0.861,0.9883
stop-before-liq only (opt2),grid,15,36,0,0,-1.0,28,32,-0.9469,-0.9567,0.9987
stop-before-liq only (opt2),grid,20,36,0,0,-1.0,30,16,-1.0,-1.0,1.0
stop-before-liq only (opt2),orb,1,108,1,0,-0.2357,0,97,0.0452,-0.1236,0.2827
stop-before-liq only (opt2),orb,3,108,1,0,-0.5804,0,97,0.0649,-0.396,0.6661
stop-before-liq only (opt2),orb,5,108,0,0,-0.7855,0,97,-0.0014,-0.6309,0.8739
stop-before-liq only (opt2),orb,10,108,0,0,-0.9694,0,99,-0.2468,-0.8606,0.9724
stop-before-liq only (opt2),orb,15,108,0,0,-0.9961,0,99,-0.4946,-0.9652,0.9976
stop-before-liq only (opt2),orb,20,108,0,0,-0.9996,0,99,-0.7269,-0.9937,0.9999
stop-before-liq only (opt2),wick,1,256,1,0,-0.1493,0,253,-0.0179,-0.0027,0.1274
stop-before-liq only (opt2),wick,3,256,1,0,-0.3893,0,253,-0.0657,-0.0125,0.3423
stop-before-liq only (opt2),wick,5,256,1,0,-0.5627,0,253,-0.1295,-0.0284,0.5113
stop-before-liq only (opt2),wick,10,256,0,0,-0.8289,0,227,-0.3168,-0.2941,0.6287
stop-before-liq only (opt2),wick,15,256,0,0,-0.9394,4,227,-0.5524,-0.4576,0.7849
stop-before-liq only (opt2),wick,20,256,0,0,-0.98,2,227,-0.747,-0.601,0.8808
maker touch fills only (opt1),grid,1,36,8,7,-0.358,0,27,0.217,-0.0184,0.4556
maker touch fills only (opt1),grid,3,36,0,0,-0.8508,36,27,0.4886,-0.4676,0.8581
maker touch fills only (opt1),grid,5,36,0,0,-0.9954,36,33,0.8499,-0.5808,0.8819
maker touch fills only (opt1),grid,10,36,0,0,-1.0,36,33,-0.6105,-0.8502,0.9873
maker touch fills only (opt1),grid,15,36,0,0,-1.0,36,32,-0.927,-0.9517,0.9985
maker touch fills only (opt1),grid,20,36,0,0,-1.0,36,16,-1.0,-1.0,1.0
maker touch fills only (opt1),orb,1,108,1,0,-0.2329,0,97,0.0452,-0.1236,0.2827
maker touch fills only (opt1),orb,3,108,1,0,-0.5787,0,97,0.0649,-0.396,0.6661
maker touch fills only (opt1),orb,5,108,0,0,-0.7848,0,97,-0.0014,-0.6309,0.8739
maker touch fills only (opt1),orb,10,108,0,0,-0.969,0,99,-0.1999,-0.8568,0.9711
maker touch fills only (opt1),orb,15,108,0,0,-0.9961,3,99,-0.442,-0.9639,0.9975
maker touch fills only (opt1),orb,20,108,0,0,-0.9996,5,99,-0.6845,-0.9934,0.9999
maker touch fills only (opt1),wick,1,256,1,0,-0.1454,0,253,-0.0135,-0.001,0.1275
maker touch fills only (opt1),wick,3,256,1,0,-0.3807,24,253,-0.0546,-0.0075,0.3423
maker touch fills only (opt1),wick,5,256,1,0,-0.5536,24,253,-0.1144,-0.0206,0.5114
maker touch fills only (opt1),wick,10,256,0,0,-0.8203,104,225,-0.3265,-0.31,0.6419
maker touch fills only (opt1),wick,15,256,0,0,-0.943,208,227,-0.6583,-0.4748,0.7849
maker touch fills only (opt1),wick,20,256,0,0,-0.9887,252,249,-0.8456,-0.7666,0.9384
no range slip only (nors),grid,1,36,8,7,-0.3378,0,1,0.1819,0.2073,0.4917
no range slip only (nors),grid,3,36,0,0,-0.8695,36,33,0.3912,-0.349,0.7662
no range slip only (nors),grid,5,36,0,0,-0.9952,36,33,0.6612,-0.5949,0.8857
no range slip only (nors),grid,10,36,0,0,-1.0,36,33,-0.6688,-0.8608,0.9882
no range slip only (nors),grid,15,36,0,0,-1.0,36,32,-0.9467,-0.9566,0.9987
no range slip only (nors),grid,20,36,0,0,-1.0,36,6,-1.0,-1.0,1.0
no range slip only (nors),orb,1,108,4,1,-0.1993,0,97,0.0824,-0.096,0.2707
no range slip only (nors),orb,3,108,1,0,-0.5119,0,97,0.183,-0.3368,0.6211
no range slip only (nors),orb,5,108,1,0,-0.7168,0,97,0.1907,-0.568,0.8372
no range slip only (nors),orb,10,108,0,0,-0.9567,0,99,-0.0078,-0.828,0.9611
no range slip only (nors),orb,15,108,0,0,-0.9937,3,99,-0.2289,-0.9516,0.996
no range slip only (nors),orb,20,108,0,0,-0.9991,5,99,-0.5106,-0.99,0.9997
no range slip only (nors),wick,1,256,9,4,-0.116,0,235,0.0247,0.0136,0.0594
no range slip only (nors),wick,3,256,9,3,-0.3182,24,235,0.0601,0.0349,0.171
no range slip only (nors),wick,5,256,8,3,-0.4629,24,235,0.0752,0.0476,0.2736
no range slip only (nors),wick,10,256,5,0,-0.7497,108,227,0.0097,-0.0823,0.5304
no range slip only (nors),wick,15,256,3,0,-0.9108,208,227,-0.3551,-0.2169,0.6931
no range slip only (nors),wick,20,256,0,0,-0.9808,252,227,-0.6993,-0.547,0.9031
"less-pessimistic ordering, same costs (opt14)",grid,1,36,8,7,-0.3693,0,1,0.1819,0.2072,0.4917
"less-pessimistic ordering, same costs (opt14)",grid,3,36,0,0,-0.8697,18,33,0.3893,-0.3494,0.7663
"less-pessimistic ordering, same costs (opt14)",grid,5,36,0,0,-0.9965,21,33,0.6575,-0.5954,0.8859
"less-pessimistic ordering, same costs (opt14)",grid,10,36,0,0,-1.0,25,33,-0.6697,-0.861,0.9883
"less-pessimistic ordering, same costs (opt14)",grid,15,36,0,0,-1.0,28,32,-0.9469,-0.9567,0.9987
"less-pessimistic ordering, same costs (opt14)",grid,20,36,0,0,-1.0,30,16,-1.0,-1.0,1.0
"less-pessimistic ordering, same costs (opt14)",orb,1,108,1,0,-0.2292,0,97,0.0452,-0.1236,0.2827
"less-pessimistic ordering, same costs (opt14)",orb,3,108,1,0,-0.5665,0,97,0.0649,-0.396,0.6661
"less-pessimistic ordering, same costs (opt14)",orb,5,108,0,0,-0.7797,0,97,-0.0014,-0.6309,0.8739
"less-pessimistic ordering, same costs (opt14)",orb,10,108,0,0,-0.9683,0,99,-0.2468,-0.8606,0.9724
"less-pessimistic ordering, same costs (opt14)",orb,15,108,0,0,-0.9958,0,99,-0.4946,-0.9652,0.9976
"less-pessimistic ordering, same costs (opt14)",orb,20,108,0,0,-0.9995,0,99,-0.7269,-0.9937,0.9999
"less-pessimistic ordering, same costs (opt14)",wick,1,256,1,0,-0.1462,0,225,-0.0109,-0.023,0.0872
"less-pessimistic ordering, same costs (opt14)",wick,3,256,1,0,-0.3873,0,225,-0.0389,-0.0706,0.2416
"less-pessimistic ordering, same costs (opt14)",wick,5,256,1,0,-0.5603,0,225,-0.0747,-0.1197,0.3724
"less-pessimistic ordering, same costs (opt14)",wick,10,256,0,0,-0.8255,0,227,-0.1902,-0.2234,0.6012
"less-pessimistic ordering, same costs (opt14)",wick,15,256,0,0,-0.939,4,227,-0.4334,-0.3682,0.7579
"less-pessimistic ordering, same costs (opt14)",wick,20,256,0,0,-0.98,2,227,-0.6628,-0.5032,0.8585
