config,L,variant,period,cagr,maxdd,worst_day,sharpe,trades,liq,win_rate,pnl_total,pnl_top5_coins,pnl_worst5_coins,top5,worst5,mean_hold_h,years
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,base,IS,1.0854659651841008,-0.3834911660081187,-0.13326122549018993,1.7337726997540304,1210,6,0.39834710743801655,8.088324992179391,8.183803707294128,-2.7341702767446123,"BLZUSDT:0.67,CKBUSDT:0.87,RAREUSDT:1.35,RAYUSDT:2.62,TRBUSDT:2.67","MOODENGUSDT:-0.76,TIAUSDT:-0.51,HIFIUSDT:-0.51,ARKUSDT:-0.50,WIFUSDT:-0.46",114.15206611570248,"{""2022"": 2.129657012155283, ""2023"": 0.5233895791577652, ""2024"": 0.9062336146417731}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,base,OOS,0.6441282488236462,-0.5954310200623644,-0.3645258662493528,0.9429102863732565,1080,12,0.40555555555555556,1.2892626215063487,2.9608916026773175,-1.8352081271248684,"ENJUSDT:0.33,TAIKOUSDT:0.54,MUSDT:0.56,FUNUSDT:0.67,RAVEUSDT:0.86","GUAUSDT:-0.54,BROCCOLIF3BUSDT:-0.48,AIOTUSDT:-0.35,ARIAUSDT:-0.26,LAYERUSDT:-0.21",133.95833333333334,"{""2025"": 0.967345871473789, ""2026"": 0.16362997208589114}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,funding_x0.8,IS,0.830669382950171,-0.35361424466366986,-0.1335755586535402,1.4722216220528561,1182,5,0.38747884940778343,5.145386951396434,6.155806854952452,-1.992583666982116,"1000RATSUSDT:0.51,CKBUSDT:0.51,RAREUSDT:0.94,TRBUSDT:1.80,RAYUSDT:2.39","MOODENGUSDT:-0.53,HIFIUSDT:-0.39,TIAUSDT:-0.38,ARKUSDT:-0.36,BONDUSDT:-0.33",114.38071065989848,"{""2022"": 1.8021575849141018, ""2023"": 0.3006831582533911, ""2024"": 0.686107118865241}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,funding_x0.8,OOS,-0.22474611344186624,-0.7709993083273188,-0.3446515599908454,0.19682779844035292,1088,14,0.38878676470588236,-0.34560362535546485,1.4899382486982296,-1.1630809630224817,"ALPACAUSDT:0.17,IPUSDT:0.21,RAVEUSDT:0.30,MUSDT:0.35,FUNUSDT:0.46","BROCCOLIF3BUSDT:-0.37,AIOTUSDT:-0.27,GUAUSDT:-0.19,BULLAUSDT:-0.18,LAYERUSDT:-0.15",131.7766544117647,"{""2025"": 0.11218016650356999, ""2026"": -0.4116093827659203}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,mark_liq,IS,0.7607296957924039,-0.5339965008929884,-0.2603524020003155,1.3468026593119984,1261,7,0.401268834258525,4.467026732197939,5.374545624720767,-2.527425460606977,"1000SATSUSDT:0.58,CKBUSDT:0.66,BLZUSDT:0.70,RAREUSDT:1.00,TRBUSDT:2.45","ARKUSDT:-0.53,MOODENGUSDT:-0.52,TIAUSDT:-0.51,HIFIUSDT:-0.50,LOOMUSDT:-0.46",105.8770816812054,"{""2022"": 2.129657012155283, ""2023"": 0.12147942399903244, ""2024"": 0.5576258389984299}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,mark_liq,OOS,0.6479785524831183,-0.5273102844659804,-0.3590788924075692,0.9464919844597202,1070,13,0.40186915887850466,1.2981998725256882,2.8609059068269396,-1.8004088492736225,"ENJUSDT:0.32,MUSDT:0.50,TAIKOUSDT:0.53,FUNUSDT:0.68,RAVEUSDT:0.83","GUAUSDT:-0.48,BROCCOLIF3BUSDT:-0.46,BULLAUSDT:-0.32,AIOTUSDT:-0.29,MYXUSDT:-0.26",134.8551401869159,"{""2025"": 0.9326268543940195, ""2026"": 0.189158614504656}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,slip_x2,IS,0.9527815118783729,-0.37628450970103766,-0.13289871995027547,1.5996560302752822,1200,6,0.385,6.460316893938854,7.292937075491289,-2.331845042896303,"BLZUSDT:0.59,CKBUSDT:0.74,RAREUSDT:1.17,TRBUSDT:2.32,RAYUSDT:2.47","MOODENGUSDT:-0.64,TIAUSDT:-0.46,HIFIUSDT:-0.45,ARKUSDT:-0.42,LOOMUSDT:-0.36",114.695,"{""2022"": 1.9086822938800538, ""2023"": 0.4463439727560552, ""2024"": 0.7733293341087499}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",1,slip_x2,OOS,0.4043761302882867,-0.6171303807750657,-0.36581102325736503,0.794285670122818,1081,12,0.39777983348751156,0.7606419447856495,2.437419910204184,-1.6253652407055446,"ALPACAUSDT:0.29,TAIKOUSDT:0.42,MUSDT:0.47,FUNUSDT:0.58,RAVEUSDT:0.69","BROCCOLIF3BUSDT:-0.47,GUAUSDT:-0.42,AIOTUSDT:-0.32,ARIAUSDT:-0.22,LAYERUSDT:-0.19",133.7391304347826,"{""2025"": 0.6209071086243569, ""2026"": 0.08620780019891994}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,base,IS,1.0671730904937626,-0.680699624656963,-0.44304301285877923,1.193790755810429,953,45,0.38195173137460653,7.851045531803285,27.33282725978493,-8.291388784690628,"CKBUSDT:1.67,HNTUSDT:2.33,BLZUSDT:2.74,RAYUSDT:8.48,TRBUSDT:12.11","BONDUSDT:-2.11,FTTUSDT:-1.73,HIFIUSDT:-1.62,POWRUSDT:-1.43,AEVOUSDT:-1.41",111.31584470094438,"{""2022"": 2.3001051997956514, ""2023"": 2.017753845568487, ""2024"": -0.11124311439298107}"
"[2.0, 0.0, 10, ""btc"", ""both"", ""all""]",3,base,OOS,0.007083704427443216,-0.9662367077329561,-0.4360910776193847,1.0549024660240223,1199,118,0.38281901584653877,0.011827506708574465,15.206231321146012,-10.02770397682501,"FUNUSDT:1.87,0GUSDT:2.50,LUNA2USDT:2.57,MUSDT:4.11,TNSRUSDT:4.15","BROCCOLIF3BUSDT:-2.73,BEATUSDT:-2.33,LIGHTUSDT:-2.08,PLUMEUSDT:-1.50,JELLYJELLYUSDT:-1.38",107.2627189324437,"{""2025"": 8.248811933757823, ""2026"": -0.8905991911225435}"
