family,L,configs,is_profitable,oos_profitable,both_profitable,oos_ruined(final<1%),median_cagr_is,median_cagr_oos,best_cagr_oos_in_grid
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",1,4608,89,0,0,3449,-0.7648087279351246,-0.999996291910539,-0.0018444354481497172
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",3,4608,44,0,0,3975,-0.9933090309573175,-1.0,-0.011654468098677984
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",5,4608,18,0,0,4096,-0.999999999693362,-1.0,-0.029403671273490195
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",10,4608,0,0,0,4410,-1.0,-1.0,-0.10589404211428288
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",15,4608,0,45,0,4228,-1.0,-1.0,0.17146136657203837
"capture(i)[all tradable: btc/none/spot hedge, lag+pred]",20,4608,0,27,0,4509,-1.0,-1.0,0.22497313680102526
"capture(i)[spot hedge only, lag+pred]",1,1536,6,0,0,384,-0.2996101538513312,-0.6595559381520162,-0.0018444354481497172
"capture(i)[spot hedge only, lag+pred]",3,1536,6,0,0,903,-0.6570771250318608,-0.9960990538559842,-0.011654468098677984
"capture(i)[spot hedge only, lag+pred]",5,1536,6,0,0,1024,-0.9340911121819775,-0.9998795345816022,-0.029403671273490195
"capture(i)[spot hedge only, lag+pred]",10,1536,0,0,0,1338,-1.0,-1.0,-0.10589404211428288
"capture(i)[spot hedge only, lag+pred]",15,1536,0,45,0,1156,-1.0,-1.0,0.17146136657203837
"capture(i)[spot hedge only, lag+pred]",20,1536,0,27,0,1437,-1.0,-1.0,0.22497313680102526
capture_spot_ORACLE(upper bound),1,768,3,12,0,192,-0.2907747862267733,-0.6508117408944225,0.041816935756659124
capture_spot_ORACLE(upper bound),3,768,3,12,0,453,-0.6433211059495909,-0.993848561329167,0.12040846581729192
capture_spot_ORACLE(upper bound),5,768,3,12,0,483,-0.9692535655543055,-0.9997061350984655,0.19109596511413152
capture_spot_ORACLE(upper bound),10,768,0,12,0,579,-1.0,-1.0,0.3252514592128901
capture_spot_ORACLE(upper bound),15,768,0,36,0,612,-1.0,-1.0,0.1255159465290232
capture_spot_ORACLE(upper bound),20,768,0,0,0,744,-1.0,-1.0,-0.18523134481991266
capture(i)[lag+pred signals],1,3072,83,0,0,3065,-0.8920088662827323,-0.9999999947941616,-0.572202622762741
capture(i)[lag+pred signals],3,3072,38,0,0,3072,-0.9996493411445853,-1.0,-0.999987423347084
capture(i)[lag+pred signals],5,3072,12,0,0,3072,-1.0,-1.0,-0.9999999999200794
capture(i)[lag+pred signals],10,3072,0,0,0,3072,-1.0,-1.0,-1.0
capture(i)[lag+pred signals],15,3072,0,0,0,3072,-1.0,-1.0,-1.0
capture(i)[lag+pred signals],20,3072,0,0,0,3072,-1.0,-1.0,-1.0
capture(i)[pred signal only],1,1536,74,0,0,1530,-0.8561672555286095,-0.9999999938098327,-0.572202622762741
capture(i)[pred signal only],3,1536,36,0,0,1536,-0.999617050142972,-1.0,-0.9999875514734444
capture(i)[pred signal only],5,1536,12,0,0,1536,-1.0,-1.0,-0.9999999999200794
capture(i)[pred signal only],10,1536,0,0,0,1536,-1.0,-1.0,-1.0
capture(i)[pred signal only],15,1536,0,0,0,1536,-1.0,-1.0,-1.0
capture(i)[pred signal only],20,1536,0,0,0,1536,-1.0,-1.0,-1.0
capture_ORACLE(upper bound),1,1536,88,3,3,1509,-0.850267215670501,-0.9999999908548034,4.4848188812440855
capture_ORACLE(upper bound),3,1536,41,0,0,1536,-0.9997168716176417,-1.0,-0.9999769191346091
capture_ORACLE(upper bound),5,1536,11,0,0,1536,-1.0,-1.0,-0.9999999998520582
capture_ORACLE(upper bound),10,1536,0,0,0,1536,-1.0,-1.0,-1.0
capture_ORACLE(upper bound),15,1536,0,0,0,1536,-1.0,-1.0,-1.0
capture_ORACLE(upper bound),20,1536,0,0,0,1536,-1.0,-1.0,-1.0
drift(ii)[lag+pred signals],1,3072,71,6,6,3032,-0.9275275520903965,-0.9999999970409794,0.6145220275971697
drift(ii)[lag+pred signals],3,3072,8,0,0,3069,-0.9999990241253716,-1.0,-0.7668113443013536
drift(ii)[lag+pred signals],5,3072,0,0,0,3072,-1.0,-1.0,-0.9993079276028446
drift(ii)[lag+pred signals],10,3072,0,0,0,3072,-1.0,-1.0,-1.0
drift(ii)[lag+pred signals],15,3072,0,0,0,3072,-1.0,-1.0,-1.0
drift(ii)[lag+pred signals],20,3072,0,0,0,3072,-1.0,-1.0,-1.0
slow(iii),1,336,149,29,21,116,-0.020419243369086904,-0.771261821695312,2.0471579764492955
slow(iii),3,336,64,9,5,258,-0.8937692895451794,-0.9999924632527079,2.2134777452299383
slow(iii),5,336,24,1,0,296,-1.0,-1.0,0.03610582784599159
slow(iii),10,336,13,0,0,307,-1.0,-1.0,-0.06448535086400797
slow(iii),15,336,8,4,0,308,-1.0,-1.0,0.3227784512279692
slow(iii),20,336,6,9,1,302,-1.0,-1.0,1.214393482870681
slow(iii)_markliq,1,336,149,29,23,115,-0.020419243369086904,-0.7657803746447341,1.8163420381896769
slow(iii)_markliq,3,336,54,11,3,253,-0.8955189531226613,-0.9999931892999382,2.2822546606639404
slow(iii)_markliq,5,336,20,2,0,296,-1.0,-1.0,0.06123832639846616
slow(iii)_markliq,10,336,13,2,0,304,-1.0,-1.0,0.1962809190831709
slow(iii)_markliq,15,336,8,4,0,304,-1.0,-1.0,0.3227784512279692
slow(iii)_markliq,20,336,7,9,1,302,-1.0,-1.0,1.214393482870681
