inst,group,listTime,lever,ctVal,minSz,maxMktSz,maxMktUSD,spread_bp,mid,depth_bid_usd_1pct,depth_bid_usd_2pct,cost_50_bp,cost_200_bp,cost_500_bp,cost_1000_bp,cost_2000_bp,on_binance_um
AEON-USDT-SWAP,recent60d,2026-07-27 11:30:00.000,20.0,10.0,1.0,19000.0,10887.0,6.980802792322043,0.057300000000000004,33972.529599999994,55554.837400000004,5.095673433670456,5.200620296411662,5.221609404494343,7.506942908753755,11.926673989242076,False
AKE-USDT-SWAP,recent60d,2026-09-16 07:00:00.000,20.0,100.0,1.0,50000.0,182625.0,2.737850787132939,0.036525,111612.79,146263.56,4.845596087049708,6.344944215042059,6.644759863029259,7.933786829789069,9.582954271566413,True
CASHCAT-USDT-SWAP,recent60d,2026-09-03 03:30:00.000,20.0,10.0,1.0,50000.0,79974.99999999999,6.251953735543404,0.15994999999999998,116760.512,155556.788,3.580007007378816,7.929080319960535,10.17544012916649,12.903406968955977,16.937787538664484,False
CNPY-USDT-SWAP,recent60d,2026-09-07 13:00:00.000,20.0,10.0,1.0,50000.0,202400.00000000003,9.881422924901466,0.40480000000000005,56669.44200000001,131894.082,4.9407114624511195,5.6620580538357945,7.263325916291308,9.59442671790156,10.973292970557491,False
CP-USDT-SWAP,recent60d,2026-09-02 15:40:00.000,20.0,100.0,1.0,20000.0,25810.0,7.748934521502978,0.012905,55861.659,110164.528,3.8744672607515795,3.8744672607515795,8.386118884771143,10.005022595913626,10.814277738750988,False
DGAI-USDT-SWAP,recent60d,2026-09-03 03:00:00.000,20.0,10.0,1.0,20000.0,206130.0,0.9702614854702274,1.03065,89178.987,116165.41299999999,0.48513074273670576,0.48513074273670576,0.48513074273670576,0.9957961125217629,2.577149463338646,False
DOS-USDT-SWAP,recent60d,2026-08-10 12:00:00.000,20.0,10.0,1.0,3100.0,6846.349999999999,4.527960153951404,0.22085,67526.778,91171.685,3.393093882845255,5.942445338779079,6.452159604352081,6.622052805821399,7.472777404177178,True
FET-USDT-SWAP,recent60d,2026-09-05 03:30:00.000,20.0,10.0,1.0,50000.0,111800.00000000001,8.944543828265013,0.22360000000000002,163343.378,198395.55200000003,4.472271914133241,4.472271914133241,6.466147432830915,8.191099687534509,10.8046411560625,True
FLOCK-USDT-SWAP,recent60d,2026-09-12 10:00:00.000,20.0,100.0,1.0,20000.0,141210.0,4.248990864669959,0.070605,115670.69099999999,169038.46000000002,4.157488607869908,4.7572511538040985,5.331128042725952,7.184948784055845,9.686495317413613,True
GRVT-USDT-SWAP,recent60d,2026-07-30 15:00:00.000,20.0,10.0,1.0,8800.0,17638.28,2.4945743008952777,0.200435,29385.659700000004,50577.550500000005,3.499214895273939,5.032875709797269,5.696743376379931,6.535410444989953,8.98891535579427,True
KII-USDT-SWAP,recent60d,2026-09-24 11:00:00.000,20.0,100.0,1.0,10000.0,80755.0,6.1915670856304095,0.080755,52080.145000000004,82955.39700000001,3.534379710317115,5.461461091438302,7.867756868895626,9.196887231570638,10.465337956631071,False
PONS-USDT-SWAP,recent60d,2026-09-05 03:00:00.000,20.0,10.0,1.0,20000.0,122469.99999999999,1.6330529925712423,0.61235,168565.51700000002,262338.196,0.8165264962844976,0.8165264962844976,1.7497019679924009,2.1230485989498504,3.102936569209236,True
2Z-USDT-SWAP,event2025_26,2025-10-02 13:10:00.649,20.0,10.0,1.0,7500.0,4142.625,1.8104462750060875,0.055235,41071.608000000015,66824.7708,1.7265991352743981,3.8263835343632646,4.583365884898161,5.460040808101807,7.632888631285972,True
A-USDT-SWAP,event2025_26,2025-05-29 10:30:00.412,10.0,10.0,1.0,3200.0,3140.32,9.171039894024226,0.098135,16327.7337,26386.135500000004,5.5845355487527115,7.876771731042398,10.172167621010919,11.455026233734289,14.964970334869765,True
ACU-USDT-SWAP,event2025_26,2026-01-23 07:00:00.000,10.0,10.0,1.0,5800.0,7276.969999999999,13.54959550472271,0.125465,26162.0623,44301.484499999984,8.606384798979239,9.026029205839725,9.109953857172615,12.372199339805157,17.953780050474766,True
ALLO-USDT-SWAP,event2025_26,2025-11-11 16:45:00.659,20.0,10.0,1.0,6700.0,18919.125000000004,0.35413899955768036,0.28237500000000004,55484.6143,76078.293,0.1770694997793587,0.431984278185249,2.7636710363543315,4.232264555467102,5.860903274186313,True
ANIME-USDT-SWAP,event2025_26,2025-01-23 15:00:01.356,20.0,10.0,1.0,230000.0,7683.15,2.9935638377479394,0.0033404999999999997,31868.074799999995,55681.15296000001,5.093127870557934,6.886321396392114,8.62827035239544,12.14495367863444,16.765868867256728,True
APR-USDT-SWAP,event2025_26,2025-10-24 06:00:01.180,20.0,10.0,1.0,12000.0,17526.0,6.846970215680708,0.14605,26861.077000000005,65972.47799999999,3.4234851078418504,6.872792072825096,8.91166731027404,11.11410511637323,14.11666759781105,True
ARX-USDT-SWAP,event2025_26,2026-06-22 12:30:00.000,20.0,10.0,1.0,6900.0,17284.5,7.984031936126865,0.2505,21024.379,42268.21,3.9920159680639777,6.5849538296614,8.65892266651569,11.57315606092113,13.771093512829902,True
AT-USDT-SWAP,event2025_26,2025-10-30 10:00:01.453,20.0,10.0,1.0,1400.0,2135.7000000000003,19.665683382497193,0.15255000000000002,13893.625,20317.16,9.83284169124965,9.83284169124965,11.813480059282844,14.605492866126557,20.946476203853592,True
ATH-USDT-SWAP,event2025_26,2024-06-13 03:55:00.308,20.0,100.0,1.0,17000.0,9905.9,3.432297923460212,0.005827,46598.14110000001,65556.4363,3.2490642073890186,5.305423492986128,6.306180095240199,7.712888323299083,10.750893037752007,True
AZTEC-USDT-SWAP,event2025_26,2026-02-11 10:30:00.000,20.0,100.0,1.0,2800.0,4594.8,12.187690432662512,0.01641,17841.059,46008.484,6.093845216331717,6.093845216331717,8.011039046983415,11.719235186512522,17.082133222308116,True
BARD-USDT-SWAP,event2025_26,2025-09-18 12:00:00.496,20.0,1.0,1.0,57000.0,7871.7,14.482259232438667,0.1381,29519.1237,45671.808800000006,7.241129616218922,7.241129616218922,7.241129616218922,8.880238382100725,11.682034290753096,True
