,ret
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0009773549734101716
2022-02-13,0.00015798130347458028
2022-02-14,-0.0007053565354404462
2022-02-15,-0.004945010257874388
2022-02-16,0.0024619300513264997
2022-02-17,0.006845683982340117
2022-02-18,-0.0015802224843826096
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,-0.0029281643998281676
2022-03-10,0.004302020698536135
2022-03-11,0.007039790482021302
2022-03-12,0.0027401499712707
2022-03-13,0.0027281544497278487
2022-03-14,0.002567178698434175
2022-03-15,0.0015423985729669798
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.001804711523131275
2022-03-19,0.0028068171320823065
2022-03-20,0.009254687618071938
2022-03-21,-0.00511415747954079
2022-03-22,-0.00895960912476898
2022-03-23,-0.00607304380124471
2022-03-24,-0.0007017709442084831
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,-0.005575221711389369
2022-06-03,0.0046287591306740095
2022-06-04,-0.0020352034197473785
2022-06-05,0.014196661996797533
2022-06-06,-0.008137195928885808
2022-06-07,0.013018280084446887
2022-06-08,0.00553591505108663
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,-0.0009962975489080789
2022-09-11,0.0001321984928333575
2022-09-12,0.017394136634217468
2022-09-13,-0.011184333671245487
2022-09-14,0.009187158194179958
2022-09-15,0.00573934512923454
2022-09-16,-0.00246165338378947
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,0.0
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,0.0
2022-10-20,-0.0023774641194139884
2022-10-21,-0.0010706227160472842
2022-10-22,-0.02541553017539991
2022-10-23,-0.013879661405443267
2022-10-24,0.0026029778693191993
2022-10-25,0.011285072751072281
2022-10-26,0.0005763262919709564
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,0.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-04,0.0
2022-12-05,0.0
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,0.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,0.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,0.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.0
2023-02-04,0.0
2023-02-05,0.0
2023-02-06,0.0
2023-02-07,0.0
2023-02-08,0.00062604105723333
2023-02-09,0.0031553546880046107
2023-02-10,-0.00747721654643841
2023-02-11,-0.019558668161862167
2023-02-12,0.008723630581469341
2023-02-13,0.005207201351434473
2023-02-14,-0.0003229993021278098
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,0.0002880360073568844
2023-02-19,0.0012859904854902598
2023-02-20,-0.00048321611780427834
2023-02-21,-0.0010399458511758213
2023-02-22,0.007742887651498921
2023-02-23,-0.005823887382703917
2023-02-24,0.012483271839392192
2023-02-25,-0.0012508912242550976
2023-02-26,-0.0016541084160323488
2023-02-27,-0.01143028321282304
2023-02-28,0.002491808580709999
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,0.00077963080069815
2023-03-08,0.003115828048083441
2023-03-09,0.005156921811105643
2023-03-10,0.0005677314014084223
2023-03-11,0.002121479563015262
2023-03-12,-0.003887116077772833
2023-03-13,0.0025022001389599785
2023-03-14,0.0
2023-03-15,0.0
2023-03-16,0.0
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,0.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,0.0034783835695319787
2023-03-25,0.002164108074189569
2023-03-26,-0.0007678306964225799
2023-03-27,0.009955135573738914
2023-03-28,-0.004993260760643312
2023-03-29,0.001116979774607084
2023-03-30,-0.01202629050950367
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,-2.0052691125857502e-06
2023-04-30,-0.0006653939582414378
2023-05-01,0.013389002270946387
2023-05-02,4.486364439287155e-05
2023-05-03,0.004767984566280754
2023-05-04,0.006805526125550354
2023-05-05,0.0008251532785304508
2023-05-06,0.0031276223159199604
2023-05-07,0.00451969593007865
2023-05-08,0.02344020301919409
2023-05-09,-0.010321303208667684
2023-05-10,-0.006378102660537212
2023-05-11,0.022787670954208056
2023-05-12,0.0010885451301248308
2023-05-13,0.0029149902452458715
2023-05-14,-0.0010226943285209823
2023-05-15,0.0007150016128046818
2023-05-16,0.0030985081068793663
2023-05-17,0.001941165808331126
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,-0.003155935472297311
2023-07-26,0.00016067321197769935
2023-07-27,0.00786044727478611
2023-07-28,-0.0064140090363732395
2023-07-29,-0.007116491452204578
2023-07-30,0.00491284247001067
2023-07-31,0.0009853809566619867
2023-08-01,-3.505791021322577e-05
2023-08-02,-8.750892076355918e-05
2023-08-03,0.0029965122591170887
2023-08-04,-0.0004886054347573061
2023-08-05,0.0015851067149958223
2023-08-06,-0.002936263343400018
2023-08-07,0.001061021936004044
2023-08-08,0.0025537646533662917
2023-08-09,0.00023997971878154944
2023-08-10,0.0003652818152558579
2023-08-11,-0.003578334813122641
2023-08-12,0.001553511605573689
2023-08-13,0.0043640328541672685
2023-08-14,0.0005216342435367879
2023-08-15,0.006985851381262141
2023-08-16,-0.003431638791906628
2023-08-17,0.0003179511175272938
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0008328733605666022
2023-09-30,-0.0004101300875575878
2023-10-01,0.0012613655184830555
2023-10-02,0.002057685770782129
2023-10-03,-0.001838801938444809
2023-10-04,0.0033480475253020725
2023-10-05,-0.0009939914255986185
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.002529479534618094
2023-10-14,-0.0020571908888670845
2023-10-15,0.0006220821813002451
2023-10-16,0.0022050154207359715
2023-10-17,0.010858890736306581
2023-10-18,0.013967252360813379
2023-10-19,0.0010582433430244842
2023-10-20,0.0004531106457006835
2023-10-21,-0.003967192756305381
2023-10-22,0.0021719140067503057
2023-10-23,-0.0006421333761814051
2023-10-24,0.014955179353359528
2023-10-25,0.004994503280892196
2023-10-26,0.006598928666835313
2023-10-27,-0.0033910787888284735
2023-10-28,-0.0257088363132112
2023-10-29,0.003204590172328499
2023-10-30,-0.003502641263137398
2023-10-31,-0.013615034281958455
2023-11-01,-0.00024956397738013295
2023-11-02,0.006306368445717241
2023-11-03,-0.0009414243219537863
2023-11-04,-0.0021118487954003944
2023-11-05,0.017227464243414863
2023-11-06,-0.010146358890973154
2023-11-07,0.024815138192712534
2023-11-08,-0.0006942523706621184
2023-11-09,-0.02001605444724924
2023-11-10,-0.003892949703725765
2023-11-11,0.003978850229793537
2023-11-12,-0.00914558342239203
2023-11-13,0.009497470824702814
2023-11-14,-0.000796860687256349
2023-11-15,-0.0011630091335884003
2023-11-16,-0.0014823017913872978
2023-11-17,0.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,-0.0007855761343560121
2023-11-24,0.0029376595074817533
2023-11-25,-0.0036072259736792713
2023-11-26,0.013892333956639157
2023-11-27,0.0071538686587028985
2023-11-28,-0.0008088932933550778
2023-11-29,0.0030931243739822714
2023-11-30,0.0010717190647004105
2023-12-01,0.0025878108265539185
2023-12-02,-0.006483132357124045
2023-12-03,-0.02426117527940728
2023-12-04,0.014053308609379228
2023-12-05,0.0013261229829062346
2023-12-06,0.0
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.0
2023-12-16,-0.0007049793687740023
2023-12-17,0.0014731270907821642
