instId,instFamily,listTime,ctVal,lotSz,minSz,tickSz,lever,last,ct_usd,min_usd,lot_usd,vol24h_usd,spr_bp,cost50_bp,cost250_bp,cost1000_bp,cost2500_bp,cost10000_bp,mmr1,tier1_max_usd
BTC-USDT-SWAP,BTC-USDT,1573557408000,0.01,0.01,0.01,0.1,100.0,84483.3,844.8330000000001,8.44833,8.44833,7787889524.023621,0.011841333240081346,0.005918360944656698,0.005918360944656698,0.005918360944656698,0.005918360944656698,0.005918360944656698,0.004,844833.0000000001
ETH-USDT-SWAP,ETH-USDT,1573557408000,0.1,0.01,0.01,0.01,100.0,2690.99,269.099,2.6909899999999998,2.6909899999999998,7467744280.1910095,0.037176103281954746,0.018579590320144668,0.018579590320144668,0.018579590320144668,0.018579590320144668,0.018579590320144668,0.004,1345495.0
OKB-USDT-SWAP,OKB-USDT,1756951200395,0.01,1.0,1.0,0.01,20.0,119.78,1.1978,1.1978,1.1978,16744966.110399999,0.8353521140266538,1.3089560605905604,1.5969088432848944,1.7726998081574186,2.5390085454901623,4.942333968260826,0.02,77857.0
SOL-USDT-SWAP,SOL-USDT,1611298800000,1.0,0.01,0.01,0.01,100.0,117.22,117.22,1.1722,1.1722,1191433044.9856,0.8534972047970909,0.4262756298217818,0.4262756298217818,0.4262756298217818,0.4599706409569304,1.0679129524288067,0.004,586100.0
DOGE-USDT-SWAP,DOGE-USDT,1587463971000,1000.0,0.01,0.01,1e-05,50.0,0.09608,96.08,0.9608,0.9608,514587911.004,1.0418837964632393,0.5201560468132138,0.5201560468137689,0.5201560468137689,0.6961421122803069,0.954274040741443,0.01,288240.0
XRP-USDT-SWAP,XRP-USDT,1573557408000,100.0,0.01,0.01,0.0001,100.0,1.5438,154.38,1.5438,1.5438,722950782.8016,0.6501739242723912,0.32319575967054703,0.32319575967054703,0.32319575967054703,0.32319575967165726,0.41542979484665565,0.004,385950.0
BCH-USDT-SWAP,BCH-USDT,1573557408000,0.1,0.1,0.1,0.1,50.0,338.6,33.86000000000001,3.386000000000001,3.386000000000001,145981989.33,2.955956832981739,1.477759716269622,1.477759716269622,1.477759716269622,1.477759716269622,3.142809486066378,0.0065,67720.00000000001
ZEC-USDT-SWAP,ZEC-USDT,1762398900578,0.01,1.0,1.0,0.01,50.0,1549.56,15.4956,15.4956,15.4956,1469392196.274,0.06466361025914419,0.032263788737330046,0.032263788737330046,0.07916158221044078,0.2639593583708688,0.6356040896399184,0.01,232434.0
LTC-USDT-SWAP,LTC-USDT,1573557408000,1.0,0.1,0.1,0.01,50.0,71.93,71.93,7.193000000000001,7.193000000000001,422160579.48200005,1.3911110442617733,0.6950719399451133,0.7501954202998595,1.2301721242480301,1.4171753687436395,2.5618238696301088,0.0065,35965.0
ONE-USDT-SWAP,ONE-USDT,1708426039038,100.0,1.0,1.0,1e-07,10.0,0.0015523,0.15523,0.15523,0.15523,65161494.7355,4.329872731329206,3.3632317593068617,5.984962574724362,11.390415146435572,17.7870294045307,62.28607038709866,0.05,2328.4500000000003
UNI-USDT-SWAP,UNI-USDT,1600317000000,1.0,1.0,1.0,0.001,50.0,9.157,9.157,9.157,9.157,242239104.017,1.0918818713997989,0.5464779496150429,0.5464779496150429,0.8379847012612851,1.1635186034653078,2.3094274673080006,0.01,56773.4
0G-USDT-SWAP,0G-USDT,1758537000238,1.0,1.0,1.0,0.0001,20.0,0.2582,0.2582,0.2582,0.2582,2996358.8436,7.7654827232699635,7.613602525322616,7.999352005428895,9.240518158813437,10.47940355503707,16.62780954118981,0.02,18590.399999999998
1INCH-USDT-SWAP,1INCH-USDT,1608863400000,1.0,1.0,1.0,1e-05,20.0,0.10046,0.10046,0.10046,0.10046,914725.2692799999,3.487871127080786,2.7626510058204046,3.6189261041974508,6.278054354060814,9.199832288034337,18.434417478717656,0.02,6529.9
2Z-USDT-SWAP,2Z-USDT,1759410600649,10.0,1.0,1.0,1e-05,20.0,0.05608,0.5608,0.5608,0.5608,5726987.74,3.5768641657764895,3.3147035552366644,4.805484115345537,7.243810301023612,12.069025472448702,25.651520319426858,0.02,10094.4
A-USDT-SWAP,A-USDT,1748514600412,10.0,1.0,1.0,1e-05,10.0,0.09943,0.9943000000000001,0.9943000000000001,0.9943000000000001,857486.3086,16.609661722364592,7.187068161237931,9.51595206074629,15.376937026725379,22.561773741680003,54.67507673810323,0.02,4772.64
AAVE-USDT-SWAP,AAVE-USDT,1607580000000,0.1,0.1,0.1,0.01,50.0,147.44,14.744,1.4744000000000002,1.4744000000000002,56677750.9864,0.6796017565107044,0.3391324990675848,0.37225259373108166,0.7664025486053827,1.2912675703180554,3.1971404088582123,0.01,66348.0
ACH-USDT-SWAP,ACH-USDT,1708590301084,100.0,1.0,1.0,1e-06,10.0,0.006101,0.6101,0.6101,0.6101,817833.5591,12.31749744553727,8.303521383451473,8.872029604464204,10.382123801733755,13.946893333252607,30.982249604194486,0.02,5368.88
ACT-USDT-SWAP,ACT-USDT,1731582000644,1.0,1.0,1.0,1e-06,10.0,0.010948,0.010948,0.010948,0.010948,871129.973336,2.7413118145807944,3.6479679307471757,4.762922749291243,8.530938877150952,13.185730003045236,29.311119334283767,0.05,6349.839999999999
ACU-USDT-SWAP,ACU-USDT,1769151600000,10.0,1.0,1.0,1e-05,10.0,0.12582,1.2582,1.2582,1.2582,1049326.2179999999,19.04459609585702,9.340237356121328,10.373869841470151,12.356676019357193,19.683548819214856,45.91148904390441,0.05,18873.0
ADA-USDT-SWAP,ADA-USDT,1582888608000,100.0,0.1,0.1,0.0001,50.0,0.2489,24.89,2.4890000000000003,2.4890000000000003,71577957.613,4.027386389648127,2.0076289901632682,2.007628990162158,2.007628990162158,2.007628990162158,2.4508053615818204,0.01,54758.0
AEON-USDT-SWAP,AEON-USDT,1785151800000,10.0,1.0,1.0,1e-05,20.0,0.05779,0.5779,0.5779,0.5779,2750911.4894,4.327880398811793,8.005944689915001,9.883153287453261,14.231487370803265,23.13448029277909,44.4790898594416,0.02,11558.0
AERO-USDT-SWAP,AERO-USDT,1751523300260,10.0,1.0,1.0,0.0001,20.0,0.6958,6.958,6.958,6.958,3875000.6539999996,2.8801843915280667,2.155636990731069,2.414305611121992,3.6197202767307424,6.502626795549249,12.553755981445924,0.02,34790.0
AEVO-USDT-SWAP,AEVO-USDT,1710325520298,1.0,1.0,1.0,1e-05,10.0,0.02548,0.02548,0.02548,0.02548,330796.82636,7.86472791690826,3.923107100823331,5.846661712425316,8.178480699145286,13.468220396202767,33.423108052843546,0.05,3057.6
