sym,inst,entry_time,oos,bn_ret,reason,notional,entry_px,okx_live_now,ctVal,lotSz,minSz,lever,tier1_maxSz,tier1_mmr,okx_entry,okx_exit,okx_ret,okx_reason,entry_gap_bp
APEUSDT,APE-USDT-SWAP,2022-03-20 15:00:00,False,-0.213295897110769,end,0.1105504270482316,11.041,True,0.1,1.0,1.0,20.0,1200000.0,0.02,11.029,13.4095,-0.2158400580288331,end,-10.86858074449859
OPUSDT,OP-USDT-SWAP,2022-06-04 14:00:00,False,0.2534722222222222,end,0.1254648931555423,1.3536,True,1.0,1.0,1.0,50.0,100000.0,0.01,1.3556,1.0112,0.2540572440247859,end,14.775413711582974
APTUSDT,APT-USDT-SWAP,2022-10-22 02:00:00,False,-0.1638011462081832,end,0.203704225246406,7.503,True,1.0,1.0,1.0,50.0,18000.0,0.01,7.5079,8.7384,-0.16389403162002703,end,6.530721044915033
ARBUSDT,ARB-USDT-SWAP,2023-03-26 15:00:00,False,-0.0344061302681992,end,0.1980300742061403,1.305,True,10.0,0.1,0.1,50.0,15000.0,0.01,1.3052,1.3508,-0.03493717437940558,end,1.532567049808975
BLURUSDT,BLUR-USDT-SWAP,2023-05-01 12:00:00,False,0.1504581732190363,end,0.197423698934943,0.6766,True,10.0,1.0,1.0,20.0,100000.0,0.02,0.6764,0.575,0.1499112950916618,end,-2.9559562518466365
SUIUSDT,SUI-USDT-SWAP,2023-05-06 16:00:00,False,0.0991085474567383,end,0.2041169495317852,1.3349,True,1.0,1.0,1.0,50.0,95000.0,0.01,1.3352,1.2061,0.09668963451168366,end,2.2473593527605473
1000PEPEUSDT,PEPE-USDT-SWAP,2023-05-08 16:00:00,False,0.4449100668612863,end,0.1023526141341654,0.0021238,True,10000000.0,0.1,0.1,50.0,3000.0,0.0065,0.0021206000000000003,0.001178,0.4444968405168349,end,-15.067332140501488
1000FLOKIUSDT,FLOKI-USDT-SWAP,2023-05-09 16:00:00,False,-0.048217416715371,end,0.2103146746137958,0.03422,True,100000.0,1.0,1.0,20.0,12000.0,0.02,0.034230000000000003,0.0359,-0.04878761320479108,end,2.9222676797213687
WLDUSDT,WLD-USDT-SWAP,2023-07-27 12:00:00,False,-0.0303503682213792,end,0.1885992422274137,2.2405,True,1.0,1.0,1.0,50.0,120000.0,0.01,2.2426,2.309,-0.02960849014536704,end,9.372907833073985
BIGTIMEUSDT,BIGTIME-USDT-SWAP,2023-10-15 14:00:00,False,0.3978801467590704,end,0.0944433995762788,0.2453,True,10.0,1.0,1.0,10.0,52000.0,0.02,0.24504,0.14759,0.39769017303297427,end,-10.59926620464613
ORBSUSDT,ORBS-USDT-SWAP,2023-10-20 06:00:00,False,-0.0686878256750356,end,0.1059098553852161,0.04222,False,,,,,,,,,,,
BSVUSDT,BSV-USDT-SWAP,2023-10-23 12:00:00,False,0.1187319884726224,end,0.2178768315841552,52.05,False,,,,,,,,,,,
TIAUSDT,TIA-USDT-SWAP,2023-11-03 18:00:00,False,0.0380666694832901,end,0.230748298811824,2.3669,True,1.0,1.0,1.0,50.0,25000.0,0.01,2.365,2.277,0.037209302325581395,end,-8.02737758249017
MEMEUSDT,MEME-USDT-SWAP,2023-11-06 12:00:00,False,0.006688473368159,end,0.1989342743853799,0.020483,True,100.0,1.0,1.0,20.0,120000.0,0.02,0.020466,0.02031,0.007622398123717344,end,-8.299565493335992
ORDIUSDT,ORDI-USDT-SWAP,2023-11-10 12:00:00,False,-0.016926235665281,end,0.1219899913708135,19.969,True,0.1,1.0,1.0,20.0,120000.0,0.02,19.929,20.275,-0.017361633799990006,end,-20.031048124594662
PYTHUSDT,PYTH-USDT-SWAP,2023-11-25 14:00:00,False,0.1390106449592988,end,0.2309853408531711,0.4791,True,10.0,1.0,1.0,50.0,6500.0,0.01,0.4784,0.412,0.1387959866220736,end,-14.61072844917588
ETHWUSDT,ETHW-USDT-SWAP,2023-12-01 12:00:00,False,-0.0872483221476509,end,0.2415551640251969,2.682,True,0.1,1.0,1.0,10.0,300000.0,0.05,2.68,2.91,-0.08582089552238803,end,-7.457121551079915
ACEUSDT,ACE-USDT-SWAP,2023-12-21 10:00:00,False,0.230812872132605,end,0.1677340762125059,17.0974,False,,,,,,,,,,,
JUPUSDT,JUP-USDT-SWAP,2024-02-03 18:00:00,False,0.0120981679917041,end,0.248699228249826,0.5786,True,10.0,1.0,1.0,50.0,2000.0,0.0065,0.5782,0.5715,0.011587685921826463,end,-6.913238852401804
ZETAUSDT,ZETA-USDT-SWAP,2024-02-05 08:00:00,False,0.1744603099411247,end,0.2507623723535906,1.4777,True,10.0,1.0,1.0,20.0,35000.0,0.02,1.479,1.2184,0.17620013522650446,end,8.797455505178409
STRKUSDT,STRK-USDT-SWAP,2024-02-23 17:00:00,False,0.009987063389392,end,0.2454263157896526,1.9325,True,1.0,1.0,1.0,50.0,150000.0,0.01,1.9316,1.9116,0.010354110581901055,end,-4.657179818887691
TONUSDT,TON-USDT-SWAP,2024-03-04 12:00:00,False,-0.0087387552781348,end,0.2681661761103522,2.7235,False,,,,,,,,,,,
METISUSDT,METIS-USDT-SWAP,2024-03-15 08:00:00,False,0.2391987097869451,end,0.2696509391815182,117.81,True,0.1,1.0,1.0,10.0,18000.0,0.05,117.65,89.53,0.23901402464938382,end,-13.581190051777936
AEVOUSDT,AEVO-USDT-SWAP,2024-03-16 13:00:00,False,0.1875912408759125,end,0.2734753927984885,2.74,True,1.0,1.0,1.0,10.0,120000.0,0.05,2.74,2.223,0.1886861313868614,end,0.0
ETHFIUSDT,ETHFI-USDT-SWAP,2024-03-21 15:00:00,False,-0.1359477124183006,end,0.2008518851019704,3.825,True,1.0,1.0,1.0,20.0,75000.0,0.02,3.8206,4.3444,-0.13709888499188616,end,-11.503267973855813
WUSDT,W-USDT-SWAP,2024-04-06 15:00:00,False,0.2208293153326903,end,0.2548897902698498,1.037,True,1.0,1.0,1.0,20.0,680000.0,0.02,1.0366,0.8061,0.22236156666023532,end,-3.8572806171643936
TNSRUSDT,TNSR-USDT-SWAP,2024-04-11 17:00:00,False,0.3709219858156027,end,0.2819396607900978,1.41,False,,,,,,,,,,,
NOTUSDT,NOT-USDT-SWAP,2024-05-19 14:00:00,False,0.1217712177121771,end,0.3013851579864823,0.005691,True,100.0,1.0,1.0,20.0,150000.0,0.02,0.005694,0.004994,0.12293642430628737,end,5.271481286241997
TURBOUSDT,TURBO-USDT-SWAP,2024-06-02 15:00:00,False,0.1093321794317034,end,0.2799770978327677,0.006933,True,10000.0,0.1,0.1,20.0,580.0,0.02,0.006928,0.006169,0.10955542725173206,end,-7.211885186787503
ZKUSDT,ZK-USDT-SWAP,2024-06-20 11:00:00,False,0.2393162393162393,end,0.2736866957616065,0.2106,True,10.0,1.0,1.0,20.0,120000.0,0.02,0.2108,0.1601,0.24051233396584437,end,9.496676163340823
MEWUSDT,MEW-USDT-SWAP,2024-06-20 14:00:00,False,0.1154791154791154,end,0.3270874975903824,0.00407,True,1000.0,1.0,1.0,20.0,18000.0,0.02,0.004069,0.003601,0.11501597444089451,end,-2.457002457002533
ZROUSDT,ZRO-USDT-SWAP,2024-06-23 14:00:00,False,0.1198910081743869,end,0.3357777232642011,2.936,True,1.0,1.0,1.0,20.0,20000.0,0.02,2.935,2.585,0.11925042589437818,end,-3.4059945504083533
DOGSUSDT,DOGS-USDT-SWAP,2024-08-29 12:00:00,False,0.2133802816901409,end,0.2826444818371444,0.00142,False,,,,,,,,,,,
NEIROETHUSDT,NEIROETH-USDT-SWAP,2024-09-09 14:00:00,False,0.0256111757857975,end,0.1995292760043245,0.1718,False,,,,,,,,,,,
UXLINKUSDT,UXLINK-USDT-SWAP,2024-09-18 15:00:00,False,0.1736995550099739,end,0.2662755621035642,0.6517,False,,,,,,,,,,,
CATIUSDT,CATI-USDT-SWAP,2024-09-23 11:00:00,False,0.1150059078377313,end,0.3694508342160068,0.7617,False,,,,,,,,,,,
HMSTRUSDT,HMSTR-USDT-SWAP,2024-09-29 12:00:00,False,0.2249670619235836,end,0.3636904836450892,0.006072,True,100.0,1.0,1.0,10.0,550000.0,0.05,0.006069,0.004708,0.22425440764541105,end,-4.9407114624511195
EIGENUSDT,EIGEN-USDT-SWAP,2024-10-04 06:00:00,False,0.0046893317702227,end,0.3495937079745485,3.412,True,1.0,1.0,1.0,20.0,82000.0,0.02,3.415,3.394,0.006149341142020481,end,8.792497069167737
1000CATUSDT,CAT-USDT-SWAP,2024-10-24 12:00:00,False,0.1794201520912548,end,0.3261912892242322,0.04208,False,,,,,,,,,,,
SCRUSDT,SCR-USDT-SWAP,2024-10-25 10:00:00,False,0.1126436781609194,end,0.3909375173261621,0.87,False,,,,,,,,,,,
GOATUSDT,GOAT-USDT-SWAP,2024-10-27 13:00:00,False,0.2150632538982053,end,0.2369305223839668,0.6798,False,,,,,,,,,,,
MOODENGUSDT,MOODENG-USDT-SWAP,2024-10-28 10:00:00,False,0.1075586523196331,end,0.2198133380903396,0.22676,True,10.0,1.0,1.0,20.0,25000.0,0.02,0.22649,0.20222,0.10715704887633004,end,-11.906861880401909
CETUSUSDT,CETUS-USDT-SWAP,2024-11-09 14:00:00,False,0.004379055298924,end,0.3094794056665599,0.37451,False,,,,,,,,,,,
GRASSUSDT,GRASS-USDT-SWAP,2024-11-11 15:00:00,False,0.1500176604694474,end,0.3489483663598636,3.1143,True,1.0,1.0,1.0,20.0,100000.0,0.02,3.1112,2.6445,0.15000642838776046,end,-9.954082779436435
PNUTUSDT,PNUT-USDT-SWAP,2024-11-14 12:00:00,False,0.1514021178098228,end,0.1394434629207354,1.8793,True,10.0,1.0,1.0,20.0,28000.0,0.02,1.877,1.5946,0.1504528502930208,end,-12.23859947852901
SLERFUSDT,SLERF-USDT-SWAP,2024-11-24 11:00:00,False,0.1541139240506329,end,0.468394091540144,0.316,False,,,,,,,,,,,
MORPHOUSDT,MORPHO-USDT-SWAP,2024-11-30 14:00:00,False,-0.0690324740542349,end,0.3755451171318271,1.4935,True,1.0,1.0,1.0,20.0,8200.0,0.02,1.4936,1.5947,-0.06768880557043389,end,0.6695681285573407
MOVEUSDT,MOVE-USDT-SWAP,2024-12-12 14:00:00,False,0.1185250219490781,end,0.2151406466779422,0.6834,True,10.0,1.0,1.0,20.0,75000.0,0.02,0.68364,0.60254,0.11862968813995678,end,3.511852502195989
VIRTUALUSDT,VIRTUAL-USDT-SWAP,2024-12-13 12:00:00,False,-0.1684355854689792,end,0.4772869791590489,2.3178,True,1.0,1.0,1.0,20.0,62000.0,0.02,2.3157,2.7075,-0.1691929006347972,end,-9.060315816722397
MEUSDT,ME-USDT-SWAP,2024-12-13 17:00:00,False,0.2664621194241208,end,0.3118469949184824,4.237,True,1.0,1.0,1.0,20.0,100000.0,0.02,4.235,3.107,0.2663518299881936,end,-4.720320981825843
VANAUSDT,VANA-USDT-SWAP,2024-12-19 13:00:00,False,-0.0104345691136753,end,0.2918065103214539,16.292,True,0.1,1.0,1.0,20.0,35000.0,0.02,16.277,16.465,-0.01155003993364856,end,-9.20697274736093
PENGUUSDT,PENGU-USDT-SWAP,2024-12-20 16:00:00,False,-0.38539523399798,end,0.2924819517925504,0.026731,True,100.0,1.0,1.0,50.0,20000.0,0.01,0.026734,0.03707,-0.3866237749682051,end,1.1222924694176406
FARTCOINUSDT,FARTCOIN-USDT-SWAP,2024-12-23 18:00:00,False,-0.5,stop,0.2403273109142809,0.7364,True,1.0,1.0,1.0,20.0,320000.0,0.02,0.7365,1.1047500000000001,-0.5,stop,1.3579576317224173
GRIFFAINUSDT,GRIFFAIN-USDT-SWAP,2025-01-05 13:00:00,True,0.0932021692521125,end,0.1757091516413989,0.39645,False,,,,,,,,,,,
AI16ZUSDT,AI16Z-USDT-SWAP,2025-01-05 13:00:00,True,0.2322587624405019,end,0.1563469805056963,1.8488,False,,,,,,,,,,,
ZEREBROUSDT,ZEREBRO-USDT-SWAP,2025-01-05 14:00:00,True,0.3971348985276562,end,0.2003437437241844,0.5026,False,,,,,,,,,,,
BIOUSDT,BIO-USDT-SWAP,2025-01-06 12:00:00,True,0.30440097799511,end,0.1938862078787052,0.7362,True,1.0,1.0,1.0,20.0,380000.0,0.02,0.7364,0.5125,0.30404671374253134,end,2.7166530834032976
ALCHUSDT,ALCH-USDT-SWAP,2025-01-10 11:00:00,True,0.2464539007092198,end,0.1765270881975611,0.14664,False,,,,,,,,,,,
SONICUSDT,SONIC-USDT-SWAP,2025-01-11 07:00:00,True,0.0534648325979755,end,0.1909936679433887,0.7706,False,,,,,,,,,,,
SOLVUSDT,SOLV-USDT-SWAP,2025-01-20 12:00:00,True,0.1511771995043369,end,0.1531386439665856,0.0807,False,,,,,,,,,,,
TRUMPUSDT,TRUMP-USDT-SWAP,2025-01-21 13:00:00,True,0.2914795865093453,end,0.0621884499043823,38.308,True,0.1,1.0,1.0,50.0,250000.0,0.01,38.29,27.12,0.29172107599895525,end,-4.698757439699497
ANIMEUSDT,ANIME-USDT-SWAP,2025-01-26 17:00:00,True,0.1961471103327494,end,0.2042552429359307,0.0571,True,10.0,1.0,1.0,20.0,320000.0,0.02,0.05711,0.04591,0.1961127648397829,end,1.7513134851143697
VINEUSDT,VINE-USDT-SWAP,2025-01-27 10:00:00,True,0.3539613182942113,end,0.0641866690074431,0.29523,False,,,,,,,,,,,
BERAUSDT,BERA-USDT-SWAP,2025-02-09 15:00:00,True,-0.0547391623806026,end,0.1677815251331429,5.444,True,0.1,1.0,1.0,20.0,480000.0,0.02,5.449,5.747,-0.05468893374931172,end,9.184423218222548
LAYERUSDT,LAYER-USDT-SWAP,2025-02-14 15:00:00,True,0.2288146046626372,end,0.1470752937217797,0.8107,True,1.0,1.0,1.0,20.0,180000.0,0.02,0.81156,0.62547,0.22929912760609195,end,10.608116442580862
IPUSDT,IP-USDT-SWAP,2025-02-16 17:00:00,True,-0.5,stop,0.1692486213615139,1.68442,False,,,,,,,,,,,
KAITOUSDT,KAITO-USDT-SWAP,2025-02-23 13:00:00,True,-0.5000000000000002,stop,0.0964844348944906,1.5002,True,1.0,1.0,1.0,50.0,21250.0,0.01,1.5003,2.25045,-0.5,stop,0.6665777896275316
BRUSDT,BR-USDT-SWAP,2025-03-24 12:00:00,True,0.5211335254562921,end,0.2356321146841934,0.2082,False,,,,,,,,,,,
PARTIUSDT,PARTI-USDT-SWAP,2025-03-28 13:00:00,True,0.3138432364096082,end,0.1811786062381338,0.3164,True,10.0,1.0,1.0,10.0,30000.0,0.05,0.3165,0.2173,0.3134281200631912,end,3.160556257901792
JELLYJELLYUSDT,JELLYJELLY-USDT-SWAP,2025-03-29 16:00:00,True,0.2056921086675291,end,0.2371069878841414,0.01546,True,100.0,1.0,1.0,10.0,1000.0,0.02,0.01544,0.01228,0.20466321243523322,end,-12.93661060801976
GUNUSDT,GUN-USDT-SWAP,2025-04-03 13:00:00,True,-0.5,stop,0.1880792872900614,0.0452,False,,,,,,,,,,,
ATHUSDT,ATH-USDT-SWAP,2025-04-05 15:00:00,True,0.0994747209455023,end,0.2801243546448876,0.03046,True,100.0,1.0,1.0,20.0,15000.0,0.02,0.03049,0.02747,0.09904886848146932,end,9.84898227183173
PROMPTUSDT,PROMPT-USDT-SWAP,2025-04-14 06:00:00,True,0.4945921586300135,end,0.0965211541794457,0.4438,False,,,,,,,,,,,
