sym,i,entry_t,entry_px,notional,exit_px,exit_t,ret,reason,entry_time,exit_time
APEUSDT,10,2631,11.041,0.11055042704823163,13.396,2727,-0.21329589711076902,end,2022-03-20 15:00:00,2022-03-24 15:00:00
OPUSDT,17,4454,1.3536,0.12546489315554238,1.0105,4550,0.2534722222222222,end,2022-06-04 14:00:00,2022-06-08 14:00:00
APTUSDT,26,7802,7.503,0.20370422524640602,8.732,7898,-0.1638011462081832,end,2022-10-22 02:00:00,2022-10-26 02:00:00
ARBUSDT,52,11535,1.305,0.19803007420614036,1.3499,11631,-0.034406130268199275,end,2023-03-26 15:00:00,2023-03-30 15:00:00
BLURUSDT,59,12396,0.6766,0.197423698934943,0.5748,12492,0.15045817321903632,end,2023-05-01 12:00:00,2023-05-05 12:00:00
SUIUSDT,62,12520,1.3349,0.20411694953178522,1.2026,12616,0.09910854745673836,end,2023-05-06 16:00:00,2023-05-10 16:00:00
1000PEPEUSDT,63,12568,0.0021238,0.10235261413416548,0.0011789,12664,0.4449100668612863,end,2023-05-08 16:00:00,2023-05-12 16:00:00
1000FLOKIUSDT,64,12592,0.03422,0.21031467461379583,0.03587,12688,-0.04821741671537105,end,2023-05-09 16:00:00,2023-05-13 16:00:00
WLDUSDT,73,14484,2.2405,0.18859924222741375,2.3085,14580,-0.030350368221379265,end,2023-07-27 12:00:00,2023-07-31 12:00:00
BIGTIMEUSDT,90,16406,0.2453,0.09444339957627886,0.1477,16502,0.39788014675907046,end,2023-10-15 14:00:00,2023-10-19 14:00:00
ORBSUSDT,92,16518,0.04222,0.1059098553852161,0.04512,16614,-0.06868782567503562,end,2023-10-20 06:00:00,2023-10-24 06:00:00
BSVUSDT,95,16596,52.05,0.2178768315841552,45.87,16692,0.11873198847262245,end,2023-10-23 12:00:00,2023-10-27 12:00:00
TIAUSDT,101,16866,2.3669,0.23074829881182407,2.2768,16962,0.03806666948329018,end,2023-11-03 18:00:00,2023-11-07 18:00:00
MEMEUSDT,104,16932,0.020483,0.19893427438537997,0.020346,17028,0.006688473368159031,end,2023-11-06 12:00:00,2023-11-10 12:00:00
ORDIUSDT,107,17028,19.969,0.1219899913708135,20.307,17124,-0.016926235665281064,end,2023-11-10 12:00:00,2023-11-14 12:00:00
PYTHUSDT,115,17390,0.4791,0.23098534085317118,0.4125,17486,0.13901064495929882,end,2023-11-25 14:00:00,2023-11-29 14:00:00
ETHWUSDT,120,17532,2.682,0.24155516402519694,2.916,17628,-0.08724832214765099,end,2023-12-01 12:00:00,2023-12-05 12:00:00
ACEUSDT,125,18010,17.0974,0.16773407621250594,13.1511,18106,0.23081287213260504,end,2023-12-21 10:00:00,2023-12-25 10:00:00
JUPUSDT,135,19074,0.5786,0.248699228249826,0.5716,19170,0.012098167991704156,end,2024-02-03 18:00:00,2024-02-07 18:00:00
ZETAUSDT,136,19112,1.4777,0.25076237235359067,1.2199,19208,0.1744603099411247,end,2024-02-05 08:00:00,2024-02-09 08:00:00
STRKUSDT,141,19553,1.9325,0.24542631578965265,1.9132,19649,0.009987063389392037,end,2024-02-23 17:00:00,2024-02-27 17:00:00
TONUSDT,145,19788,2.7235,0.26816617611035226,2.7473,19884,-0.008738755278134835,end,2024-03-04 12:00:00,2024-03-08 12:00:00
METISUSDT,148,20048,117.81,0.2696509391815182,89.63,20144,0.23919870978694513,end,2024-03-15 08:00:00,2024-03-19 08:00:00
AEVOUSDT,149,20077,2.74,0.2734753927984885,2.226,20173,0.1875912408759125,end,2024-03-16 13:00:00,2024-03-20 13:00:00
ETHFIUSDT,152,20199,3.825,0.2008518851019704,4.345,20295,-0.13594771241830061,end,2024-03-21 15:00:00,2024-03-25 15:00:00
WUSDT,154,20583,1.037,0.2548897902698498,0.808,20679,0.22082931533269035,end,2024-04-06 15:00:00,2024-04-10 15:00:00
TNSRUSDT,155,20705,1.41,0.2819396607900978,0.887,20801,0.37092198581560276,end,2024-04-11 17:00:00,2024-04-15 17:00:00
NOTUSDT,161,21614,0.005691,0.30138515798648235,0.004998,21710,0.12177121771217714,end,2024-05-19 14:00:00,2024-05-23 14:00:00
TURBOUSDT,162,21951,0.006933,0.27997709783276775,0.006175,22047,0.10933217943170348,end,2024-06-02 15:00:00,2024-06-06 15:00:00
ZKUSDT,164,22379,0.2106,0.2736866957616065,0.1602,22475,0.23931623931623935,end,2024-06-20 11:00:00,2024-06-24 11:00:00
MEWUSDT,165,22382,0.00407,0.32708749759038247,0.0036,22478,0.11547911547911549,end,2024-06-20 14:00:00,2024-06-24 14:00:00
ZROUSDT,167,22454,2.936,0.33577772326420113,2.584,22550,0.11989100817438691,end,2024-06-23 14:00:00,2024-06-27 14:00:00
DOGSUSDT,181,24060,0.00142,0.28264448183714447,0.001117,24156,0.2133802816901409,end,2024-08-29 12:00:00,2024-09-02 12:00:00
NEIROETHUSDT,187,24326,0.1718,0.19952927600432452,0.1674,24422,0.025611175785797524,end,2024-09-09 14:00:00,2024-09-13 14:00:00
UXLINKUSDT,191,24543,0.6517,0.26627556210356423,0.5385,24639,0.17369955500997392,end,2024-09-18 15:00:00,2024-09-22 15:00:00
CATIUSDT,197,24659,0.7617,0.3694508342160068,0.6741,24755,0.11500590783773135,end,2024-09-23 11:00:00,2024-09-27 11:00:00
HMSTRUSDT,200,24804,0.006072,0.3636904836450892,0.004706,24900,0.22496706192358362,end,2024-09-29 12:00:00,2024-10-03 12:00:00
EIGENUSDT,203,24918,3.412,0.34959370797454853,3.396,25014,0.004689331770222793,end,2024-10-04 06:00:00,2024-10-08 06:00:00
1000CATUSDT,205,25404,0.04208,0.3261912892242322,0.03453,25500,0.17942015209125484,end,2024-10-24 12:00:00,2024-10-28 12:00:00
SCRUSDT,206,25426,0.87,0.3909375173261621,0.772,25522,0.11264367816091947,end,2024-10-25 10:00:00,2024-10-29 10:00:00
GOATUSDT,207,25477,0.6798,0.23693052238396684,0.5336,25573,0.21506325389820535,end,2024-10-27 13:00:00,2024-10-31 13:00:00
MOODENGUSDT,208,25498,0.22676,0.21981333809033968,0.20237,25594,0.10755865231963313,end,2024-10-28 10:00:00,2024-11-01 10:00:00
CETUSUSDT,214,25790,0.37451,0.3094794056665599,0.37287,25886,0.004379055298924017,end,2024-11-09 14:00:00,2024-11-13 14:00:00
GRASSUSDT,217,25839,3.1143,0.34894836635986365,2.6471,25935,0.15001766046944742,end,2024-11-11 15:00:00,2024-11-15 15:00:00
PNUTUSDT,220,25908,1.8793,0.13944346292073545,1.59477,26004,0.15140211780982282,end,2024-11-14 12:00:00,2024-11-18 12:00:00
SLERFUSDT,226,26147,0.316,0.468394091540144,0.2673,26243,0.15411392405063296,end,2024-11-24 11:00:00,2024-11-28 11:00:00
MORPHOUSDT,231,26294,1.4935,0.3755451171318271,1.5966,26390,-0.06903247405423496,end,2024-11-30 14:00:00,2024-12-04 14:00:00
MOVEUSDT,237,26582,0.6834,0.21514064667794225,0.6024,26678,0.1185250219490781,end,2024-12-12 14:00:00,2024-12-16 14:00:00
VIRTUALUSDT,238,26604,2.3178,0.47728697915904894,2.7082,26700,-0.1684355854689792,end,2024-12-13 12:00:00,2024-12-17 12:00:00
MEUSDT,242,26609,4.237,0.31184699491848245,3.108,26705,0.2664621194241208,end,2024-12-13 17:00:00,2024-12-17 17:00:00
VANAUSDT,247,26749,16.292,0.2918065103214539,16.462,26845,-0.010434569113675352,end,2024-12-19 13:00:00,2024-12-23 13:00:00
PENGUUSDT,248,26776,0.026731,0.29248195179255043,0.037033,26872,-0.38539523399798004,end,2024-12-20 16:00:00,2024-12-24 16:00:00
FARTCOINUSDT,251,26850,0.7364,0.2403273109142809,1.1046,26875,-0.5,stop,2024-12-23 18:00:00,2024-12-24 19:00:00
GRIFFAINUSDT,259,27157,0.39645,0.1757091516413989,0.3595,27253,0.09320216925211255,end,2025-01-05 13:00:00,2025-01-09 13:00:00
