sym,i,entry_t,entry_px,notional,exit_px,exit_t,ret,reason,entry_time,exit_time
APEUSDT,10,2631,11.029,0.11112129478724793,13.4095,2727,-0.2158400580288331,end,2022-03-20 15:00:00,2022-03-24 15:00:00
OPUSDT,17,4454,1.3556,0.12548885975404964,1.0112,4550,0.2540572440247859,end,2022-06-04 14:00:00,2022-06-08 14:00:00
APTUSDT,26,7802,7.5079,0.20364543165153667,8.7384,7898,-0.16389403162002703,end,2022-10-22 02:00:00,2022-10-26 02:00:00
ARBUSDT,52,11535,1.3052,0.19796862243815083,1.3508,11631,-0.03493717437940558,end,2023-03-26 15:00:00,2023-03-30 15:00:00
BLURUSDT,59,12396,0.6764,0.19734137804011437,0.575,12492,0.1499112950916618,end,2023-05-01 12:00:00,2023-05-05 12:00:00
SUIUSDT,62,12520,1.3352,0.20401023560343862,1.2061,12616,0.09668963451168366,end,2023-05-06 16:00:00,2023-05-10 16:00:00
1000PEPEUSDT,63,12568,0.0021206000000000003,0.10194696578156856,0.001178,12664,0.4444968405168349,end,2023-05-08 16:00:00,2023-05-12 16:00:00
1000FLOKIUSDT,64,12592,0.034230000000000003,0.21016621528487053,0.0359,12688,-0.04878761320479108,end,2023-05-09 16:00:00,2023-05-13 16:00:00
WLDUSDT,73,14484,2.2426,0.18972914354384274,2.309,14580,-0.02960849014536704,end,2023-07-27 12:00:00,2023-07-31 12:00:00
BIGTIMEUSDT,90,16406,0.24504,0.09444042864136115,0.14759,16502,0.39769017303297427,end,2023-10-15 14:00:00,2023-10-19 14:00:00
ORBSUSDT,92,16518,0.04222,0.10578752069882205,0.04512,16614,-0.06868782567503562,end,2023-10-20 06:00:00,2023-10-24 06:00:00
BSVUSDT,95,16596,52.05,0.21762516573334828,45.87,16692,0.11873198847262245,end,2023-10-23 12:00:00,2023-10-27 12:00:00
TIAUSDT,101,16866,2.365,0.23048176534646916,2.277,16962,0.037209302325581395,end,2023-11-03 18:00:00,2023-11-07 18:00:00
MEMEUSDT,104,16932,0.020466,0.1986741698397668,0.02031,17028,0.007622398123717344,end,2023-11-06 12:00:00,2023-11-10 12:00:00
ORDIUSDT,107,17028,19.929,0.12511651159181586,20.275,17124,-0.017361633799990006,end,2023-11-10 12:00:00,2023-11-14 12:00:00
PYTHUSDT,115,17390,0.4784,0.23062479101183936,0.412,17486,0.1387959866220736,end,2023-11-25 14:00:00,2023-11-29 14:00:00
