N,thr,edge_oos,edge_half,edge_zero,zero_median_trades,full_incl_pm
25,0.0,0.925,0.975,0.996,26,0.692
25,-0.01,0.889,0.957,0.994,27,0.621
25,-0.02,0.845,0.935,0.987,29,0.54
25,-0.03,0.795,0.909,0.979,32,0.463
25,-0.05,0.683,0.829,0.941,39,0.325
30,0.0,0.858,0.948,0.992,31,0.569
30,-0.01,0.811,0.919,0.983,33,0.48
30,-0.02,0.748,0.888,0.969,35,0.399
30,-0.03,0.683,0.845,0.951,38,0.325
30,-0.05,0.548,0.744,0.887,46,0.205
40,0.0,0.714,0.872,0.97,41,0.347
40,-0.01,0.639,0.819,0.95,43,0.273
40,-0.02,0.558,0.768,0.922,45,0.217
40,-0.03,0.478,0.7,0.881,49,0.162
40,-0.05,0.321,0.556,0.77,57,0.079
50,0.0,0.556,0.793,0.937,50,0.225
50,-0.01,0.476,0.727,0.901,52,0.16
50,-0.02,0.391,0.648,0.859,56,0.113
50,-0.03,0.312,0.56,0.799,59,0.075
50,-0.05,0.19,0.401,0.646,67,0.028
60,0.0,0.437,0.699,0.898,60,0.136
60,-0.01,0.35,0.619,0.847,61,0.089
60,-0.02,0.268,0.536,0.782,64,0.051
60,-0.03,0.207,0.443,0.698,67,0.035
60,-0.05,0.11,0.286,0.518,73,0.009
