sym,i,tranche,entry_t,entry_px,notional,late,E_before,exit_t,ret,reason,cls
RSS3-USDT-SWAP,2,0,2071,0.31018,0.08208856969177218,0,0.9998276140036473,2215,0.07331227029466769,end,okx_only
UMEE-USDT-SWAP,1,0,2071,0.10574,0.09998276140036473,0,0.9996176502047065,2215,-0.07159069415547559,end,okx_only
RSS3-USDT-SWAP,2,1,2119,0.33214,0.09756897062421602,0,0.9928793121340681,2215,0.13458180285421817,end,okx_only
UMEE-USDT-SWAP,1,1,2119,0.10779,0.09928793121340682,0,0.99267080747852,2215,-0.051210687447815095,end,okx_only
DOME-USDT-SWAP,3,0,2358,0.047214,0.10529272875037823,0,1.0527061727734064,2502,0.1591265302664464,end,okx_only
DOME-USDT-SWAP,3,1,2406,0.0466,0.10472127602748552,0,1.0469928455951973,2502,0.14804721030042922,end,okx_only
NYM-USDT-SWAP,5,0,3415,1.5853,0.10772575804153847,0,1.0770313563234974,3559,0.2827225130890052,end,okx_only
NYM-USDT-SWAP,5,1,3463,1.3949,0.10876296846326965,0,1.0874012823989236,3559,0.18481611585059865,end,okx_only
FITFI-USDT-SWAP,6,0,3895,0.0929,0.028117247846457926,0,1.1246308676378396,3902,-0.5,stop,okx_only
FITFI-USDT-SWAP,6,1,3943,0.268,0.027821401081761475,0,1.1127976183281874,4039,0.11791044776119408,end,okx_only
SWEAT-USDT-SWAP,8,0,6942,0.0530427,0.06056339252041946,0,1.1161010186208646,7086,0.18782414922317303,end,okx_only
SWEAT-USDT-SWAP,8,1,6990,0.0624099,0.06779076258474445,0,1.1146595943835114,7086,0.3097248994149966,end,okx_only
ETHW-USDT-SWAP,9,0,6966,10.43,0.04494614648302571,0,1.1098765160089359,7110,0.39031639501438153,end,okx_first
ETHW-USDT-SWAP,9,1,7014,4.713,0.05007886487018328,0,1.1458221288731159,7110,-0.3492467642690431,end,okx_first
CORE-USDT-SWAP,14,0,10453,4.77229,0.06101800411002358,0,1.13782916333422,10597,0.35255401494879823,end,okx_only
CORE-USDT-SWAP,14,1,10501,2.94319,0.06014877787637225,0,1.15858917505781,10597,-0.04981329781631483,end,okx_only
BLUR-USDT-SWAP,15,0,10610,1.0887,0.070297878926562,0,1.1592965331801306,10754,0.07733994672545241,end,okx_first
BLUR-USDT-SWAP,15,1,10658,1.0253,0.07743093415928712,0,1.1635979878360547,10754,0.020286745342826595,end,okx_first
GFT-USDT-SWAP,17,0,10806,0.0791,0.11644299177985425,0,1.1641853875158048,10950,0.12262958280657399,end,okx_only
GFT-USDT-SWAP,17,1,10854,0.0823,0.11563401696536749,0,1.1560973382180475,10950,0.1567436208991494,end,okx_only
PEPE-USDT-SWAP,19,0,12459,1.0911e-06,0.055742602754096295,0,1.1960402563116557,12466,-0.5,stop,okx_first
AIDOGE-USDT-SWAP,20,0,12459,5.54e-10,0.07111706152947697,0,1.1961573157774392,12495,-0.5,stop,okx_only
AIDOGE-USDT-SWAP,20,1,12507,6.47e-10,0.055504412064598566,0,1.1325346192163852,12603,0.41112828438949,end,okx_only
PEPE-USDT-SWAP,19,1,12507,3.0063e-06,0.03534614499631328,0,1.132460392311893,12603,0.31676812028074375,end,okx_first
CETUS-USDT-SWAP,21,0,12635,0.12177,0.07361607625734098,0,1.1608436807252358,12779,0.3180586351318059,end,okx_first
CETUS-USDT-SWAP,21,1,12683,0.11751,0.08468198487123156,0,1.1617162371287242,12779,0.29333673729895327,end,okx_first
ORDI-USDT-SWAP,22,0,12897,9.745,0.08099936887339941,0,1.20557931606794,13041,0.13966136480246272,end,okx_first
ORDI-USDT-SWAP,22,1,12945,8.449,0.11499538388452042,0,1.2160633301795762,13041,0.007693218132323265,end,okx_first
WSM-USDT-SWAP,23,0,16203,0.04893,0.12205571478542374,0,1.220300830853188,16347,0.3041079092581239,end,okx_only
WSM-USDT-SWAP,23,1,16251,0.03815,0.12477994050599513,0,1.2475373671848886,16347,0.10747051114023609,end,okx_only
PYTH-USDT-SWAP,26,0,17294,0.3232,0.06814852531136642,0,1.2620773612625684,17340,-0.5,stop,okx_first
PYTH-USDT-SWAP,26,1,17342,0.4931,0.07846251270800798,0,1.2283991163475632,17438,0.19630906509835733,end,okx_first
DMAIL-USDT-SWAP,32,0,18994,0.6287,0.06443546992036789,0,1.243409408891529,19138,0.2791474471130906,end,okx_only
DMAIL-USDT-SWAP,32,1,19042,0.5287,0.09003782573433791,0,1.253960801315731,19138,0.1428031019481747,end,okx_only
GPT-USDT-SWAP,34,0,19692,0.49367,0.04360210124771803,0,1.2743598138562058,19722,-0.5,stop,okx_only
GPT-USDT-SWAP,34,1,19740,0.70738,0.055067108606519824,0,1.2521769990563023,19836,0.15171477847832848,end,okx_only
ZK-USDT-SWAP,38,0,20170,2.939,0.06387759003305737,0,1.2660221005638355,20314,-0.06362708404219108,end,okx_first
ZK-USDT-SWAP,38,1,20218,2.776,0.1043245948515356,0,1.2719314034833595,20314,-0.12608069164265134,end,okx_first
VENOM-USDT-SWAP,39,0,20312,0.6014,0.0382080166696369,0,1.265162385700735,20456,0.1267708679747258,end,okx_only
VENOM-USDT-SWAP,39,1,20360,0.66154,0.06118189294636726,0,1.2628350981556762,20456,0.20615533452247792,end,okx_only
ZEUS-USDT-SWAP,40,0,20576,0.685,0.11507907849278395,0,1.2835443816292282,20620,-0.5,stop,okx_only
ZEUS-USDT-SWAP,40,1,20624,1.0221,0.10986842517946391,0,1.2239587223092983,20720,0.3470306232266902,end,okx_only
