sym,perp_t0,bn_spot_first_day,gap_bn_h,okx_spot_list,gap_okx_h,spot_first_in_events
AZTECUSDT,2026-02-11 04:00:00,,,,,
BREVUSDT,2025-12-30 10:00:00,2026-01-06,168.0,2026-01-06 13:00:00,171.0,2026-01-06
CCUSDT,2025-10-31 12:00:00,,,2026-02-12 09:00:00,2493.0,
ESPUSDT,2026-02-10 08:00:00,2026-02-12,48.0,,,2026-02-12
FOGOUSDT,2026-01-10 14:00:00,2026-01-15,120.0,2026-01-15 13:00:00,119.0,2026-01-15
KATUSDT,2026-03-02 05:00:00,2026-03-18,384.0,2026-03-18 12:00:00,391.0,2026-03-18
KITEUSDT,2025-10-29 10:00:00,2025-11-03,120.0,2025-11-03 12:00:00,122.0,2025-11-03
LINEAUSDT,2025-09-01 08:00:00,2025-09-10,216.0,2025-09-10 14:00:00,222.0,2025-09-10
METUSDT,2025-10-11 12:00:00,2025-11-13,792.0,2025-10-23 13:00:00,289.0,2025-11-13
MONUSDT,2025-10-10 07:00:00,,,2026-03-23 10:00:00,3939.0,
OPNUSDT,2026-02-21 15:00:00,2026-03-05,288.0,,,2026-03-05
SENTUSDT,2025-11-14 12:00:00,2026-01-22,1656.0,2026-01-27 11:00:00,1775.0,2026-01-22
WLFIUSDT,2025-08-23 08:00:00,2025-09-01,216.0,2025-09-01 12:00:00,220.0,2025-09-01
YBUSDT,2025-10-10 14:00:00,2025-10-15,120.0,2025-10-15 10:00:00,116.0,2025-10-15
ZAMAUSDT,2026-01-09 09:00:00,2026-02-02,576.0,2026-02-02 12:00:00,579.0,2026-02-02
