sym,ctVal,lotSz,minSz,maxMktSz,maxMktAmt,lever,entry_px,min_order_usdt_at_entry,step_usdt_at_entry,rounding_err_800,maxMkt_usdt_at_entry,listTime,t0,last_px,n,t1_maxSz,t1_lever,top_maxSz,top_lever,t1_usdt_last,top_usdt_last
AEON-USDT-SWAP,10.0,1.0,1.0,19000.0,,20,0.10028,1.0028,1.0028,0.0006267499999999999,19053.199999999997,2026-07-27 11:30:00.000,2026-07-27 11:00:00,0.06102,87,20000.0,20.0,1740000.0,2.0,12204.0,1061748.0
ATH-USDT-SWAP,100.0,1.0,1.0,17000.0,,20,0.06909,6.909,6.909,0.004318125,117453.0,2024-06-13 03:55:00.308,2024-06-13 03:00:00,0.06951,87,15000.0,20.0,1305000.0,2.0,104265.0,9071055.0
BLEND-USDT-SWAP,10.0,1.0,1.0,8400.0,,20,0.1444,1.444,1.444,0.0009025,12129.6,2026-04-29 10:00:00.000,2026-04-29 10:00:00,0.1195,87,10000.0,20.0,870000.0,2.0,11950.0,1039650.0
BLUR-USDT-SWAP,10.0,1.0,1.0,150000.0,,20,1.0887,10.887,10.887,0.0068043750000000005,1633050.0,2023-02-15 02:55:00.181,2023-02-15 02:00:00,0.9345,87,100000.0,20.0,8700000.0,2.0,934500.0,81301500.0
CASHCAT-USDT-SWAP,10.0,1.0,1.0,50000.0,,20,0.2754,2.7539999999999996,2.7539999999999996,0.0017212499999999997,137700.0,2026-09-03 03:30:00.000,2026-09-03 03:00:00,0.1685,87,10000.0,20.0,870000.0,2.0,16850.0,1465950.0
CNPY-USDT-SWAP,10.0,1.0,1.0,50000.0,,20,0.1705,1.705,1.705,0.001065625,85250.0,2026-09-07 13:00:00.000,2026-09-07 13:00:00,0.3708,87,10000.0,20.0,870000.0,2.0,37080.0,3225960.0
CORE-USDT-SWAP,1.0,1.0,1.0,540000.0,,20,4.77229,4.77229,4.77229,0.00298268125,2577036.6,2023-02-08 13:55:14.708,2023-02-08 13:00:00,3.10294,87,300000.0,20.0,26200000.0,2.0,930882.0,81297028.0
CP-USDT-SWAP,100.0,1.0,1.0,20000.0,,20,0.03993,3.993,3.993,0.002495625,79860.0,2026-09-02 15:40:00.000,2026-09-02 15:00:00,0.01386,87,7000.0,20.0,609000.0,2.0,9702.0,844074.0
DGAI-USDT-SWAP,10.0,1.0,1.0,20000.0,,20,0.7794,7.794,7.794,0.00487125,155880.0,2026-09-03 03:00:00.000,2026-09-03 03:00:00,0.7445,87,4000.0,20.0,348000.0,2.0,29780.000000000004,2590860.0
DOS-USDT-SWAP,10.0,1.0,1.0,3100.0,,20,0.5003,5.003,5.003,0.003126875,15509.3,2026-08-10 12:00:00.000,2026-08-10 12:00:00,0.2559,87,7000.0,20.0,609000.0,2.0,17913.0,1558431.0
ETHW-USDT-SWAP,0.1,1.0,1.0,190000.0,,10,10.43,1.043,1.043,0.000651875,198170.0,2022-09-16 06:55:31.635,2022-09-16 06:00:00,12.356,81,300000.0,10.0,12450000.0,2.0,370680.0,15383220.0
GRAM-USDT-SWAP,1.0,1.0,1.0,41000.0,,50,1.66,1.66,1.66,0.0010375,68060.0,2026-06-17 10:30:00.000,2026-06-17 10:00:00,1.557,93,2500.0,50.0,2275000.0,2.0,3892.5,3542175.0
