inst,n_month,n_author,matched,maxdiff,month_only,author_only
AI16Z-USDT-SWAP,253,252,252,0.0074918573506156,1,0
AIDOGE-USDT-SWAP,175,175,63,0.0,112,112
ALCH-USDT-SWAP,338,337,337,0.0021071382781118002,1,0
ASTR-USDT-SWAP,142,142,70,0.0,72,72
ATH-USDT-SWAP,145,145,145,0.0,0,0
AUCTION-USDT-SWAP,185,185,93,0.0,92,92
BLOCK-USDT-SWAP,150,150,150,0.0,0,0
BLUR-USDT-SWAP,133,133,38,0.0,95,95
BONE-USDT-SWAP,138,138,138,0.0,0,0
BUZZ-USDT-SWAP,193,192,192,0.003802004288539,1,0
CAT-USDT-SWAP,331,330,330,0.0060497253589108,1,0
CEL-USDT-SWAP,133,132,62,0.0,71,70
CETUS-USDT-SWAP,153,153,59,0.0,94,94
CORE-USDT-SWAP,153,153,41,0.0,112,112
CTC-USDT-SWAP,145,145,80,0.0,65,65
DMAIL-USDT-SWAP,90,90,90,0.0,0,0
DOG-USDT-SWAP,254,253,253,0.0022288973916206,1,0
DOME-USDT-SWAP,160,160,89,0.0,71,71
DUCK-USDT-SWAP,259,258,258,0.0020578769914257,1,0
ETHW-USDT-SWAP,136,135,36,0.0,100,99
FITFI-USDT-SWAP,151,151,90,0.0,61,61
FLOKI-USDT-SWAP,118,118,29,0.0,89,89
FLR-USDT-SWAP,162,162,162,0.0,0,0
FOXY-USDT-SWAP,147,147,147,0.0,0,0
GF-USDT-SWAP,113,113,113,0.0,0,0
GFT-USDT-SWAP,109,109,23,0.0,86,86
GLMR-USDT-SWAP,11,11,3,0.0,8,8
GMX-USDT-SWAP,172,172,47,0.0,125,125
GPT-USDT-SWAP,96,96,96,0.0,0,0
GRASS-USDT-SWAP,198,197,197,0.004833368150302201,1,0
GRIFFAIN-USDT-SWAP,212,211,211,0.0036799437163873,1,0
HYPE-USDT-SWAP,230,229,229,0.0018631096397894,1,0
J-USDT-SWAP,223,222,222,0.0012706954613424,1,0
LAUNCHCOIN-USDT-SWAP,349,348,348,0.0014883901288372,1,0
LOOKS-USDT-SWAP,119,119,66,0.0,53,53
MAJOR-USDT-SWAP,99,99,99,0.0,0,0
MAX-USDT-SWAP,165,165,165,0.0,0,0
MEMEFI-USDT-SWAP,117,117,117,0.0,0,0
MERL-USDT-SWAP,126,126,126,0.0,0,0
METIS-USDT-SWAP,102,102,66,0.0,36,36
MEW-USDT-SWAP,138,138,138,0.0,0,0
MOODENG-USDT-SWAP,350,349,349,0.0014140835757187,1,0
MORPHO-USDT-SWAP,108,108,108,0.0,0,0
MSN-USDT-SWAP,97,97,97,0.0,0,0
NC-USDT-SWAP,253,252,252,0.0012583978455282,1,0
NYM-USDT-SWAP,121,121,60,0.0,61,61
OL-USDT-SWAP,117,117,117,0.0,0,0
ORDI-USDT-SWAP,121,121,43,0.0,78,78
PEPE-USDT-SWAP,175,175,72,0.0,103,103
PI-USDT-SWAP,235,234,234,0.0161943261573751,1,0
PRCL-USDT-SWAP,135,135,135,0.0,0,0
PUFFER-USDT-SWAP,282,281,281,0.013564758197101599,1,0
PYTH-USDT-SWAP,123,123,39,0.0,84,84
RACA-USDT-SWAP,111,111,29,0.0,82,82
RON-USDT-SWAP,153,153,82,0.0,71,71
RSS3-USDT-SWAP,105,105,52,0.0,53,53
SUNDOG-USDT-SWAP,307,306,306,0.0013221239403229,1,0
SWEAT-USDT-SWAP,139,138,37,0.0,102,101
TESTPM002-USDT-SWAP,2,1,1,0.0,1,1
TON-USDT-SWAP,103,103,29,0.0,74,74
TURBO-USDT-SWAP,144,144,84,0.0,60,60
ULTI-USDT-SWAP,163,163,163,0.0,0,0
UMEE-USDT-SWAP,105,105,55,0.0,50,50
USELESS-USDT-SWAP,223,222,222,0.0008725203681653,1,0
USTC-USDT-SWAP,175,175,58,0.0,117,117
UXLINK-USDT-SWAP,132,132,132,0.0,0,0
VELO-USDT-SWAP,147,147,147,0.0,0,0
VENOM-USDT-SWAP,108,108,108,0.0,0,0
VRA-USDT-SWAP,166,166,37,0.0,129,129
WEMIX-USDT-SWAP,91,90,40,0.0,51,50
WSM-USDT-SWAP,166,166,36,0.0,130,130
X-USDT-SWAP,108,108,108,0.0,0,0
ZENT-USDT-SWAP,156,156,156,0.0,0,0
ZEREBRO-USDT-SWAP,212,211,211,0.0026451826457358,1,0
ZERO-USDT-SWAP,165,165,165,0.0,0,0
ZEUS-USDT-SWAP,168,168,168,0.0,0,0
ZK-USDT-SWAP,126,126,126,0.0,0,0
ZKJ-USDT-SWAP,168,168,168,0.0,0,0
