kind,sym,tr,reason,ret,kx,entry_basis,ref_hit_bar,ref_h_at_kx_vs_stop,ref_maxh_vs_stop
index,AEON-USDT-SWAP,0,end,0.3129238133226963,168,-0.003676105315449707,,,-0.20362983645791788
index,AEON-USDT-SWAP,1,end,0.2892510831442129,168,-0.0022643062988884077,,,-0.3343305411514427
mark,AEON-USDT-SWAP,0,end,0.3129238133226963,168,-0.0005979669124975828,,,-0.20416168062757611
mark,AEON-USDT-SWAP,1,end,0.2892510831442129,168,0.0016532341392849759,,,-0.3345299827150645
index,AI16Z-USDT-SWAP,0,end,-0.0813838955922185,168,0.007067575945443272,,,-0.1959287531806616
index,AI16Z-USDT-SWAP,1,end,-0.4706965840589419,168,0.00016747613465084576,,,-0.1959287531806616
index,AIDOGE-USDT-SWAP,0,stop,-0.5,60,0.0,60.0,0.08904933814681093,0.08904933814681093
index,AIDOGE-USDT-SWAP,1,end,0.41112828438949,168,0.001547987616099089,,,-0.28078310149407537
index,ALCH-USDT-SWAP,0,end,0.1922398589065256,168,0.0011771630370807085,,,-0.10092102684695281
index,ALCH-USDT-SWAP,1,end,0.1596330275229358,168,0.0,,,-0.10092102684695281
index,ATH-USDT-SWAP,0,end,0.01592126212187,168,-0.004610286702204314,,,-0.16543638732088584
index,ATH-USDT-SWAP,1,end,-0.0725666508913076,168,-0.007048872180451027,,,-0.2336565832006562
mark,ATH-USDT-SWAP,0,end,0.01592126212187,168,0.0010141987829614951,,,-0.16495392483234428
mark,ATH-USDT-SWAP,1,end,-0.0725666508913076,168,-0.0001577287066245603,,,-0.23105128576253198
index,BLEND-USDT-SWAP,0,end,0.1668975069252077,168,0.002081887578070818,,,-0.3268698060941828
index,BLEND-USDT-SWAP,1,end,-0.0361757105943152,168,0.002590673575129543,,,-0.3273314866112651
mark,BLEND-USDT-SWAP,0,end,0.1668975069252077,168,0.0006930006930006005,,,-0.3254847645429363
mark,BLEND-USDT-SWAP,1,end,-0.0361757105943152,168,0.0008620689655172153,,,-0.3347183748845799
index,BLUR-USDT-SWAP,0,end,0.0773399467254524,168,-0.002291055718474988,,,-0.14448424726738307
index,BLUR-USDT-SWAP,1,end,0.0202867453428265,168,-0.0017525070587087743,,,-0.14448424726738307
mark,BLUR-USDT-SWAP,0,end,0.0773399467254524,168,0.0,,,-0.1435044854719696
mark,BLUR-USDT-SWAP,1,end,0.0202867453428265,168,-0.0002925117004679567,,,-0.1435044854719696
index,BUZZ-USDT-SWAP,0,end,0.4763804063317961,168,-0.0034778288411377867,,,-0.2687689559184012
index,BUZZ-USDT-SWAP,1,end,0.3960609545715928,168,0.0,,,-0.3826083343720137
index,CASHCAT-USDT-SWAP,0,end,0.3790849673202613,168,0.003278688524589901,,,-0.307431614621157
index,CASHCAT-USDT-SWAP,1,end,0.2910447761194029,168,0.0037453183520599342,,,-0.38320019365770985
mark,CASHCAT-USDT-SWAP,0,end,0.3790849673202613,168,0.00036324010170729615,,,-0.3030743161462115
mark,CASHCAT-USDT-SWAP,1,end,0.2910447761194029,168,0.0008298755186721962,,,-0.3817477608327281
index,CAT-USDT-SWAP,0,end,-0.2161929693343305,168,-0.0031686859273065693,,,-0.156843679880329
index,CAT-USDT-SWAP,1,end,-0.1542911904592887,168,-0.0037482319660536723,,,-0.156843679880329
index,CETUS-USDT-SWAP,0,end,0.3180586351318059,168,0.0016451427161305876,,,-0.3028386849525061
index,CETUS-USDT-SWAP,1,end,0.2933367372989532,168,0.001022233580373122,,,-0.33475678191125346
index,CNPY-USDT-SWAP,0,stop,-0.5,76,-0.0017564402810303914,76.0,0.06549364613880737,0.06549364613880737
index,CNPY-USDT-SWAP,1,stop,-0.4271763392857144,76,-0.008849557522123797,76.0,0.06549364613880737,0.06549364613880737
mark,CNPY-USDT-SWAP,0,stop,-0.5,76,0.0,76.0,0.05219941348973589,0.05219941348973589
mark,CNPY-USDT-SWAP,1,stop,-0.4271763392857144,76,0.0011173184357542443,76.0,0.05219941348973589,0.05219941348973589
index,CORE-USDT-SWAP,0,end,0.3525540149487982,168,0.00039409610494689495,,,-0.3264589257288778
index,CORE-USDT-SWAP,1,end,-0.0498132978163148,168,-0.002842545348592962,,,-0.5463016706864
mark,CORE-USDT-SWAP,0,end,0.3525540149487982,168,0.0001362215087474805,,,-0.32599513720526907
mark,CORE-USDT-SWAP,1,end,-0.0498132978163148,168,-1.3590511105054937e-05,,,-0.5427031187682783
index,CP-USDT-SWAP,0,end,0.5977961432506886,168,-0.0005006257822277593,,,-0.3276567326154104
index,CP-USDT-SWAP,1,end,0.5026323939300092,168,0.002795031055900621,,,-0.4567159195258369
mark,CP-USDT-SWAP,0,end,0.5977961432506886,168,0.0012537612838516843,,,-0.3271558560814759
mark,CP-USDT-SWAP,1,end,0.5026323939300092,168,0.00030978934324643603,,,-0.45504633107938897
index,DGAI-USDT-SWAP,0,end,0.0255324608673338,168,0.0017994858611825038,,,-0.3140877598152425
index,DGAI-USDT-SWAP,1,end,0.0387292747753449,168,0.0008867494299469314,,,-0.3140877598152425
mark,DGAI-USDT-SWAP,0,end,0.0255324608673338,168,0.0005134788189986583,,,-0.31400222393293986
mark,DGAI-USDT-SWAP,1,end,0.0387292747753449,168,0.00012658227848105774,,,-0.31400222393293986
index,DOG-USDT-SWAP,0,end,0.1589616810877626,168,0.000618429189857661,,,-0.29929954676555415
