inst,day8,bytes
MEMEFI-USDT-SWAP,2024-11-21,
MEMEFI-USDT-SWAP,2024-11-22,555043.0
MEMEFI-USDT-SWAP,2024-11-23,15890907.0
MEMEFI-USDT-SWAP,2024-11-24,8089817.0
MEMEFI-USDT-SWAP,2024-11-25,4988798.0
MEMEFI-USDT-SWAP,2024-11-26,33106858.0
MEMEFI-USDT-SWAP,2024-11-27,44870798.0
MEMEFI-USDT-SWAP,2024-11-28,23146291.0
MEMEFI-USDT-SWAP,2024-11-29,14038525.0
MEMEFI-USDT-SWAP,2024-11-30,8209753.0
GRASS-USDT-SWAP,2024-10-27,
GRASS-USDT-SWAP,2024-10-28,915627.0
GRASS-USDT-SWAP,2024-10-29,8672602.0
GRASS-USDT-SWAP,2024-10-30,4904436.0
GRASS-USDT-SWAP,2024-10-31,5462729.0
GRASS-USDT-SWAP,2024-11-01,6882942.0
GRASS-USDT-SWAP,2024-11-02,21360619.0
GRASS-USDT-SWAP,2024-11-03,15244493.0
GRASS-USDT-SWAP,2024-11-04,15013645.0
GRASS-USDT-SWAP,2024-11-05,10318087.0
FITFI-USDT-SWAP,2022-05-10,
FITFI-USDT-SWAP,2022-05-11,394862.0
FITFI-USDT-SWAP,2022-05-12,1243044.0
FITFI-USDT-SWAP,2022-05-13,2093738.0
FITFI-USDT-SWAP,2022-05-14,2011931.0
FITFI-USDT-SWAP,2022-05-15,1576486.0
FITFI-USDT-SWAP,2022-05-16,1259869.0
FITFI-USDT-SWAP,2022-05-17,567341.0
FITFI-USDT-SWAP,2022-05-18,750528.0
PYTH-USDT-SWAP,2023-11-19,
PYTH-USDT-SWAP,2023-11-20,112665.0
PYTH-USDT-SWAP,2023-11-21,1544618.0
PYTH-USDT-SWAP,2023-11-22,2713299.0
PYTH-USDT-SWAP,2023-11-23,3659828.0
PYTH-USDT-SWAP,2023-11-24,2757937.0
PYTH-USDT-SWAP,2023-11-25,2097026.0
PYTH-USDT-SWAP,2023-11-26,1237871.0
PYTH-USDT-SWAP,2023-11-27,1428269.0
PYTH-USDT-SWAP,2023-11-28,1392055.0
ZEUS-USDT-SWAP,2024-04-04,
ZEUS-USDT-SWAP,2024-04-05,238426.0
ZEUS-USDT-SWAP,2024-04-06,837581.0
ZEUS-USDT-SWAP,2024-04-07,2082050.0
ZEUS-USDT-SWAP,2024-04-08,3402032.0
ZEUS-USDT-SWAP,2024-04-09,2353286.0
ZEUS-USDT-SWAP,2024-04-10,2028340.0
ZEUS-USDT-SWAP,2024-04-11,1763356.0
ZEUS-USDT-SWAP,2024-04-12,1421658.0
GPT-USDT-SWAP,2024-02-27,
GPT-USDT-SWAP,2024-02-28,1169154.0
GPT-USDT-SWAP,2024-02-29,4868485.0
GPT-USDT-SWAP,2024-03-01,2997975.0
GPT-USDT-SWAP,2024-03-02,7287439.0
GPT-USDT-SWAP,2024-03-03,4677364.0
GPT-USDT-SWAP,2024-03-04,2369635.0
GPT-USDT-SWAP,2024-03-05,3358490.0
GPT-USDT-SWAP,2024-03-06,2890198.0
PEPE-USDT-SWAP,2023-05-02,
PEPE-USDT-SWAP,2023-05-03,2774526.0
PEPE-USDT-SWAP,2023-05-04,13596466.0
PEPE-USDT-SWAP,2023-05-05,35014099.0
PEPE-USDT-SWAP,2023-05-06,36532349.0
PEPE-USDT-SWAP,2023-05-07,20295853.0
PEPE-USDT-SWAP,2023-05-08,18062508.0
PEPE-USDT-SWAP,2023-05-09,24118283.0
PEPE-USDT-SWAP,2023-05-10,14203968.0
AIDOGE-USDT-SWAP,2023-05-02,
AIDOGE-USDT-SWAP,2023-05-03,2169466.0
AIDOGE-USDT-SWAP,2023-05-04,4897963.0
AIDOGE-USDT-SWAP,2023-05-05,5392140.0
AIDOGE-USDT-SWAP,2023-05-06,4221690.0
AIDOGE-USDT-SWAP,2023-05-07,3763642.0
AIDOGE-USDT-SWAP,2023-05-08,4303406.0
AIDOGE-USDT-SWAP,2023-05-09,6144530.0
AIDOGE-USDT-SWAP,2023-05-10,3329287.0
GRIFFAIN-USDT-SWAP,2024-12-26,
GRIFFAIN-USDT-SWAP,2024-12-27,166437.0
GRIFFAIN-USDT-SWAP,2024-12-28,576231.0
GRIFFAIN-USDT-SWAP,2024-12-29,650964.0
GRIFFAIN-USDT-SWAP,2024-12-30,1194182.0
GRIFFAIN-USDT-SWAP,2024-12-31,2263570.0
GRIFFAIN-USDT-SWAP,2025-01-01,3540309.0
GRIFFAIN-USDT-SWAP,2025-01-02,3362833.0
GRIFFAIN-USDT-SWAP,2025-01-03,2916142.0
MORPHO-USDT-SWAP,2024-11-24,
MORPHO-USDT-SWAP,2024-11-25,1893303.0
MORPHO-USDT-SWAP,2024-11-26,4684785.0
MORPHO-USDT-SWAP,2024-11-27,13902071.0
MORPHO-USDT-SWAP,2024-11-28,13931776.0
MORPHO-USDT-SWAP,2024-11-29,4483059.0
MORPHO-USDT-SWAP,2024-11-30,7785415.0
MORPHO-USDT-SWAP,2024-12-01,4170715.0
MORPHO-USDT-SWAP,2024-12-02,2583864.0
ZEREBRO-USDT-SWAP,2024-12-26,
ZEREBRO-USDT-SWAP,2024-12-27,158560.0
ZEREBRO-USDT-SWAP,2024-12-28,499816.0
ZEREBRO-USDT-SWAP,2024-12-29,832723.0
ZEREBRO-USDT-SWAP,2024-12-30,3451647.0
ZEREBRO-USDT-SWAP,2024-12-31,4564661.0
ZEREBRO-USDT-SWAP,2025-01-01,3433882.0
ZEREBRO-USDT-SWAP,2025-01-02,5369649.0
ZEREBRO-USDT-SWAP,2025-01-03,3207881.0
DUCK-USDT-SWAP,2025-01-15,
DUCK-USDT-SWAP,2025-01-16,5584228.0
DUCK-USDT-SWAP,2025-01-17,13761914.0
DUCK-USDT-SWAP,2025-01-18,8080947.0
DUCK-USDT-SWAP,2025-01-19,5822141.0
DUCK-USDT-SWAP,2025-01-20,6761462.0
DUCK-USDT-SWAP,2025-01-21,5642869.0
DUCK-USDT-SWAP,2025-01-22,3952230.0
DUCK-USDT-SWAP,2025-01-23,3493227.0
NC-USDT-SWAP,2025-01-16,
NC-USDT-SWAP,2025-01-17,8197956.0
NC-USDT-SWAP,2025-01-18,11983299.0
NC-USDT-SWAP,2025-01-19,7999541.0
NC-USDT-SWAP,2025-01-20,5382529.0
NC-USDT-SWAP,2025-01-21,4004527.0
NC-USDT-SWAP,2025-01-22,4040319.0
NC-USDT-SWAP,2025-01-23,8996774.0
NC-USDT-SWAP,2025-01-24,2968326.0
BUZZ-USDT-SWAP,2025-01-26,
BUZZ-USDT-SWAP,2025-01-27,872167.0
BUZZ-USDT-SWAP,2025-01-28,1567220.0
BUZZ-USDT-SWAP,2025-01-29,1065124.0
