i,sym,base,t0,bn_spot,okx_preMktSw,bybit_first,bybit_10th,bybit_file,gate_start,gate_name,gate_status,okx_spot_day,okx_spot_off,okx_spot_first
10,APEUSDT,APE,2022-03-17 15:00:00,2022-03-17,,2022-11-10 00:00:05.979,2022-11-10 00:00:31.526,APEUSDT-2022-11.csv.gz,2022-03-17 12:30:00,ApeCoin,tradable,2022-03-17,0.0,2022-03-17 12:30:03.232
17,OPUSDT,OP,2022-06-01 14:00:00,2022-06-01,,2022-11-10 00:00:04.631,2022-11-10 00:00:24.067,OPUSDT-2022-11.csv.gz,2022-05-31 23:30:00,Optimism,tradable,2022-06-01,0.0,2022-05-31 18:15:25.517
26,APTUSDT,APT,2022-10-19 02:00:00,2022-10-19,,2022-11-10 00:00:07.322,2022-11-10 00:00:40.678,APTUSDT-2022-11.csv.gz,2022-10-19 01:00:00,Aptos,tradable,2022-10-19,0.0,2022-10-19 01:00:02.610
52,ARBUSDT,ARB,2023-03-23 15:00:00,2023-03-23,,2023-03-23 08:29:14.749,2023-03-23 13:20:05.419,ARBUSDT-2023-03.csv.gz,2023-03-23 13:20:00,Arbitrum,tradable,2023-03-23,0.0,2023-03-23 13:40:00.002
59,BLURUSDT,BLUR,2023-04-28 12:00:00,2023-11-24,,2023-02-14 02:33:17.862,2023-02-14 18:30:05.278,BLURUSDT-2023-02.csv.gz,2023-02-14 18:30:00,Blur,tradable,2023-04-25,-3.0,
62,SUIUSDT,SUI,2023-05-03 16:00:00,2023-05-03,,2023-05-03 03:32:34.520,2023-05-03 12:00:05.363,SUIUSDT-2023-05.csv.gz,2023-05-03 12:00:00,Sui,tradable,2023-05-03,-1.0,2023-05-03 12:10:00.006
63,1000PEPEUSDT,PEPE,2023-05-05 16:00:00,2023-05-05,,2023-05-06 03:49:32.744,2023-05-06 08:00:09.045,PEPEUSDT-2023-05.csv.gz,2023-04-19 07:00:00,Pepe,tradable,2023-05-03,-3.0,
64,1000FLOKIUSDT,FLOKI,2023-05-06 16:00:00,2023-05-05,,2022-11-10 00:12:31.533,2022-11-10 00:23:18.937,FLOKIUSDT-2022-11.csv.gz,2021-09-16 08:30:00,Floki Inu,tradable,2023-05-04,-3.0,
73,WLDUSDT,WLD,2023-07-24 12:00:00,2023-07-24,,2023-07-24 04:33:20.568,2023-07-24 07:00:05.923,WLDUSDT-2023-07.csv.gz,2023-07-24 07:30:00,Worldcoin,tradable,2023-07-24,0.0,2023-07-24 09:20:00.110
90,BIGTIMEUSDT,BIGTIME,2023-10-12 14:00:00,2025-04-11,,,,,2023-10-12 02:00:00,Big Time,tradable,2023-10-11,-1.0,2023-10-11 02:00:00.001
92,ORBSUSDT,ORBS,2023-10-17 06:00:00,,,,,,2021-04-03 02:00:00,Orbs,tradable,2023-10-14,-3.0,
95,BSVUSDT,BSV,2023-10-20 12:00:00,,,,,,2021-01-29 07:00:00,BitcoinSV,tradable,2023-10-17,-3.0,
101,TIAUSDT,TIA,2023-10-31 18:00:00,2023-10-31,,2023-10-31 15:06:12.189,2023-10-31 16:25:02.518,TIAUSDT-2023-10.csv.gz,2023-10-31 16:00:00,Celestia,tradable,2023-11-01,0.0,2023-10-31 18:00:05.333
107,ORDIUSDT,ORDI,2023-11-07 12:00:00,2023-11-07,,2023-08-17 05:32:56.443,2023-08-17 08:00:05.676,ORDIUSDT-2023-08.csv.gz,2023-05-08 02:00:00,Ordinals,tradable,2023-11-04,-3.0,
104,MEMEUSDT,MEME,2023-11-03 12:00:00,2023-11-03,,2023-11-03 06:28:58.660,2023-11-03 08:00:05.414,MEMEUSDT-2023-11.csv.gz,2023-11-03 08:00:00,Memecoin,tradable,2023-11-03,0.0,2023-11-03 08:30:00.851
115,PYTHUSDT,PYTH,2023-11-22 14:00:00,2024-02-02,,2023-11-20 08:33:38.124,2023-11-20 14:00:01.026,PYTHUSDT-2023-11.csv.gz,2023-11-20 14:00:00,Pyth Network,tradable,2023-11-20,-2.0,2023-11-20 14:30:00.476
120,ETHWUSDT,ETHW,2023-11-28 12:00:00,,,2022-11-10 00:00:05.002,2022-11-10 00:02:04.910,ETHWUSDT-2022-11.csv.gz,2022-08-09 04:00:00,EthereumPoW,tradable,2023-11-25,-3.0,
125,ACEUSDT,ACE,2023-12-18 10:00:00,2023-12-18,,,,,2023-12-22 05:00:00,Fusionist,tradable,2023-12-18,0.0,2023-12-18 06:00:00.005
135,JUPUSDT,JUP,2024-01-31 18:00:00,2024-01-31,,2024-01-31 07:52:31.585,2024-01-31 15:00:00.658,JUPUSDT-2024-01.csv.gz,2024-01-31 15:10:00,Jupiter,tradable,2024-01-31,-1.0,2024-01-31 15:10:00.822
136,ZETAUSDT,ZETA,2024-02-02 08:00:00,,,,,,2024-02-01 03:00:00,ZetaChain,tradable,2024-02-01,-1.0,2024-02-01 03:00:00.551
141,STRKUSDT,STRK,2024-02-20 17:00:00,2024-02-20,,2024-02-20 08:31:27.750,2024-02-20 12:00:00.663,STRKUSDT-2024-02.csv.gz,2024-02-20 12:30:00,Starknet,tradable,2024-02-20,-1.0,2024-02-20 12:40:00.525
145,TONUSDT,TON,2024-03-01 12:00:00,2024-08-08,,2022-12-21 07:17:42.521,2022-12-21 10:00:21.090,TONUSDT-2022-12.csv.gz,,,,2024-02-27,-3.0,
148,METISUSDT,METIS,2024-03-12 08:00:00,2024-03-11,,,,,2021-05-13 13:00:00,Metis Token,tradable,2024-03-09,-3.0,
149,AEVOUSDT,AEVO,2024-03-13 13:00:00,2024-03-13,,2024-03-13 02:06:21.549,2024-03-13 10:00:00.898,AEVOUSDT-2024-03.csv.gz,2024-03-13 10:00:00,Aevo,tradable,2024-03-13,0.0,2024-03-13 10:00:00.033
152,ETHFIUSDT,ETHFI,2024-03-18 15:00:00,2024-03-18,,2024-03-18 11:03:48.612,2024-03-18 12:00:00.953,ETHFIUSDT-2024-03.csv.gz,2024-03-18 12:00:00,Ether.Fi,tradable,2024-03-18,0.0,2024-03-18 12:10:00.025
154,WUSDT,W,2024-04-03 15:00:00,2024-04-03,,2024-04-03 11:49:43.256,2024-04-03 12:00:02.051,WUSDT-2024-04.csv.gz,2024-04-03 12:00:00,WormHole,tradable,2024-04-03,0.0,2024-04-03 12:00:00.017
155,TNSRUSDT,TNSR,2024-04-08 17:00:00,2024-04-08,,2024-04-09 05:48:28.985,2024-04-09 08:00:00.891,TNSRUSDT-2024-04.csv.gz,2024-04-08 15:15:00,Tensor,tradable,2024-04-08,-1.0,2024-04-08 15:15:00.010
161,NOTUSDT,NOT,2024-05-16 14:00:00,2024-05-16,,2024-05-16 03:38:30.597,2024-05-16 12:00:00.613,NOTUSDT-2024-05.csv.gz,2024-05-16 12:00:00,Notcoin,tradable,2024-05-16,0.0,2024-05-16 12:00:00.004
162,TURBOUSDT,TURBO,2024-05-30 15:00:00,2024-09-16,,,,,2023-05-05 04:00:00,Turbo,tradable,2024-05-27,-3.0,
164,ZKUSDT,ZK,2024-06-17 11:00:00,2024-06-17,,2024-03-19 02:40:43.254,2024-03-19 10:00:00.876,ZKUSDT-2024-03.csv.gz,2024-06-17 08:00:00,zkSync,tradable,2024-06-14,-3.0,
165,MEWUSDT,MEW,2024-06-17 14:00:00,,,2024-04-19 04:59:30.929,2024-04-19 08:00:03.224,MEWUSDT-2024-04.csv.gz,2024-03-30 12:00:00,Cat in a dogs world,tradable,2024-06-14,-3.0,
167,ZROUSDT,ZRO,2024-06-20 14:00:00,2024-06-20,,2024-06-20 03:03:06.041,2024-06-20 11:30:01.553,ZROUSDT-2024-06.csv.gz,2024-06-20 12:00:00,LayerZero,tradable,2024-06-20,0.0,2024-06-20 12:00:00.006
181,DOGSUSDT,DOGS,2024-08-26 12:00:00,2024-08-26,,2024-08-26 12:00:00.908,2024-08-26 12:00:01.473,DOGSUSDT-2024-08.csv.gz,2024-08-26 12:00:00,DOGS,tradable,2024-08-26,0.0,2024-08-26 12:00:00.072
187,NEIROETHUSDT,NEIROETH,2024-09-06 14:00:00,,,,,,,,,,,
191,UXLINKUSDT,UXLINK,2024-09-15 15:00:00,,,2024-07-18 08:00:00.901,2024-07-18 08:00:03.685,UXLINKUSDT-2024-07.csv.gz,2024-07-18 08:00:00,UxLink,tradable,2024-09-12,-3.0,
