i,sym,t0,tge,tge_h
407,WLFIUSDT,2025-08-23 08:00:00,2025-09-01 12:00:00,220.0
413,LINEAUSDT,2025-09-01 08:00:00,2025-09-10 15:00:00,223.0
453,MONUSDT,2025-10-10 07:00:00,2025-11-24 15:00:00,1088.0
454,YBUSDT,2025-10-10 14:00:00,2025-10-15 11:00:00,117.0
455,METUSDT,2025-10-11 12:00:00,2025-10-23 14:00:00,290.0
471,KITEUSDT,2025-10-29 10:00:00,2025-11-03 13:00:00,123.0
473,CCUSDT,2025-10-31 12:00:00,2025-11-10 07:00:00,235.0
484,SENTUSDT,2025-11-14 12:00:00,2026-01-22 12:00:00,1656.0
498,BREVUSDT,2025-12-30 10:00:00,2026-01-06 14:00:00,172.0
502,ZAMAUSDT,2026-01-09 09:00:00,2026-02-02 13:00:00,580.0
503,FOGOUSDT,2026-01-10 14:00:00,2026-01-15 14:00:00,120.0
528,AZTECUSDT,2026-02-11 04:00:00,2026-02-12 07:00:00,27.0
527,ESPUSDT,2026-02-10 08:00:00,2026-02-12 13:00:00,53.0
529,OPNUSDT,2026-02-21 15:00:00,2026-03-05 13:00:00,286.0
531,KATUSDT,2026-03-02 05:00:00,2026-03-18 13:00:00,392.0
