i,sym,t0,gate_name,g_bn_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_okx_preMktSw,gap_h,premarket,tge,tge_h
10,APEUSDT,2022-03-17 15:00:00,ApeCoin,-15.0,-2.5,5697.0,-2.5,,-15.0,False,,
17,OPUSDT,2022-06-01 14:00:00,Optimism,-14.0,-19.7,3874.0,-14.5,,-19.7,False,,
26,APTUSDT,2022-10-19 02:00:00,Aptos,-2.0,-1.0,526.0,-1.0,,-2.0,False,,
52,ARBUSDT,2023-03-23 15:00:00,Arbitrum,-15.0,-1.3,-1.7,-1.7,,-15.0,False,,
59,BLURUSDT,2023-04-28 12:00:00,Blur,5028.0,-92.0,-1745.5,-1745.5,,-1745.5,False,,
62,SUIUSDT,2023-05-03 16:00:00,Sui,-16.0,-3.8,-4.0,-4.0,,-16.0,False,,
63,1000PEPEUSDT,2023-05-05 16:00:00,Pepe,-16.0,-72.0,16.0,-393.0,,-393.0,False,,
64,1000FLOKIUSDT,2023-05-06 16:00:00,Floki Inu,-40.0,-72.0,-4263.6,-14335.5,,-14335.5,False,,
73,WLDUSDT,2023-07-24 12:00:00,Worldcoin,-12.0,-2.7,-5.0,-4.5,,-12.0,False,,
90,BIGTIMEUSDT,2023-10-12 14:00:00,Big Time,13114.0,-36.0,,-12.0,,-36.0,False,,
92,ORBSUSDT,2023-10-17 06:00:00,Orbs,,-86.0,,-22252.0,,-22252.0,False,,
95,BSVUSDT,2023-10-20 12:00:00,BitcoinSV,,-92.0,,-23861.0,,-23861.0,False,,
101,TIAUSDT,2023-10-31 18:00:00,Celestia,-18.0,0.0,-1.6,-2.0,,-18.0,False,,
107,ORDIUSDT,2023-11-07 12:00:00,Ordinals,-12.0,-92.0,-1972.0,-4402.0,,-4402.0,False,,
104,MEMEUSDT,2023-11-03 12:00:00,Memecoin,-12.0,-3.5,-4.0,-4.0,,-12.0,False,,
115,PYTHUSDT,2023-11-22 14:00:00,Pyth Network,1714.0,-47.5,-48.0,-48.0,,-48.0,False,,
120,ETHWUSDT,2023-11-28 12:00:00,EthereumPoW,,-92.0,-9204.0,-11432.0,,-11432.0,False,,
125,ACEUSDT,2023-12-18 10:00:00,Fusionist,-10.0,-4.0,,91.0,,-10.0,False,,
135,JUPUSDT,2024-01-31 18:00:00,Jupiter,-18.0,-2.8,-3.0,-2.8,,-18.0,False,,
136,ZETAUSDT,2024-02-02 08:00:00,ZetaChain,,-29.0,,-29.0,,-29.0,False,,
141,STRKUSDT,2024-02-20 17:00:00,Starknet,-17.0,-4.3,-5.0,-4.5,,-17.0,False,,
145,TONUSDT,2024-03-01 12:00:00,,3828.0,-92.0,-10466.0,,,-10466.0,False,,
148,METISUSDT,2024-03-12 08:00:00,Metis Token,-32.0,-88.0,,-24811.0,,-24811.0,False,,
149,AEVOUSDT,2024-03-13 13:00:00,Aevo,-13.0,-3.0,-3.0,-3.0,,-13.0,False,,
152,ETHFIUSDT,2024-03-18 15:00:00,Ether.Fi,-15.0,-2.8,-3.0,-3.0,,-15.0,False,,
154,WUSDT,2024-04-03 15:00:00,WormHole,-15.0,-3.0,-3.0,-3.0,,-15.0,False,,
155,TNSRUSDT,2024-04-08 17:00:00,Tensor,-17.0,-1.7,15.0,-1.8,,-17.0,False,,
161,NOTUSDT,2024-05-16 14:00:00,Notcoin,-14.0,-2.0,-2.0,-2.0,,-14.0,False,,
162,TURBOUSDT,2024-05-30 15:00:00,Turbo,2601.0,-95.0,,-9395.0,,-9395.0,False,,
164,ZKUSDT,2024-06-17 11:00:00,zkSync,-11.0,-91.0,-2161.0,-3.0,,-2161.0,False,,
165,MEWUSDT,2024-06-17 14:00:00,Cat in a dogs world,,-94.0,-1422.0,-1898.0,,-1898.0,False,,
