i,sym,base,t0,spot_first
10,APEUSDT,APE,1647529200000,2022-03-17
17,OPUSDT,OP,1654092000000,2022-06-01
26,APTUSDT,APT,1666144800000,2022-10-19
52,ARBUSDT,ARB,1679583600000,2023-03-23
59,BLURUSDT,BLUR,1682683200000,2023-11-24
62,SUIUSDT,SUI,1683129600000,2023-05-03
63,1000PEPEUSDT,PEPE,1683302400000,2023-05-05
64,1000FLOKIUSDT,FLOKI,1683388800000,2023-05-05
73,WLDUSDT,WLD,1690200000000,2023-07-24
90,BIGTIMEUSDT,BIGTIME,1697119200000,2025-04-11
92,ORBSUSDT,ORBS,1697522400000,
95,BSVUSDT,BSV,1697803200000,
101,TIAUSDT,TIA,1698775200000,2023-10-31
107,ORDIUSDT,ORDI,1699358400000,2023-11-07
104,MEMEUSDT,MEME,1699012800000,2023-11-03
115,PYTHUSDT,PYTH,1700661600000,2024-02-02
120,ETHWUSDT,ETHW,1701172800000,
125,ACEUSDT,ACE,1702893600000,2023-12-18
135,JUPUSDT,JUP,1706724000000,2024-01-31
136,ZETAUSDT,ZETA,1706860800000,
141,STRKUSDT,STRK,1708448400000,2024-02-20
145,TONUSDT,TON,1709294400000,2024-08-08
148,METISUSDT,METIS,1710230400000,2024-03-11
149,AEVOUSDT,AEVO,1710334800000,2024-03-13
152,ETHFIUSDT,ETHFI,1710774000000,2024-03-18
154,WUSDT,W,1712156400000,2024-04-03
155,TNSRUSDT,TNSR,1712595600000,2024-04-08
161,NOTUSDT,NOT,1715868000000,2024-05-16
162,TURBOUSDT,TURBO,1717081200000,2024-09-16
164,ZKUSDT,ZK,1718622000000,2024-06-17
165,MEWUSDT,MEW,1718632800000,
167,ZROUSDT,ZRO,1718892000000,2024-06-20
181,DOGSUSDT,DOGS,1724673600000,2024-08-26
187,NEIROETHUSDT,NEIROETH,1725631200000,
191,UXLINKUSDT,UXLINK,1726412400000,
197,CATIUSDT,CATI,1726830000000,2024-09-20
200,HMSTRUSDT,HMSTR,1727352000000,2024-09-26
203,EIGENUSDT,EIGEN,1727762400000,2024-10-01
205,1000CATUSDT,CAT,1729512000000,
206,SCRUSDT,SCR,1729591200000,2024-10-11
207,GOATUSDT,GOAT,1729774800000,
208,MOODENGUSDT,MOODENG,1729850400000,
214,CETUSUSDT,CETUS,1730901600000,2024-11-06
217,GRASSUSDT,GRASS,1731078000000,
220,PNUTUSDT,PNUT,1731326400000,2024-11-11
226,SLERFUSDT,SLERF,1732186800000,
231,MORPHOUSDT,MORPHO,1732716000000,2025-10-03
237,MOVEUSDT,MOVE,1733752800000,2024-12-09
238,VIRTUALUSDT,VIRTUAL,1733832000000,2025-04-11
242,MEUSDT,ME,1733850000000,2024-12-10
247,VANAUSDT,VANA,1734354000000,2024-12-16
248,PENGUUSDT,PENGU,1734451200000,2024-12-17
251,FARTCOINUSDT,FARTCOIN,1734717600000,
260,AI16ZUSDT,AI16Z,1735822800000,
259,GRIFFAINUSDT,GRIFFAIN,1735822800000,
261,ZEREBROUSDT,ZEREBRO,1735826400000,
262,BIOUSDT,BIO,1735905600000,2025-01-03
263,ALCHUSDT,ALCH,1736247600000,
266,SONICUSDT,SONIC,1736319600000,
270,SOLVUSDT,SOLV,1737115200000,2025-01-17
273,TRUMPUSDT,TRUMP,1737205200000,2025-01-19
276,ANIMEUSDT,ANIME,1737651600000,2025-01-23
278,VINEUSDT,VINE,1737712800000,
280,BERAUSDT,BERA,1738854000000,2025-02-06
282,LAYERUSDT,LAYER,1739286000000,2025-02-11
285,IPUSDT,IP,1739466000000,
288,KAITOUSDT,KAITO,1740056400000,2025-02-20
299,BRUSDT,BR,1742558400000,
304,PARTIUSDT,PARTI,1742907600000,2025-03-25
305,JELLYJELLYUSDT,JELLYJELLY,1743004800000,
310,GUNUSDT,GUN,1743426000000,2025-03-31
311,ATHUSDT,ATH,1743606000000,
314,PROMPTUSDT,PROMPT,1744351200000,
320,WCTUSDT,WCT,1744714800000,2025-04-15
327,MEMEFIUSDT,MEMEFI,1745564400000,
329,SIGNUSDT,SIGN,1745838000000,2025-04-28
349,SOONUSDT,SOON,1747987200000,
350,HUMAUSDT,HUMA,1748264400000,2025-05-26
351,AUSDT,A,1748419200000,2025-05-28
352,SOPHUSDT,SOPH,1748437200000,2025-05-28
353,MERLUSDT,MERL,1748505600000,
