sym,i,tranche,entry_t,entry_px,notional,late,E_before,exit_t,ret,reason,base,t0,spot_first
APEUSDT,10,0,2583,13.9594,0.03803152463955337,0,0.999920133798257,2727,0.03939281057925137,end,APE,1647529200000,2022-03-17
APEUSDT,10,1,2631,11.029,0.056024229371323474,0,1.0082260599900676,2727,-0.2158400580288331,end,APE,1647529200000,2022-03-17
OPUSDT,17,0,4406,1.3326,0.047706481561636066,0,0.9946903015977705,4550,0.24118265045775167,end,OP,1654092000000,2022-06-01
OPUSDT,17,1,4454,1.3556,0.06347845432493902,0,0.9931745162924169,4550,0.2540572440247859,end,OP,1654092000000,2022-06-01
APTUSDT,26,0,7754,7.0915,0.07426640338891335,0,1.0256984541137313,7898,-0.23223577522385952,end,APT,1666144800000,2022-10-19
APTUSDT,26,1,7802,7.5079,0.10212682172683689,0,1.0210537509427426,7898,-0.16389403162002703,end,APT,1666144800000,2022-10-19
ARBUSDT,52,0,11487,1.3731,0.07159329513213053,0,0.9958799820530719,11631,0.016240623406889476,end,ARB,1679583600000,2023-03-23
ARBUSDT,52,1,11535,1.3052,0.09989487453847833,0,0.9987389661482525,11631,-0.03493717437940558,end,ARB,1679583600000,2023-03-23
BLURUSDT,59,0,12348,0.7066,0.09964883256099297,0,0.9962790630615516,12492,0.18624398528163044,end,BLUR,1682683200000,2023-11-24
BLURUSDT,59,1,12396,0.6764,0.09978622248425408,0,0.9976526737753237,12492,0.1499112950916618,end,BLUR,1682683200000,2023-11-24
SUIUSDT,62,1,12520,1.3352,0.10310133815033884,0,1.0307968686932727,12616,0.09668963451168366,end,SUI,1683129600000,2023-05-03
1000PEPEUSDT,63,0,12520,0.0029357999999999997,0.035089309437057015,0,1.0310133815033884,12664,0.5987465086177532,end,PEPE,1683302400000,2023-05-05
1000PEPEUSDT,63,1,12568,0.0021206000000000003,0.051694147241317066,0,1.0584828986036705,12664,0.4444968405168349,end,PEPE,1683302400000,2023-05-05
1000FLOKIUSDT,64,0,12544,0.04037,0.1037803999105752,0,1.0375860602659397,12688,0.11072578647510534,end,FLOKI,1683388800000,2023-05-05
1000FLOKIUSDT,64,1,12592,0.034230000000000003,0.10680855855264075,0,1.067861287553447,12688,-0.04878761320479108,end,FLOKI,1683388800000,2023-05-05
WLDUSDT,73,0,14436,2.1345,0.07677943777019394,0,1.072252774735143,14580,-0.08175216678379016,end,WLD,1690200000000,2023-07-24
WLDUSDT,73,1,14484,2.2426,0.09575639024516806,0,1.0689688114881977,14580,-0.02960849014536704,end,WLD,1690200000000,2023-07-24
BIGTIMEUSDT,90,0,16358,0.2366,0.03431086314382933,0,1.062600198276725,16502,0.3762045646661032,end,BIGTIME,1697119200000,2025-04-11
BIGTIMEUSDT,90,1,16406,0.24504,0.04763849640439027,0,1.0612488876605177,16502,0.39769017303297427,end,BIGTIME,1697119200000,2025-04-11
ORBSUSDT,92,0,16470,0.05527,0.04634228803083113,0,1.0931657206131424,16614,0.18364392979916766,end,ORBS,1697522400000,
ORBSUSDT,92,1,16518,0.04222,0.053579019534025676,0,1.1091309901675934,16614,-0.06868782567503562,end,ORBS,1697522400000,
BSVUSDT,95,0,16548,55.43,0.11069068207810076,0,1.1066743703486435,16692,0.17246978170665705,end,BSV,1697803200000,
BSVUSDT,95,1,16596,52.05,0.11137558865141914,0,1.1135219977780235,16692,0.11873198847262245,end,BSV,1697803200000,
TIAUSDT,101,0,16818,2.582,0.10028679114671257,0,1.1776175074415929,16962,0.11812548412083645,end,TIA,1698775200000,2023-10-31
TIAUSDT,101,1,16866,2.365,0.11860784950699477,0,1.185829418585983,16962,0.037209302325581395,end,TIA,1698775200000,2023-10-31
ORDIUSDT,107,0,16980,12.834,0.05631112040188361,0,1.2322813458385389,17007,-0.4999999999999998,stop,ORDI,1699358400000,2023-11-07
MEMEUSDT,104,0,16884,0.024909,0.06733927240720967,0,1.1826526334132699,17028,0.1846320607009514,end,MEME,1699012800000,2023-11-03
MEMEUSDT,104,1,16932,0.020466,0.10328752220788665,0,1.209409492745443,17028,0.007622398123717344,end,MEME,1699012800000,2023-11-03
ORDIUSDT,107,1,17028,19.929,0.06356930834959193,0,1.1952358005010117,17124,-0.017361633799990006,end,ORDI,1699358400000,2023-11-07
PYTHUSDT,115,0,17342,0.4931,0.09939139145868528,0,1.192768499472993,17486,0.16446968160616504,end,PYTH,1700661600000,2024-02-02
PYTHUSDT,115,1,17390,0.4784,0.1178480308008882,0,1.1971654428980174,17486,0.1387959866220736,end,PYTH,1700661600000,2024-02-02
ETHWUSDT,120,0,17484,2.848,0.12272759583033326,0,1.227018230352089,17628,-0.02176966292134841,end,ETHW,1701172800000,
ETHWUSDT,120,1,17532,2.68,0.12384976173909304,0,1.2382375328912782,17628,-0.08582089552238803,end,ETHW,1701172800000,
ACEUSDT,125,0,17962,13.5133,0.0674564094212359,0,1.2385375048777933,18106,0.026803223490931116,end,ACE,1702893600000,2023-12-18
ACEUSDT,125,1,18010,17.0974,0.08493869687957548,0,1.221890931917192,18106,0.23081287213260504,end,ACE,1702893600000,2023-12-18
JUPUSDT,135,0,19026,0.5873,0.10128648900772756,0,1.2596898801131542,19170,0.026902775412906532,end,JUP,1706724000000,2024-01-31
JUPUSDT,135,1,19074,0.5782,0.12634520065685792,0,1.2631866816472,19170,0.011587685921826463,end,JUP,1706724000000,2024-01-31
ZETAUSDT,136,0,19064,1.4283,0.09904852708614978,0,1.2611286000588178,19208,0.14695792200518099,end,ZETA,1706860800000,
ZETAUSDT,136,1,19112,1.479,0.1268256160992679,0,1.2679898271988705,19208,0.17620013522650446,end,ZETA,1706860800000,
STRKUSDT,141,0,19505,1.9075,0.08789307341219171,0,1.318613991945068,19649,-0.002149410222804793,end,STRK,1708448400000,2024-02-20
STRKUSDT,141,1,19553,1.9316,0.12229658440544433,0,1.3170645480157959,19649,0.010354110581901055,end,STRK,1708448400000,2024-02-20
TONUSDT,145,0,19740,2.6735,0.1344898156811001,0,1.3446157281980706,19884,-0.027604264073312068,end,TON,1709294400000,2024-08-08
TONUSDT,145,1,19788,2.7235,0.1350117770061446,0,1.3498342453297332,19884,-0.008738755278134835,end,TON,1709294400000,2024-08-08
METISUSDT,148,0,20000,133.7,0.13581158017555695,0,1.3578305974372007,20144,0.33036649214659675,end,METIS,1710230400000,2024-03-11
METISUSDT,148,1,20048,117.65,0.1362141000138382,0,1.3618549505283533,20144,0.23901402464938382,end,METIS,1710230400000,2024-03-11
AEVOUSDT,149,0,20029,2.994,0.11317886535492436,0,1.3646800199941085,20173,0.25751503006012033,end,AEVO,1710334800000,2024-03-13
AEVOUSDT,149,1,20077,2.74,0.138626298713745,0,1.385971871910151,20173,0.1886861313868614,end,AEVO,1710334800000,2024-03-13
ETHFIUSDT,152,0,20151,3.0394,0.08683773729095154,0,1.440728709965987,20295,-0.42936105810357317,end,ETHFI,1710774000000,2024-03-18
ETHFIUSDT,152,1,20199,3.8206,0.1011748407465376,0,1.4263313634479136,20295,-0.13709888499188616,end,ETHFI,1710774000000,2024-03-18
WUSDT,154,0,20535,1.1616,0.10311775682719782,0,1.4048596813804386,20679,0.306043388429752,end,W,1712156400000,2024-04-03
