sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status
LOOKS-USDT-SWAP,LOOKS,2022-02-17 09:56:41.396,,,,2022-11-10 00:00:49.973,2022-11-10 00:07:28.211,LOOKSUSDT-2022-11.csv.gz,2022-02-14,-3.0,,,,,
UMEE-USDT-SWAP,UMEE,2022-02-24 07:01:15.079,,,,,,,2022-02-21,-3.0,,,,,
RSS3-USDT-SWAP,RSS3,2022-02-24 07:01:09.996,,,,2022-11-10 00:02:13.456,2022-11-10 00:10:38.417,RSS3USDT-2022-11.csv.gz,2022-02-21,-3.0,,,2022-02-14 10:00:00,RSS3,tradable
DOME-USDT-SWAP,DOME,2022-03-08 06:57:34.249,,,,2022-11-10 00:01:31.977,2022-11-10 00:08:52.309,DOMEUSDT-2022-11.csv.gz,2022-03-05,-3.0,,,2022-03-05 11:00:00,Humain Web3,tradable
ASTR-USDT-SWAP,ASTR,2022-04-14 07:00:09.148,,,,,,,2022-04-11,-3.0,,2022-02-28,2022-01-17 13:00:00,Astar Token,tradable
NYM-USDT-SWAP,NYM,2022-04-21 07:00:01.375,,,,2023-07-07 07:06:37.051,2023-07-07 10:00:05.719,NYMUSDT-2023-07.csv.gz,2022-04-18,-3.0,,,2022-04-15 09:00:00,NYM,tradable
FITFI-USDT-SWAP,FITFI,2022-05-11 07:02:38.802,,,,2022-11-10 00:00:24.084,2022-11-10 00:12:54.444,FITFIUSDT-2022-11.csv.gz,2022-05-08,-3.0,,,,,
CEL-USDT-SWAP,CEL,2022-06-17 06:59:57.386,,,,2022-11-10 00:01:16.336,2022-11-10 00:28:46.046,CELUSDT-2022-11.csv.gz,2022-06-14,-3.0,,,2021-04-09 11:00:00,Celsius Network,tradable
SWEAT-USDT-SWAP,SWEAT,2022-09-15 06:57:48.420,,,,2022-11-10 00:00:01.821,2022-11-10 00:01:38.381,SWEATUSDT-2022-11.csv.gz,2022-09-13,-2.0,2022-09-13 08:00:01.402,,,,
ETHW-USDT-SWAP,ETHW,2022-09-16 06:57:45.985,2022-09-16 06:55:31.635,,normal,2022-11-10 00:00:05.002,2022-11-10 00:02:04.910,ETHWUSDT-2022-11.csv.gz,2022-09-16,0.0,2022-09-15 16:30:11.491,,2022-08-09 04:00:00,EthereumPoW,tradable
